,ts_code,symbol,name,industry,COL_LASTPRICE,COL_DAILY_LOCAL_MAX,COL_LOCAL_LIMIT_COUNT_2,COL_LOCAL_LIMIT_COUNT_10,COL_CIRC_MV
0,002619.SZ,002619,艾格拉斯,互联网,2.54,2.88,1.0,1.0,36.09
1,601975.SH,601975,招商南油,水运,2.92,2.92,1.0,1.0,104.67
2,000558.SZ,000558,莱茵体育,文教休闲,2.95,3.07,1.0,1.0,38.01
3,002379.SZ,002379,宏创控股,铝,3.17,3.17,1.0,1.0,29.37
4,600839.SH,600839,四川长虹,家用电器,3.17,3.39,1.0,1.0,146.27
5,601010.SH,601010,文峰股份,超市连锁,3.59,3.59,1.0,1.0,66.34
6,002482.SZ,002482,广田集团,装修装饰,4.08,4.22,1.0,1.0,62.4
7,601058.SH,601058,赛轮轮胎,汽车配件,4.37,4.46,1.0,1.0,90.79
8,600495.SH,600495,晋西车轴,运输设备,4.75,4.75,1.0,1.0,57.39
9,300297.SZ,300297,蓝盾股份,软件服务,4.4,4.75,1.0,1.0,43.88
10,603969.SH,603969,银龙股份,其他建材,4.47,4.77,1.0,1.0,37.59
11,600189.SH,600189,吉林森工,软饮料,4.71,4.84,1.0,1.0,23.19
12,002068.SZ,002068,黑猫股份,化工原料,5.47,5.47,1.0,1.0,39.77
13,002062.SZ,002062,宏润建设,建筑工程,5.1,5.5,1.0,1.0,49.11
14,002519.SZ,002519,银河电子,通信设备,5.37,5.59,1.0,1.0,54.29
15,002588.SZ,002588,史丹利,农药化肥,5.85,5.85,1.0,1.0,43.28
16,000701.SZ,000701,厦门信达,综合类,5.7,5.86,1.0,1.0,23.18
17,002061.SZ,002061,浙江交科,建筑工程,6.11,6.28,1.0,1.0,47.09
18,601002.SH,601002,晋亿实业,机械基件,6.1,6.37,1.0,1.0,48.35
19,600970.SH,600970,中材国际,建筑工程,6.45,6.6,1.0,1.0,112.04
20,002617.SZ,002617,露笑科技,电气设备,6.08,6.69,1.0,1.0,70.34
21,002571.SZ,002571,德力股份,玻璃,6.77,6.77,1.0,1.0,19.24
22,000516.SZ,000516,国际医学,医疗保健,6.48,6.9,1.0,1.0,125.0
23,601366.SH,601366,利群股份,百货,6.95,6.95,1.0,1.0,59.8
24,002620.SZ,002620,瑞和股份,装修装饰,7.16,7.16,1.0,1.0,22.22
25,603111.SH,603111,康尼机电,运输设备,6.86,7.43,1.0,1.0,57.35
26,002685.SZ,002685,华东重机,工程机械,7.25,7.54,1.0,1.0,57.55
27,601890.SH,601890,亚星锚链,船舶,7.74,7.74,1.0,1.0,74.26
28,002621.SZ,002621,美吉姆,文教休闲,7.68,7.9,1.0,1.0,58.68
29,603067.SH,603067,振华股份,化工原料,8.42,8.47,1.0,1.0,36.31
30,002748.SZ,002748,世龙实业,化工原料,8.65,8.65,1.0,1.0,20.76
31,600831.SH,600831,广电网络,影视音像,8.48,8.81,1.0,1.0,60.24
32,603183.SH,603183,建研院,建筑工程,9.02,9.02,1.0,1.0,13.23
33,603758.SH,603758,秦安股份,汽车配件,8.2,9.09,1.0,1.0,35.98
34,603278.SH,603278,大业股份,钢加工,9.26,9.26,1.0,1.0,11.1
35,603838.SH,603838,四通股份,陶瓷,9.47,9.82,1.0,1.0,25.25
36,002740.SZ,002740,爱迪尔,服饰,7.45,10.09,1.0,1.0,18.01
37,600615.SH,600615,丰华股份,小金属,10.11,10.11,1.0,1.0,18.97
38,002166.SZ,002166,莱茵生物,中成药,10.54,10.54,1.0,1.0,46.75
39,002649.SZ,002649,博彦科技,软件服务,10.56,10.56,1.0,1.0,48.49
40,002346.SZ,002346,柘中股份,电气设备,11.5,11.5,1.0,1.0,45.38
41,002560.SZ,002560,通达股份,电气设备,11.0,11.72,1.0,1.0,31.4
42,002035.SZ,002035,华帝股份,家用电器,11.81,11.96,1.0,1.0,92.46
43,002046.SZ,002046,轴研科技,机械基件,10.93,12.59,1.0,1.0,44.67
44,000921.SZ,000921,海信家电,家用电器,13.06,13.28,1.0,1.0,117.82
45,002771.SZ,002771,真视通,软件服务,14.9,15.53,1.0,1.0,19.5
46,300600.SZ,300600,瑞特股份,电气设备,16.3,16.3,1.0,1.0,33.54
47,600037.SH,600037,歌华有线,影视音像,14.72,16.35,1.0,1.0,204.87
48,603053.SH,603053,成都燃气,供气供热,16.11,16.43,1.0,1.0,14.32
49,600072.SH,600072,中船科技,船舶,16.6,16.6,1.0,1.0,122.22
50,601606.SH,601606,长城军工,专用机械,16.05,16.81,1.0,1.0,47.79
51,002201.SZ,002201,九鼎新材,玻璃,16.93,16.93,1.0,1.0,56.15
52,603385.SH,603385,惠达卫浴,家居用品,18.5,18.5,1.0,1.0,68.34
53,002041.SZ,002041,登海种业,种植业,19.03,19.03,1.0,1.0,167.46
54,002262.SZ,002262,恩华药业,化学制药,19.63,20.02,1.0,1.0,174.68
55,603348.SH,603348,文灿股份,汽车配件,21.74,21.88,1.0,1.0,17.74
56,002919.SZ,002919,名臣健康,日用化工,22.48,22.68,1.0,1.0,9.5
57,300274.SZ,300274,阳光电源,电气设备,23.1,23.1,1.0,1.0,250.45
58,600641.SH,600641,万业企业,区域地产,26.37,26.37,1.0,1.0,252.61
59,603606.SH,603606,东方电缆,电气设备,25.98,26.9,1.0,1.0,165.97
60,300721.SZ,300721,怡达股份,化工原料,27.13,27.13,1.0,1.0,11.39
61,002853.SZ,002853,皮阿诺,家居用品,27.73,27.73,1.0,1.0,26.41
62,603950.SH,603950,长源东谷,汽车配件,29.98,29.98,1.0,1.0,17.35
63,603655.SH,603655,朗博科技,汽车配件,30.58,30.58,1.0,1.0,10.4
64,002216.SZ,002216,三全食品,食品,31.25,31.25,1.0,1.0,176.74
65,603801.SH,603801,志邦家居,家居用品,36.79,36.79,1.0,1.0,79.94
66,603508.SH,603508,思维列控,软件服务,37.2,38.48,1.0,1.0,83.74
67,601689.SH,601689,拓普集团,汽车配件,41.0,41.0,1.0,1.0,432.54
68,300671.SZ,300671,富满电子,半导体,46.55,46.55,1.0,1.0,65.57
69,300450.SZ,300450,先导智能,专用机械,47.75,53.09,1.0,1.0,419.93
70,300715.SZ,300715,凯伦股份,其他建材,53.99,53.99,1.0,1.0,42.3
71,688106.SH,688106,金宏气体,化工原料,44.0,56.45,1.0,1.0,44.82
72,605100.SH,605100,华丰股份,机床制造,56.78,56.78,1.0,1.0,12.32
73,603180.SH,603180,金牌厨柜,家居用品,61.76,62.35,1.0,1.0,57.29
