,ts_code,symbol,name,industry,COL_LASTPRICE,COL_DAILY_SILENT
0,000001.SZ,000001,平安银行,银行,21.66,True
1,000002.SZ,000002,万科A,全国地产,32.9,True
2,000004.SZ,000004,国华网安,互联网,17.41,True
3,000005.SZ,000005,世纪星源,环境保护,2.34,True
4,000006.SZ,000006,深振业A,区域地产,5.44,True
5,000007.SZ,000007,全新好,酒店餐饮,4.27,True
6,000008.SZ,000008,神州高铁,运输设备,2.4,True
7,000009.SZ,000009,中国宝安,综合类,9.1,True
8,000010.SZ,000010,美丽生态,建筑工程,4.17,True
9,000012.SZ,000012,南玻A,玻璃,6.26,True
10,000014.SZ,000014,沙河股份,全国地产,8.28,True
11,000016.SZ,000016,深康佳A,家用电器,6.03,True
12,000019.SZ,000019,深粮控股,其他商业,7.12,True
13,000020.SZ,000020,深华发A,元器件,8.87,True
14,000021.SZ,000021,深科技,IT设备,19.59,True
15,000023.SZ,000023,深天地A,其他建材,15.76,True
16,000025.SZ,000025,特力A,汽车服务,15.26,True
17,000026.SZ,000026,飞亚达,其他商业,15.65,True
18,000028.SZ,000028,国药一致,医药商业,41.45,True
19,000029.SZ,000029,深深房A,区域地产,8.1,True
20,000030.SZ,000030,富奥股份,汽车配件,7.89,True
21,000031.SZ,000031,大悦城,全国地产,4.1,True
22,000032.SZ,000032,深桑达A,元器件,22.33,True
23,000034.SZ,000034,神州数码,综合类,16.96,True
24,000035.SZ,000035,中国天楹,环境保护,4.75,True
25,000036.SZ,000036,华联控股,全国地产,4.11,True
26,000037.SZ,000037,深南电A,火力发电,10.08,True
27,000038.SZ,000038,深大通,广告包装,10.32,True
28,000039.SZ,000039,中集集团,轻工机械,14.35,True
29,000042.SZ,000042,中洲控股,全国地产,8.99,True
30,000046.SZ,000046,泛海控股,多元金融,3.02,True
31,000048.SZ,000048,京基智农,饲料,27.14,True
32,000049.SZ,000049,德赛电池,电气设备,68.59,True
33,000050.SZ,000050,深天马A,元器件,14.26,True
34,000055.SZ,000055,方大集团,其他建材,4.85,True
35,000056.SZ,000056,皇庭国际,房产服务,2.75,True
36,000058.SZ,000058,深赛格,元器件,6.47,True
37,000059.SZ,000059,华锦股份,石油加工,6.0,True
38,000060.SZ,000060,中金岭南,铅锌,4.67,True
39,000061.SZ,000061,农产品,农业综合,6.08,True
40,000062.SZ,000062,深圳华强,批发业,12.19,True
41,000063.SZ,000063,中兴通讯,通信设备,28.55,True
42,000065.SZ,000065,北方国际,建筑工程,7.13,True
43,000066.SZ,000066,中国长城,IT设备,14.82,True
44,000068.SZ,000068,华控赛格,环境保护,2.79,True
45,000069.SZ,000069,华侨城A,旅游景点,9.34,True
46,000070.SZ,000070,特发信息,通信设备,7.15,True
47,000078.SZ,000078,海王生物,医药商业,3.25,True
48,000088.SZ,000088,盐田港,港口,5.97,True
49,000089.SZ,000089,深圳机场,机场,8.96,True
50,000090.SZ,000090,天健集团,建筑工程,6.29,True
51,000096.SZ,000096,广聚能源,石油贸易,9.8,True
52,000099.SZ,000099,中信海直,空运,6.82,True
53,000100.SZ,000100,TCL科技,元器件,9.41,True
54,000151.SZ,000151,中成股份,商贸代理,7.38,True
55,000153.SZ,000153,丰原药业,化学制药,7.01,True
56,000155.SZ,000155,川能动力,新型电力,11.24,True
57,000156.SZ,000156,华数传媒,影视音像,8.4,True
58,000157.SZ,000157,中联重科,工程机械,12.48,True
59,000158.SZ,000158,常山北明,纺织,5.23,True
60,000159.SZ,000159,国际实业,石油贸易,5.39,True
61,000166.SZ,000166,申万宏源,证券,4.71,True
