,ts_code,symbol,name,industry,COL_CHG,COL_ODDS,COL_DELTA_ODDS,COL_LIMIT_COUNT,COL_CIRC_MV
0,300077.SZ,300077,国民技术,半导体,67.95,5.17,-1.0130815584415576,0.0,68.84
1,002077.SZ,002077,大港股份,区域地产,31.64,4.69,-0.4627561038961039,2.0,46.43
2,300456.SZ,300456,赛微电子,元器件,27.86,4.35,-0.13301298701298858,0.0,87.84
3,300671.SZ,300671,富满电子,半导体,40.38,4.03,-1.1991093506493495,0.0,143.12
4,300598.SZ,300598,诚迈科技,软件服务,21.91,3.94,-0.7040306493506474,0.0,114.08
5,002326.SZ,002326,永太科技,化工原料,35.21,3.88,-1.6312036363636362,2.0,98.3
6,600573.SH,600573,惠泉啤酒,啤酒,25.26,3.7,-0.29411064935064957,1.0,32.73
7,300604.SZ,300604,长川科技,专用机械,49.74,3.49,-0.8626659740259739,0.0,113.74
8,002091.SZ,002091,江苏国泰,商贸代理,39.59,3.45,-1.9838698701298707,1.0,143.06
9,002411.SZ,002411,延安必康,化学制药,37.2,3.29,-2.0253571428571426,2.0,97.76
10,300390.SZ,300390,天华超净,元器件,52.32,3.16,-3.0781062337662335,0.0,171.35
11,002169.SZ,002169,智光电气,电气设备,28.45,3.1,-1.53827038961039,2.0,79.63
12,000408.SZ,000408,藏格控股,农药化肥,21.94,3.08,-0.6808132467532473,2.0,103.93
13,000925.SZ,000925,众合科技,专用机械,30.95,2.98,-2.2508701298701292,2.0,46.16
14,600884.SH,600884,杉杉股份,综合类,23.93,2.88,-0.631011948051948,0.0,325.44
15,300432.SZ,300432,富临精工,汽车配件,31.64,2.84,-3.246371168831169,0.0,99.3
16,603893.SH,603893,瑞芯微,半导体,26.15,2.79,-0.6610646753246758,1.0,192.51
17,600460.SH,600460,士兰微,半导体,17.6,2.68,-0.09826337662337625,1.0,570.75
18,300709.SZ,300709,精研科技,元器件,24.24,2.66,-1.4249296103896105,0.0,41.31
19,300712.SZ,300712,永福股份,建筑工程,15.42,2.65,-0.6583342857142851,0.0,84.1
20,002055.SZ,002055,得润电子,元器件,22.3,2.63,-0.02815740259740407,1.0,53.2
21,300613.SZ,300613,富瀚微,半导体,18.99,2.46,-1.5587451948051947,0.0,116.92
22,300458.SZ,300458,全志科技,元器件,30.39,2.38,-1.2541005194805197,0.0,152.11
23,002261.SZ,002261,拓维信息,互联网,25.97,2.37,-0.17647402597402628,2.0,85.6
24,000004.SZ,000004,国华网安,软件服务,14.2,2.3,-0.37343584415584363,1.0,20.75
25,002805.SZ,002805,丰元股份,化工原料,24.72,2.28,-1.1526002597402596,1.0,21.44
26,600381.SH,600381,青海春天,医疗保健,25.89,2.27,-4.003064415584415,1.0,51.66
27,300579.SZ,300579,数字认证,软件服务,14.05,2.26,-0.28833376623376505,0.0,71.09
28,300139.SZ,300139,晓程科技,元器件,15.25,2.2,-0.37812467532467453,0.0,22.13
29,600096.SH,600096,云天化,农药化肥,14.86,2.19,-0.6438587012987007,2.0,159.94
30,300082.SZ,300082,奥克股份,化工原料,21.88,2.18,-1.25550077922078,0.0,86.46
31,603328.SH,603328,依顿电子,元器件,14.08,2.06,-1.0301283116883115,1.0,78.48
32,002156.SZ,002156,通富微电,半导体,15.77,2.06,-1.0087929870129866,1.0,287.83
33,300708.SZ,300708,聚灿光电,半导体,14.63,2.05,-0.18964077922077882,0.0,45.98
34,002194.SZ,002194,武汉凡谷,通信设备,15.17,2.04,-0.35533116883117,1.0,66.85
35,300736.SZ,300736,百邦科技,通信设备,18.26,2.03,-1.838865454545454,0.0,15.92
36,300656.SZ,300656,民德电子,IT设备,14.13,2.03,-0.5392501298701298,0.0,22.43
37,300663.SZ,300663,科蓝软件,软件服务,12.36,2.0,-0.588406753246753,0.0,60.25
38,300831.SZ,300831,派瑞股份,元器件,40.72,1.98,-2.514692987012988,0.0,26.71
39,002646.SZ,002646,青青稞酒,白酒,29.78,1.92,-3.608610129870131,2.0,114.51
40,300578.SZ,300578,会畅通讯,通信设备,13.52,1.9,-1.8358023376623374,0.0,41.11
41,300134.SZ,300134,大富科技,通信设备,11.18,1.83,-0.3088275324675327,0.0,71.53
42,002371.SZ,002371,北方华创,半导体,24.17,1.83,-0.4927631168831166,0.0,994.86
43,300322.SZ,300322,硕贝德,通信设备,16.22,1.8,-1.3583496103896107,0.0,46.63
44,600770.SH,600770,综艺股份,综合类,9.6,1.77,-0.545621038961039,0.0,74.23
45,300379.SZ,300379,东方通,软件服务,10.88,1.77,-0.6554724675324675,0.0,112.44
46,603659.SH,603659,璞泰来,化工原料,25.39,1.75,-1.9335483116883112,0.0,767.28
47,603688.SH,603688,石英股份,矿物制品,24.47,1.74,-0.43748285714285684,0.0,75.46
48,002176.SZ,002176,江特电机,电气设备,12.81,1.73,-0.13303532467532442,0.0,145.66
49,300035.SZ,300035,中科电气,电气设备,39.66,1.69,-2.6735522077922074,0.0,96.31
50,600478.SH,600478,科力远,元器件,14.29,1.68,-1.2522036363636362,1.0,71.87
51,600703.SH,600703,三安光电,半导体,20.56,1.66,-0.20112311688311668,1.0,1214.96
52,600702.SH,600702,舍得酒业,白酒,29.23,1.65,-3.851181818181818,0.0,760.47
53,300438.SZ,300438,鹏辉能源,电气设备,29.15,1.61,-2.128767272727272,0.0,74.11
54,300207.SZ,300207,欣旺达,元器件,19.15,1.55,-3.136760519480519,0.0,464.21
55,600199.SH,600199,金种子酒,白酒,21.63,1.53,-3.7752257142857135,0.0,112.86
56,300352.SZ,300352,北信源,软件服务,10.19,1.53,-0.11139714285714275,0.0,70.23
57,600600.SH,600600,青岛啤酒,啤酒,9.75,1.53,-0.5872322077922081,0.0,766.83
58,300346.SZ,300346,南大光电,元器件,28.23,1.51,-1.0735062337662336,0.0,134.87
59,300769.SZ,300769,德方纳米,化工原料,14.02,1.49,-1.8419768831168832,0.0,87.18
60,300310.SZ,300310,宜通世纪,通信设备,10.36,1.48,-0.6117064935064931,0.0,31.68
61,603712.SH,603712,七一二,通信设备,13.89,1.47,-0.1472800000000003,0.0,291.2
62,300477.SZ,300477,合纵科技,电气设备,25.08,1.46,-2.1467433766233768,0.0,44.5
63,300297.SZ,300297,蓝盾股份,软件服务,9.63,1.43,-0.7875735064935072,0.0,39.61
64,002288.SZ,002288,超华科技,元器件,10.9,1.41,-0.49838259740259727,0.0,69.98
65,300560.SZ,300560,中富通,通信设备,10.57,1.41,-0.7602810389610395,0.0,14.83
66,603906.SH,603906,龙蟠科技,化工原料,15.0,1.39,-1.578965454545454,2.0,144.53
67,002929.SZ,002929,润建股份,通信设备,7.81,1.38,-0.020094805194805332,0.0,40.18
68,605358.SH,605358,立昂微,半导体,22.49,1.33,-0.7781706493506493,1.0,37.33
69,600753.SH,600753,东方银星,商贸代理,37.55,1.31,-4.0105685714285695,2.0,83.36
70,300096.SZ,300096,易联众,软件服务,21.95,1.31,-2.2619854545454534,0.0,46.65
71,300448.SZ,300448,浩云科技,软件服务,7.66,1.29,-0.7745067532467524,0.0,32.97
72,300052.SZ,300052,中青宝,互联网,7.51,1.27,-0.3799454545454546,0.0,21.68
73,603650.SH,603650,彤程新材,化工原料,32.5,1.27,-5.781944415584414,0.0,56.81
74,002723.SZ,002723,金莱特,家用电器,35.14,1.23,-1.4519161038961035,2.0,34.96
75,600520.SH,600520,文一科技,机械基件,10.91,1.19,-1.4008155844155847,1.0,12.56
76,002957.SZ,002957,科瑞技术,专用机械,25.55,1.18,-1.805617402597402,2.0,35.32
77,300623.SZ,300623,捷捷微电,半导体,10.29,1.17,-0.4821849350649352,0.0,199.09
78,300376.SZ,300376,易事特,电气设备,8.69,1.11,-1.2366636363636365,0.0,158.82
79,300131.SZ,300131,英唐智控,元器件,11.39,1.09,-0.06942493506493475,0.0,60.41
80,002421.SZ,002421,达实智能,软件服务,15.46,1.08,-2.8737503896103895,1.0,69.62
81,600105.SH,600105,永鼎股份,通信设备,7.85,1.06,-0.32429220779220747,0.0,51.23
82,300366.SZ,300366,创意信息,软件服务,7.71,1.04,-0.9604940259740253,0.0,29.78
83,603068.SH,603068,博通集成,半导体,8.24,1.04,-0.09285896103896119,0.0,68.29
84,600360.SH,600360,华微电子,半导体,7.46,1.03,-0.6881885714285714,0.0,74.71
85,300548.SZ,300548,博创科技,元器件,8.07,1.0,-0.42124259740259773,0.0,39.56
86,002738.SZ,002738,中矿资源,小金属,9.87,0.96,-1.0688490909090909,0.0,109.64
87,300053.SZ,300053,欧比特,半导体,7.14,0.96,-0.21635506493506507,0.0,55.01
88,000555.SZ,000555,神州信息,软件服务,7.48,0.95,-0.12173558441558452,0.0,148.5
89,002342.SZ,002342,巨力索具,机械基件,14.81,0.95,-3.3401490909090894,2.0,44.42
90,603283.SH,603283,赛腾股份,专用机械,8.77,0.95,-0.09594103896103923,0.0,41.26
91,603189.SH,603189,网达软件,软件服务,6.18,0.95,-0.4344919480519476,0.0,39.85
92,300353.SZ,300353,东土科技,通信设备,6.52,0.93,-0.6601007792207793,0.0,28.68
93,002023.SZ,002023,海特高新,航空,9.15,0.93,-0.3960537662337661,0.0,77.46
94,000063.SZ,000063,中兴通讯,通信设备,11.63,0.92,-0.7203563636363636,0.0,1281.42
95,603690.SH,603690,至纯科技,专用机械,20.22,0.91,-1.0896932467532467,1.0,99.73
