code,name,past_5_p_change
002178,延华智能,-40.9837991683
002760,凤形股份,-40.9313162712
300157,恒泰艾普,-37.0635356797
002069,獐子岛,-35.7854901331
002569,步森股份,-34.9916899142
002856,美芝股份,-31.8510994193
600818,中路股份,-31.3707339295
300256,星星科技,-31.3226058243
603988,中电电机,-30.881851366
600227,赤天化,-30.5635509356
603011,合锻智能,-29.2635032321
603058,永吉股份,-28.5968829862
002054,德美化工,-27.7597401481
002596,海南瑞泽,-27.7369998482
300110,华仁药业,-27.6887164051
000503,海虹控股,-26.8226791233
002188,ST巴士,-26.6640082268
002865,钧达股份,-26.4277083325
600355,精伦电子,-26.0323068158
603286,日盈电子,-25.0461793198
603088,宁波精达,-24.7282047449
002650,加加食品,-24.7048143787
000929,兰州黄河,-24.6826061153
000638,万方发展,-24.5685935453
300225,金力泰,-23.6974049602
603637,镇海股份,-23.6320794462
300064,豫金刚石,-23.4967854218
000593,大通燃气,-23.0227700551
000806,银河生物,-22.8693314818
002161,远 望 谷,-22.5903676444
300104,乐视网,-22.3930278922
000820,神雾节能,-22.3663226087
300566,激智科技,-21.6053232335
002129,中环股份,-21.3939221849
002606,大连电瓷,-21.2891914699
002579,中京电子,-21.2786995609
300237,美晨生态,-21.0913973556
603603,博天环境,-20.2963936911
300209,天泽信息,-20.208463896
603222,济民制药,-20.1165435176
002847,盐津铺子,-20.0929279395
002212,南洋股份,-19.8902474042
300412,迦南科技,-19.8595844757
002288,超华科技,-19.7284432765
300266,兴源环境,-19.3885805197
002213,特 尔 佳,-19.3457303977
300156,神雾环保,-19.2169407242
300312,邦讯技术,-19.2071717235
002879,长缆科技,-19.1384307777
600804,鹏博士,-19.0839952013
002799,环球印务,-19.0163058222
603477,振静股份,-18.9333374271
300471,厚普股份,-18.8715883502
300495,美尚生态,-18.6929580799
600401,*ST海润,-18.6879249344
603655,朗博科技,-18.4898918354
002086,东方海洋,-18.4410362963
600112,*ST天成,-18.4023486396
300238,冠昊生物,-18.3788137683
002893,华通热力,-18.2356375009
300522,世名科技,-18.0867653053
002470,金正大,-18.0594782168
603659,璞泰来,-18.0199704655
002694,顾地科技,-17.9927693499
600680,*ST上普,-17.9686682808
002661,克明面业,-17.8817786505
603499,翔港科技,-17.8456386964
002076,雪 莱 特,-17.7471859742
300042,朗科科技,-17.3130260727
600903,贵州燃气,-17.3013343731
300290,荣科科技,-17.2161857069
002571,*ST德力,-16.8332404252
000983,西山煤电,-16.8083329207
601899,紫金矿业,-16.7446302718
000693,*ST华泽,-16.6081871298
002012,凯恩股份,-16.5860936079
603676,卫信康,-16.5252521223
000506,中润资源,-16.4550635646
603079,圣达生物,-16.3690593145
600048,保利地产,-16.3434411721
600188,兖州煤业,-16.3192153801
300317,珈伟股份,-16.2568116168
