code,name,past_p_change,past_positive
002569,步森股份,-60.564005439,
002054,德美化工,-57.2907708829,
002178,延华智能,-57.0570467523,
603286,日盈电子,-53.6659354732,
002856,美芝股份,-52.4468902729,
002760,凤形股份,-50.3439500187,
002879,长缆科技,-49.1052953542,
002069,獐子岛,-48.6176923406,
600355,精伦电子,-46.6830236024,
300104,乐视网,-45.7733564259,
000820,神雾节能,-42.727245989,
300157,恒泰艾普,-41.5410742696,
002799,环球印务,-40.6326716879,★
002458,益生股份,-39.8153259503,★
603988,中电电机,-38.9720219439,
300167,迪威迅,-37.5908606959,
603703,盛洋科技,-36.5977526806,★
002923,润都股份,-36.3097734886,
603011,合锻智能,-35.9448745356,
603477,振静股份,-35.7997421525,
300110,华仁药业,-34.9626260587,
600112,*ST天成,-34.913167866,
300612,宣亚国际,-34.7253420628,
603813,原尚股份,-33.803932759,
002715,登云股份,-33.6331892151,★
300064,豫金刚石,-33.581657811,
603912,佳力图,-33.11733306,★
000893,东凌国际,-33.0745684448,
600074,ST保千里,-33.0241500842,
002899,英派斯,-32.7723139911,★
603655,朗博科技,-32.5247259624,
603729,龙韵股份,-32.4520158943,★
000929,兰州黄河,-32.2608615573,
603329,上海雅仕,-32.0719147225,★
600680,*ST上普,-31.5690903695,
002893,华通热力,-31.4541471635,
300156,神雾环保,-31.0687574566,
002915,中欣氟材,-30.8694815182,★
600198,大唐电信,-30.6917986951,
002857,三晖电气,-30.6896015299,
002908,德生科技,-30.6359373484,★
603829,洛凯股份,-30.1045529301,★
300225,金力泰,-30.0676476469,
002188,ST巴士,-30.0644146464,
601086,国芳集团,-30.0456047034,★
603289,泰瑞机器,-29.6063509567,★
603637,镇海股份,-29.4783867022,
603429,集友股份,-29.2754572593,★
300435,中泰股份,-29.0214673662,★
300737,科顺股份,-28.9798387739,
300649,杭州园林,-28.8466575983,★
300152,科融环境,-28.8165741274,
600804,鹏博士,-28.6872884098,
300312,邦讯技术,-28.6035017836,
300712,永福股份,-28.5658937131,★
600818,中路股份,-28.4800627527,
300313,天山生物,-28.3211237678,★
002129,中环股份,-28.2824699591,
002909,集泰股份,-28.1298822888,★
600227,赤天化,-28.1266638956,
300414,中光防雷,-28.0660491754,★
002338,奥普光电,-28.0550640808,★
603848,好太太,-28.0004162637,★
603080,新疆火炬,-27.9479172706,
002596,海南瑞泽,-27.8534009458,
002650,加加食品,-27.769339778,
300023,宝德股份,-27.7290899252,★
000806,银河生物,-27.6957352982,
603916,苏博特,-27.4893429644,★
002016,世荣兆业,-27.4888342611,★
300256,星星科技,-27.2870121755,
603711,香飘飘,-27.155003359,★
603958,哈森股份,-26.9327877275,★
300192,科斯伍德,-26.9234949267,
600855,航天长峰,-26.8932191188,★
300526,中潜股份,-26.8656470732,
002132,恒星科技,-26.8201858254,★
002865,钧达股份,-26.8168728291,★
002694,顾地科技,-26.759001887,
002581,未名医药,-26.747505043,
300517,海波重科,-26.6937333576,★
300487,蓝晓科技,-26.672525482,★
603879,永悦科技,-26.6523057868,★
300708,聚灿光电,-26.615936771,
603110,东方材料,-26.5744533359,★
300267,尔康制药,-26.5544077054,
300321,同大股份,-26.4957006304,
000593,大通燃气,-26.4621983772,
300093,金刚玻璃,-26.4558716105,
002895,川恒股份,-26.4421090381,★
603722,阿科力,-26.2697016387,
300698,万马科技,-26.1700685733,★
603683,晶华新材,-26.1648541141,★
000852,石化机械,-26.1403065067,★
603050,科林电气,-26.0409740275,★
000638,万方发展,-25.9996659174,
300461,田中精机,-25.737256404,
300672,国科微,-25.6867684917,
603499,翔港科技,-25.6489776114,
600379,宝光股份,-25.5979475993,★
603088,宁波精达,-25.5879428711,
002012,凯恩股份,-25.5580276586,
603181,皇马科技,-25.5262550631,★
603078,江化微,-25.4983818464,
300662,科锐国际,-25.3655394827,★
002847,盐津铺子,-25.3588416179,
603157,拉夏贝尔,-25.3149355326,★
300042,朗科科技,-25.2831626024,
002778,高科石化,-25.1550347963,★
600556,ST慧球,-24.9271422829,
600456,宝钛股份,-24.8204841556,★
000416,民生控股,-24.5852312554,★
002504,*ST弘高,-24.566367051,★
600830,香溢融通,-24.5171465707,★
600113,浙江东日,-24.5005505599,★
000971,高升控股,-24.4542432343,★
000503,海虹控股,-24.4525507144,
002780,三夫户外,-24.3744571888,★
603196,日播时尚,-24.3669953439,★
300534,陇神戎发,-24.3438560829,★
300469,信息发展,-24.3225863431,
300609,汇纳科技,-24.3137098557,★
600992,贵绳股份,-24.2995850262,★
600208,新湖中宝,-24.2299581298,★
002846,英联股份,-24.2227531018,
601002,晋亿实业,-24.1539126434,★
603386,广东骏亚,-24.1473783308,★
002141,贤丰控股,-24.1196340083,★
603026,石大胜华,-24.0856350177,★
603676,卫信康,-24.0815230844,
002762,金发拉比,-24.0758254063,★
300334,津膜科技,-24.0402829498,★
300237,美晨生态,-23.9296412975,
603817,海峡环保,-23.9262275528,★
002500,山西证券,-23.9249583838,
000633,合金投资,-23.8397256107,
603677,奇精机械,-23.7730306986,★
600696,ST匹凸,-23.6739108401,
600151,航天机电,-23.5276135091,★
002329,皇氏集团,-23.4952460346,★
002910,庄园牧场,-23.477497278,★
000935,四川双马,-23.464450303,★
002573,清新环境,-23.4517417076,
002544,杰赛科技,-23.3929471742,★
002787,华源控股,-23.3671863131,★
600621,华鑫股份,-23.2632271644,
300711,广哈通信,-23.2584957374,★
000422,湖北宜化,-23.1910122763,★
300056,三维丝,-23.1244841618,★
002724,海洋王,-23.0516408329,★
600721,百花村,-22.9577925934,
000925,众合科技,-22.9421257386,
002579,中京电子,-22.9194025662,
603283,赛腾股份,-22.9189364708,★
002492,恒基达鑫,-22.9166400843,
300589,江龙船艇,-22.8921317822,★
002853,皮阿诺,-22.8426740746,★
600883,博闻科技,-22.729077177,★
603725,天安新材,-22.7190765707,★
002805,丰元股份,-22.7021785178,★
002886,沃特股份,-22.6872732348,★
603533,掌阅科技,-22.6847686321,★
000707,双环科技,-22.6287596642,★
603178,圣龙股份,-22.621789006,★
600889,南京化纤,-22.5618111843,★
603881,数据港,-22.5359599402,★
002200,云投生态,-22.4923700526,★
603186,华正新材,-22.4254721887,
000537,广宇发展,-22.3559541573,★
002606,大连电瓷,-22.342223664,
300471,厚普股份,-22.3164237962,
002231,奥维通信,-22.3017375104,
603777,来伊份,-22.2565630709,★
002161,远 望 谷,-22.2376992329,
300220,金运激光,-22.2071309546,
600501,航天晨光,-22.2063739726,★
603970,中农立华,-22.1986559746,★
300591,万里马,-22.0490489007,★
603029,天鹅股份,-21.9875855358,★
600099,林海股份,-21.970848172,★
600903,贵州燃气,-21.9269087733,
300697,电工合金,-21.8840997025,★
300380,安硕信息,-21.8584209554,★
603321,梅轮电梯,-21.8467709124,★
603603,博天环境,-21.7890479073,
300680,隆盛科技,-21.7648085018,
002295,精艺股份,-21.758165727,★
300692,中环环保,-21.7522214837,★
603306,华懋科技,-21.7173760769,★
300727,润禾材料,-21.7010657715,★
300624,万兴科技,-21.6809933854,
002633,申科股份,-21.6541515538,★
002213,特 尔 佳,-21.6475563941,
600072,中船科技,-21.6440445282,★
000407,胜利股份,-21.6208259687,★
603055,台华新材,-21.6117172543,★
002479,富春环保,-21.6044333609,★
002752,昇兴股份,-21.5908365569,
300688,创业黑马,-21.5687798794,
002919,名臣健康,-21.5360861937,★
002802,洪汇新材,-21.527054024,
603069,海汽集团,-21.4762557764,★
000823,超声电子,-21.4736823489,
300563,神宇股份,-21.4528770798,★
601718,际华集团,-21.4524299971,★
002634,棒杰股份,-21.4107818645,★
600185,格力地产,-21.4070258106,★
603076,乐惠国际,-21.4010987905,
002776,柏堡龙,-21.3841624234,★
300419,浩丰科技,-21.3829671292,
600135,乐凯胶片,-21.3657079483,★
300452,山河药辅,-21.3577161865,★
300691,联合光电,-21.3474381176,★
300213,佳讯飞鸿,-21.3255046641,
603278,大业股份,-21.2989547799,★
600838,上海九百,-21.260081265,★
300466,赛摩电气,-21.2555879544,★
002576,通达动力,-21.194531617,★
000558,莱茵体育,-21.1232633187,
002795,永和智控,-21.0799154825,★
000702,正虹科技,-21.027346383,★
601828,美凯龙,-21.0148461994,★
600962,国投中鲁,-20.9997883559,★
300456,耐威科技,-20.9944931339,★
603444,吉比特,-20.9412039578,
300684,中石科技,-20.9199551035,★
002771,真视通,-20.9151544333,★
002040,南 京 港,-20.7386200293,★
603226,菲林格尔,-20.6212944831,★
000151,中成股份,-20.5666864323,★
000807,云铝股份,-20.5550038826,★
300635,达安股份,-20.5527349563,★
300730,科创信息,-20.5389997271,
300391,康跃科技,-20.4781963387,★
300402,宝色股份,-20.4626294937,★
300664,鹏鹞环保,-20.4541445161,★
600573,惠泉啤酒,-20.4441800314,★
601878,浙商证券,-20.4415164139,★
300516,久之洋,-20.4243174947,★
002922,伊戈尔,-20.4000676829,★
000732,泰禾集团,-20.3774029468,★
300726,宏达电子,-20.3567023577,
600197,伊力特,-20.3496528577,★
603507,振江股份,-20.2551132493,★
300725,药石科技,-20.2482052162,
002235,安妮股份,-20.2338351666,★
600401,*ST海润,-20.1921444405,
600246,万通地产,-20.183792329,★
000036,华联控股,-20.1728390912,★
603363,傲农生物,-20.1530429031,★
300696,爱乐达,-20.142333175,★
300706,阿石创,-20.1313973776,★
002106,莱宝高科,-20.1023261225,★
002212,南洋股份,-20.1006530276,
300531,优博讯,-20.0876152444,★
600626,申达股份,-20.0540679121,★
600383,金地集团,-20.0366999586,
300678,中科信息,-19.9785995533,
603165,荣晟环保,-19.9353155324,★
000507,珠海港,-19.9206796476,★
300731,科创新源,-19.9063215375,★
300266,兴源环境,-19.9055581033,
603036,如通股份,-19.9014832084,★
300566,激智科技,-19.7743877256,
600119,长江投资,-19.7453433913,★
600291,西水股份,-19.7304018364,★
603689,皖天然气,-19.7279278889,★
603398,邦宝益智,-19.6701978041,
002401,中远海科,-19.6562329876,★
603320,迪贝电气,-19.6510752042,★
603527,众源新材,-19.6478039513,★
603778,乾景园林,-19.6408694046,
002168,深圳惠程,-19.6346393183,
002779,中坚科技,-19.63445719,★
600800,天津磁卡,-19.6337202159,★
002115,三维通信,-19.6141451827,★
002797,第一创业,-19.5900637914,★
603577,汇金通,-19.5899877017,★
603918,金桥信息,-19.5877664864,★
000505,珠江控股,-19.5322573858,★
600343,航天动力,-19.4635060827,★
603856,东宏股份,-19.4607723783,★
300598,诚迈科技,-19.4581346758,★
603828,柯利达,-19.4485915333,★
002631,德尔未来,-19.4334917302,★
000693,*ST华泽,-19.4097299978,
600272,开开实业,-19.4044957818,★
600833,第一医药,-19.3930378671,★
002076,雪 莱 特,-19.369903264,
603776,永安行,-19.3679481524,
002667,鞍重股份,-19.3654631188,
300205,天喻信息,-19.3569384682,★
600776,东方通信,-19.3563101171,★
002288,超华科技,-19.3144528917,
000982,*ST 中绒,-19.306280738,★
