code,name,past_p_change,past_positive,pe
300110,华仁药业,-47.868064382622535,★,247.33
000820,神雾节能,-42.72724598903959,,21.05
300064,豫金刚石,-41.604232514418136,,44.58
002729,好利来,-41.15010610930195,,81.0
002694,顾地科技,-40.509913375319925,,293.34
603988,中电电机,-38.972021943855026,,113.35
002012,凯恩股份,-37.460817543260546,,103.64
000506,中润资源,-37.076027353911115,,0.0
600112,*ST天成,-34.91316786600455,,111.88
601600,中国铝业,-34.230839841774554,,44.03
603088,宁波精达,-33.9798389038121,,72.72
002112,三变科技,-33.941282078213355,,0.0
300566,激智科技,-32.85626773850737,★,57.22
000663,永安林业,-32.842204650105664,,127.66
002321,华英农业,-32.045137039203375,,69.28
002188,ST巴士,-31.62352359105728,★,15.79
002760,凤形股份,-31.61180449085861,★,0.0
002650,加加食品,-31.42987495319961,,31.48
300156,神雾环保,-31.06875745662855,,14.99
002297,博云新材,-30.756271757013565,★,0.0
300225,金力泰,-30.06764764693206,,105.79
600804,鹏博士,-28.687288409764054,,22.2
300312,邦讯技术,-28.603501783625205,,0.0
002278,神开股份,-28.42712494051993,★,0.0
300167,迪威迅,-27.89380029912294,★,0.0
300680,隆盛科技,-27.730331521398888,★,99.49
000806,银河生物,-27.688681879063427,,2149.65
600212,江泉实业,-25.63469958744744,,107.71
002085,万丰奥威,-23.294247539431577,,28.7
002606,大连电瓷,-22.998084608853365,,44.13
002161,远 望 谷,-22.23769923293599,,0.0
603603,博天环境,-21.78904790729407,,57.27
002213,特 尔 佳,-21.647556394064015,,171.23
002684,猛狮科技,-21.444214734569055,,63.58
002178,延华智能,-21.371730287978774,★,0.0
600227,赤天化,-21.325586551458176,★,0.0
603499,翔港科技,-21.291693647568056,★,55.47
000662,天夏智慧,-21.036953458963083,★,35.43
603637,镇海股份,-20.304359914113192,★,57.16
600401,*ST海润,-20.19214444045383,,0.0
002212,南洋股份,-20.100653027557424,,399.12
300266,兴源环境,-19.905558103275933,,35.1
603398,邦宝益智,-19.67019780411804,,46.08
603778,乾景园林,-19.640869404644533,,65.19
002168,深圳惠程,-19.634639318324943,,0.0
000693,*ST华泽,-19.409729997793256,,0.0
000979,中弘股份,-18.963592757541015,,120.25
300042,朗科科技,-18.94691667150836,,66.63
603936,博敏电子,-18.653793237796634,,45.77
300238,冠昊生物,-18.587000364003025,,74.87
600241,时代万恒,-18.400066877038036,,102.68
603222,济民制药,-18.348650977928273,,72.99
002366,台海核电,-18.10405919363459,,26.28
