code,name,past_p_change,past_positive,pe,past_average_turnover
300110,华仁药业,-47.868,★,247.33,11.133
000820,神雾节能,-42.727,,21.05,7.55
300064,豫金刚石,-41.604,,44.58,5.853
002729,好利来,-41.15,,81.0,20.923
002694,顾地科技,-40.51,,293.34,0.06
603988,中电电机,-38.972,,113.35,1.13
002012,凯恩股份,-37.461,,103.64,6.663
000506,中润资源,-37.076,,0.0,6.91
600112,*ST天成,-34.913,,111.88,4.973
601600,中国铝业,-34.231,,44.03,4.967
603088,宁波精达,-33.98,,72.72,0.98
002112,三变科技,-33.941,,0.0,4.17
300566,激智科技,-32.856,★,57.22,5.053
000663,永安林业,-32.842,,127.66,5.303
002321,华英农业,-32.045,,69.28,1.413
002188,ST巴士,-31.624,★,15.79,8.557
002760,凤形股份,-31.612,★,0.0,17.837
002650,加加食品,-31.43,,31.48,5.977
300156,神雾环保,-31.069,,14.99,6.853
002297,博云新材,-30.756,★,0.0,3.977
300225,金力泰,-30.068,,105.79,1.627
600804,鹏博士,-28.687,,22.2,2.08
300312,邦讯技术,-28.604,,0.0,3.56
002278,神开股份,-28.427,★,0.0,3.563
300167,迪威迅,-27.894,★,0.0,4.07
300680,隆盛科技,-27.73,★,99.49,6.407
000806,银河生物,-27.689,,2149.65,4.377
600212,江泉实业,-25.635,,107.71,3.33
002085,万丰奥威,-23.294,,28.7,0.593
002606,大连电瓷,-22.998,,44.13,10.27
002161,远 望 谷,-22.238,,0.0,3.0
603603,博天环境,-21.789,,57.27,7.06
002213,特 尔 佳,-21.648,,171.23,1.157
002684,猛狮科技,-21.444,,63.58,3.24
002178,延华智能,-21.372,★,0.0,6.1
600227,赤天化,-21.326,★,0.0,3.11
603499,翔港科技,-21.292,★,55.47,34.323
000662,天夏智慧,-21.037,★,35.43,2.003
603637,镇海股份,-20.304,★,57.16,3.44
600401,*ST海润,-20.192,,0.0,0.46
002212,南洋股份,-20.101,,399.12,0.75
300266,兴源环境,-19.906,,35.1,0.303
603398,邦宝益智,-19.67,,46.08,2.02
603778,乾景园林,-19.641,,65.19,1.693
002168,深圳惠程,-19.635,,0.0,1.04
000693,*ST华泽,-19.41,,0.0,11.907
000979,中弘股份,-18.964,,120.25,0.757
300042,朗科科技,-18.947,,66.63,0.68
603936,博敏电子,-18.654,,45.77,5.44
300238,冠昊生物,-18.587,,74.87,2.983
600241,时代万恒,-18.4,,102.68,0.527
603222,济民制药,-18.349,,72.99,3.18
002366,台海核电,-18.104,,26.28,2.213
603659,璞泰来,-17.971,,39.75,4.53
300278,华昌达,-17.891,,110.09,4.17
603699,纽威股份,-17.775,★,61.07,0.977
002517,恺英网络,-17.665,,21.73,4.533
603079,圣达生物,-17.652,,44.57,4.237
300143,星普医科,-17.562,,39.58,1.017
002661,克明面业,-17.301,,34.52,1.337
002437,誉衡药业,-17.297,,32.68,1.323
002113,天润数娱,-17.104,,329.37,2.117
600735,新华锦,-17.016,,52.9,2.37
603998,方盛制药,-16.47,,40.4,0.763
601360,三六零,-16.25,,5262.91,10.737
002508,老板电器,-16.184,,29.5,4.39
002143,印纪传媒,-16.169,,38.33,0.55
002538,司尔特,-15.949,,30.94,2.653
300290,荣科科技,-15.76,,139.68,1.99
603011,合锻智能,-15.524,★,77.94,2.007
002427,ST尤夫,-15.353,,38.96,2.117
002122,天马股份,-15.266,,202.19,0.59
300317,珈伟股份,-14.95,,28.03,3.59
603538,美诺华,-14.898,,56.48,1.367
601369,陕鼓动力,-14.893,,33.8,0.987
000737,*ST南风,-14.885,,0.0,1.293
002596,海南瑞泽,-14.811,★,79.2,3.003
300444,双杰电气,-14.79,,135.38,2.237
300090,盛运环保,-14.677,,2458.88,2.033
600512,腾达建设,-14.656,,33.23,1.117
300492,山鼎设计,-14.623,,345.09,9.613
002569,步森股份,-14.525,★,0.0,5.17
000606,神州易桥,-13.791,,0.0,0.773
002384,东山精密,-13.757,,56.33,1.817
600485,信威集团,-13.567,,74.33,2.637
300471,厚普股份,-13.269,★,37.68,2.667
002721,金一文化,-13.262,,106.89,6.503
000793,华闻传媒,-13.042,,29.15,1.833
002509,天广中茂,-13.002,,36.59,0.583
002662,京威股份,-12.997,,28.79,0.723
600148,长春一东,-12.819,,111.45,0.833
600069,银鸽投资,-12.41,,427.78,1.133
600682,南京新百,-12.408,,74.06,1.047
002413,雷科防务,-12.317,,92.83,1.613
300383,光环新网,-12.314,,44.01,1.623
600179,安通控股,-12.3,,50.66,0.75
002451,摩恩电气,-12.263,,214.14,0.317
000503,海虹控股,-12.195,★,0.0,2.623
002198,嘉应制药,-12.142,,288.56,0.28
000156,华数传媒,-12.101,,25.94,0.457
300495,美尚生态,-12.046,,30.43,0.663
000564,供销大集,-11.967,,20.84,0.88
300086,康芝药业,-11.834,,88.42,0.47
603843,正平股份,-11.761,,145.43,1.647
603058,永吉股份,-11.722,★,96.01,8.067
601998,中信银行,-11.721,,7.1,0.15
000511,*ST烯碳,-11.72,,0.0,1.47
600568,中珠医疗,-11.68,,38.6,0.797
600856,中天能源,-11.569,,28.22,6.713
300089,文化长城,-11.54,,54.07,4.24
300325,德威新材,-11.448,,121.24,1.803
600664,哈药股份,-11.395,★,33.02,2.41
603286,日盈电子,-11.314,★,74.69,27.08
603333,明星电缆,-11.213,,98.65,0.59
300410,正业科技,-11.2,★,34.6,0.95
600715,文投控股,-11.185,,60.46,1.917
603718,海利生物,-11.185,,53.46,0.99
600255,梦舟股份,-10.988,,109.23,1.607
300010,立思辰,-10.899,★,102.1,2.243
600290,华仪电气,-10.844,,190.08,0.777
000812,陕西金叶,-10.813,,380.05,1.793
002288,超华科技,-10.736,★,99.16,2.447
600829,人民同泰,-10.736,★,25.57,0.7
600076,康欣新材,-10.719,,14.17,3.61
600226,瀚叶股份,-10.702,,54.81,0.53
002512,达华智能,-10.585,,201.1,1.053
002103,广博股份,-10.499,,45.55,1.28
002592,八菱科技,-10.204,,46.02,1.1
000586,汇源通信,-10.1,,2495.14,2.513
603066,音飞储存,-10.06,,40.59,2.02
002260,德奥通航,-9.937,,0.0,2.643
300326,凯利泰,-9.935,,28.57,1.207
601619,嘉泽新能,-9.931,,89.15,5.33
002357,富临运业,-9.868,,20.59,2.25
002604,ST龙力,-9.81,,33.8,2.187
600803,新奥股份,-9.626,,29.25,0.797
002251,步 步 高,-9.524,,56.35,2.263
600614,鹏起科技,-9.484,,51.94,0.797
002739,万达电影,-9.414,★,36.25,2.457
600145,*ST新亿,-9.21,★,551.09,11.697
300159,新研股份,-9.18,,45.29,1.02
002301,齐心集团,-9.14,,52.0,0.813
300739,明阳电路,-9.109,,36.69,22.45
300237,美晨生态,-9.05,,23.56,1.6
600086,东方金钰,-8.987,,40.55,0.733
300580,贝斯特,-8.961,,29.94,5.987
300128,锦富技术,-8.927,,172.68,1.983
603028,赛福天,-8.919,★,64.67,1.14
000835,长城动漫,-8.883,,52.87,0.873
300173,智慧松德,-8.881,,65.47,0.447
603080,新疆火炬,-8.849,,70.81,23.267
300337,银邦股份,-8.636,,751.77,0.417
002692,睿康股份,-8.476,,104.81,0.69
002160,常铝股份,-8.319,,30.93,1.803
002622,融钰集团,-8.278,,258.48,2.557
002005,德豪润达,-8.22,,0.0,0.517
