code,name,pe,past_far,past_near,past_average_turnover
601600,中国铝业,43.87,-34.427,2.895,4.73
002188,ST巴士,15.05,-31.537,0.146,4.823
603011,合锻智能,77.13,-24.551,3.311,2.007
603637,镇海股份,57.33,-23.904,0.546,3.44
002606,大连电瓷,43.1,-22.56,0.355,6.813
000662,天夏智慧,37.79,-21.485,6.833,2.343
002799,环球印务,97.02,-20.566,0.081,2.867
002508,老板电器,28.93,-20.035,0.028,2.073
002857,三晖电气,75.27,-19.533,2.878,6.183
300143,星普医科,41.45,-18.752,6.532,3.547
603699,纽威股份,63.93,-18.079,0.369,0.977
603429,集友股份,51.59,-17.334,3.474,1.7
002596,海南瑞泽,79.74,-16.456,2.155,2.5
300640,德艺文创,43.44,-15.123,2.401,2.143
603260,合盛硅业,31.33,-14.915,1.206,9.05
601369,陕鼓动力,34.09,-14.543,3.391,0.663
603306,华懋科技,22.58,-13.654,2.24,0.643
603226,菲林格尔,28.41,-12.904,0.65,3.977
603828,柯利达,53.19,-12.457,1.852,0.527
603028,赛福天,64.05,-11.974,0.429,1.14
603520,司太立,37.13,-11.705,7.429,1.783
002256,兆新股份,71.14,-11.575,1.778,0.813
603009,北特科技,78.22,-11.273,7.086,5.097
300410,正业科技,35.0,-11.2,1.134,1.093
002739,万达电影,36.25,-10.761,0.364,2.457
603393,新天然气,25.36,-10.399,3.393,0.703
600122,宏图高科,16.49,-9.839,1.029,2.13
002160,常铝股份,32.95,-9.474,6.175,3.567
000835,长城动漫,53.37,-8.911,1.201,0.863
000796,凯撒旅游,22.88,-8.726,0.23,1.11
002037,久联发展,43.7,-8.678,1.172,0.723
603315,福鞍股份,88.18,-8.659,1.986,0.817
000547,航天发展,65.09,-8.33,2.652,1.307
600869,智慧能源,66.67,-8.043,12.986,0.767
600807,天业股份,70.54,-7.927,3.833,6.85
603600,永艺股份,24.21,-7.91,1.685,0.803
002714,牧原股份,23.4,-7.868,1.684,1.297
603776,永安行,51.83,-7.862,2.207,7.977
000540,中天金融,15.64,-7.847,0.831,1.283
600516,方大炭素,13.22,-7.494,0.114,6.04
000910,大亚圣象,24.48,-7.139,4.505,1.137
601989,中国重工,86.64,-6.941,2.503,0.733
300593,新雷能,57.57,-6.938,0.551,1.68
600779,水井坊,64.83,-6.915,3.059,1.123
603313,梦百合,29.62,-6.766,1.524,1.01
603817,海峡环保,45.32,-6.71,5.953,4.653
300067,安诺其,44.74,-6.534,1.535,1.62
000757,浩物股份,84.89,-6.505,1.878,0.773
000930,中粮生化,44.78,-6.22,2.853,2.593
603979,金诚信,25.64,-6.094,1.992,1.053
600197,伊力特,26.7,-5.678,2.17,1.62
300157,恒泰艾普,43.57,-5.547,1.264,2.613
603010,万盛股份,47.94,-5.52,5.664,1.013
600809,山西汾酒,45.75,-5.457,4.48,0.637
600188,兖州煤业,11.34,-5.384,1.726,1.527
002082,万邦德,41.19,-5.328,3.644,0.577
000034,神州数码,33.88,-5.11,5.877,1.507
002312,*ST三泰,17.92,-5.04,2.875,2.333
300547,川环科技,36.08,-4.974,3.56,4.09
000029,深深房Ａ,56.66,-4.894,4.396,2.01
000018,神州长城,18.0,-4.788,0.519,1.003
300656,民德电子,97.28,-4.781,3.798,3.533
600537,亿晶光电,63.91,-4.652,0.004,0.513
000939,凯迪生态,84.05,-4.568,3.961,0.673
300495,美尚生态,32.55,-4.421,4.55,1.457
002607,亚夏汽车,45.04,-4.326,2.007,1.263
603909,合诚股份,45.63,-4.131,0.536,1.18
002666,德联集团,38.66,-4.012,1.669,2.783
002507,涪陵榨菜,32.67,-3.863,1.022,1.063
603090,宏盛股份,56.16,-3.836,1.077,1.473
000031,中粮地产,20.69,-3.794,8.993,1.39
600393,粤泰股份,9.78,-3.666,0.157,1.14
002521,齐峰新材,25.79,-3.624,2.281,1.413
300455,康拓红外,79.3,-3.513,2.561,2.043
603015,弘讯科技,44.88,-3.488,2.145,1.157
600383,金地集团,18.62,-3.487,2.549,1.01
601101,昊华能源,10.9,-3.46,1.2,1.277
600559,老白干酒,73.78,-3.412,1.513,0.833
002851,麦格米特,58.68,-3.395,5.762,1.927
603181,皇马科技,32.13,-3.301,0.703,5.657
603197,保隆科技,26.09,-3.104,0.756,2.43
000858,五 粮 液,29.95,-3.1,1.651,0.793
600074,ST保千里,10.24,-2.996,0.884,4.687
603139,康惠制药,45.81,-2.968,3.059,3.383
603386,广东骏亚,48.23,-2.959,0.195,9.997
603101,汇嘉时代,23.47,-2.954,0.328,1.397
603663,三祥新材,45.54,-2.848,0.484,0.91
002048,宁波华翔,15.17,-2.843,1.873,1.583
603980,吉华集团,24.35,-2.839,1.797,3.603
002742,三圣股份,53.33,-2.827,0.268,1.883
002580,圣阳股份,86.58,-2.812,0.48,1.767
603633,徕木股份,35.7,-2.751,0.651,0.713
600798,宁波海运,38.27,-2.751,1.002,0.713
603877,太平鸟,63.0,-2.729,2.878,1.197
603518,维格娜丝,50.81,-2.663,0.93,0.88
603618,杭电股份,50.18,-2.637,3.564,0.697
603886,元祖股份,16.94,-2.622,0.008,1.897
000756,新华制药,25.55,-2.619,0.81,1.41
603997,继峰股份,24.58,-2.578,2.082,2.993
603717,天域生态,56.03,-2.569,2.271,5.44
603528,多伦科技,43.1,-2.557,0.651,1.36
300071,华谊嘉信,29.37,-2.499,0.009,0.92
002673,西部证券,37.18,-2.445,0.402,0.597
603188,亚邦股份,13.39,-2.435,0.29,0.817
603636,南威软件,96.24,-2.409,0.893,0.803
603615,茶花股份,30.81,-2.395,6.888,2.803
603630,拉芳家化,31.42,-2.386,0.39,1.843
603808,歌力思,26.64,-2.382,0.495,1.73
603608,天创时尚,23.07,-2.343,0.1,0.83
603089,正裕工业,27.37,-2.264,0.982,1.883
002127,南极电商,74.82,-2.244,6.85,1.643
002047,宝鹰股份,26.22,-2.165,2.079,1.61
002146,荣盛发展,12.93,-2.121,3.658,2.173
601939,建设银行,7.7,-2.043,1.473,1.947
002875,安奈儿,39.12,-1.978,3.033,4.82
603768,常青股份,26.88,-1.954,0.07,1.577
600282,南钢股份,7.15,-1.946,1.165,2.747
600708,光明地产,15.56,-1.941,2.253,1.137
603069,海汽集团,54.01,-1.899,0.9,1.993
603906,龙蟠科技,30.45,-1.833,3.003,2.797
603266,天龙股份,27.23,-1.82,0.639,1.803
600060,海信电器,25.09,-1.75,0.461,0.527
002565,顺灏股份,77.88,-1.744,0.176,1.087
600782,新钢股份,12.21,-1.719,0.141,2.913
600306,商业城,12.16,-1.699,1.355,2.37
603639,海利尔,20.48,-1.612,0.589,1.82
600984,建设机械,36.63,-1.579,1.943,0.97
603508,思维列控,43.27,-1.542,5.052,0.87
603111,康尼机电,52.21,-1.529,4.21,1.923
000568,泸州老窖,31.9,-1.499,0.521,0.507
601001,大同煤业,11.43,-1.498,1.189,0.937
603665,康隆达,41.95,-1.49,2.105,1.763
002675,东诚药业,37.86,-1.413,0.296,0.827
603416,信捷电气,33.05,-1.408,6.613,2.46
603299,井神股份,34.93,-1.372,0.405,1.7
603900,莱绅通灵,30.98,-1.303,2.129,1.867
300261,雅本化学,78.25,-1.269,5.677,0.74
603617,君禾股份,36.82,-1.253,0.726,3.463
603238,诺邦股份,50.92,-1.241,1.635,3.877
603421,鼎信通讯,30.74,-1.235,0.438,2.063
603577,汇金通,45.48,-1.227,1.294,2.1
600066,宇通客车,20.97,-1.132,2.121,0.573
603880,南卫股份,40.82,-1.12,1.133,3.57
002101,广东鸿图,21.23,-1.104,1.924,1.477
601225,陕西煤业,7.78,-1.101,0.958,0.687
300065,海兰信,62.08,-1.084,7.885,7.127
002358,森源电气,26.55,-1.057,5.134,1.717
600298,安琪酵母,31.89,-1.022,4.78,0.87
600031,三一重工,26.83,-0.991,3.441,1.567
000983,西山煤电,15.68,-0.991,0.999,1.07
600979,广安爱众,17.54,-0.982,0.801,0.563
300158,振东制药,23.37,-0.929,4.367,2.85
603999,读者传媒,58.18,-0.84,0.706,1.07
600507,方大特钢,9.07,-0.835,1.047,4.733
600138,中青旅,24.14,-0.783,1.324,1.037
600971,恒源煤电,8.0,-0.779,1.406,1.587
603667,五洲新春,42.82,-0.736,2.363,0.837
300326,凯利泰,29.1,-0.73,1.228,0.707
603326,我乐家居,51.79,-0.712,3.977,2.197
603920,世运电路,31.45,-0.695,0.128,3.163
300651,金陵体育,97.75,-0.648,2.722,2.127
603730,岱美股份,25.13,-0.601,9.161,6.04
002810,山东赫达,41.36,-0.599,2.013,2.133
000036,华联控股,7.28,-0.558,1.879,1.403
603811,诚意药业,36.99,-0.552,0.239,1.69
600230,沧州大化,9.92,-0.494,2.241,2.867
603500,祥和实业,36.85,-0.488,1.571,4.57
600497,驰宏锌锗,29.79,-0.476,0.447,1.383
600409,三友化工,10.03,-0.414,0.854,1.463
300625,三雄极光,28.28,-0.387,2.377,2.08
603669,灵康药业,34.8,-0.349,0.711,0.537
002716,金贵银业,42.98,-0.267,0.32,2.087
603225,新凤鸣,15.53,-0.25,1.038,6.247
603133,碳元科技,98.84,-0.245,1.862,3.353
002546,新联电子,37.24,-0.227,0.665,0.94
300091,金通灵,61.65,-0.206,3.995,0.613
600657,信达地产,20.74,-0.183,0.538,0.823
300522,世名科技,33.51,-0.171,0.739,1.95
603861,白云电器,55.08,-0.162,2.871,0.997
002725,跃岭股份,82.31,-0.146,0.36,0.677
603179,新泉股份,25.73,-0.134,1.378,3.363
