code,name,pe,past_p_change,past_average_turnover,stop_mark
002054,德美化工,59.85,-48.068,4.957,
002188,ST巴士,15.14,-47.075,3.23,
002069,獐子岛,29.46,-45.144,1.503,
002729,好利来,79.97,-42.911,7.043,
002856,美芝股份,64.49,-42.39,17.407,
300157,恒泰艾普,45.28,-34.306,3.397,
002650,加加食品,31.68,-33.988,4.203,
300566,激智科技,58.48,-29.775,3.103,
601600,中国铝业,43.87,-29.578,4.183,
002517,恺英网络,19.73,-28.751,10.363,
002879,长缆科技,38.51,-28.357,17.2,
300435,中泰股份,44.03,-26.118,1.567,
002508,老板电器,28.99,-25.967,1.943,
002606,大连电瓷,43.05,-25.481,5.98,
000929,兰州黄河,55.12,-25.166,1.317,
600074,ST保千里,10.24,-24.837,2.97,
002132,恒星科技,37.47,-22.709,0.793,
002684,猛狮科技,63.58,-21.451,1.217,
300256,星星科技,52.75,-20.906,1.813,
300143,星普医科,41.62,-20.893,3.62,
300737,科顺股份,43.82,-20.877,11.987,
600383,金地集团,18.62,-20.731,0.91,
300414,中光防雷,78.76,-18.324,0.79,
002895,川恒股份,57.69,-17.743,17.887,
002776,柏堡龙,27.6,-17.532,1.767,
002581,未名医药,26.55,-17.32,1.037,
000971,高升控股,36.4,-17.187,1.71,
600188,兖州煤业,11.34,-17.097,1.397,
002086,东方海洋,48.58,-17.077,2.53,
601828,美凯龙,17.86,-16.975,8.793,
000407,胜利股份,50.05,-16.887,0.813,
002673,西部证券,37.14,-16.412,0.573,
002762,金发拉比,41.38,-16.16,1.713,
002899,英派斯,35.59,-16.109,7.247,
002146,荣盛发展,13.43,-16.074,2.21,
000036,华联控股,7.28,-15.93,1.31,
600340,华夏幸福,13.39,-15.861,0.993,
002018,华信国际,21.91,-15.819,1.577,
002596,海南瑞泽,78.9,-15.003,2.3,
601939,建设银行,7.7,-14.68,1.993,
002129,中环股份,40.44,-14.604,3.253,
002514,宝馨科技,65.59,-14.527,1.997,
000662,天夏智慧,37.67,-14.503,2.663,
601636,旗滨集团,16.06,-14.438,2.36,
600030,中信证券,20.95,-14.106,1.307,
600197,伊力特,26.7,-14.047,1.837,
600829,人民同泰,25.05,-13.978,0.563,
601225,陕西煤业,7.78,-13.921,0.57,
300480,光力科技,97.38,-13.901,1.967,
000069,华侨城Ａ,11.28,-13.887,0.917,
002865,钧达股份,43.22,-13.867,10.087,
000830,鲁西化工,20.2,-13.84,6.72,
600155,宝硕股份,56.34,-13.795,1.38,
002251,步 步 高,54.34,-13.717,1.63,
000001,平安银行,8.14,-13.676,0.643,
002500,山西证券,43.64,-13.525,0.943,
002092,中泰化学,11.12,-13.425,1.77,
600621,华鑫股份,86.11,-13.423,2.617,
000983,西山煤电,15.78,-13.322,1.023,
300023,宝德股份,26.64,-13.241,1.373,
600883,博闻科技,32.42,-13.136,0.673,
600606,绿地控股,10.67,-12.992,4.183,
002160,常铝股份,32.75,-12.967,3.957,
002323,雅百特,19.23,-12.792,2.467,
600809,山西汾酒,45.75,-12.675,0.697,
000638,万方发展,86.7,-12.557,2.367,
300697,电工合金,59.07,-12.09,17.997,
002714,牧原股份,23.39,-12.043,1.28,
600782,新钢股份,12.21,-12.017,2.56,
600875,东方电气,39.07,-12.013,0.623,
300192,科斯伍德,97.7,-11.983,1.873,
002288,超华科技,99.55,-11.911,1.813,
000732,泰禾集团,20.69,-11.809,4.1,
000800,一汽轿车,44.93,-11.789,0.86,
601001,大同煤业,11.43,-11.706,0.883,
600048,保利地产,16.57,-11.69,1.03,
000060,中金岭南,20.62,-11.688,1.817,
001979,招商蛇口,36.42,-11.649,2.013,
601233,桐昆股份,19.97,-11.452,1.363,
000717,韶钢松山,7.02,-11.408,1.97,
600803,新奥股份,28.58,-11.396,0.653,
002787,华源控股,27.94,-11.35,1.813,
601688,华泰证券,19.92,-11.282,0.673,
000728,国元证券,26.68,-11.058,0.543,
601336,新华保险,24.81,-11.003,0.637,
000835,长城动漫,53.79,-10.873,0.85,
002504,*ST弘高,25.85,-10.852,1.217,
600173,卧龙地产,12.99,-10.825,0.8,
300321,同大股份,77.52,-10.781,0.9,
600664,哈药股份,32.7,-10.741,0.853,
002295,精艺股份,35.8,-10.69,1.123,
002778,高科石化,59.98,-10.526,2.283,
600115,东方航空,10.34,-10.428,0.553,
601611,中国核建,36.4,-10.35,0.643,
000756,新华制药,25.68,-10.306,1.243,
300712,永福股份,39.59,-10.256,8.997,
002081,金 螳 螂,18.91,-10.202,0.533,
002706,良信电器,21.99,-10.155,0.85,
300288,朗玛信息,19.03,-10.117,3.223,
300160,秀强股份,20.47,-10.099,0.73,
601881,中国银河,22.88,-10.084,2.157,
601009,南京银行,7.76,-10.06,0.887,
601878,浙商证券,41.67,-10.006,4.47,
600838,上海九百,36.23,-9.994,1.903,
600889,南京化纤,24.16,-9.951,1.657,
300517,海波重科,59.01,-9.879,2.47,
002886,沃特股份,65.53,-9.843,7.83,
002338,奥普光电,61.61,-9.84,0.93,
002040,南 京 港,43.66,-9.645,1.037,
002502,骅威文化,20.93,-9.598,0.63,
002909,集泰股份,47.27,-9.541,12.833,
002035,华帝股份,41.76,-9.465,0.837,
601002,晋亿实业,37.64,-9.425,1.497,
000416,民生控股,81.98,-9.337,0.653,
000671,阳 光 城,43.69,-9.284,1.98,
