code,name,pe,p_change_01,p_change_12,past_average_turnover,stop_mark,sort_key
002676,顺威股份,378.92,19.173,-58.289,5.433,,-1117.575
000806,银河生物,2565.93,20.656,-51.559,5.76,,-1065.003
002054,德美化工,68.56,13.054,-52.899,6.213,,-690.544
300110,华仁药业,278.72,12.351,-50.224,7.037,,-620.317
002069,獐子岛,32.61,9.708,-47.074,2.557,,-456.994
002898,赛隆药业,55.2,18.671,-23.596,8.82,,-440.561
002631,德尔未来,40.13,19.356,-20.09,2.757,,-388.862
002848,高斯贝尔,265.29,14.483,-26.788,5.117,,-387.971
300717,华信新材,53.13,16.935,-22.4,11.88,,-379.344
000416,民生控股,97.87,17.271,-21.503,3.157,,-371.378
002715,登云股份,230.46,12.228,-30.072,2.267,,-367.72
300140,中环装备,124.26,10.074,-33.125,5.65,,-333.701
300157,恒泰艾普,47.18,8.967,-36.974,2.067,,-331.546
300272,开能环保,43.59,17.426,-18.794,0.66,,-327.504
002796,世嘉科技,96.53,15.716,-20.535,7.013,,-322.728
300723,一品红,42.94,16.366,-18.974,14.193,,-310.528
300313,天山生物,277.57,13.556,-22.429,0.72,,-304.048
000819,岳阳兴长,387.65,14.115,-20.925,1.383,,-295.356
002606,大连电瓷,47.88,9.506,-30.389,8.047,,-288.878
000998,隆平高科,150.05,16.556,-17.235,1.54,,-285.343
002865,钧达股份,44.39,11.167,-25.026,6.883,,-279.465
002826,易明医药,78.92,10.986,-24.519,3.497,,-269.366
000518,四环生物,149.06,14.081,-18.926,0.523,,-266.497
300680,隆盛科技,113.04,11.288,-22.712,16.47,,-256.373
002012,凯恩股份,117.16,5.504,-46.023,3.87,,-253.311
002908,德生科技,83.75,8.001,-30.948,15.23,,-247.615
600652,游久游戏,112.63,13.746,-17.665,3.52,,-242.823
000922,*ST佳电,33.88,14.131,-16.883,1.423,,-238.574
000979,中弘股份,127.86,10.52,-22.432,1.867,,-235.985
002782,可立克,97.71,12.867,-18.335,2.167,,-235.916
300725,药石科技,116.78,8.406,-27.876,12.527,,-234.326
002879,长缆科技,38.73,6.499,-36.024,10.17,,-234.12
300702,天宇股份,32.19,11.517,-20.207,5.683,,-232.724
002674,兴业科技,70.79,14.409,-15.72,1.12,,-226.509
300519,新光药业,32.64,12.997,-17.316,1.54,,-225.056
300534,陇神戎发,163.75,9.819,-22.834,4.403,,-224.207
002581,未名医药,30.62,12.398,-17.689,2.137,,-219.308
300701,森霸股份,52.05,12.785,-17.131,9.57,,-219.02
002409,雅克科技,121.58,8.614,-25.018,6.76,,-215.505
000638,万方发展,90.23,7.9,-27.211,2.157,,-214.967
600830,香溢融通,39.18,8.294,-25.746,2.74,,-213.537
300705,九典制药,51.24,10.836,-19.592,6.087,,-212.299
000407,胜利股份,53.82,9.524,-22.097,1.057,,-210.452
600152,维科精华,57.76,8.161,-25.314,1.277,,-206.588
002684,猛狮科技,68.95,8.997,-22.945,2.197,,-206.436
000662,天夏智慧,39.36,10.067,-20.404,0.86,,-205.407
600571,信雅达,121.31,9.95,-20.328,5.297,,-202.264
002675,东诚药业,42.4,12.907,-15.129,1.24,,-195.27
000554,泰山石油,1644.8,10.648,-18.003,3.28,,-191.696
300675,建科院,1295.07,13.607,-14.065,17.77,,-191.382
002883,中设股份,61.59,13.062,-14.636,15.19,,-191.175
002235,安妮股份,55.48,5.643,-32.136,7.13,,-181.343
000971,高升控股,39.79,7.671,-22.953,1.823,,-176.072
300466,赛摩电气,200.95,9.51,-18.142,3.977,,-172.53
300093,金刚玻璃,110.45,7.296,-23.511,4.637,,-171.536
600889,南京化纤,23.7,8.154,-20.405,0.667,,-166.382
300721,怡达股份,38.01,7.133,-22.702,13.43,,-161.933
000739,普洛药业,27.79,9.792,-16.128,0.693,,-157.925
300471,厚普股份,40.84,5.634,-27.845,2.613,,-156.879
002776,柏堡龙,31.0,10.109,-15.508,1.317,,-156.77
002657,中科金财,43.37,6.476,-23.771,3.017,,-153.941
002576,通达动力,3030.31,6.558,-23.318,2.493,,-152.919
000929,兰州黄河,57.66,5.116,-29.498,0.98,,-150.912
600212,江泉实业,113.5,5.4,-27.927,3.033,,-150.806
300500,启迪设计,79.37,7.917,-18.94,5.68,,-149.948
300160,秀强股份,22.23,8.262,-18.067,1.18,,-149.27
002911,佛燃股份,44.08,5.607,-26.414,12.907,,-148.103
002900,哈三联,33.81,6.364,-23.06,5.97,,-146.754
002864,盘龙药业,60.42,5.7,-25.184,8.51,,-143.549
300712,永福股份,40.16,6.158,-23.016,7.337,,-141.733
002424,贵州百灵,43.54,8.592,-16.044,1.943,,-137.85
300023,宝德股份,27.9,6.027,-22.828,1.657,,-137.584
600779,水井坊,68.76,7.281,-18.852,0.617,,-137.261
600332,白云山,23.11,11.08,-12.282,1.6,,-136.085
000661,长春高新,47.46,10.392,-12.992,1.32,,-135.013
002290,中科新材,50.24,10.41,-12.967,2.333,,-134.986
300598,诚迈科技,64.75,8.594,-15.61,2.66,,-134.152
600691,阳煤化工,53.15,9.858,-13.356,2.38,,-131.663
002729,好利来,83.75,3.167,-41.279,2.837,,-130.731
601718,际华集团,37.27,9.866,-13.203,0.827,,-130.261
000789,万年青,23.84,10.075,-12.676,8.053,,-127.711
002919,名臣健康,55.69,8.34,-15.183,15.98,,-126.626
000957,中通客车,38.48,10.836,-11.668,4.63,,-126.434
002295,精艺股份,37.83,6.118,-20.567,1.527,,-125.829
300483,沃施股份,372.12,10.836,-11.446,1.31,,-124.029
300591,万里马,85.76,8.97,-13.781,4.22,,-123.616
300386,飞天诚信,98.02,8.689,-14.116,4.093,,-122.654
600176,中国巨石,24.31,8.616,-14.145,0.98,,-121.873
002265,西仪股份,165.15,9.37,-12.973,2.213,,-121.557
600883,博闻科技,35.47,8.993,-13.495,0.643,,-121.361
002711,欧浦智网,29.2,5.301,-22.613,1.133,,-119.872
002825,纳尔股份,69.8,10.895,-10.929,4.333,,-119.071
000910,大亚圣象,18.8,7.574,-15.719,0.56,,-119.056
300235,方直科技,121.04,7.316,-16.248,1.723,,-118.87
300163,先锋新材,287.95,7.807,-15.153,2.84,,-118.299
000520,长航凤凰,79.37,6.873,-17.075,1.303,,-117.356
300670,大烨智能,52.59,9.594,-12.149,5.033,,-116.558
002510,天汽模,46.69,10.045,-11.504,4.813,,-115.558
600556,ST慧球,763.67,7.702,-14.938,0.647,,-115.052
300265,通光线缆,28.75,7.251,-15.85,0.607,,-114.928
600600,青岛啤酒,21.82,7.817,-14.442,0.723,,-112.893
300231,银信科技,28.42,9.897,-11.372,6.013,,-112.549
600543,莫高股份,92.89,6.86,-16.354,1.227,,-112.188
300710,万隆光电,45.34,6.784,-16.519,6.423,,-112.065
300716,国立科技,51.25,5.564,-19.974,11.003,,-111.135
600272,开开实业,88.55,8.16,-13.59,0.893,,-110.894
300517,海波重科,62.66,8.75,-12.528,1.423,,-109.62
300703,创源文化,43.47,5.436,-19.914,4.137,,-108.253
300541,先进数通,111.42,4.799,-22.497,1.803,,-107.963
002615,哈尔斯,22.15,3.95,-27.309,0.55,,-107.871
002694,顾地科技,297.44,2.427,-44.361,11.973,,-107.664
002901,大博医疗,50.46,9.052,-11.778,9.927,,-106.614
000558,莱茵体育,338.34,6.683,-15.726,1.68,,-105.097
600874,创业环保,35.16,9.904,-10.55,2.757,,-104.487
300453,三鑫医疗,51.6,5.673,-18.411,2.253,,-104.446
300636,同和药业,34.67,7.267,-14.263,4.383,,-103.649
000856,冀东装备,6797.5,6.647,-15.571,5.753,,-103.5
300592,华凯创意,38.89,4.739,-21.765,2.12,,-103.144
