code,name,pe,p_change_01,past_average_turnover,stop_mark
002927,泰永长征,110.24,158.023,59.783,
300624,万兴科技,124.5,137.802,45.453,
002928,华夏航空,43.84,98.38,21.6,
300477,合纵科技,129.42,92.223,15.29,
002184,海得控制,429.59,89.483,21.323,
002208,合肥城建,187.09,88.313,16.36,
002137,麦达数字,80.23,86.139,27.18,
000151,中成股份,66.21,84.768,13.34,
002877,智能自控,84.36,75.17,41.48,
300390,天华超净,119.53,74.872,23.457,
000555,神州信息,93.24,74.081,5.053,
000532,华金资本,152.14,65.968,17.89,
002929,润建通信,51.44,61.746,35.253,
002264,新 华 都,4945.24,54.314,15.537,
300647,超频三,80.33,52.704,29.763,
600113,浙江东日,44.74,50.418,10.04,
300715,凯伦股份,69.27,43.316,40.92,
300571,平治信息,87.76,43.171,5.793,
300731,科创新源,55.56,42.827,30.51,
300556,丝路视觉,201.24,42.543,23.1,
600462,九有股份,441.22,42.186,20.443,
000020,深华发Ａ,9646.01,39.993,6.437,
002922,伊戈尔,57.79,39.917,61.533,
002782,可立克,118.26,39.597,10.827,
600099,林海股份,1227.0,39.32,6.543,
000790,泰合健康,21.99,39.064,11.503,
002680,长生生物,32.22,38.303,4.3,
600268,国电南自,0.0,37.802,5.427,
000819,岳阳兴长,469.05,37.222,4.917,
300598,诚迈科技,78.35,36.78,3.493,
300705,九典制药,62.01,36.11,9.097,
000032,深桑达Ａ,77.58,35.85,6.093,
300462,华铭智能,109.29,35.751,22.393,
002858,力盛赛车,529.9,35.615,17.367,
002702,海欣食品,0.0,34.937,19.283,
300631,久吾高科,92.23,34.392,5.597,
300490,华自科技,104.03,33.975,9.373,
600728,佳都科技,81.74,33.485,8.783,
600272,开开实业,107.15,33.36,5.41,
002864,盘龙药业,73.11,32.263,20.547,
002629,仁智股份,0.0,32.209,3.27,
600560,金自天正,141.6,31.214,13.8,
300469,信息发展,1388.25,31.022,8.107,
600721,百花村,43.97,30.821,8.37,
002370,亚太药业,50.62,30.544,1.627,
600689,上海三毛,52.91,30.283,4.36,
300730,科创信息,885.4,29.661,41.647,
601116,三江购物,70.65,29.58,3.987,
002265,西仪股份,199.76,29.511,5.197,
000810,创维数字,139.57,29.385,2.577,
002066,瑞泰科技,258.43,29.088,10.667,
000985,大庆华科,55.92,28.918,2.397,
300519,新光药业,36.39,28.41,7.38,
600662,强生控股,103.89,28.196,3.613,
300344,太空智造,0.0,28.096,25.083,
300612,宣亚国际,114.25,27.46,29.69,
300300,汉鼎宇佑,154.32,27.236,5.44,
600053,九鼎投资,37.28,27.234,2.077,
000503,海虹控股,0.0,27.177,1.277,
300650,太龙照明,54.62,27.039,27.44,
300267,尔康制药,20.97,27.012,3.09,
002861,瀛通通讯,44.14,26.878,15.727,
000935,四川双马,130.61,26.803,4.9,
002226,江南化工,68.42,26.386,6.313,
300691,联合光电,64.82,26.022,6.913,
002367,康力电梯,22.52,25.618,11.523,
300509,新美星,41.69,25.582,11.473,
002919,名臣健康,61.76,25.466,29.113,
002476,宝莫股份,0.0,25.426,4.143,
300231,银信科技,30.25,25.242,9.453,
000628,高新发展,92.35,24.88,5.96,
002738,中矿资源,150.41,24.735,8.617,
300740,御家汇,53.69,24.515,28.963,
600178,东安动力,54.1,24.438,6.477,
002921,联诚精密,62.01,24.335,56.76,
000948,南天信息,125.41,24.08,2.927,
601069,西部黄金,500.4,24.068,5.58,
300479,神思电子,228.74,23.995,11.013,
600555,海航创新,0.0,23.87,1.673,
300701,森霸股份,54.57,23.865,22.293,
300216,千山药机,80.73,23.805,24.85,
300707,威唐工业,45.1,23.677,31.273,
600207,安彩高科,893.71,23.654,5.143,
600635,大众公用,32.49,23.304,4.973,
300649,杭州园林,184.69,23.264,13.06,
002870,香山股份,47.88,23.064,17.743,
002666,德联集团,48.9,22.842,11.0,
300686,智动力,92.53,22.809,8.68,
600213,亚星客车,71.68,22.797,9.507,
000037,深南电A,0.0,22.781,1.06,
300523,辰安科技,3654.3,22.583,1.327,
000629,*ST钒钛,0.0,22.303,,
300661,圣邦股份,83.79,22.257,4.813,
300687,赛意信息,53.24,22.158,14.363,
300672,国科微,1113.21,22.03,19.223,
300609,汇纳科技,82.25,22.019,3.117,
300347,泰格医药,89.53,21.425,1.613,
002821,凯莱英,61.27,20.816,2.357,
002822,中装建设,33.74,20.789,8.08,
300620,光库科技,60.65,20.74,9.727,
601028,玉龙股份,71.39,20.71,0.627,
002715,登云股份,248.36,20.561,5.487,
002246,北化股份,76.01,20.476,6.503,
300572,安车检测,66.94,20.353,1.66,
300616,尚品宅配,80.27,19.817,0.803,
002741,光华科技,69.78,19.768,0.763,
600833,第一医药,61.4,19.675,3.8,
000987,越秀金控,36.83,19.625,3.023,
600476,湘邮科技,814.62,19.619,2.99,
600187,国中水务,327.65,19.379,3.453,
002837,英维克,55.38,19.326,12.087,
300357,我武生物,50.23,19.255,1.173,
600192,长城电工,153.59,19.126,6.553,
002549,凯美特气,122.42,19.075,0.977,
600535,天士力,30.29,18.996,1.027,
002847,盐津铺子,48.39,18.901,24.107,
002631,德尔未来,39.59,18.825,1.807,
600901,江苏租赁,27.61,18.822,11.06,
002860,星帅尔,38.73,18.646,16.13,
002913,奥士康,41.02,18.613,11.573,
300099,精准信息,156.61,18.546,7.573,
002205,国统股份,578.12,18.533,3.837,
300272,开能环保,44.37,18.442,0.637,
600630,龙头股份,32.58,18.381,4.067,
600135,乐凯胶片,44.1,18.349,4.04,
300377,赢时胜,103.08,18.206,9.08,
600981,汇鸿集团,28.81,18.131,5.593,
002651,利君股份,77.63,18.113,7.84,
300717,华信新材,52.2,18.103,14.73,
300140,中环装备,129.66,18.092,8.503,
002088,鲁阳节能,30.06,18.07,4.987,
000065,北方国际,20.21,17.992,3.597,
300465,高伟达,316.02,17.859,10.64,
000890,法 尔 胜,113.23,17.833,1.823,
300633,开立医疗,72.6,17.715,3.787,
002278,神开股份,0.0,17.696,2.407,
300655,晶瑞股份,84.11,17.655,9.927,
000936,华西股份,38.92,17.645,4.897,
300645,正元智慧,991.39,17.614,12.827,
600355,精伦电子,0.0,17.599,1.88,
002116,中国海诚,26.65,17.55,2.583,
300678,中科信息,363.3,17.509,24.117,
300430,诚益通,67.0,17.492,1.737,
600136,当代明诚,62.96,17.451,2.48,
300702,天宇股份,33.1,17.427,15.907,
600647,同达创业,161.54,17.419,2.95,
000023,深天地Ａ,57.89,17.398,1.287,
600191,华资实业,89.39,17.319,3.603,
600865,百大集团,41.4,17.313,4.337,
300698,万马科技,88.41,17.124,16.903,
600719,大连热电,0.0,17.049,1.2,
600716,凤凰股份,0.0,17.032,2.71,
300682,朗新科技,0.0,17.028,4.02,
002923,润都股份,45.25,16.8,39.873,
002885,京泉华,39.96,16.705,10.993,
002898,赛隆药业,53.72,16.699,20.46,
300602,飞荣达,67.31,16.698,2.837,
000922,*ST佳电,33.75,16.686,1.277,
002667,鞍重股份,90.17,16.636,4.05,
600088,中视传媒,56.94,16.616,3.567,
002812,创新股份,106.33,16.602,1.297,
600838,上海九百,41.37,16.6,3.897,
000025,特 力Ａ,217.66,16.572,3.06,
600729,重庆百货,19.77,16.522,2.513,
000993,闽东电力,27.69,16.521,2.093,
000554,泰山石油,1718.67,16.456,8.373,
300162,雷曼股份,90.24,16.405,3.56,
002432,九安医疗,0.0,16.398,6.767,
300723,一品红,40.57,16.311,14.473,
600119,长江投资,123.87,16.287,3.69,
