code,name,p_change_01,past_average_turnover,normalizing_std,stop_mark
002930,N宏川,43.96,0.07,0.0,
300244,迪安诊断,23.519,4.047,0.028,
600227,赤天化,17.791,1.33,0.019,
600756,浪潮软件,14.767,6.153,0.028,
000997,新 大 陆,14.343,4.347,0.025,
600271,航天信息,13.655,2.11,0.023,
300289,利德曼,13.429,1.817,0.028,
600580,卧龙电气,13.152,1.637,0.029,
002653,海思科,12.886,0.633,0.018,
002022,科华生物,12.718,2.47,0.029,
300460,惠伦晶体,12.713,1.54,0.029,
000938,紫光股份,12.348,3.197,0.027,
002810,山东赫达,12.327,2.82,0.029,
600850,华东电脑,12.105,1.11,0.029,
300009,安科生物,12.033,3.317,0.025,
300301,长方集团,11.962,1.333,0.023,
002454,松芝股份,11.957,1.18,0.027,
000701,厦门信达,11.885,2.95,0.025,
002007,华兰生物,11.791,1.867,0.026,
600156,华升股份,11.684,1.147,0.027,
600990,四创电子,11.616,2.283,0.024,
300142,沃森生物,11.404,1.667,0.027,
600736,苏州高新,11.236,0.583,0.027,
002320,海峡股份,11.026,8.087,0.029,
002747,埃斯顿,10.745,0.97,0.028,
600114,东睦股份,10.472,0.873,0.028,
002816,和科达,10.336,3.297,0.029,
002696,百洋股份,10.314,1.033,0.024,
002396,星网锐捷,10.187,3.78,0.029,
600998,九州通,10.085,0.623,0.028,
300683,海特生物,10.049,6.307,0.029,
600222,太龙药业,10.018,1.403,0.02,
300439,美康生物,9.849,2.78,0.025,
600714,金瑞矿业,9.828,0.583,0.021,
600203,福日电子,9.813,2.223,0.028,
002664,长鹰信质,9.768,0.637,0.02,
600976,健民集团,9.704,0.493,0.029,
300176,鸿特精密,9.618,1.54,0.029,
300046,台基股份,9.505,4.053,0.026,
300081,恒信东方,9.466,2.053,0.027,
300119,瑞普生物,9.36,1.233,0.029,
002550,千红制药,9.296,1.087,0.024,
601607,上海医药,9.237,0.86,0.028,
300617,安靠智电,9.188,3.79,0.025,
002731,萃华珠宝,9.178,2.84,0.023,
300204,舒泰神,9.171,0.647,0.027,
002819,东方中科,9.166,1.45,0.026,
000061,农 产 品,9.163,0.677,0.028,
002630,华西能源,9.16,2.09,0.028,
002461,珠江啤酒,9.14,1.123,0.029,
600452,涪陵电力,9.112,0.537,0.02,
002888,惠威科技,9.102,7.343,0.029,
002506,协鑫集成,9.099,1.293,0.021,
300512,中亚股份,9.089,3.14,0.021,
002808,苏州恒久,9.051,3.587,0.028,
601888,中国国旅,9.014,0.703,0.022,
000153,丰原药业,8.887,1.89,0.027,
300463,迈克生物,8.876,1.32,0.024,
300636,同和药业,8.855,6.41,0.027,
002243,通产丽星,8.809,1.15,0.026,
600129,太极集团,8.792,0.527,0.017,
000901,航天科技,8.786,3.777,0.025,
600082,海泰发展,8.773,0.727,0.022,
600184,光电股份,8.767,0.81,0.025,
000538,云南白药,8.689,0.32,0.022,
002420,毅昌股份,8.662,1.017,0.023,
002223,鱼跃医疗,8.642,3.64,0.025,
600489,中金黄金,8.633,2.803,0.028,
600678,四川金顶,8.611,0.587,0.02,
002529,海源机械,8.565,1.41,0.025,
600644,乐山电力,8.556,0.88,0.028,
300553,集智股份,8.536,2.293,0.027,
300623,捷捷微电,8.514,8.203,0.029,
002104,恒宝股份,8.505,3.21,0.025,
002298,中电鑫龙,8.497,1.183,0.021,
002871,伟隆股份,8.429,3.997,0.026,
002526,山东矿机,8.375,1.19,0.021,
300583,赛托生物,8.236,3.667,0.025,
600834,申通地铁,8.231,0.713,0.024,
002360,同德化工,8.167,2.027,0.023,
600540,*ST新赛,8.137,1.03,0.028,
300206,理邦仪器,8.102,1.153,0.02,
000430,张家界,8.059,2.143,0.028,
300445,康斯特,8.02,3.187,0.029,
600101,明星电力,8.015,2.017,0.024,
000078,海王生物,7.989,1.33,0.027,
000920,南方汇通,7.804,1.303,0.024,
600587,新华医疗,7.745,0.677,0.022,
000889,茂业通信,7.722,0.717,0.024,
002439,启明星辰,7.719,4.013,0.028,
002118,紫鑫药业,7.648,2.797,0.024,
600893,航发动力,7.648,1.33,0.024,
300233,金城医药,7.631,0.977,0.018,
300298,三诺生物,7.601,1.133,0.024,
002316,键桥通讯,7.464,0.963,0.029,
000028,国药一致,7.455,0.633,0.023,
600718,东软集团,7.432,1.317,0.028,
002311,海大集团,7.425,0.43,0.029,
600518,康美药业,7.397,0.377,0.028,
300210,森远股份,7.385,0.967,0.028,
300203,聚光科技,7.348,2.117,0.027,
002887,绿茵生态,7.34,8.693,0.029,
300045,华力创通,7.245,3.15,0.028,
300070,碧水源,7.239,2.737,0.025,
000702,正虹科技,7.128,3.217,0.029,
300087,荃银高科,7.121,1.163,0.024,
300243,瑞丰高材,7.085,0.607,0.028,
002670,国盛金控,7.023,1.543,0.024,
002155,湖南黄金,7.008,4.067,0.026,
300665,飞鹿股份,7.004,7.257,0.029,
002237,恒邦股份,7.004,3.617,0.024,
300311,任子行,7.004,3.343,0.026,
000929,兰州黄河,6.997,1.42,0.027,
600513,联环药业,6.979,0.997,0.016,
000999,华润三九,6.977,0.713,0.023,
600208,新湖中宝,6.939,0.823,0.029,
002693,双成药业,6.933,0.83,0.026,
002689,远大智能,6.933,0.407,0.027,
002686,亿利达,6.88,0.333,0.025,
300406,九强生物,6.854,1.813,0.024,
000869,张 裕Ａ,6.845,0.847,0.025,
600488,天药股份,6.812,0.62,0.019,
600329,中新药业,6.775,0.697,0.02,
300291,华录百纳,6.775,1.637,0.024,
000966,长源电力,6.763,1.267,0.023,
300286,安科瑞,6.701,1.05,0.029,
600857,宁波中百,6.682,0.56,0.025,
300095,华伍股份,6.647,1.34,0.024,
000831,五矿稀土,6.531,3.67,0.028,
600936,广西广电,6.504,0.733,0.023,
600027,华电国际,6.482,0.377,0.025,
000099,中信海直,6.474,2.82,0.017,
002546,新联电子,6.456,1.33,0.022,
600161,天坛生物,6.418,1.233,0.025,
300179,四方达,6.397,1.053,0.022,
000952,广济药业,6.366,1.363,0.028,
002262,恩华药业,6.325,0.727,0.021,
300600,瑞特股份,6.292,2.367,0.02,
600651,飞乐音响,6.25,0.913,0.026,
002214,大立科技,6.21,2.533,0.024,
002483,润邦股份,6.207,0.597,0.022,
600416,湘电股份,6.206,1.813,0.026,
