code,name,p_change_01,p_change_02,past_average_turnover,normalizing_std,stop_mark
002278,神开股份,6.446,-17.417,1.54,0.02,
002071,长城影视,0.342,-13.078,2.253,0.013,
600319,亚星化学,0.657,-12.959,1.333,0.022,
002538,司尔特,6.891,-10.736,0.66,0.029,
600804,鹏博士,2.215,-9.04,0.933,0.026,
000007,全新好,5.496,-7.162,1.117,0.023,
600688,上海石化,0.167,-6.995,0.227,0.008,
000503,海虹控股,1.637,-6.627,1.383,0.018,
002435,长江润发,0.414,-5.871,0.48,0.014,
600531,豫光金铅,1.059,-5.863,3.0,0.016,
600999,招商证券,0.042,-4.178,0.29,0.008,
300237,美晨生态,4.203,-3.524,0.403,0.014,
300326,凯利泰,3.717,-3.372,1.327,0.025,
002768,国恩股份,2.272,-3.221,2.31,0.012,
002596,海南瑞泽,0.777,-2.984,4.657,0.021,
600238,海南椰岛,1.631,-2.909,1.947,0.025,
002070,*ST众和,3.459,-2.782,1.407,0.026,
000018,神州长城,5.907,-2.568,2.143,0.023,
600061,国投资本,3.568,-2.449,0.227,0.014,
601881,中国银河,3.06,-2.142,2.573,0.014,
300273,和佳股份,2.678,-2.0,2.843,0.029,
000537,广宇发展,5.014,-1.587,2.747,0.029,
601198,东兴证券,2.979,-1.398,0.547,0.029,
000150,宜华健康,5.696,-1.205,0.107,0.023,
600382,广东明珠,0.963,-1.162,0.867,0.011,
000587,金洲慈航,0.432,-1.129,1.547,0.008,
000888,峨眉山Ａ,0.42,-1.112,1.267,0.02,
600185,格力地产,0.379,-0.712,0.533,0.023,
600028,中国石化,3.574,-0.605,0.203,0.024,
601886,江河集团,1.405,-0.545,0.213,0.013,
601369,陕鼓动力,2.414,-0.482,0.59,0.023,
002037,久联发展,1.315,-0.103,1.61,0.022,
002010,传化智联,5.292,-0.083,0.91,0.013,
