,name,p_change_01,past_average_turnover,stop_mark
600690,青岛海尔,-11.834,1.047,
600887,伊利股份,-11.63,1.413,
000651,格力电器,-10.637,1.277,
002594,比亚迪,-10.464,1.613,
002555,三七互娱,-10.287,0.9,
002304,洋河股份,-9.778,0.38,
000858,五 粮 液,-9.612,1.32,
002236,大华股份,-9.585,1.697,
600340,华夏幸福,-8.309,1.197,
002508,老板电器,-7.958,1.06,
000895,双汇发展,-7.705,0.43,
600519,贵州茅台,-7.069,0.607,
002572,索菲亚,-6.616,1.013,
300133,华策影视,-5.876,1.153,
002831,裕同科技,-5.809,0.71,
000725,京东方Ａ,-5.008,1.557,
000568,泸州老窖,-4.911,0.967,
600660,福耀玻璃,-4.622,0.76,
600900,长江电力,-4.291,0.173,
000418,小天鹅Ａ,-4.274,0.453,
002415,海康威视,-3.514,0.387,
601318,中国平安,-3.409,1.147,
000333,美的集团,-3.026,0.653,
300027,华谊兄弟,-2.729,1.957,
600104,上汽集团,-2.568,0.26,
002008,大族激光,-2.431,1.38,
002352,顺丰控股,-1.828,0.313,
600305,恒顺醋业,-1.787,0.607,
600606,绿地控股,-1.34,3.013,
600809,山西汾酒,-0.826,0.927,
600585,海螺水泥,-0.451,1.05,
002701,奥瑞金,-0.157,0.5,
601888,中国国旅,0.006,0.767,
300251,光线传媒,0.322,1.113,
002624,完美世界,2.371,1.067,
000423,东阿阿胶,2.713,0.6,
000538,云南白药,2.92,0.297,
000002,万 科Ａ,3.114,0.687,
600518,康美药业,7.273,0.303,
002262,恩华药业,7.405,0.927,
600600,青岛啤酒,8.512,0.853,
600993,马应龙,8.753,1.393,
600062,华润双鹤,8.924,1.263,
600085,同仁堂,8.97,0.583,
300144,宋城演艺,9.004,1.177,
002230,科大讯飞,9.446,2.747,
002024,苏宁易购,10.511,1.637,
002014,永新股份,10.858,0.51,
300124,汇川技术,11.046,1.187,
002223,鱼跃医疗,11.048,2.737,
002120,韵达股份,11.371,0.893,
300015,爱尔眼科,11.872,0.913,
600436,片仔癀,12.523,1.18,
600867,通化东宝,13.573,0.91,
300616,尚品宅配,14.159,0.853,
600315,上海家化,14.652,0.67,
600276,恒瑞医药,17.959,0.637,
600332,白云山,19.839,1.08,
300059,东方财富,24.057,4.807,
002422,科伦药业,26.745,1.077,
600535,天士力,29.385,1.203,
300347,泰格医药,37.702,2.747,
603355,莱克电气,,,
603517,绝味食品,,,
603833,欧派家居,,,
603288,海天味业,,,
