code,name,p_change_01,p_change_02,past_average_turnover,normalizing_std,stop_mark,next_day_up_limit
000820,神雾节能,21.536,-53.698,17.527,0.042,,19.955
300156,神雾环保,4.418,-46.774,8.747,0.033,,16.447
000663,永安林业,4.66,-45.818,4.39,0.013,,12.613
600634,富控互动,2.156,-43.931,6.887,0.033,,11.301
300064,豫金刚石,1.407,-41.925,2.88,0.011,,8.897
002512,达华智能,1.277,-41.74,2.623,0.012,,12.274
000509,华塑控股,1.318,-38.329,2.597,0.015,,4.082
000932,华菱钢铁,6.618,-33.998,1.893,0.032,,7.972
600715,文投控股,0.737,-31.402,2.34,0.013,,13.149
000830,鲁西化工,12.056,-30.619,6.213,0.034,,18.688
600150,中国船舶,5.947,-27.437,2.7,0.041,,19.962
300492,山鼎设计,6.915,-26.514,5.893,0.027,,30.827
600685,中船防务,15.694,-25.95,2.62,0.038,,24.213
300159,新研股份,16.358,-24.461,3.103,0.033,,10.703
600782,新钢股份,6.652,-23.308,2.05,0.033,,6.269
601003,柳钢股份,5.345,-22.966,0.833,0.033,,6.294
002621,三垒股份,10.28,-22.177,0.86,0.042,,15.394
600569,安阳钢铁,0.758,-22.135,1.787,0.016,,4.101
601360,三六零,1.607,-21.575,3.92,0.019,,43.536
002839,张家港行,8.65,-20.926,7.94,0.03,,9.017
600117,西宁特钢,8.579,-20.88,2.427,0.048,,5.432
600789,鲁抗医药,10.628,-20.096,5.327,0.015,,10.275
000717,韶钢松山,2.133,-19.865,1.903,0.022,,6.476
600130,波导股份,5.811,-19.749,1.91,0.024,,6.477
300741,华宝股份,3.404,-19.629,5.667,0.01,,46.471
600581,八一钢铁,3.465,-19.584,4.68,0.029,,13.816
300107,建新股份,25.179,-19.582,18.457,0.074,,10.673
300134,大富科技,3.09,-19.546,1.91,0.024,,14.654
600507,方大特钢,11.024,-19.217,3.29,0.048,,17.76
002061,浙江交科,2.903,-18.985,1.31,0.014,,13.708
600282,南钢股份,3.063,-18.887,1.6,0.021,,4.51
000006,深振业Ａ,2.644,-18.879,1.73,0.016,,7.667
600810,神马股份,6.062,-18.848,2.76,0.017,,9.192
002626,金达威,13.203,-18.39,1.007,0.027,,18.971
002285,世联行,8.501,-18.315,1.253,0.023,,10.046
300277,海联讯,7.752,-18.233,2.36,0.016,,10.52
600231,凌钢股份,4.493,-18.221,1.273,0.023,,4.114
000825,太钢不锈,4.557,-18.17,1.597,0.022,,5.985
600971,恒源煤电,4.653,-18.073,1.44,0.012,,8.758
601666,平煤股份,4.949,-18.013,1.103,0.015,,5.426
002153,石基信息,14.409,-17.715,2.74,0.041,,28.281
002663,普邦股份,0.22,-17.565,1.203,0.012,,4.526
601838,成都银行,4.045,-17.553,9.337,0.012,,11.365
300626,华瑞股份,0.36,-17.529,1.027,0.012,,24.142
600740,山西焦化,4.311,-17.431,6.03,0.028,,11.629
000517,荣安地产,12.243,-17.366,2.043,0.046,,4.631
600188,兖州煤业,10.698,-17.255,1.127,0.031,,14.36
600516,方大炭素,7.554,-17.101,2.693,0.019,,27.433
600671,天目药业,1.894,-16.727,0.637,0.006,,19.108
002698,博实股份,8.053,-16.641,0.873,0.023,,11.234
600526,菲达环保,6.011,-16.62,1.083,0.016,,7.999
000995,皇台酒业,5.577,-16.518,0.997,0.014,,8.116
300644,南京聚隆,14.3,-16.399,29.727,0.044,,50.564
300031,宝通科技,9.022,-16.197,1.173,0.023,,14.628
002440,闰土股份,5.018,-16.184,2.34,0.009,,21.881
002009,天奇股份,12.022,-16.174,2.53,0.03,,16.19
002645,华宏科技,1.611,-15.98,1.487,0.017,,21.317
002045,国光电器,10.901,-15.851,3.557,0.041,,13.278
002189,利达光电,6.32,-15.759,2.45,0.023,,17.362
000410,沈阳机床,17.147,-15.74,6.457,0.053,,12.214
002073,软控股份,7.439,-15.676,1.723,0.028,,8.043
300585,奥联电子,8.96,-15.667,4.06,0.027,,16.766
000898,鞍钢股份,2.401,-15.603,0.507,0.014,,6.199
601636,旗滨集团,2.3,-15.601,2.627,0.018,,6.006
000761,本钢板材,3.24,-15.6,0.423,0.015,,4.601
600499,科达洁能,8.031,-15.569,1.233,0.02,,9.506
000822,山东海化,3.276,-15.554,1.017,0.013,,7.777
601231,环旭电子,5.539,-15.387,0.393,0.008,,13.034
601200,上海环境,5.509,-15.302,1.643,0.015,,19.243
002876,三利谱,2.813,-15.194,3.9,0.017,,62.057
002497,雅化集团,11.75,-15.15,5.21,0.019,,13.988
000983,西山煤电,2.47,-15.089,0.887,0.016,,8.097
002430,杭氧股份,8.536,-15.088,0.58,0.014,,13.622
600596,新安股份,9.871,-15.01,2.813,0.023,,13.854
002232,启明信息,15.357,-14.945,2.613,0.033,,10.924
600643,爱建集团,6.483,-14.789,0.643,0.016,,11.526
002076,雪 莱 特,4.545,-14.757,1.967,0.016,,5.226
300083,劲胜智能,6.714,-14.734,2.06,0.016,,7.626
300320,海达股份,7.42,-14.646,1.457,0.02,,7.682
600808,马钢股份,2.272,-14.624,0.817,0.017,,3.714
002508,老板电器,7.769,-14.593,1.06,0.017,,38.317
300097,智云股份,12.721,-14.563,2.9,0.04,,25.328
600352,浙江龙盛,2.476,-14.516,1.45,0.013,,11.553
000959,首钢股份,3.348,-14.489,0.313,0.023,,5.15
