code,name,p_change_range0,p_change_range1,normalizing_std,mark,stop_mark
601890,亚星锚链,-6.559,7.336,0.025,-48.116824,
002480,新筑股份,-6.829,7.333,0.023,-50.077056999999996,
300183,东软载波,-3.061,7.303,0.021,-22.354483,
300281,金明精机,-2.682,7.274,0.017,-19.508868,
300125,易世达,-1.001,7.04,0.025,-7.047039999999999,
000524,岭南控股,-2.104,6.5,0.018,-13.676,
002599,盛通股份,-1.839,6.187,0.02,-11.377893,
600206,有研新材,-0.434,6.058,0.028,-2.629172,
300271,华宇软件,-1.238,6.045,0.028,-7.483709999999999,
002815,崇达技术,-1.889,5.866,0.019,-11.080874,
600479,千金药业,-0.119,5.656,0.018,-0.6730639999999999,
600879,航天电子,-2.474,5.466,0.026,-13.522884000000001,
000768,中航飞机,-3.583,5.252,0.029,-18.817916,
601226,华电重工,-1.368,5.171,0.025,-7.073928000000001,
300326,凯利泰,-1.378,5.093,0.018,-7.018153999999999,
300523,辰安科技,-4.294,5.09,0.028,-21.85646,
002383,合众思壮,-0.18,5.014,0.029,-0.90252,
600319,亚星化学,-2.623,4.829,0.027,-12.666467,
002727,一心堂,-1.049,4.781,0.022,-5.015268999999999,
002214,大立科技,-0.41,4.734,0.029,-1.9409399999999999,
002408,齐翔腾达,-0.917,4.576,0.027,-4.196192,
300416,苏试试验,-1.263,4.333,0.028,-5.472579,
600681,百川能源,-0.073,4.299,0.011,-0.313827,
002714,牧原股份,-1.671,4.243,0.026,-7.090053000000001,
002465,海格通信,-0.887,4.224,0.023,-3.7466880000000002,
300114,中航电测,-6.184,4.223,0.025,-26.115032,
600893,航发动力,-2.207,4.064,0.02,-8.969248,
600874,创业环保,-6.709,3.975,0.026,-26.668274999999998,
300439,美康生物,-3.003,3.934,0.028,-11.813802,
000688,建新矿业,-2.169,3.42,0.02,-7.41798,
002684,猛狮科技,-3.773,3.372,0.021,-12.722556,
601360,三六零,-5.129,3.311,0.029,-16.982118999999997,
000603,盛达矿业,-1.189,3.155,0.016,-3.751295,
002416,爱施德,-3.708,3.104,0.019,-11.509632000000002,
300516,久之洋,-2.454,2.896,0.023,-7.106784,
300338,开元股份,-1.94,2.895,0.017,-5.6163,
000720,*ST新能,-5.634,2.89,0.022,-16.28226,
300350,华鹏飞,-2.381,2.854,0.025,-6.795374,
002632,道明光学,-0.106,2.78,0.021,-0.29468,
000813,德展健康,-0.838,2.689,0.004,-2.2533819999999998,
000975,银泰资源,-0.451,2.639,0.026,-1.190189,
002317,众生药业,-2.912,2.582,0.016,-7.518783999999999,
002586,围海股份,-0.13,2.518,0.014,-0.32733999999999996,
000856,冀东装备,-6.403,2.505,0.024,-16.039514999999998,
300285,国瓷材料,-0.906,2.446,0.025,-2.216076,
002690,美亚光电,-1.288,2.235,0.013,-2.87868,
002625,光启技术,-4.996,2.225,0.021,-11.116100000000001,
002732,燕塘乳业,-0.935,2.104,0.014,-1.96724,
000560,昆百大Ａ,-0.489,1.978,0.013,-0.9672419999999999,
000938,紫光股份,-2.982,1.91,0.028,-5.69562,
002591,恒大高新,-0.742,1.821,0.013,-1.3511819999999999,
600637,东方明珠,-1.158,1.562,0.018,-1.8087959999999998,
002616,长青集团,-0.641,1.548,0.013,-0.992268,
000677,恒天海龙,-1.796,1.535,0.02,-2.75686,
002179,中航光电,-3.442,1.521,0.021,-5.235282,
