code,name,p_change_01,p_change_02,past_average_turnover,normalizing_std,next_day_to_ma5,close_to_ma5,stop_mark
600157,永泰能源,0.472,-37.674,0.453,0.011,2.145,★,
600321,*ST正源,6.222,-32.002,0.573,0.022,2.352,,
300444,双杰电气,19.963,-30.915,13.063,0.073,16.02,,
002738,中矿资源,6.38,-29.51,2.867,0.033,22.208,,
000586,汇源通信,10.714,-29.187,2.21,0.036,10.335,,
300083,劲胜智能,3.264,-28.467,1.683,0.031,5.618,,
300677,英科医疗,3.86,-25.127,13.677,0.314,43.508,,
300433,蓝思科技,8.413,-22.929,2.053,0.013,21.32,★,
002027,分众传媒,10.421,-22.152,1.733,0.014,11.175,,
300738,奥飞数据,1.063,-21.401,10.32,0.02,59.875,,
300556,丝路视觉,1.423,-21.258,6.75,0.017,22.31,,
002635,安洁科技,7.011,-21.221,5.187,0.025,17.035,,
002600,领益智造,8.688,-20.969,3.323,0.035,6.29,,
002200,云投生态,4.852,-20.701,2.09,0.014,8.688,★,
002365,永安药业,12.321,-19.928,5.75,0.046,25.148,,
000755,*ST三维,10.93,-19.904,0.857,0.033,5.45,,
300392,腾信股份,0.169,-19.236,1.327,0.015,11.638,★,
002322,理工环科,5.602,-19.163,0.85,0.014,14.192,,
300383,光环新网,3.338,-19.106,2.417,0.02,15.658,,
601238,广汽集团,3.042,-19.073,0.127,0.008,18.148,★,
300175,朗源股份,2.534,-19.026,0.763,0.013,5.15,,
002285,世联行,4.096,-18.921,3.323,0.026,8.338,,
002343,慈文传媒,9.242,-18.625,2.033,0.03,33.53,,
000065,北方国际,2.142,-18.124,0.607,0.011,14.662,★,
000672,上峰水泥,6.496,-18.064,2.123,0.017,10.53,,
600272,开开实业,5.183,-17.855,0.913,0.011,9.22,,
002877,智能自控,3.285,-17.792,43.177,0.057,19.548,,
000509,华塑控股,0.326,-17.688,1.583,0.017,3.302,,
002475,立讯精密,5.605,-17.298,0.667,0.023,21.112,★,
002417,深南股份,0.99,-17.022,0.777,0.018,10.362,,
002264,新 华 都,3.556,-16.962,2.557,0.025,8.912,,
002336,人人乐,0.978,-16.441,0.463,0.011,11.647,,
000921,海信科龙,1.067,-16.365,0.593,0.011,10.552,,
600095,哈高科,0.01,-16.271,1.85,0.016,5.352,,
600883,博闻科技,4.275,-16.225,0.637,0.01,8.348,★,
300136,信维通信,3.037,-16.215,1.713,0.013,31.338,★,
600088,中视传媒,4.803,-16.214,0.81,0.016,13.352,,
000985,大庆华科,0.056,-16.166,0.977,0.017,16.27,,
600647,同达创业,1.879,-16.139,0.323,0.017,14.252,,
600560,金自天正,0.877,-16.136,1.683,0.014,10.595,,
300249,依米康,0.133,-16.086,1.233,0.016,7.832,★,
002523,天桥起重,2.629,-16.067,0.57,0.012,5.415,,
002223,鱼跃医疗,1.198,-15.935,2.37,0.019,19.74,,
300731,科创新源,1.702,-15.93,10.087,0.014,31.272,,
000045,深纺织Ａ,0.761,-15.511,0.463,0.011,8.0,,
600622,光大嘉宝,6.006,-15.477,0.75,0.017,11.92,★,
300575,中旗股份,6.329,-15.339,1.647,0.013,38.883,,
601216,君正集团,0.686,-15.318,0.313,0.011,4.385,,
002456,欧菲科技,1.771,-15.311,1.837,0.037,16.898,,
000032,深桑达Ａ,4.074,-15.264,1.167,0.014,9.103,,
300691,联合光电,0.498,-15.231,2.487,0.016,60.832,,
600754,锦江股份,10.5,-15.202,0.417,0.014,32.12,,
300109,新开源,8.415,-15.139,1.697,0.021,37.293,,
300315,掌趣科技,0.875,-15.136,0.8,0.016,5.678,★,
300450,先导智能,4.012,-15.127,3.047,0.037,62.852,,
300593,新雷能,0.116,-14.772,1.883,0.021,21.377,,
600487,亨通光电,2.871,-14.719,2.673,0.027,32.068,★,
002861,瀛通通讯,1.562,-14.619,2.05,0.011,23.835,,
600053,九鼎投资,0.711,-14.542,0.277,0.018,22.54,,
000703,恒逸石化,5.164,-14.451,0.973,0.024,20.61,,
000565,渝三峡Ａ,2.015,-14.425,0.397,0.01,6.02,★,
300313,天山生物,1.128,-14.421,0.687,0.014,8.99,★,
300306,远方信息,0.077,-14.41,1.673,0.014,14.087,,
002639,雪人股份,6.472,-14.357,1.46,0.024,6.71,,
300099,精准信息,2.046,-14.336,1.453,0.014,6.028,★,
002629,仁智股份,9.036,-14.259,2.007,0.034,5.818,,
