code,name,p_change_range0,average_turnover,stop_mark
002847,盐津铺子,2.901,55.997,
300743,天地数码,6.624,53.327,
002910,庄园牧场,24.327,47.357,
300504,天邑股份,-9.586,47.13,
300658,延江股份,24.229,45.997,
300742,越博动力,14.271,45.03,
002865,钧达股份,10.757,44.88,
300634,彩讯股份,-8.255,44.597,
300589,江龙船艇,-5.478,42.317,
300739,明阳电路,4.464,41.537,
002931,锋龙股份,-13.058,41.387,
600929,湖南盐业,-8.489,41.113,
300707,威唐工业,2.774,41.083,
300731,科创新源,33.088,38.523,
300730,科创信息,2.441,38.103,
002893,华通热力,-7.86,36.47,
300664,鹏鹞环保,-13.278,35.98,
300703,创源文化,5.097,35.783,
601619,嘉泽新能,18.037,34.55,
300667,必创科技,-0.067,34.28,
002927,泰永长征,5.811,34.187,
300705,九典制药,0.617,32.863,
002795,永和智控,-13.967,32.107,
002864,盘龙药业,-2.462,30.423,
300643,万通智控,33.161,29.607,
002856,美芝股份,3.904,28.59,
300624,万兴科技,-8.1,28.417,
002929,润建通信,1.148,27.47,
002806,华锋股份,-17.468,26.27,
300733,西菱动力,3.586,26.113,
002889,东方嘉盛,2.383,25.887,
002871,伟隆股份,4.974,25.647,
002919,名臣健康,4.303,25.563,
300722,新余国科,3.986,25.357,
002830,名雕股份,4.878,25.307,
002915,中欣氟材,0.229,25.21,
002622,融钰集团,-0.332,24.77,
002895,川恒股份,-3.397,24.623,
002908,德生科技,-0.451,24.377,
300471,厚普股份,6.843,23.583,
002913,奥士康,3.626,23.54,
300721,怡达股份,-1.597,23.487,
300638,广和通,-5.532,23.477,
300720,海川智能,5.929,22.937,
002922,伊戈尔,2.636,22.667,
300726,宏达电子,2.02,22.573,
300715,凯伦股份,-4.231,22.113,
002903,宇环数控,0.458,21.67,
002921,联诚精密,7.868,21.593,
300727,润禾材料,-5.246,21.38,
300719,安达维尔,6.892,21.24,
300717,华信新材,-2.544,21.15,
300522,世名科技,-3.761,21.053,
601086,国芳集团,9.325,20.793,
002877,智能自控,-9.277,20.76,
300675,建科院,1.706,20.5,
300560,中富通,-2.354,20.473,
300698,万马科技,2.588,19.907,
600933,爱柯迪,0.487,19.52,
002888,惠威科技,-8.662,19.43,
300716,国立科技,1.25,19.33,
300690,双一科技,-0.446,19.253,
002923,润都股份,0.604,18.863,
300697,电工合金,0.964,18.643,
300536,农尚环境,17.597,18.493,
002911,佛燃股份,0.389,18.193,
002878,元隆雅图,1.954,18.157,
300738,奥飞数据,-0.735,18.02,
002596,海南瑞泽,13.188,17.91,
300611,美力科技,3.497,17.783,
002813,路畅科技,9.459,17.76,
000613,大东海A,5.35,17.617,
002881,美格智能,-5.102,17.297,
300390,天华超净,11.681,16.65,
002902,铭普光磁,0.862,16.627,
002917,金奥博,-0.629,16.517,
002909,集泰股份,-1.185,16.333,
300706,阿石创,-2.128,16.327,
002235,安妮股份,4.701,16.277,
300740,御家汇,0.548,16.233,
300677,英科医疗,-1.656,16.2,
300539,横河模具,6.275,16.193,
300736,百华悦邦,-0.275,16.02,
300692,中环环保,-8.167,15.803,
300701,森霸传感,-3.454,15.803,
300107,建新股份,-0.652,15.693,
002890,弘宇股份,-6.511,15.493,
002891,中宠股份,2.795,15.36,
300711,广哈通信,0.071,15.31,
300678,中科信息,1.583,15.293,
300735,光弘科技,-1.167,15.217,
300543,朗科智能,4.688,15.11,
002023,海特高新,8.732,14.927,
300503,昊志机电,-2.887,14.813,
300663,科蓝软件,-6.992,14.653,
300520,科大国创,5.937,14.62,
300597,吉大通信,-2.452,14.563,
300684,中石科技,-5.144,14.537,
300682,朗新科技,3.038,14.297,
600903,贵州燃气,-5.256,13.7,
000014,沙河股份,10.063,13.687,
002907,华森制药,-3.442,13.63,
300688,创业黑马,-6.422,13.473,
300659,中孚信息,-4.237,13.373,
300139,晓程科技,14.497,13.253,
300635,达安股份,2.079,13.12,
300612,宣亚国际,-3.727,12.95,
300556,丝路视觉,18.856,12.48,
300255,常山药业,-12.331,12.41,
300555,路通视信,-2.056,12.147,
601858,中国科传,-3.39,12.133,
002883,中设股份,0.421,12.097,
002760,凤形股份,5.906,12.01,
300519,新光药业,-14.856,12.003,
300680,隆盛科技,33.112,11.983,
300216,千山药机,-6.119,11.96,
002899,英派斯,-0.671,11.883,
300493,润欣科技,7.553,11.877,
002846,英联股份,-0.067,11.84,
002928,华夏航空,0.593,11.803,
300487,蓝晓科技,0.396,11.763,
300665,飞鹿股份,0.031,11.753,
300686,智动力,-1.043,11.523,
300729,乐歌股份,3.083,11.257,
300598,诚迈科技,-0.282,11.24,
002882,金龙羽,2.274,11.143,
002906,华阳集团,3.7,11.127,
002137,麦达数字,3.307,11.127,
300718,长盛轴承,0.281,11.017,
300696,爱乐达,-0.146,11.0,
300702,天宇股份,2.136,10.98,
002916,深南电路,-4.009,10.977,
002896,中大力德,-1.889,10.847,
002886,沃特股份,-4.154,10.823,
002229,鸿博股份,4.411,10.803,
002774,快意电梯,8.43,10.763,
300649,杭州园林,0.241,10.703,
300462,华铭智能,0.288,10.683,
002198,嘉应制药,-23.77,10.627,
002845,同兴达,-2.664,10.623,
002848,高斯贝尔,-5.746,10.56,
300515,三德科技,-5.386,10.547,
300077,国民技术,-4.223,10.54,
002863,今飞凯达,-0.691,10.52,
002897,意华股份,-2.843,10.51,
300585,奥联电子,3.001,10.413,
300737,科顺股份,-0.852,10.363,
300668,杰恩设计,-0.519,10.35,
002875,安奈儿,-5.652,10.25,
002855,捷荣技术,1.713,10.24,
300615,欣天科技,-5.234,10.187,
002762,金发拉比,0.06,10.11,
300654,世纪天鸿,3.061,10.07,
002796,世嘉科技,3.072,10.053,
002767,先锋电子,-2.347,9.917,
300693,盛弘股份,-3.391,9.873,
002900,哈三联,0.148,9.833,
600996,贵广网络,4.222,9.823,
002879,长缆科技,1.556,9.803,
600555,海航创新,15.849,9.733,
300732,设研院,-3.903,9.713,
300177,中海达,14.264,9.687,
300725,药石科技,0.887,9.57,
002264,新 华 都,11.213,9.547,
002805,丰元股份,19.838,9.527,
002820,桂发祥,-5.127,9.483,
002802,洪汇新材,-0.443,9.433,
002898,赛隆药业,-0.279,9.383,
600666,奥瑞德,-2.551,9.34,
600536,中国软件,1.09,9.15,
300723,一品红,-2.182,9.06,
002725,跃岭股份,33.257,9.05,
002836,新宏泽,1.39,9.033,
300333,兆日科技,-2.297,9.003,
002885,京泉华,0.806,8.94,
300481,濮阳惠成,3.036,8.937,
002925,盈趣科技,-1.979,8.883,
300708,聚灿光电,-0.798,8.75,
300712,永福股份,-0.675,8.63,
300653,正海生物,16.269,8.55,
300084,海默科技,-10.653,8.52,
600901,江苏租赁,-0.862,8.507,
300599,雄塑科技,6.426,8.507,
300505,川金诺,-0.296,8.477,
300666,江丰电子,-6.275,8.363,
000886,海南高速,8.223,8.3,
002320,海峡股份,13.617,8.22,
002873,新天药业,-1.568,8.213,
300710,万隆光电,-2.089,8.14,
300340,科恒股份,1.758,7.97,
002869,金溢科技,-0.094,7.95,
300038,梅泰诺,-8.007,7.937,
600789,鲁抗医药,0.354,7.88,
300563,神宇股份,-3.243,7.83,
300604,长川科技,-5.952,7.733,
600689,上海三毛,7.143,7.727,
002912,中新赛克,-3.009,7.623,
300553,集智股份,0.949,7.597,
300579,数字认证,-2.478,7.59,
002858,力盛赛车,-7.33,7.583,
002693,双成药业,-0.13,7.557,
300671,富满电子,-6.191,7.54,
300652,雷迪克,3.591,7.473,
300223,北京君正,-2.853,7.473,
300511,雪榕生物,-4.155,7.47,
002782,可立克,-2.795,7.463,
600711,盛屯矿业,-10.333,7.457,
300578,会畅通讯,-9.948,7.423,
300673,佩蒂股份,3.275,7.423,
300689,澄天伟业,-1.833,7.41,
000757,浩物股份,13.082,7.39,
300479,神思电子,-1.013,7.313,
000760,斯太尔,16.853,7.283,
300067,安诺其,-3.879,7.257,
300570,太辰光,-5.299,7.217,
300368,汇金股份,0.962,6.98,
600721,百花村,3.193,6.95,
002920,德赛西威,0.598,6.947,
600476,湘邮科技,-1.696,6.947,
300640,德艺文创,0.429,6.933,
002918,蒙娜丽莎,1.163,6.913,
601828,美凯龙,-0.907,6.853,
002265,西仪股份,10.197,6.843,
300700,岱勒新材,-1.751,6.843,
300713,英可瑞,-2.132,6.807,
600756,浪潮软件,-3.863,6.797,
300528,幸福蓝海,0.645,6.747,
002827,高争民爆,1.751,6.727,
300534,陇神戎发,-3.225,6.723,
300531,优博讯,-1.584,6.717,
300687,赛意信息,-1.119,6.673,
000670,盈方微,-3.195,6.623,
300565,科信技术,-5.381,6.567,
300605,恒锋信息,-4.293,6.56,
300106,西部牧业,-0.884,6.527,
002892,科力尔,0.351,6.413,
601838,成都银行,-1.449,6.41,
002208,合肥城建,1.886,6.333,
002837,英维克,-0.825,6.327,
002633,申科股份,-10.962,6.24,
300631,久吾高科,-5.864,6.237,
300662,科锐国际,-4.78,6.217,
300512,中亚股份,-7.495,6.183,
300507,苏奥传感,-0.229,6.177,
300509,新美星,-7.146,6.16,
600810,神马股份,-5.052,6.157,
300056,三维丝,19.302,6.147,
300542,新晨科技,-3.493,6.143,
300584,海辰药业,18.72,6.103,
300526,中潜股份,-4.643,6.093,
002172,澳洋科技,-6.294,6.087,
000507,珠海港,3.091,6.067,
600740,山西焦化,-8.945,6.043,
300622,博士眼镜,1.235,6.04,
002905,金逸影视,-0.668,6.007,
300514,友讯达,-2.334,6.007,
002492,恒基达鑫,-0.828,6.0,
002809,红墙股份,3.507,5.997,
000820,神雾节能,-12.687,5.97,
300235,方直科技,2.887,5.947,
300164,通源石油,-10.65,5.937,
300648,星云股份,-0.526,5.923,
300590,移为通信,-3.886,5.907,
300741,华宝股份,-3.712,5.9,
002234,民和股份,-2.062,5.88,
300370,安控科技,-0.235,5.837,
300610,晨化股份,-1.224,5.827,
300466,赛摩电气,-7.546,5.823,
600634,*ST富控,-3.258,5.783,
300032,金龙机电,-10.415,5.733,
002793,东音股份,0.259,5.723,
600596,新安股份,-7.678,5.713,
