ts_code,buy,sell,net_buy
000031.SZ,3917.83,3292.65,625.18
000150.SZ,10726.59,11743.35,-1016.78
000413.SZ,12605.1,4303.03,8302.09
000416.SZ,1848.38,2305.01,-456.64
000517.SZ,6199.98,3350.6,2849.38
000622.SZ,1903.79,1780.53,123.26
000677.SZ,596.99,1039.49,-442.5
000711.SZ,10707.62,51080.2,-40372.6
000800.SZ,4598.08,8732.76,-4134.66
000927.SZ,1948.52,682.23,1266.29
002025.SZ,6341.26,13957.96,-7616.71
002034.SZ,1972.34,4736.34,-2763.98
002072.SZ,3806.56,2509.54,1297.0
002076.SZ,3959.36,1513.08,2446.28
002377.SZ,4849.6,3722.64,1126.92
002451.SZ,3338.1,3622.45,-284.35
002650.SZ,2244.65,3152.15,-907.5
002655.SZ,411.51,507.95,-96.44
002708.SZ,1718.18,288.98,1429.2
002848.SZ,4905.95,1527.68,3378.27
002857.SZ,5438.62,8166.16,-2727.5
002899.SZ,1667.22,516.74,1150.47
002909.SZ,2004.48,714.49,1290.01
002929.SZ,4641.3,917.75,3723.58
002931.SZ,1238.18,4400.99,-3162.81
002935.SZ,2386.78,3551.17,-1164.4
002937.SZ,4012.11,4414.57,-402.46
002939.SZ,683.11,19.25,663.86
200413.SZ,412.56,326.82,85.74
300083.SZ,5166.24,10235.31,-5069.05
300120.SZ,751.55,775.6,-24.06
300162.SZ,2511.22,1549.72,961.48
300466.SZ,640.36,1622.17,-981.81
300610.SZ,1419.15,774.34,644.81
300643.SZ,2012.43,420.46,1591.96
300670.SZ,2983.26,6611.64,-3628.36
300686.SZ,5999.48,4565.96,1433.5
300694.SZ,4942.89,3867.55,1075.32
300736.SZ,1930.03,4278.89,-2348.86
300747.SZ,8780.05,13325.98,-4545.93
300748.SZ,5904.68,11086.5,-5181.82
300749.SZ,2905.13,2865.72,39.39
300750.SZ,15831.99,14991.88,840.09
600173.SH,1434.49,1229.66,204.83
600298.SH,3822.77,11534.48,-7711.71
600695.SH,3855.55,4055.55,-200.0
600758.SH,897.74,415.68,482.06
600867.SH,56565.08,73056.74,-16491.66
601162.SH,1285.6,47.72,1237.88
601990.SH,6767.09,10598.52,-3831.43
603386.SH,516.66,317.95,198.71
603579.SH,765.34,4262.42,-3497.08
603583.SH,19901.84,20425.22,-523.38
603701.SH,1398.49,316.18,1082.31
603778.SH,1975.48,417.7,1557.78
603790.SH,2152.49,2265.27,-112.78


,trade_date,ts_code,exalter,buy,buy_rate,sell,sell_rate,net_buy
0,20181026,000031.SZ,光大证券股份有限公司湛江海滨大道南证券营业部,1084.05,8.7,0.0,0.0,1084.05
1,20181026,000031.SZ,中航证券有限公司广州天河北路证券营业部,896.63,7.2,0.0,0.0,896.63
2,20181026,000031.SZ,中国中投证券有限责任公司无锡清扬路证券营业部,825.32,6.62,2.07,0.02,823.25
3,20181026,000031.SZ,首创证券有限责任公司上海共和新路证券营业部,551.43,4.43,0.0,0.0,551.43
4,20181026,000031.SZ,华泰证券股份有限公司太原体育路证券营业部,516.9,4.15,0.0,0.0,516.9
5,20181026,000031.SZ,深股通专用,42.99,0.35,1496.91,12.01,-1453.92
6,20181026,000031.SZ,东兴证券股份有限公司福州学军路证券营业部,0.0,0.0,567.16,4.55,-567.16
7,20181026,000031.SZ,兴业证券股份有限公司晋江泉安路证券营业部,0.51,0.0,431.97,3.47,-431.46
8,20181026,000031.SZ,机构专用,0.0,0.0,422.39,3.39,-422.39
9,20181026,000031.SZ,机构专用,0.0,0.0,372.15,2.99,-372.15
10,20181026,000150.SZ,安信证券股份有限公司汕头金砂路第一证券营业部,2790.31,8.67,25.21,0.08,2765.1
11,20181026,000150.SZ,东方证券股份有限公司深圳金田路证券营业部,2220.2,6.9,0.0,0.0,2220.2
12,20181026,000150.SZ,中信证券股份有限公司义乌城中中路证券营业部,2019.09,6.27,224.62,0.7,1794.47
13,20181026,000150.SZ,中国银河证券股份有限公司汕头澄海证券营业部,1947.59,6.05,104.07,0.32,1843.51
14,20181026,000150.SZ,安信证券股份有限公司潮州饶平证券营业部,1701.19,5.29,0.0,0.0,1701.19
15,20181026,000150.SZ,华泰证券股份有限公司北京雍和宫证券营业部,5.93,0.02,8001.01,24.86,-7995.08
16,20181026,000150.SZ,宏信证券有限责任公司上海分公司,0.0,0.0,2008.54,6.24,-2008.54
17,20181026,000150.SZ,联储证券有限责任公司厦门东港北路证券营业部,9.97,0.03,535.59,1.66,-525.62
18,20181026,000150.SZ,华西证券股份有限公司广汉湖南路证券营业部,4.73,0.01,492.29,1.53,-487.57
19,20181026,000150.SZ,广发证券股份有限公司汕头海滨路证券营业部,27.58,0.09,352.02,1.09,-324.44
20,20181026,000413.SZ,光大证券股份有限公司宁波解放南路证券营业部,6945.43,13.21,6.36,0.01,6939.07
21,20181026,000413.SZ,国盛证券有限责任公司南昌象山南路证券营业部,2055.76,3.91,1.99,0.0,2053.77
22,20181026,000413.SZ,兴业证券股份有限公司泉州分公司,1591.19,3.03,0.0,0.0,1591.19
23,20181026,000413.SZ,华泰证券股份有限公司深圳深南大道证券营业部,736.65,1.4,50.19,0.1,686.46
24,20181026,000413.SZ,中信证券股份有限公司上海沪闵路证券营业部,698.3,1.33,9.35,0.02,688.95
25,20181026,000413.SZ,国金证券股份有限公司沈阳青年大街证券营业部,0.0,0.0,2291.97,4.36,-2291.97
26,20181026,000413.SZ,平安证券股份有限公司深圳深南东路罗湖商务中心证券营业部,567.82,1.08,636.88,1.21,-69.06
27,20181026,000413.SZ,东北证券股份有限公司长春西安大路证券营业部,2.57,0.0,491.15,0.93,-488.57
28,20181026,000413.SZ,招商证券股份有限公司深圳南山南油大道证券营业部,4.78,0.01,421.44,0.8,-416.66
29,20181026,000413.SZ,申万宏源证券有限公司上海青浦区公园路证券营业部,2.6,0.0,393.7,0.75,-391.09
30,20181026,000416.SZ,广发证券股份有限公司泉州涂门街证券营业部,517.24,2.83,0.96,0.01,516.28
31,20181026,000416.SZ,财通证券股份有限公司温岭中华路证券营业部,387.41,2.12,220.11,1.2,167.3
32,20181026,000416.SZ,民生证券股份有限公司驻马店交通路证券营业部,214.17,1.17,45.74,0.25,168.42
33,20181026,000416.SZ,华泰证券股份有限公司常州和平北路证券营业部,142.18,0.78,26.88,0.15,115.3
34,20181026,000416.SZ,华融证券股份有限公司青岛苗岭路证券营业部,139.71,0.76,0.0,0.0,139.71
35,20181026,000416.SZ,海通证券股份有限公司天津霞光道证券营业部,18.76,0.1,648.93,3.55,-630.17
36,20181026,000416.SZ,国融证券股份有限公司武汉珞瑜路证券营业部,0.0,0.0,569.99,3.12,-569.99
37,20181026,000416.SZ,联讯证券股份有限公司江门发展大道证券营业部,41.5,0.23,312.98,1.71,-271.48
38,20181026,000416.SZ,国元证券股份有限公司宣城叠嶂西路证券营业部,0.0,0.0,259.31,1.42,-259.31
39,20181026,000416.SZ,财通证券股份有限公司温岭中华路证券营业部,387.41,2.12,220.11,1.2,167.3
40,20181026,000517.SZ,海通证券股份有限公司蚌埠中荣街证券营业部,1286.95,15.93,0.0,0.0,1286.95
41,20181026,000517.SZ,光大证券股份有限公司宁波甬江大道证券营业部,568.03,7.03,0.0,0.0,568.03
42,20181026,000517.SZ,华鑫证券有限责任公司南昌红谷中大道证券营业部,513.18,6.35,0.0,0.0,513.18
43,20181026,000517.SZ,中国中投证券有限责任公司无锡清扬路证券营业部,470.72,5.83,0.0,0.0,470.72
44,20181026,000517.SZ,华泰证券股份有限公司北京广渠门内大街证券营业部,259.39,3.21,0.0,0.0,259.39
45,20181026,000517.SZ,中国中投证券有限责任公司南京中央路证券营业部,0.28,0.0,513.38,6.36,-513.1
46,20181026,000517.SZ,国融证券股份有限公司杭州江晖路证券营业部,0.0,0.0,390.18,4.83,-390.18
47,20181026,000517.SZ,光大证券股份有限公司宁波悦盛路证券营业部,0.0,0.0,271.34,3.36,-271.34
48,20181026,000517.SZ,华创证券有限责任公司上海东方路证券营业部,0.0,0.0,252.37,3.12,-252.37
49,20181026,000517.SZ,国泰君安证券股份有限公司福州华林路证券营业部,1.44,0.02,248.03,3.07,-246.59
50,20181026,000517.SZ,海通证券股份有限公司蚌埠中荣街证券营业部,1286.95,15.93,0.0,0.0,1286.95
51,20181026,000517.SZ,光大证券股份有限公司宁波甬江大道证券营业部,568.03,7.03,0.0,0.0,568.03
52,20181026,000517.SZ,华鑫证券有限责任公司南昌红谷中大道证券营业部,513.18,6.35,0.0,0.0,513.18
53,20181026,000517.SZ,中国中投证券有限责任公司无锡清扬路证券营业部,470.72,5.83,0.0,0.0,470.72
54,20181026,000517.SZ,华泰证券股份有限公司北京广渠门内大街证券营业部,259.39,3.21,0.0,0.0,259.39
55,20181026,000517.SZ,中国中投证券有限责任公司南京中央路证券营业部,0.28,0.0,513.38,6.36,-513.1
56,20181026,000517.SZ,国融证券股份有限公司杭州江晖路证券营业部,0.0,0.0,390.18,4.83,-390.18
57,20181026,000517.SZ,光大证券股份有限公司宁波悦盛路证券营业部,0.0,0.0,271.34,3.36,-271.34
58,20181026,000517.SZ,华创证券有限责任公司上海东方路证券营业部,0.0,0.0,252.37,3.12,-252.37
59,20181026,000517.SZ,国泰君安证券股份有限公司福州华林路证券营业部,1.44,0.02,248.03,3.07,-246.59
60,20181026,000622.SZ,湘财证券股份有限公司台州祥和路证券营业部,615.04,10.76,0.0,0.0,615.04
61,20181026,000622.SZ,东兴证券股份有限公司上海肇嘉浜路证券营业部,445.06,7.79,0.0,0.0,445.06
