ts_code,buy,sell,net_buy
000007.SZ,2557.02,2010.37,546.65
000333.SZ,145823.87,264823.63,-118999.75
000416.SZ,4198.11,1320.9,2877.19
000517.SZ,3294.51,4114.28,-819.8
000526.SZ,2837.72,4464.26,-1626.52
000596.SZ,8002.03,7167.85,834.18
000622.SZ,2936.53,3033.37,-96.85
000858.SZ,48792.58,29879.63,18912.95
000860.SZ,7513.11,10862.5,-3349.37
000927.SZ,2340.82,3054.5,-713.68
000953.SZ,1853.77,2491.33,-637.55
002016.SZ,1305.02,2565.57,-1260.54
002052.SZ,764.09,1764.05,-999.96
002076.SZ,1794.74,1923.79,-129.07
002112.SZ,4459.95,3856.48,603.47
002263.SZ,4016.28,2643.41,1372.88
002304.SZ,64778.13,49157.32,15620.82
002427.SZ,8093.64,3662.08,4431.57
002707.SZ,1210.52,3421.04,-2210.51
002708.SZ,891.27,1969.68,-1078.4
002845.SZ,3463.35,3409.04,54.32
002848.SZ,1433.89,5117.85,-3683.96
002857.SZ,3409.12,3009.25,399.87
002862.SZ,9789.84,3573.72,6216.15
002902.SZ,6210.46,5657.2,553.26
002931.SZ,1685.74,1793.89,-108.15
002937.SZ,14330.88,6651.24,7679.6
002940.SZ,3340.58,478.21,2862.35
200418.SZ,2334.31,3478.01,-1143.69
200550.SZ,42.26,113.68,-71.42
200596.SZ,893.94,1284.55,-390.61
300096.SZ,2562.74,367.8,2194.94
300104.SZ,4390.65,9658.04,-5267.39
300279.SZ,1533.84,0.0,1533.84
300482.SZ,1947.83,2798.47,-850.64
300492.SZ,2944.01,1117.51,1826.5
300508.SZ,9233.1,8273.01,960.12
300571.SZ,1798.58,3655.64,-1857.06
300612.SZ,3144.99,911.04,2233.95
300618.SZ,3731.52,7412.43,-3680.9
300693.SZ,1789.25,863.52,925.74
300694.SZ,2871.52,3330.07,-458.54
300736.SZ,1438.1,2213.34,-775.24
300748.SZ,2705.73,4296.97,-1591.28
300749.SZ,1916.65,3366.36,-1449.7
600156.SH,1794.44,695.98,1098.46
600173.SH,3136.62,4395.98,-1259.36
600188.SH,6994.38,14043.69,-7049.31
600695.SH,1773.68,3332.21,-1558.53
600701.SH,716.65,1064.62,-347.97
600807.SH,3378.91,1620.54,1758.37
600872.SH,30544.37,44468.49,-13924.12
601162.SH,1022.39,31.5,990.89
601218.SH,1240.8,553.68,687.12
603032.SH,2155.06,5936.46,-3781.4
603089.SH,762.6,435.46,327.14
603583.SH,9463.62,12592.74,-3129.12
603669.SH,1128.1,642.39,485.71
603778.SH,774.42,1936.64,-1162.22
603790.SH,1303.3,1812.95,-509.65
900919.SH,9.58,14.83,-5.25


,trade_date,ts_code,exalter,buy,buy_rate,sell,sell_rate,net_buy
0,20181029,000007.SZ,西藏东方财富证券股份有限公司拉萨团结路第二证券营业部,410.51,1.74,275.28,1.17,135.23
1,20181029,000007.SZ,中信证券股份有限公司北京天通苑证券营业部,407.23,1.72,151.1,0.64,256.13
2,20181029,000007.SZ,东海证券股份有限公司洛阳周山路证券营业部,359.81,1.52,17.58,0.07,342.23
3,20181029,000007.SZ,民生证券股份有限公司驻马店交通路证券营业部,354.76,1.5,104.03,0.44,250.73
4,20181029,000007.SZ,国泰君安证券股份有限公司上海福山路证券营业部,300.64,1.27,0.0,0.0,300.64
5,20181029,000007.SZ,国金证券股份有限公司上海奉贤区金碧路证券营业部,215.84,0.91,551.87,2.34,-336.03
6,20181029,000007.SZ,西藏东方财富证券股份有限公司拉萨团结路第二证券营业部,410.51,1.74,275.28,1.17,135.23
7,20181029,000007.SZ,华鑫证券有限责任公司马鞍山分公司,0.0,0.0,214.99,0.91,-214.99
8,20181029,000007.SZ,华泰证券股份有限公司厦门厦禾路证券营业部,84.01,0.36,213.64,0.9,-129.63
9,20181029,000007.SZ,财通证券股份有限公司温岭中华路证券营业部,13.71,0.06,206.6,0.87,-192.89
10,20181029,000333.SZ,深股通专用,46865.2,12.98,104483.12,28.94,-57617.92
11,20181029,000333.SZ,机构专用,17129.18,4.74,1569.7,0.43,15559.49
12,20181029,000333.SZ,机构专用,15364.86,4.26,0.0,0.0,15364.86
13,20181029,000333.SZ,机构专用,7064.53,1.96,0.0,0.0,7064.53
14,20181029,000333.SZ,机构专用,6267.45,1.74,17435.48,4.83,-11168.03
15,20181029,000333.SZ,深股通专用,46865.2,12.98,104483.12,28.94,-57617.92
16,20181029,000333.SZ,机构专用,6267.45,1.74,17435.48,4.83,-11168.03
17,20181029,000333.SZ,机构专用,0.0,0.0,6759.5,1.87,-6759.5
18,20181029,000333.SZ,机构专用,0.0,0.0,6384.14,1.77,-6384.14
19,20181029,000333.SZ,机构专用,0.0,0.0,6273.09,1.74,-6273.09
20,20181029,000416.SZ,中国中投证券有限责任公司无锡清扬路证券营业部,1030.11,6.55,10.0,0.06,1020.11
21,20181029,000416.SZ,方正证券股份有限公司上海杨高南路证券营业部,861.3,5.47,24.03,0.15,837.27
22,20181029,000416.SZ,新时代证券股份有限公司宜昌东山大道证券营业部,655.2,4.16,0.22,0.0,654.99
23,20181029,000416.SZ,海通证券股份有限公司杭州解放路证券营业部,559.57,3.56,26.97,0.17,532.6
24,20181029,000416.SZ,广发证券股份有限公司泉州涂门街证券营业部,457.3,2.91,209.79,1.33,247.5
25,20181029,000416.SZ,财通证券股份有限公司温岭中华路证券营业部,0.13,0.0,335.44,2.13,-335.31
26,20181029,000416.SZ,广发证券股份有限公司泉州涂门街证券营业部,457.3,2.91,209.79,1.33,247.5
27,20181029,000416.SZ,信达证券股份有限公司辽阳工农大街证券营业部,176.8,1.12,180.44,1.15,-3.64
28,20181029,000416.SZ,民生证券股份有限公司驻马店交通路证券营业部,0.4,0.0,167.55,1.07,-167.16
29,20181029,000416.SZ,华泰证券股份有限公司绍兴府山证券营业部,0.0,0.0,156.67,1.0,-156.67
30,20181029,000517.SZ,中国银河证券股份有限公司杭州新塘路证券营业部,1140.04,3.83,4.6,0.02,1135.43
31,20181029,000517.SZ,东兴证券股份有限公司泉州丰泽街证券营业部,1087.25,3.65,34.14,0.11,1053.11
32,20181029,000517.SZ,光大证券股份有限公司杭州庆春路证券营业部,425.85,1.43,0.0,0.0,425.85
33,20181029,000517.SZ,西藏东方财富证券股份有限公司拉萨团结路第二证券营业部,335.68,1.13,113.38,0.38,222.29
34,20181029,000517.SZ,国信证券股份有限公司杭州市心中路证券营业部,299.98,1.01,19.84,0.07,280.14
35,20181029,000517.SZ,海通证券股份有限公司蚌埠中荣街证券营业部,0.25,0.0,1414.95,4.76,-1414.7
36,20181029,000517.SZ,海通证券股份有限公司天津霞光道证券营业部,4.04,0.01,826.84,2.78,-822.8
37,20181029,000517.SZ,光大证券股份有限公司宁波甬江大道证券营业部,0.0,0.0,620.83,2.09,-620.83
38,20181029,000517.SZ,华鑫证券有限责任公司南昌红谷中大道证券营业部,1.42,0.0,559.1,1.88,-557.69
39,20181029,000517.SZ,中国中投证券有限责任公司无锡清扬路证券营业部,0.0,0.0,520.6,1.75,-520.6
40,20181029,000526.SZ,国金证券股份有限公司成都青白江青江东路证券营业部,433.68,2.96,1.04,0.01,432.64
41,20181029,000526.SZ,中国银河证券股份有限公司北京建国路证券营业部,304.63,2.08,0.0,0.0,304.63
42,20181029,000526.SZ,华鑫证券有限责任公司南昌红谷中大道证券营业部,291.3,1.99,0.0,0.0,291.3
43,20181029,000526.SZ,华泰证券股份有限公司浙江分公司,208.8,1.43,0.0,0.0,208.8
44,20181029,000526.SZ,中国银河证券股份有限公司上海肇嘉浜路证券营业部,173.78,1.19,6.35,0.04,167.43
45,20181029,000526.SZ,兴业证券股份有限公司杭州清泰街证券营业部,0.0,0.0,886.41,6.06,-886.41
46,20181029,000526.SZ,中信建投证券股份有限公司北京三里河路证券营业部,2.26,0.02,403.99,2.76,-401.72
47,20181029,000526.SZ,海通证券股份有限公司宁波中山东路证券营业部,4.41,0.03,378.69,2.59,-374.28
48,20181029,000526.SZ,中国银河证券股份有限公司上海浦东新区源深路证券营业部,0.0,0.0,284.96,1.95,-284.96
49,20181029,000526.SZ,财富证券有限责任公司杭州绍兴路证券营业部,0.0,0.0,270.69,1.85,-270.69
50,20181029,000526.SZ,国金证券股份有限公司成都青白江青江东路证券营业部,433.68,2.96,1.04,0.01,432.64
51,20181029,000526.SZ,中国银河证券股份有限公司北京建国路证券营业部,304.63,2.08,0.0,0.0,304.63
