ts_code,buy,sell,net_buy
000526.SZ,2809.41,4943.11,-2133.68
000670.SZ,3058.68,813.36,2245.32
000831.SZ,3920.36,1782.87,2137.48
000971.SZ,2117.23,998.36,1118.86
000989.SZ,18172.92,5618.19,12554.73
002098.SZ,3747.63,2105.39,1642.25
002326.SZ,4133.24,2258.02,1875.22
002366.SZ,5924.27,2120.0,3804.27
002617.SZ,3670.0,4152.02,-482.02
002629.SZ,1625.45,1070.59,554.87
002668.SZ,4307.74,4609.52,-301.78
002687.SZ,2547.08,3334.53,-787.45
002766.SZ,5926.46,2459.0,3467.46
002860.SZ,1819.13,1218.95,600.16
002923.SZ,8196.34,4730.96,3465.39
002931.SZ,1848.48,1772.43,76.05
002933.SZ,1737.24,3317.35,-1580.11
002937.SZ,5916.16,5146.07,770.09
002940.SZ,5122.33,5066.69,55.67
300013.SZ,3284.2,4461.5,-1177.3
300173.SZ,3984.29,3610.72,373.57
300202.SZ,3782.67,2391.04,1391.63
300492.SZ,2544.25,1284.12,1260.15
300508.SZ,1960.69,1934.02,26.65
300680.SZ,3592.46,1947.03,1645.44
300694.SZ,29455.11,26403.87,3051.24
300736.SZ,1373.86,1349.67,24.2
300746.SZ,1328.33,4572.36,-3244.04
300748.SZ,4824.33,3162.29,1662.03
300749.SZ,3831.81,2469.4,1362.41
600226.SH,116.27,347.47,-231.2
600355.SH,2723.39,2464.2,259.19
600796.SH,87.89,318.57,-230.68
600856.SH,5141.32,2429.7,2711.62
601208.SH,534.36,95.69,438.67
601990.SH,7662.15,15765.29,-8103.14
603031.SH,210.74,1314.9,-1104.16
603032.SH,8886.64,2629.26,6257.38
603076.SH,2544.78,4423.32,-1878.54
603790.SH,4353.01,2567.19,1785.82
900907.SH,54.78,33.03,21.75
900919.SH,49.43,45.84,3.59


,trade_date,ts_code,exalter,buy,buy_rate,sell,sell_rate,net_buy
0,20181031,000526.SZ,湘财证券股份有限公司台州祥和路证券营业部,838.89,2.59,303.55,0.94,535.34
1,20181031,000526.SZ,国泰君安证券股份有限公司上海打浦路证券营业部,567.08,1.75,0.0,0.0,567.08
2,20181031,000526.SZ,国泰君安证券股份有限公司上海分公司,503.4,1.55,0.0,0.0,503.4
3,20181031,000526.SZ,中国中投证券有限责任公司无锡清扬路证券营业部,455.03,1.4,9.52,0.03,445.51
4,20181031,000526.SZ,财富证券有限责任公司杭州庆春路证券营业部,441.22,1.36,446.99,1.38,-5.76
5,20181031,000526.SZ,长江证券股份有限公司上海世纪大道证券营业部,0.0,0.0,1567.84,4.84,-1567.84
6,20181031,000526.SZ,浙商证券股份有限公司温岭人民东路证券营业部,0.0,0.0,871.93,2.69,-871.93
7,20181031,000526.SZ,海通证券股份有限公司宁波中山东路证券营业部,2.82,0.01,636.05,1.96,-633.23
8,20181031,000526.SZ,华泰证券股份有限公司南通分公司,0.0,0.0,577.19,1.78,-577.19
9,20181031,000526.SZ,中信建投证券股份有限公司长沙芙蓉中路证券营业部,0.97,0.0,530.04,1.64,-529.06
10,20181031,000670.SZ,国泰君安证券股份有限公司顺德大良证券营业部,1068.8,10.78,0.0,0.0,1068.8
11,20181031,000670.SZ,东莞证券股份有限公司重庆市渝中区中山一路证券营业部,565.39,5.7,0.0,0.0,565.39
12,20181031,000670.SZ,中信建投证券股份有限公司上海华灵路证券营业部,501.0,5.05,6.34,0.06,494.66
13,20181031,000670.SZ,华宝证券有限责任公司舟山解放西路证券营业部,478.42,4.82,0.0,0.0,478.42
14,20181031,000670.SZ,华福证券有限责任公司义乌宾王路证券营业部,437.81,4.41,0.0,0.0,437.81
15,20181031,000670.SZ,国信证券股份有限公司上海北京东路证券营业部,2.46,0.02,220.39,2.22,-217.93
16,20181031,000670.SZ,信达证券股份有限公司调兵山迎宾路证券营业部,0.0,0.0,176.7,1.78,-176.7
17,20181031,000670.SZ,国信证券股份有限公司广州东风中路证券营业部,1.64,0.02,156.31,1.58,-154.67
18,20181031,000670.SZ,招商证券股份有限公司上海樱花路证券营业部,0.0,0.0,138.52,1.4,-138.52
19,20181031,000670.SZ,平安证券股份有限公司佛山季华四路证券营业部,3.16,0.03,115.1,1.16,-111.94
20,20181031,000831.SZ,平安证券股份有限公司深圳深南东路罗湖商务中心证券营业部,1027.07,3.55,186.61,0.64,840.46
21,20181031,000831.SZ,光大证券股份有限公司宁波甬江大道证券营业部,987.0,3.41,0.0,0.0,987.0
22,20181031,000831.SZ,安信证券股份有限公司广州新港西路证券营业部,564.37,1.95,20.23,0.07,544.14
23,20181031,000831.SZ,中国中投证券有限责任公司南京太平南路证券营业部,551.03,1.9,0.0,0.0,551.03
24,20181031,000831.SZ,华泰证券股份有限公司上海武定路证券营业部,469.54,1.62,61.56,0.21,407.97
