ts_code,buy,sell,net_buy
000150.SZ,13099.59,6345.66,6753.92
000609.SZ,2196.39,1034.35,1162.03
000633.SZ,4621.52,8105.28,-3483.74
000893.SZ,684.68,1400.53,-715.83
000953.SZ,2459.57,2690.55,-230.98
000993.SZ,1951.77,1388.29,563.48
002098.SZ,11722.65,20335.14,-8612.55
002147.SZ,1035.44,1253.23,-217.79
002445.SZ,166.22,531.15,-364.93
002563.SZ,3039.14,2085.5,953.66
002617.SZ,155.95,0.0,155.95
002668.SZ,460.52,1006.03,-545.51
002687.SZ,2557.15,2219.71,337.44
002776.SZ,11077.27,9164.52,1912.73
002843.SZ,5919.72,3511.1,2408.63
002923.SZ,8245.9,9093.91,-848.02
002931.SZ,2200.6,1922.88,277.72
002933.SZ,3727.5,2781.86,945.62
002937.SZ,6171.83,6512.15,-340.32
002939.SZ,9414.29,4365.4,5048.89
002940.SZ,3680.98,4491.97,-811.0
300104.SZ,15694.8,4891.44,10803.36
300169.SZ,653.06,949.86,-296.8
300173.SZ,4074.38,3692.38,381.99
300279.SZ,5140.26,5254.46,-114.24
300492.SZ,2169.2,8629.74,-6460.56
300543.SZ,2729.17,895.66,1833.51
300561.SZ,3733.19,3070.61,662.58
300670.SZ,2693.75,3430.99,-737.24
300694.SZ,16758.45,28853.07,-12094.68
300736.SZ,1192.67,1615.88,-423.24
300748.SZ,21321.2,9363.44,11957.8
300749.SZ,3119.14,4094.16,-974.99
600119.SH,2276.43,933.97,1342.46
600226.SH,147.92,876.74,-728.82
600355.SH,4220.93,5636.09,-1415.16
600425.SH,7201.12,2631.02,4570.1
600560.SH,1007.83,311.71,696.12
600695.SH,5286.3,7563.7,-2277.4
601068.SH,3869.11,5128.59,-1259.48
601218.SH,1257.37,2917.86,-1660.49
601990.SH,7665.11,8436.51,-771.4
603089.SH,1893.92,3286.39,-1392.47
603660.SH,8785.2,7841.31,943.89
603790.SH,2146.59,4058.64,-1912.05


,trade_date,ts_code,exalter,buy,buy_rate,sell,sell_rate,net_buy
0,20181101,000150.SZ,大同证券有限责任公司杭州五星路证券营业部,4502.67,15.58,0.0,0.0,4502.67
1,20181101,000150.SZ,东北证券股份有限公司武汉水果湖路营业部,2371.62,8.21,0.0,0.0,2371.62
2,20181101,000150.SZ,平安证券股份有限公司深圳蛇口招商路招商大厦证券营业部,2084.19,7.21,55.75,0.19,2028.43
3,20181101,000150.SZ,安信证券股份有限公司汕头金砂路第一证券营业部,1974.9,6.84,22.8,0.08,1952.1
4,20181101,000150.SZ,万和证券股份有限公司湖北分公司,1858.78,6.43,0.0,0.0,1858.78
5,20181101,000150.SZ,宏信证券有限责任公司上海分公司,0.0,0.0,2739.73,9.48,-2739.73
6,20181101,000150.SZ,机构专用,0.0,0.0,1885.03,6.52,-1885.03
7,20181101,000150.SZ,广发证券股份有限公司深圳高新南一道证券营业部,2.84,0.01,779.19,2.7,-776.35
8,20181101,000150.SZ,安信证券股份有限公司汕头澄海证券营业部,5.79,0.02,435.36,1.51,-429.57
9,20181101,000150.SZ,中信证券股份有限公司义乌城中中路证券营业部,298.8,1.03,427.8,1.48,-129.0
10,20181101,000609.SZ,中国银河证券股份有限公司杭州天城东路证券营业部,791.98,9.8,0.0,0.0,791.98
11,20181101,000609.SZ,国金证券股份有限公司成都青白江青江东路证券营业部,437.28,5.41,0.0,0.0,437.28
12,20181101,000609.SZ,东兴证券股份有限公司泉州丰泽街证券营业部,351.81,4.36,8.55,0.11,343.25
13,20181101,000609.SZ,财富证券有限责任公司温州车站大道证券营业部,340.18,4.21,9.5,0.12,330.67
14,20181101,000609.SZ,华泰证券股份有限公司宁波柳汀街证券营业部,275.14,3.41,0.11,0.0,275.04
15,20181101,000609.SZ,中信建投证券股份有限公司成都南一环路证券营业部,0.0,0.0,299.32,3.71,-299.32
16,20181101,000609.SZ,国泰君安证券股份有限公司成都北一环路证券营业部,0.0,0.0,238.18,2.95,-238.18
