ts_code,buy,sell,net_buy
000150.SZ,30754.38,19071.87,11682.52
000609.SZ,3450.93,1336.02,2114.91
000993.SZ,3444.14,1809.98,1634.17
002147.SZ,3211.44,3451.18,-239.74
002226.SZ,205.66,1869.08,-1663.42
002617.SZ,6852.78,12646.32,-5793.54
002647.SZ,7324.24,11405.98,-4081.75
002668.SZ,367.5,2135.92,-1768.42
002862.SZ,6475.43,5064.88,1410.57
002935.SZ,2496.49,3002.25,-505.79
002937.SZ,9245.22,4868.33,4376.88
002939.SZ,90816.42,39326.88,51489.45
002940.SZ,4360.6,4325.28,35.29
300670.SZ,1655.03,2461.36,-806.3
300694.SZ,4168.88,7211.18,-3042.33
300730.SZ,8275.49,2150.2,6125.28
300736.SZ,1168.75,1485.63,-316.87
300748.SZ,5216.43,6422.55,-1206.1
300749.SZ,3098.94,4470.0,-1371.03
600086.SH,88.59,0.0,88.59
600122.SH,473.27,889.05,-415.78
600226.SH,1159.18,1617.55,-458.37
600319.SH,1677.89,574.82,1103.07
600718.SH,7299.68,3732.04,3567.64
601162.SH,3112.33,114.72,2997.61
603032.SH,14543.83,8554.98,5988.85
603192.SH,3553.51,1247.37,2306.14
603297.SH,2364.24,2259.28,104.96
603790.SH,2515.42,2119.19,396.23
603996.SH,2232.49,698.97,1533.52


,trade_date,ts_code,exalter,buy,buy_rate,sell,sell_rate,net_buy
0,20181102,000150.SZ,安信证券股份有限公司福建分公司,9489.59,8.81,0.0,0.0,9489.59
1,20181102,000150.SZ,大同证券有限责任公司杭州五星路证券营业部,5453.18,5.06,1.2,0.0,5451.98
2,20181102,000150.SZ,安信证券股份有限公司汕头金砂路第一证券营业部,5417.37,5.03,746.02,0.69,4671.36
3,20181102,000150.SZ,中信建投证券股份有限公司汕头海滨路证券营业部,5015.97,4.66,1374.34,1.28,3641.63
4,20181102,000150.SZ,平安证券股份有限公司深圳蛇口招商路招商大厦证券营业部,4559.35,4.23,175.87,0.16,4383.48
5,20181102,000150.SZ,宏信证券有限责任公司上海分公司,0.0,0.0,6374.28,5.92,-6374.28
6,20181102,000150.SZ,中泰证券股份有限公司北京大望路证券营业部,0.95,0.0,3666.57,3.41,-3665.62
7,20181102,000150.SZ,广发证券股份有限公司深圳高新南一道证券营业部,22.89,0.02,2404.0,2.23,-2381.11
8,20181102,000150.SZ,光大证券股份有限公司深圳深南大道证券营业部,1.17,0.0,2188.15,2.03,-2186.98
9,20181102,000150.SZ,中信证券股份有限公司义乌城中中路证券营业部,793.91,0.74,2141.44,1.99,-1347.53
10,20181102,000609.SZ,中国银河证券股份有限公司杭州天城东路证券营业部,791.98,6.56,0.0,0.0,791.98
11,20181102,000609.SZ,湘财证券股份有限公司上海张杨路证券营业部,580.88,4.81,0.0,0.0,580.88
12,20181102,000609.SZ,华鑫证券有限责任公司杭州飞云江路证券营业部,523.9,4.34,0.0,0.0,523.9
