ts_code,buy,sell,net_buy
000593.SZ,2461.82,2719.68,-257.86
000606.SZ,4338.57,3478.12,860.45
000659.SZ,4586.79,2189.19,2397.59
000669.SZ,8647.76,2950.27,5697.51
000711.SZ,10310.46,15794.6,-5484.13
000931.SZ,2899.04,1558.27,1340.76
002072.SZ,7291.45,3360.34,3931.1
002147.SZ,130.19,281.16,-150.97
002617.SZ,51349.24,118141.44,-66792.18
002665.SZ,1076.77,1620.58,-543.81
002668.SZ,20377.64,35098.47,-14720.83
002687.SZ,8390.14,3607.92,4782.23
002700.SZ,4727.74,1548.8,3178.97
002739.SZ,3674.16,4569.82,-895.66
002843.SZ,17962.4,18613.46,-651.08
002862.SZ,14744.8,11158.74,3586.1
002937.SZ,14216.56,15417.92,-1201.36
002939.SZ,15033.57,22238.68,-7205.1
002940.SZ,3483.73,3993.36,-509.63
200018.SZ,113.72,67.35,46.39
300091.SZ,6615.4,5999.97,615.4
300126.SZ,3956.64,6353.17,-2396.54
300508.SZ,4432.81,2613.87,1818.9
300670.SZ,5209.58,4499.36,710.22
300694.SZ,8843.24,7085.67,1757.58
300724.SZ,6618.51,2626.19,3992.32
300730.SZ,8713.38,16711.0,-7997.62
300748.SZ,20078.0,23985.8,-3907.78
300749.SZ,6019.84,10554.3,-4534.48
600064.SH,4916.14,4238.41,677.73
600086.SH,153.36,489.54,-336.18
600122.SH,119.92,836.56,-716.64
600226.SH,7714.51,50726.03,-43011.52
600462.SH,3225.07,4469.58,-1244.51
600560.SH,2668.29,508.63,2159.66
600796.SH,3325.49,1034.48,2291.01
601012.SH,46433.13,42096.35,4336.78
603105.SH,4261.99,1932.04,2329.95
603297.SH,2064.62,2513.66,-449.04
603790.SH,4565.68,4306.27,259.41
900922.SH,16.42,8.94,7.48


,trade_date,ts_code,exalter,buy,buy_rate,sell,sell_rate,net_buy
0,20181105,000593.SZ,中国中投证券有限责任公司无锡清扬路证券营业部,661.76,1.99,0.0,0.0,661.76
1,20181105,000593.SZ,申万宏源证券有限公司扬州扬子江中路证券营业部,522.95,1.57,7.89,0.02,515.06
2,20181105,000593.SZ,光大证券股份有限公司奉化南山路证券营业部,447.58,1.34,5.22,0.02,442.36
3,20181105,000593.SZ,东兴证券股份有限公司福州五一北路证券营业部,320.11,0.96,43.93,0.13,276.18
4,20181105,000593.SZ,国金证券股份有限公司上海浦东新区芳甸路证券营业部,293.63,0.88,28.65,0.09,264.98
5,20181105,000593.SZ,万联证券股份有限公司上海富贵东路证券营业部,0.0,0.0,875.43,2.63,-875.43
6,20181105,000593.SZ,华泰证券股份有限公司常州和平北路证券营业部,7.23,0.02,645.97,1.94,-638.74
7,20181105,000593.SZ,中信证券股份有限公司常州环府路证券营业部,10.82,0.03,471.7,1.42,-460.88
8,20181105,000593.SZ,平安证券股份有限公司上海分公司,196.67,0.59,329.36,0.99,-132.69
9,20181105,000593.SZ,中原证券股份有限公司濮阳中原路证券营业部,1.07,0.0,311.53,0.94,-310.46
10,20181105,000606.SZ,中国中投证券有限责任公司南京太平南路证券营业部,1364.46,4.0,2.93,0.01,1361.53
11,20181105,000606.SZ,华泰证券股份有限公司常熟金沙江路证券营业部,853.39,2.5,2.8,0.01,850.59
12,20181105,000606.SZ,机构专用,717.16,2.1,0.0,0.0,717.16
13,20181105,000606.SZ,国泰君安证券股份有限公司济南胜利大街证券营业部,498.55,1.46,1.15,0.0,497.4
14,20181105,000606.SZ,机构专用,483.17,1.42,0.0,0.0,483.17
15,20181105,000606.SZ,平安证券股份有限公司浙江分公司,59.17,0.17,1035.27,3.04,-976.1
16,20181105,000606.SZ,平安证券股份有限公司天津绍兴道证券营业部,103.32,0.3,783.06,2.3,-679.74
