ts_code,buy,sell,net_buy
000532.SZ,3693.54,2136.19,1557.35
000608.SZ,3274.06,1832.08,1441.97
000609.SZ,2662.74,2322.88,339.87
000622.SZ,6785.93,3943.67,2842.27
000638.SZ,2554.81,2286.0,268.81
002054.SZ,5093.15,9423.77,-4330.62
002098.SZ,4426.34,3547.36,878.96
002137.SZ,6107.69,3800.11,2307.59
002141.SZ,3504.36,4807.29,-1302.93
002147.SZ,196.14,413.9,-217.76
002259.SZ,4552.14,5433.35,-881.19
002261.SZ,3761.43,1957.68,1803.77
002263.SZ,4349.47,3881.42,468.04
002328.SZ,7163.28,7048.88,114.4
002450.SZ,448.41,2007.75,-1559.34
002607.SZ,8404.76,18595.61,-10190.87
002656.SZ,8546.58,13434.29,-4887.72
002665.SZ,7675.54,7054.32,621.22
002680.SZ,445.32,1466.15,-1020.83
002700.SZ,3764.11,7876.61,-4112.49
002739.SZ,1871.14,5624.44,-3753.3
002862.SZ,3791.68,7117.62,-3325.93
002881.SZ,3103.82,5286.42,-2182.59
002888.SZ,16688.16,6886.68,9801.48
002937.SZ,1997.23,2858.75,-861.52
002940.SZ,2550.26,2739.67,-189.41
300126.SZ,3519.98,3539.56,-19.58
300310.SZ,2998.19,2704.69,293.49
300342.SZ,1294.13,2354.64,-1060.51
300618.SZ,16422.54,10811.82,5610.7
300624.SZ,3563.38,5142.32,-1578.94
300670.SZ,2587.49,4841.75,-2254.26
300674.SZ,24.37,3.0,21.37
300688.SZ,8206.63,8498.95,-292.31
300694.SZ,5528.07,6395.23,-867.16
300730.SZ,6889.42,10375.2,-3485.82
300748.SZ,4147.02,10526.2,-6379.19
600086.SH,73.53,252.84,-179.31
600122.SH,5770.87,8545.67,-2774.8
600232.SH,1173.4,268.58,904.82
600462.SH,2759.13,5036.86,-2277.73
600532.SH,5601.9,5230.21,371.69
600604.SH,1983.23,519.46,1463.77
600701.SH,1959.79,1595.26,364.53
601162.SH,8594.81,13836.18,-5241.37
603032.SH,5578.63,6629.53,-1050.9
603366.SH,2379.07,2082.85,296.22
603583.SH,6581.97,3718.46,2863.51


,trade_date,ts_code,exalter,buy,buy_rate,sell,sell_rate,net_buy
0,20181107,000532.SZ,国融证券股份有限公司西安高新一路证券营业部,1124.6,29.69,0.0,0.0,1124.6
1,20181107,000532.SZ,海通证券股份有限公司福州群众路证券营业部,1056.07,27.88,0.0,0.0,1056.07
2,20181107,000532.SZ,国融证券股份有限公司呼和浩特如意西街证券营业部,587.53,15.51,0.0,0.0,587.53
3,20181107,000532.SZ,方正证券股份有限公司西安南大街证券营业部,500.49,13.21,0.0,0.0,500.49
4,20181107,000532.SZ,东北证券股份有限公司杭州信诚路证券营业部,424.85,11.22,0.0,0.0,424.85
5,20181107,000532.SZ,中国中投证券有限责任公司珠海水湾路证券营业部,0.0,0.0,1841.52,48.61,-1841.52
6,20181107,000532.SZ,兴业证券股份有限公司上海金陵东路证券营业部,0.0,0.0,101.61,2.68,-101.61
7,20181107,000532.SZ,光大证券股份有限公司广州金穗路证券营业部,0.0,0.0,90.32,2.38,-90.32
8,20181107,000532.SZ,广发证券股份有限公司珠海情侣中路证券营业部,0.0,0.0,57.58,1.52,-57.58
9,20181107,000532.SZ,申万宏源西部证券有限公司杭州学院路证券营业部,0.0,0.0,45.16,1.19,-45.16
10,20181107,000608.SZ,第一创业证券股份有限公司深圳分公司,1130.6,18.09,0.0,0.0,1130.6
11,20181107,000608.SZ,中信建投证券股份有限公司北京安立路证券营业部,832.38,13.32,0.0,0.0,832.38
12,20181107,000608.SZ,华泰证券股份有限公司上海徐汇区天钥桥路证券营业部,550.85,8.81,0.0,0.0,550.85
13,20181107,000608.SZ,新时代证券股份有限公司深圳科苑路证券营业部,354.46,5.67,0.0,0.0,354.46
14,20181107,000608.SZ,海通证券股份有限公司杭州文化路证券营业部,345.44,5.53,6.35,0.1,339.09
15,20181107,000608.SZ,中信证券股份有限公司上海分公司,0.0,0.0,478.36,7.65,-478.36
16,20181107,000608.SZ,华林证券股份有限公司上海浦东新区浦东南路证券营业部,0.0,0.0,463.7,7.42,-463.7
17,20181107,000608.SZ,招商证券股份有限公司深圳笋岗路证券营业部,0.75,0.01,348.07,5.57,-347.32
18,20181107,000608.SZ,华泰证券股份有限公司深圳深南大道证券营业部,38.08,0.61,270.55,4.33,-232.48
19,20181107,000608.SZ,广发证券股份有限公司北京广安门内大街证券营业部,21.5,0.34,265.05,4.24,-243.55
20,20181107,000609.SZ,中国中投证券有限责任公司无锡清扬路证券营业部,783.33,4.27,0.0,0.0,783.33
21,20181107,000609.SZ,华鑫证券有限责任公司福建分公司,546.31,2.98,31.4,0.17,514.92
22,20181107,000609.SZ,西藏东方财富证券股份有限公司拉萨团结路第一证券营业部,527.5,2.87,53.55,0.29,473.96
23,20181107,000609.SZ,国泰君安证券股份有限公司广州人民中路证券营业部,450.84,2.46,0.0,0.0,450.84
24,20181107,000609.SZ,华泰证券股份有限公司江西分公司,353.18,1.92,8.74,0.05,344.43
25,20181107,000609.SZ,恒泰证券股份有限公司天津长江道证券营业部,0.0,0.0,858.86,4.68,-858.86
26,20181107,000609.SZ,东兴证券股份有限公司永安牺和路证券营业部,0.42,0.0,570.72,3.11,-570.3
27,20181107,000609.SZ,华泰证券股份有限公司太原体育路证券营业部,0.0,0.0,282.96,1.54,-282.96
28,20181107,000609.SZ,中国银河证券股份有限公司杭州天城东路证券营业部,0.0,0.0,274.07,1.49,-274.07
29,20181107,000609.SZ,中信建投证券股份有限公司北京丹棱街证券营业部,1.16,0.01,242.58,1.32,-241.42
