ts_code,buy,sell,net_buy
000025.SZ,3844.46,826.93,3017.54
000509.SZ,3839.15,915.12,2924.02
000622.SZ,9069.5,12618.6,-3549.1
000638.SZ,4289.6,5512.1,-1222.48
000835.SZ,3972.97,2469.36,1503.61
002054.SZ,5663.06,10095.85,-4432.79
002072.SZ,5322.01,1257.15,4064.85
002086.SZ,4437.29,3291.26,1146.04
002147.SZ,69.38,233.48,-164.1
002192.SZ,8073.54,6906.89,1166.66
002328.SZ,4117.86,4158.7,-40.82
002459.SZ,24373.06,63751.26,-39378.24
002575.SZ,7003.8,8731.57,-1727.79
002665.SZ,526.19,1605.0,-1078.8
002739.SZ,6617.15,20820.58,-14203.43
002862.SZ,6765.26,3363.49,3401.78
002881.SZ,20744.7,9813.06,10931.64
002888.SZ,5043.08,7622.69,-2579.6
002931.SZ,9156.18,11473.54,-2317.34
002940.SZ,3939.54,2522.92,1416.62
300342.SZ,178.58,1211.38,-1032.8
300464.SZ,501.38,218.32,283.06
300501.SZ,2016.07,1121.73,894.34
300505.SZ,2445.53,737.78,1707.73
300540.SZ,1726.07,948.02,778.04
300670.SZ,2763.33,3612.28,-848.92
300674.SZ,13.87,3.7,10.17
300688.SZ,4734.4,9338.21,-4603.81
300694.SZ,2211.82,6241.4,-4029.58
300730.SZ,3608.36,5782.78,-2174.4
300748.SZ,3270.36,4034.92,-764.55
600053.SH,4053.8,6531.47,-2477.67
600082.SH,1188.74,614.59,574.15
600086.SH,312.82,880.66,-567.84
600122.SH,10236.87,35657.32,-25420.45
600128.SH,5522.08,5104.62,417.46
600232.SH,2068.62,1710.06,358.56
600235.SH,3213.57,2600.19,613.38
600462.SH,3937.53,9148.53,-5211.0
600601.SH,3472.18,606.72,2865.46
600604.SH,2494.5,1975.6,518.9
600687.SH,13743.14,7184.04,6559.1
600689.SH,4340.18,3279.65,1060.53
600695.SH,3543.92,4983.23,-1439.31
600783.SH,8202.58,10482.66,-2280.08
600796.SH,3725.82,3247.55,478.27
600895.SH,18765.02,18793.43,-28.41
601118.SH,409.03,1922.7,-1513.67
601162.SH,7260.59,14167.98,-6907.39
603032.SH,8971.36,18186.48,-9215.12
603499.SH,5675.81,2795.9,2879.91


,trade_date,ts_code,exalter,buy,buy_rate,sell,sell_rate,net_buy
0,20181108,000025.SZ,东兴证券股份有限公司上海肇嘉浜路证券营业部,1319.22,7.89,2.26,0.01,1316.96
1,20181108,000025.SZ,长城证券股份有限公司仙桃钱沟路证券营业部,953.88,5.7,0.54,0.0,953.34
2,20181108,000025.SZ,光大证券股份有限公司奉化南山路证券营业部,647.24,3.87,10.15,0.06,637.09
3,20181108,000025.SZ,海通证券股份有限公司上海玉田支路证券营业部,294.31,1.76,2.74,0.02,291.57
4,20181108,000025.SZ,西藏东方财富证券股份有限公司拉萨东环路第二证券营业部,189.53,1.13,128.81,0.77,60.72
5,20181108,000025.SZ,西藏东方财富证券股份有限公司拉萨团结路第二证券营业部,54.18,0.32,157.68,0.94,-103.5
6,20181108,000025.SZ,国金证券股份有限公司上海互联网证券分公司,77.18,0.46,143.17,0.86,-65.99
7,20181108,000025.SZ,西藏东方财富证券股份有限公司拉萨东环路第二证券营业部,189.53,1.13,128.81,0.77,60.72
8,20181108,000025.SZ,华福证券有限责任公司漳州延安北路证券营业部,3.81,0.02,127.37,0.76,-123.56
9,20181108,000025.SZ,平安证券股份有限公司深圳深南东路罗湖商务中心证券营业部,115.58,0.69,125.4,0.75,-9.81
10,20181108,000509.SZ,国泰君安证券股份有限公司成都北一环路证券营业部,1267.92,11.24,0.66,0.01,1267.25
11,20181108,000509.SZ,国泰君安证券股份有限公司上海福山路证券营业部,1046.86,9.28,0.0,0.0,1046.86
12,20181108,000509.SZ,中信建投证券股份有限公司成都南一环路证券营业部,863.31,7.65,0.0,0.0,863.31
13,20181108,000509.SZ,国融证券股份有限公司杭州江晖路证券营业部,319.11,2.83,0.0,0.0,319.11
14,20181108,000509.SZ,中信证券股份有限公司金华分公司,308.64,2.74,0.0,0.0,308.64
15,20181108,000509.SZ,兴业证券股份有限公司上海天钥桥路证券营业部,0.0,0.0,346.96,3.08,-346.96
16,20181108,000509.SZ,平安证券股份有限公司深圳深南东路罗湖商务中心证券营业部,32.32,0.29,155.56,1.38,-123.24
17,20181108,000509.SZ,中原证券股份有限公司南阳分公司,0.99,0.01,151.81,1.35,-150.82
18,20181108,000509.SZ,天风证券股份有限公司杭州西溪首座证券营业部,0.0,0.0,132.27,1.17,-132.27
19,20181108,000509.SZ,中信建投证券股份有限公司北京东直门南大街证券营业部,0.0,0.0,127.86,1.13,-127.86
20,20181108,000622.SZ,东兴证券股份有限公司泉州丰泽街证券营业部,1152.84,2.4,26.85,0.06,1125.99
21,20181108,000622.SZ,国泰君安证券股份有限公司上海江苏路证券营业部,883.2,1.84,17.45,0.04,865.75
22,20181108,000622.SZ,华西证券股份有限公司义乌金融街证券营业部,755.78,1.57,0.0,0.0,755.78
23,20181108,000622.SZ,华鑫证券有限责任公司南昌红谷中大道证券营业部,580.59,1.21,0.0,0.0,580.59
24,20181108,000622.SZ,光大证券股份有限公司奉化南山路证券营业部,577.05,1.2,898.28,1.87,-321.23
25,20181108,000622.SZ,西南证券股份有限公司重庆第四分公司,0.0,0.0,1532.56,3.19,-1532.56
26,20181108,000622.SZ,中国银河证券股份有限公司上海长宁区镇宁路证券营业部,0.22,0.0,1093.22,2.28,-1093.0
27,20181108,000622.SZ,申万宏源西部证券有限公司南宁英华路证券营业部,7.73,0.02,958.41,2.0,-950.69
28,20181108,000622.SZ,光大证券股份有限公司奉化南山路证券营业部,577.05,1.2,898.28,1.87,-321.23
29,20181108,000622.SZ,方正证券股份有限公司长沙芙蓉中路证券营业部;,0.29,0.0,884.25,1.84,-883.95
