ts_code,buy,sell,net_buy
000509.SZ,5294.44,8891.38,-3596.94
000526.SZ,1882.18,1367.01,515.15
000586.SZ,2309.12,1544.02,765.09
000605.SZ,1373.36,2773.01,-1399.65
000609.SZ,1409.29,1239.95,169.34
000622.SZ,3700.38,5810.77,-2110.38
000633.SZ,1702.7,3251.28,-1548.59
000638.SZ,2717.88,1288.61,1429.26
000691.SZ,4545.5,2794.0,1751.48
000755.SZ,1311.11,1568.81,-257.72
000939.SZ,2062.16,2651.5,-589.35
000966.SZ,3893.27,1433.31,2459.96
002018.SZ,2032.58,1787.89,244.72
002054.SZ,7224.8,6880.3,344.46
002122.SZ,4443.26,2184.51,2258.73
002147.SZ,114.44,346.65,-232.21
002188.SZ,2410.78,3399.21,-988.45
002260.SZ,3091.81,1371.84,1719.99
002417.SZ,3909.18,6529.94,-2620.76
002420.SZ,3567.76,3113.06,454.7
002459.SZ,7628.9,35292.42,-27663.54
002477.SZ,11503.84,10727.22,776.6
002547.SZ,3296.94,1642.64,1654.3
002607.SZ,5445.7,8941.25,-3495.54
002622.SZ,11335.04,11446.12,-111.08
002665.SZ,23685.7,48885.41,-25199.69
002692.SZ,2659.09,1124.04,1535.05
002708.SZ,6184.4,6229.64,-45.24
002862.SZ,716.49,4119.13,-3402.65
002881.SZ,6000.1,7106.47,-1106.36
002888.SZ,5369.45,3491.4,1878.04
002917.SZ,2850.91,1780.01,1070.9
002931.SZ,2750.98,6081.38,-3330.38
002940.SZ,2655.51,2324.98,330.52
300023.SZ,1640.82,1119.52,521.3
300041.SZ,10696.8,6241.42,4455.36
300173.SZ,1566.56,3083.55,-1517.01
300342.SZ,297.44,906.03,-608.59
300464.SZ,6068.38,4324.52,1743.84
300505.SZ,4119.46,4970.1,-850.64
300556.SZ,971.54,3477.61,-2506.07
300590.SZ,4217.07,2810.96,1406.11
300601.SZ,2637.09,10118.89,-7481.8
300644.SZ,957.18,1031.34,-74.17
300653.SZ,6581.58,5821.17,760.43
300670.SZ,1557.19,3111.08,-1553.89
300674.SZ,44.23,3.98,40.25
300730.SZ,2086.99,1269.97,817.01
300731.SZ,1745.04,1035.07,709.97
300748.SZ,4280.23,2167.93,2112.32
300751.SZ,313.42,28.56,284.86
600082.SH,2076.96,1007.81,1069.15
600086.SH,196.83,696.94,-500.11
600290.SH,8482.33,8958.55,-476.22
600462.SH,6809.14,13606.82,-6797.68
600493.SH,796.22,2594.4,-1798.18
600604.SH,1989.43,304.72,1684.71
600610.SH,609.54,798.73,-189.19
600624.SH,9112.49,5979.94,3132.55
600658.SH,2804.76,714.61,2090.15
600730.SH,8788.06,12882.82,-4094.76
601118.SH,3559.79,3198.74,361.05
603058.SH,4585.3,2124.38,2460.92
603101.SH,5210.79,10228.03,-5017.24
603269.SH,2458.95,1465.96,992.99
603389.SH,8929.88,9805.62,-875.74
603499.SH,22116.22,13977.02,8139.2


,trade_date,ts_code,exalter,buy,buy_rate,sell,sell_rate,net_buy
0,20181109,000509.SZ,方正证券股份有限公司上海杨高南路证券营业部,695.68,1.76,10.82,0.03,684.86
1,20181109,000509.SZ,华泰证券股份有限公司南通分公司,614.62,1.55,0.0,0.0,614.62
2,20181109,000509.SZ,中国银河证券股份有限公司诸暨东一路证券营业部,511.7,1.29,0.0,0.0,511.7
3,20181109,000509.SZ,西藏东方财富证券股份有限公司拉萨团结路第二证券营业部,407.3,1.03,228.62,0.58,178.68
4,20181109,000509.SZ,中信证券股份有限公司杭州文一西路证券营业部,361.07,0.91,3.41,0.01,357.66
5,20181109,000509.SZ,国泰君安证券股份有限公司成都北一环路证券营业部,3.98,0.01,1360.67,3.43,-1356.69
6,20181109,000509.SZ,国泰君安证券股份有限公司上海福山路证券营业部,1.05,0.0,1115.85,2.82,-1114.8
7,20181109,000509.SZ,中信建投证券股份有限公司成都南一环路证券营业部,8.93,0.02,947.65,2.39,-938.72
8,20181109,000509.SZ,中国银河证券股份有限公司上海新郁路证券营业部,42.89,0.11,432.63,1.09,-389.74
9,20181109,000509.SZ,国融证券股份有限公司杭州江晖路证券营业部,0.0,0.0,346.04,0.87,-346.04
10,20181109,000509.SZ,方正证券股份有限公司上海杨高南路证券营业部,695.68,1.76,10.82,0.03,684.86
11,20181109,000509.SZ,华泰证券股份有限公司南通分公司,614.62,1.55,0.0,0.0,614.62
12,20181109,000509.SZ,中国银河证券股份有限公司诸暨东一路证券营业部,511.7,1.29,0.0,0.0,511.7
13,20181109,000509.SZ,西藏东方财富证券股份有限公司拉萨团结路第二证券营业部,407.3,1.03,228.62,0.58,178.68
14,20181109,000509.SZ,中信证券股份有限公司杭州文一西路证券营业部,361.07,0.91,3.41,0.01,357.66
15,20181109,000509.SZ,国泰君安证券股份有限公司成都北一环路证券营业部,3.98,0.01,1360.67,3.43,-1356.69
16,20181109,000509.SZ,国泰君安证券股份有限公司上海福山路证券营业部,1.05,0.0,1115.85,2.82,-1114.8
17,20181109,000509.SZ,中信建投证券股份有限公司成都南一环路证券营业部,8.93,0.02,947.65,2.39,-938.72
18,20181109,000509.SZ,中国银河证券股份有限公司上海新郁路证券营业部,42.89,0.11,432.63,1.09,-389.74
19,20181109,000509.SZ,国融证券股份有限公司杭州江晖路证券营业部,0.0,0.0,346.04,0.87,-346.04
20,20181109,000526.SZ,浙商证券股份有限公司江苏分公司,422.5,2.74,0.0,0.0,422.5
21,20181109,000526.SZ,西藏东方财富证券股份有限公司拉萨团结路第二证券营业部,340.49,2.21,124.37,0.81,216.12
22,20181109,000526.SZ,广发证券股份有限公司广州中山三路中华广场证券营业部,269.41,1.75,5.81,0.04,263.6
23,20181109,000526.SZ,海通证券股份有限公司宁波中山东路证券营业部,250.07,1.62,5.3,0.03,244.77
24,20181109,000526.SZ,申万宏源西部证券有限公司武汉和平大道证券营业部,198.87,1.29,4.51,0.03,194.36
