ts_code,buy,sell,net_buy
000008.SZ,24099.44,19003.44,5096.0
000068.SZ,1707.44,525.64,1181.81
000503.SZ,7515.29,5294.65,2220.64
000509.SZ,4398.59,3446.18,952.45
000622.SZ,11329.84,29895.86,-18566.0
000626.SZ,2540.98,1171.51,1369.46
000666.SZ,97.79,284.24,-186.45
000811.SZ,5139.27,7244.54,-2105.28
000820.SZ,2536.38,2286.08,250.28
000917.SZ,4375.77,2537.79,1837.98
000966.SZ,5766.77,4499.19,1267.59
002028.SZ,4431.26,10014.13,-5582.87
002054.SZ,4705.79,9445.34,-4739.55
002147.SZ,1120.28,3299.9,-2179.62
002202.SZ,24841.51,14071.73,10769.79
002328.SZ,5566.26,3323.5,2242.72
002369.SZ,238.14,1014.16,-776.02
002459.SZ,3578.82,14489.97,-10911.16
002509.SZ,4707.85,4479.99,227.83
002547.SZ,7111.06,4741.68,2369.38
002571.SZ,1582.95,922.92,660.04
002665.SZ,40790.23,69510.68,-28720.46
002680.SZ,10147.47,15039.18,-4891.71
002696.SZ,1870.67,1222.03,648.64
002888.SZ,6374.91,8367.4,-1992.5
002917.SZ,2137.57,2616.71,-479.14
002931.SZ,4263.98,2169.49,2094.51
002940.SZ,10909.5,7363.94,3545.58
200018.SZ,131.21,103.92,27.28
300237.SZ,1062.05,3311.74,-2249.69
300342.SZ,8097.88,11613.52,-3515.65
300644.SZ,1161.18,1276.45,-115.25
300694.SZ,2185.55,1949.53,236.03
300730.SZ,1548.91,1975.69,-426.8
300731.SZ,896.54,1383.22,-486.69
300748.SZ,1893.61,4809.69,-2916.08
600086.SH,824.12,2343.77,-1519.65
600128.SH,5347.84,5889.51,-541.67
600212.SH,9623.6,7336.3,2287.3
600235.SH,2560.41,1166.47,1393.94
600250.SH,1917.69,1773.22,144.47
600255.SH,2180.54,1242.5,938.04
600463.SH,2104.95,1749.47,355.48
600493.SH,1988.98,3838.74,-1849.76
600551.SH,1700.62,1520.42,180.2
600604.SH,2716.27,311.39,2404.88
600658.SH,3358.26,998.25,2360.01
600683.SH,1570.07,3359.92,-1789.85
600701.SH,1772.63,2037.22,-264.59
600800.SH,1746.74,2130.36,-383.62
600817.SH,1616.56,697.46,919.1
600870.SH,787.81,1225.26,-437.45
601118.SH,13239.12,15837.56,-2598.44
601162.SH,7507.15,8151.0,-643.85
603389.SH,5622.74,3664.66,1958.08
603499.SH,9862.4,7772.48,2089.92
603677.SH,2220.19,10679.99,-8459.8


,trade_date,ts_code,exalter,buy,buy_rate,sell,sell_rate,net_buy
0,20181112,000008.SZ,兴业证券股份有限公司北京西直门北大街证券营业部,13032.22,19.19,0.64,0.0,13031.58
1,20181112,000008.SZ,机构专用,5131.55,7.56,0.0,0.0,5131.55
2,20181112,000008.SZ,长城证券股份有限公司广东分公司,2396.2,3.53,0.0,0.0,2396.2
3,20181112,000008.SZ,财富证券有限责任公司长沙八一路证券营业部,1852.41,2.73,0.0,0.0,1852.41
4,20181112,000008.SZ,中信建投证券股份有限公司深圳深南中路证券营业部,1620.81,2.39,0.0,0.0,1620.81
5,20181112,000008.SZ,西藏东方财富证券股份有限公司上海唐安路证券营业部,0.0,0.0,6057.6,8.92,-6057.6
6,20181112,000008.SZ,中国中投证券有限责任公司深圳深南大道证券营业部,0.0,0.0,4114.56,6.06,-4114.56
7,20181112,000008.SZ,上海证券有限责任公司深圳福虹路证券营业部,0.0,0.0,3816.47,5.62,-3816.47
8,20181112,000008.SZ,中国银河证券股份有限公司北京阜成路证券营业部,66.25,0.1,2901.5,4.27,-2835.25
9,20181112,000008.SZ,机构专用,0.0,0.0,2112.67,3.11,-2112.67
10,20181112,000068.SZ,海通证券股份有限公司杭州解放路证券营业部,633.16,9.61,5.23,0.08,627.93
11,20181112,000068.SZ,中国银河证券股份有限公司石家庄红旗大街证券营业部,493.34,7.49,0.0,0.0,493.34
12,20181112,000068.SZ,宏信证券有限责任公司泸州江阳中路证券营业部,250.03,3.8,0.53,0.01,249.51
13,20181112,000068.SZ,东兴证券股份有限公司广州珠江东路证券营业部,171.52,2.6,0.0,0.0,171.52
14,20181112,000068.SZ,华宝证券有限责任公司上海东大名路证券营业部,156.14,2.37,13.59,0.21,142.55
15,20181112,000068.SZ,中原证券股份有限公司信阳分公司,0.0,0.0,112.23,1.7,-112.23
16,20181112,000068.SZ,海通证券股份有限公司杭州环城西路证券营业部,0.0,0.0,106.2,1.61,-106.2
17,20181112,000068.SZ,上海证券有限责任公司乐清旭阳路证券营业部,2.73,0.04,105.27,1.6,-102.54
18,20181112,000068.SZ,中原证券股份有限公司郑州纬二路证券营业部,0.11,0.0,95.14,1.44,-95.03
19,20181112,000068.SZ,中信建投证券股份有限公司南京江宁金箔路证券营业部,0.41,0.01,87.45,1.33,-87.04
20,20181112,000503.SZ,申万宏源证券有限公司上海闵行区东川路证券营业部,1552.0,3.9,0.0,0.0,1552.0
21,20181112,000503.SZ,兴业证券股份有限公司深圳分公司,1457.81,3.67,0.0,0.0,1457.81
