ts_code,buy,sell,net_buy
000034.SZ,6607.09,27608.37,-21001.26
000533.SZ,3789.87,2291.94,1497.93
000587.SZ,3659.92,3083.37,576.55
000622.SZ,7903.84,10777.52,-2873.6
000638.SZ,8447.61,5799.3,2648.32
000666.SZ,352.26,2031.72,-1679.46
000673.SZ,5614.01,4500.61,1113.4
000727.SZ,4442.81,3488.92,953.89
000966.SZ,4255.28,7577.91,-3322.63
002054.SZ,4942.38,4432.51,509.88
002072.SZ,5662.26,5293.65,368.6
002147.SZ,67805.04,192866.0,-125061.0
002485.SZ,105.6,345.34,-239.74
002503.SZ,3156.86,6811.19,-3654.31
002575.SZ,5598.39,7288.62,-1690.24
002619.SZ,4679.78,3014.65,1665.12
002650.SZ,4805.23,2449.59,2355.64
002888.SZ,8331.14,6427.57,1903.57
002937.SZ,2544.86,1913.78,631.09
002940.SZ,3897.68,5043.98,-1146.28
200018.SZ,382.41,212.36,170.07
200058.SZ,109.07,118.02,-8.95
300027.SZ,7256.99,2185.27,5071.72
300104.SZ,15572.7,8541.87,7030.83
300237.SZ,13867.84,18531.76,-4663.93
300251.SZ,15754.3,9700.18,6054.12
300299.SZ,5583.48,3100.95,2482.54
300336.SZ,7332.83,5948.01,1384.82
300505.SZ,10253.46,9204.18,1049.28
300525.SZ,7443.58,4727.83,2715.75
300670.SZ,2870.99,2377.3,493.69
300730.SZ,2911.07,2725.67,185.4
300742.SZ,2260.71,4021.43,-1760.73
300748.SZ,1736.15,3672.74,-1936.58
600082.SH,3302.2,3109.63,192.57
600163.SH,785.31,408.12,377.19
600319.SH,2903.06,2260.05,643.01
600393.SH,6365.44,6467.1,-101.66
600462.SH,4277.85,3582.11,695.74
600868.SH,6520.83,817.68,5703.15
601162.SH,10257.8,10919.54,-661.74
603059.SH,3644.61,3683.22,-38.61
603389.SH,3299.22,3437.08,-137.86
900919.SH,81.74,22.53,59.21


,trade_date,ts_code,exalter,buy,buy_rate,sell,sell_rate,net_buy
0,20181113,000034.SZ,中信证券股份有限公司杭州四季路证券营业部,2021.22,4.22,0.0,0.0,2021.22
1,20181113,000034.SZ,光大证券股份有限公司武汉紫阳路证券营业部,1012.21,2.11,0.0,0.0,1012.21
2,20181113,000034.SZ,申万宏源证券有限公司宁夏分公司,847.63,1.77,2207.71,4.61,-1360.07
3,20181113,000034.SZ,中原证券股份有限公司平顶山分公司,704.79,1.47,0.76,0.0,704.03
4,20181113,000034.SZ,中泰证券股份有限公司上海建国中路证券营业部,584.73,1.22,3345.41,6.99,-2760.68
5,20181113,000034.SZ,国泰君安证券股份有限公司上海江苏路证券营业部,0.92,0.0,8312.41,17.36,-8311.49
6,20181113,000034.SZ,长城证券股份有限公司天台劳动路证券营业部,3.23,0.01,6462.4,13.49,-6459.17
7,20181113,000034.SZ,中泰证券股份有限公司上海建国中路证券营业部,584.73,1.22,3345.41,6.99,-2760.68
8,20181113,000034.SZ,申万宏源证券有限公司宁夏分公司,847.63,1.77,2207.71,4.61,-1360.07
9,20181113,000034.SZ,恒泰证券股份有限公司杭州富春路证券营业部,0.0,0.0,1726.56,3.61,-1726.56
10,20181113,000533.SZ,华泰证券股份有限公司镇江句容华阳北路证券营业部,1078.53,3.35,0.0,0.0,1078.53
11,20181113,000533.SZ,华泰证券股份有限公司南宁中泰路证券营业部,696.83,2.16,1.53,0.0,695.3
12,20181113,000533.SZ,上海证券有限责任公司南京胜太路证券营业部,631.69,1.96,0.0,0.0,631.69
13,20181113,000533.SZ,海通证券股份有限公司南京广州路证券营业部,611.29,1.9,1.0,0.0,610.29
14,20181113,000533.SZ,中泰证券股份有限公司济南英雄山路证券营业部,464.8,1.44,0.06,0.0,464.74
15,20181113,000533.SZ,湘财证券股份有限公司福州东街证券营业部,0.18,0.0,1009.6,3.13,-1009.42
16,20181113,000533.SZ,长江证券股份有限公司武汉友谊路证券营业部,1.53,0.0,386.48,1.2,-384.95
