ts_code,buy,sell,net_buy
000007.SZ,4893.95,4739.35,154.6
000018.SZ,8117.02,7314.48,802.56
000058.SZ,4969.16,3764.73,1204.41
000068.SZ,2414.12,2619.25,-205.13
000159.SZ,2768.56,678.3,2090.26
000533.SZ,5474.98,4783.46,691.52
000610.SZ,3981.56,8407.79,-4426.23
000622.SZ,16011.88,38206.84,-22194.98
000628.SZ,6288.15,2033.88,4254.26
000638.SZ,5390.14,8552.16,-3162.04
000666.SZ,15303.9,17986.35,-2682.45
000691.SZ,3759.05,6220.09,-2461.04
000835.SZ,11298.72,9561.06,1737.64
000852.SZ,2186.62,9651.33,-7464.71
002054.SZ,15466.22,12668.22,2797.98
002071.SZ,17122.52,9606.38,7516.16
002072.SZ,3018.44,3256.95,-238.5
002141.SZ,3869.71,2395.2,1474.51
002147.SZ,6131.93,19035.45,-12903.5
002295.SZ,4116.27,4414.07,-297.8
002353.SZ,3753.41,14898.39,-11144.99
002356.SZ,3402.31,1077.91,2324.4
002408.SZ,183.54,637.15,-453.61
002485.SZ,14911.26,15370.2,-458.94
002575.SZ,18209.82,25165.24,-6955.4
002584.SZ,10033.9,8207.66,1826.24
002606.SZ,4505.48,5321.71,-816.23
002669.SZ,2995.87,2496.74,499.12
002708.SZ,2673.24,727.12,1946.12
002711.SZ,2098.89,332.78,1766.11
002937.SZ,3791.27,3060.55,730.7
002940.SZ,2573.14,3601.96,-1028.83
200018.SZ,197.73,115.63,82.1
200468.SZ,222.25,198.96,23.28
200625.SZ,412.22,2775.3,-2363.07
300018.SZ,511.62,113.49,398.13
300069.SZ,16729.98,10037.52,6692.49
300164.SZ,2377.12,7016.14,-4639.0
300236.SZ,6027.72,3223.14,2804.6
300283.SZ,2642.12,1097.21,1544.91
300299.SZ,3710.28,5442.43,-1732.16
300505.SZ,3103.17,3247.44,-144.27
300644.SZ,2424.49,820.74,1603.75
300670.SZ,7845.5,7205.48,640.02
300674.SZ,360.47,24.26,336.21
300694.SZ,17406.16,4651.74,12754.4
300740.SZ,240.13,1089.72,-849.59
300748.SZ,4801.86,5008.51,-206.68
300749.SZ,2160.95,1506.24,654.72
300751.SZ,1115.16,53.43,1061.73
600082.SH,7975.3,5875.88,2099.42
600128.SH,10813.01,9864.2,948.81
600163.SH,2036.58,562.2,1474.38
600200.SH,1867.17,1321.54,545.63
600212.SH,3987.46,4781.18,-793.72
600393.SH,4381.16,6664.44,-2283.28
600462.SH,2476.86,2907.33,-430.47
600604.SH,3311.46,607.05,2704.41
600864.SH,16186.34,14163.54,2022.8
603389.SH,15039.74,8669.5,6370.24
603499.SH,13172.55,11710.4,1462.15
603555.SH,3412.36,2457.9,954.46
900939.SH,71.39,34.75,36.64


,trade_date,ts_code,exalter,buy,buy_rate,sell,sell_rate,net_buy
0,20181114,000007.SZ,华泰证券股份有限公司沈阳大西路证券营业部,2168.51,4.74,3.42,0.01,2165.09
1,20181114,000007.SZ,华泰证券股份有限公司南京江宁金箔路证券营业部,850.6,1.86,7.82,0.02,842.78
2,20181114,000007.SZ,光大证券股份有限公司湛江海滨大道南证券营业部,726.6,1.59,8.51,0.02,718.09
3,20181114,000007.SZ,中国中投证券有限责任公司汉中滨江路证券营业部,555.79,1.21,0.42,0.0,555.37
4,20181114,000007.SZ,广发证券股份有限公司武汉建设大道证券营业部,514.49,1.12,0.0,0.0,514.49
5,20181114,000007.SZ,海通证券股份有限公司北京阜外大街证券营业部,0.0,0.0,1249.23,2.73,-1249.23
6,20181114,000007.SZ,中国中投证券有限责任公司广州体育东路证券营业部,1.79,0.0,977.19,2.14,-975.4
7,20181114,000007.SZ,财通证券股份有限公司杭州体育馆证券营业部,14.2,0.03,921.86,2.02,-907.66
8,20181114,000007.SZ,华泰证券股份有限公司北京广渠门内大街证券营业部,0.0,0.0,806.29,1.76,-806.29
9,20181114,000007.SZ,广发证券股份有限公司成都新光路证券营业部,61.97,0.14,764.61,1.67,-702.64
10,20181114,000018.SZ,中信证券股份有限公司上海溧阳路证券营业部,1310.06,4.55,0.0,0.0,1310.06
11,20181114,000018.SZ,华鑫证券有限责任公司上海红宝石路证券营业部,864.0,3.0,0.0,0.0,864.0
12,20181114,000018.SZ,国泰君安证券股份有限公司上海江苏路证券营业部,763.56,2.65,24.33,0.08,739.24
13,20181114,000018.SZ,广发证券股份有限公司成都新光路证券营业部,604.88,2.1,12.62,0.04,592.27
14,20181114,000018.SZ,安信证券股份有限公司南昌胜利路证券营业部,505.8,1.76,0.0,0.0,505.8
15,20181114,000018.SZ,华安证券股份有限公司重庆分公司,0.27,0.0,1557.49,5.41,-1557.23
16,20181114,000018.SZ,广州证券股份有限公司北京三里河东路证券营业部,9.91,0.03,596.15,2.07,-586.24
17,20181114,000018.SZ,长江证券股份有限公司杭州秋涛北路证券营业部,0.0,0.0,523.01,1.82,-523.01
18,20181114,000018.SZ,恒泰证券股份有限公司瑞安拱瑞山路证券营业部,0.03,0.0,499.83,1.74,-499.8
19,20181114,000018.SZ,华泰证券股份有限公司镇江丹阳东方路证券营业部,0.0,0.0,443.81,1.54,-443.81
20,20181114,000018.SZ,中信证券股份有限公司上海溧阳路证券营业部,1310.06,4.55,0.0,0.0,1310.06
21,20181114,000018.SZ,华鑫证券有限责任公司上海红宝石路证券营业部,864.0,3.0,0.0,0.0,864.0
22,20181114,000018.SZ,国泰君安证券股份有限公司上海江苏路证券营业部,763.56,2.65,24.33,0.08,739.24
23,20181114,000018.SZ,广发证券股份有限公司成都新光路证券营业部,604.88,2.1,12.62,0.04,592.27
