ts_code,buy,sell,net_buy
000058.SZ,7593.48,4825.36,2768.12
000068.SZ,6211.68,3527.22,2684.45
000532.SZ,9191.59,9592.25,-400.68
000533.SZ,8746.34,8670.06,76.32
000571.SZ,5101.46,3842.11,1259.35
000610.SZ,7026.07,12972.81,-5946.75
000622.SZ,5975.94,6617.7,-641.75
000638.SZ,3236.27,3915.22,-678.96
000755.SZ,1607.52,6412.52,-4805.0
000917.SZ,8044.79,5769.21,2275.59
000936.SZ,5938.78,3946.19,1992.61
002072.SZ,12953.82,6637.62,6316.18
002137.SZ,5018.39,3033.82,1984.57
002295.SZ,1006.97,95.54,911.42
002346.SZ,5100.48,1029.67,4070.8
002408.SZ,8240.78,9509.22,-1268.44
002450.SZ,11144.38,21374.72,-10230.35
002485.SZ,26003.56,36936.57,-10933.02
002680.SZ,6508.1,9079.39,-2571.3
002687.SZ,7552.32,3541.75,4010.57
002708.SZ,8289.11,3864.67,4424.43
002711.SZ,3578.03,3436.25,141.8
002786.SZ,14150.0,12745.68,1404.32
002871.SZ,2088.74,3128.33,-1039.59
002888.SZ,9118.77,5014.41,4104.36
002913.SZ,6182.02,3065.23,3116.75
002935.SZ,5509.13,3936.68,1572.45
002937.SZ,4480.11,2318.37,2161.75
002940.SZ,2256.97,3005.47,-748.48
200018.SZ,80.28,217.73,-137.44
200468.SZ,300.66,344.98,-44.33
300069.SZ,11047.18,10229.42,817.77
300343.SZ,10130.39,7364.8,2765.59
300471.SZ,4603.48,6607.64,-2004.16
300670.SZ,10685.92,9314.04,1371.9
300688.SZ,7703.69,4939.8,2763.89
300694.SZ,2824.59,6783.59,-3959.01
300730.SZ,6998.16,4919.02,2079.14
300740.SZ,4563.74,4471.63,92.12
300748.SZ,3896.61,3012.71,883.88
300751.SZ,15997.48,4630.46,11367.04
600512.SH,4274.6,2317.62,1956.98
600604.SH,5157.47,4945.35,212.12
600730.SH,3996.1,4374.27,-378.17
600783.SH,28834.99,20717.44,8117.55
601330.SH,3001.34,5755.62,-2754.28
601969.SH,2878.27,928.91,1949.36
603220.SH,139.24,15.18,124.06
603389.SH,3728.23,5971.27,-2243.04
603499.SH,23647.83,41842.08,-18194.25
900915.SH,47.01,12.99,34.02
900922.SH,54.29,23.23,31.06


,trade_date,ts_code,exalter,buy,buy_rate,sell,sell_rate,net_buy
0,20181115,000058.SZ,华鑫证券有限责任公司上海红宝石路证券营业部,1897.73,4.95,31.65,0.08,1866.08
1,20181115,000058.SZ,国泰君安证券股份有限公司上海江苏路证券营业部,1779.55,4.64,0.0,0.0,1779.55
2,20181115,000058.SZ,长江证券股份有限公司荆州北京西路证券营业部,1264.35,3.3,39.91,0.1,1224.44
3,20181115,000058.SZ,华鑫证券有限责任公司上海宛平南路证券营业部,1248.15,3.26,0.0,0.0,1248.15
4,20181115,000058.SZ,中国银河证券股份有限公司重庆民族路证券营业部,961.08,2.51,0.0,0.0,961.08
5,20181115,000058.SZ,海通证券股份有限公司丹阳东方路证券营业部,0.06,0.0,2278.8,5.95,-2278.74
6,20181115,000058.SZ,华泰证券股份有限公司北京广渠门内大街证券营业部,18.06,0.05,633.13,1.65,-615.07
7,20181115,000058.SZ,华泰证券股份有限公司南京汉中门大街证券营业部,70.97,0.19,629.45,1.64,-558.48
8,20181115,000058.SZ,西藏东方财富证券股份有限公司上海东方路证券营业部,3.99,0.01,606.29,1.58,-602.3
9,20181115,000058.SZ,华鑫证券有限责任公司上海嘉定棋盘路证券营业部,349.54,0.91,606.13,1.58,-256.59
10,20181115,000068.SZ,华泰证券股份有限公司永嘉阳光大道证券营业部,2009.11,4.51,0.21,0.0,2008.9
11,20181115,000068.SZ,国泰君安证券股份有限公司上海江苏路证券营业部,1240.36,2.78,3.89,0.01,1236.47
12,20181115,000068.SZ,中信证券股份有限公司上海红宝石路证券营业部,803.29,1.8,0.81,0.0,802.48
13,20181115,000068.SZ,光大证券股份有限公司奉化南山路证券营业部,701.16,1.57,1.16,0.0,700.0
14,20181115,000068.SZ,中国中投证券有限责任公司无锡清扬路证券营业部,672.87,1.51,374.28,0.84,298.59
15,20181115,000068.SZ,海通证券股份有限公司杭州解放路证券营业部,13.6,0.03,843.85,1.89,-830.25
16,20181115,000068.SZ,长城证券交易单元(048700),316.38,0.71,675.58,1.52,-359.2
17,20181115,000068.SZ,中国银河证券股份有限公司石家庄红旗大街证券营业部,1.05,0.0,597.31,1.34,-596.26
18,20181115,000068.SZ,东兴证券股份有限公司广州珠江东路证券营业部,253.04,0.57,547.29,1.23,-294.26
19,20181115,000068.SZ,西南证券股份有限公司深圳滨河大道证券营业部,200.82,0.45,482.84,1.08,-282.02
20,20181115,000532.SZ,华泰证券股份有限公司南京江宁金箔路证券营业部,1629.35,2.48,16.13,0.02,1613.22
21,20181115,000532.SZ,国泰君安证券股份有限公司宁波彩虹北路证券营业部,1119.9,1.7,1979.01,3.01,-859.11
22,20181115,000532.SZ,国泰君安证券股份有限公司上海分公司,1064.8,1.62,0.0,0.0,1064.8
23,20181115,000532.SZ,国盛证券有限责任公司宁波桑田路证券营业部,993.47,1.51,1329.96,2.02,-336.49
24,20181115,000532.SZ,中国银河证券股份有限公司桂林中山中路证券营业部,788.8,1.2,5.46,0.01,783.34
25,20181115,000532.SZ,国泰君安证券股份有限公司宁波彩虹北路证券营业部,1119.9,1.7,1979.01,3.01,-859.11
26,20181115,000532.SZ,光大证券股份有限公司宁波悦盛路证券营业部,486.9,0.74,1551.49,2.36,-1064.6
27,20181115,000532.SZ,国盛证券有限责任公司宁波桑田路证券营业部,993.47,1.51,1329.96,2.02,-336.49
28,20181115,000532.SZ,兴业证券股份有限公司深圳侨香路证券营业部,719.46,1.09,725.0,1.1,-5.54
29,20181115,000532.SZ,华泰证券股份有限公司常熟金沙江路证券营业部,275.54,0.42,676.23,1.03,-400.7
30,20181115,000533.SZ,华泰证券股份有限公司宁波柳汀街证券营业部,991.42,2.12,43.43,0.09,948.0
31,20181115,000533.SZ,中泰证券股份有限公司济南英雄山路证券营业部,957.23,2.04,0.22,0.0,957.01
32,20181115,000533.SZ,东莞证券股份有限公司苏州广济北路证券营业部,929.89,1.99,0.04,0.0,929.85
33,20181115,000533.SZ,招商证券股份有限公司深圳蛇口工业三路证券营业部,664.17,1.42,10.69,0.02,653.48
34,20181115,000533.SZ,中国银河证券股份有限公司淮安洪泽东十道证券营业部,656.73,1.4,0.0,0.0,656.73
35,20181115,000533.SZ,中国银河证券股份有限公司上海长宁区镇宁路证券营业部,0.94,0.0,1187.85,2.54,-1186.91
36,20181115,000533.SZ,国泰君安证券股份有限公司上海分公司,0.0,0.0,888.53,1.9,-888.53
37,20181115,000533.SZ,安信证券股份有限公司南昌胜利路证券营业部,0.0,0.0,821.25,1.75,-821.25
38,20181115,000533.SZ,中国银河证券股份有限公司广州东风西路证券营业部,0.32,0.0,728.88,1.56,-728.56
39,20181115,000533.SZ,华鑫证券有限责任公司杭州飞云江路证券营业部,172.47,0.37,654.14,1.4,-481.66
40,20181115,000533.SZ,华泰证券股份有限公司宁波柳汀街证券营业部,991.42,2.12,43.43,0.09,948.0
41,20181115,000533.SZ,中泰证券股份有限公司济南英雄山路证券营业部,957.23,2.04,0.22,0.0,957.01
42,20181115,000533.SZ,东莞证券股份有限公司苏州广济北路证券营业部,929.89,1.99,0.04,0.0,929.85
43,20181115,000533.SZ,招商证券股份有限公司深圳蛇口工业三路证券营业部,664.17,1.42,10.69,0.02,653.48
44,20181115,000533.SZ,中国银河证券股份有限公司淮安洪泽东十道证券营业部,656.73,1.4,0.0,0.0,656.73
45,20181115,000533.SZ,中国银河证券股份有限公司上海长宁区镇宁路证券营业部,0.94,0.0,1187.85,2.54,-1186.91
46,20181115,000533.SZ,国泰君安证券股份有限公司上海分公司,0.0,0.0,888.53,1.9,-888.53
47,20181115,000533.SZ,安信证券股份有限公司南昌胜利路证券营业部,0.0,0.0,821.25,1.75,-821.25
48,20181115,000533.SZ,中国银河证券股份有限公司广州东风西路证券营业部,0.32,0.0,728.88,1.56,-728.56
49,20181115,000533.SZ,华鑫证券有限责任公司杭州飞云江路证券营业部,172.47,0.37,654.14,1.4,-481.66
50,20181115,000571.SZ,国泰君安证券股份有限公司深圳深南大道京基一百证券营业部,1099.5,2.4,10.0,0.02,1089.5
51,20181115,000571.SZ,东兴证券股份有限公司深圳金田路证券营业部,759.14,1.65,18.71,0.04,740.43
52,20181115,000571.SZ,光大证券股份有限公司广州中山二路证券营业部,749.01,1.63,19.03,0.04,729.98
53,20181115,000571.SZ,平安证券股份有限公司福州长乐北路证券营业部,745.6,1.62,624.74,1.36,120.86
54,20181115,000571.SZ,财通证券股份有限公司温岭中华路证券营业部,705.74,1.54,0.0,0.0,705.74
55,20181115,000571.SZ,长江证券股份有限公司武汉胜利街证券营业部,0.0,0.0,1202.57,2.62,-1202.57
56,20181115,000571.SZ,平安证券股份有限公司福州长乐北路证券营业部,745.6,1.62,624.74,1.36,120.86
57,20181115,000571.SZ,机构专用,0.0,0.0,557.31,1.21,-557.31
58,20181115,000571.SZ,国泰君安证券股份有限公司徐州和平路证券营业部,31.29,0.07,489.76,1.07,-458.47
59,20181115,000571.SZ,国泰君安证券股份有限公司深圳金田路证券营业部,265.58,0.58,295.25,0.64,-29.67
60,20181115,000610.SZ,中国银河证券股份有限公司绍兴证券营业部,1399.98,2.09,6.36,0.01,1393.62
61,20181115,000610.SZ,财通证券股份有限公司绍兴解放大道证券营业部,935.72,1.4,0.0,0.0,935.72
62,20181115,000610.SZ,国泰君安证券股份有限公司南京中央路证券营业部,887.46,1.32,1.39,0.0,886.07
63,20181115,000610.SZ,安信证券股份有限公司上海杨浦区殷行路证券营业部,883.17,1.32,943.53,1.41,-60.36
64,20181115,000610.SZ,中原证券股份有限公司郑州桐柏路证券营业部,830.58,1.24,892.44,1.33,-61.86
65,20181115,000610.SZ,国泰君安证券股份有限公司杭州庆春路证券营业部,0.0,0.0,5809.77,8.66,-5809.77
66,20181115,000610.SZ,长城国瑞证券有限公司北京远大路证券营业部,365.24,0.54,2274.53,3.39,-1909.3
67,20181115,000610.SZ,方正证券股份有限公司西安南大街证券营业部,10.17,0.02,1208.82,1.8,-1198.65
68,20181115,000610.SZ,安信证券股份有限公司上海杨浦区殷行路证券营业部,883.17,1.32,943.53,1.41,-60.36
69,20181115,000610.SZ,中原证券股份有限公司郑州桐柏路证券营业部,830.58,1.24,892.44,1.33,-61.86
70,20181115,000622.SZ,国元证券股份有限公司重庆观音桥步行街证券营业部,1707.64,1.97,17.99,0.02,1689.65
71,20181115,000622.SZ,国联证券股份有限公司无锡五爱北路证券营业部,1038.41,1.2,9.32,0.01,1029.09
72,20181115,000622.SZ,西藏东方财富证券股份有限公司拉萨团结路第二证券营业部,913.39,1.05,1026.67,1.19,-113.27
73,20181115,000622.SZ,国金证券股份有限公司上海奉贤区金碧路证券营业部,688.15,0.79,468.03,0.54,220.13
74,20181115,000622.SZ,国融证券股份有限公司重庆分公司,635.16,0.73,0.66,0.0,634.49
75,20181115,000622.SZ,招商证券股份有限公司深圳科技园高新南一道证券营业部,60.77,0.07,1124.2,1.3,-1063.43
76,20181115,000622.SZ,广发证券股份有限公司苏州苏州大道东证券营业部,16.86,0.02,1116.29,1.29,-1099.42
77,20181115,000622.SZ,西藏东方财富证券股份有限公司昆明南屏街证券营业部,2.07,0.0,1103.5,1.27,-1101.44
78,20181115,000622.SZ,西藏东方财富证券股份有限公司拉萨团结路第二证券营业部,913.39,1.05,1026.67,1.19,-113.27
79,20181115,000622.SZ,南京证券股份有限公司张家港东环路证券营业部,0.1,0.0,724.37,0.84,-724.28
80,20181115,000638.SZ,申万宏源西部证券有限公司沈阳十一纬路证券营业部,702.33,2.95,0.0,0.0,702.33
81,20181115,000638.SZ,海通证券股份有限公司天津霞光道证券营业部,659.73,2.77,118.43,0.5,541.3
82,20181115,000638.SZ,联讯证券股份有限公司沈阳大西路证券营业部,592.07,2.49,0.0,0.0,592.07
83,20181115,000638.SZ,西藏东方财富证券股份有限公司拉萨团结路第二证券营业部,343.82,1.44,233.24,0.98,110.57
84,20181115,000638.SZ,华福证券有限责任公司厦门湖滨南路证券营业部,264.96,1.11,664.97,2.79,-400.01
85,20181115,000638.SZ,海通证券股份有限公司绍兴劳动路证券营业部,5.3,0.02,1440.07,6.05,-1434.77
86,20181115,000638.SZ,华福证券有限责任公司厦门湖滨南路证券营业部,264.96,1.11,664.97,2.79,-400.01
87,20181115,000638.SZ,中银国际证券股份有限公司上海欧阳路证券营业部,1.33,0.01,319.35,1.34,-318.02
88,20181115,000638.SZ,平安证券股份有限公司银川凤凰北街证券营业部,57.95,0.24,240.95,1.01,-182.99
89,20181115,000638.SZ,西藏东方财富证券股份有限公司拉萨团结路第二证券营业部,343.82,1.44,233.24,0.98,110.57
90,20181115,000755.SZ,大同证券有限责任公司文水则天大街证券营业部,222.59,2.1,0.0,0.0,222.59
91,20181115,000755.SZ,大同证券有限责任公司太原分公司,220.17,2.08,318.15,3.0,-97.97
92,20181115,000755.SZ,华泰证券股份有限公司上海浦东新区福山路证券营业部,125.46,1.18,13.15,0.12,112.3
93,20181115,000755.SZ,光大证券股份有限公司太原解放路证券营业部,120.59,1.14,1.01,0.01,119.58
94,20181115,000755.SZ,中泰证券股份有限公司上海浦东大道证券营业部,109.92,1.04,0.0,0.0,109.92
95,20181115,000755.SZ,华泰证券股份有限公司杭州求是路证券营业部,3.61,0.03,697.22,6.57,-693.61
96,20181115,000755.SZ,华鑫证券有限责任公司杭州飞云江路证券营业部,0.0,0.0,694.58,6.55,-694.58
97,20181115,000755.SZ,安信证券股份有限公司揭阳临江北路证券营业部,1.31,0.01,512.8,4.84,-511.49
98,20181115,000755.SZ,中国银河证券股份有限公司深圳深南大道证券营业部,0.11,0.0,500.11,4.72,-500.0
99,20181115,000755.SZ,长江证券股份有限公司绵阳花园南街证券营业部,0.0,0.0,469.24,4.42,-469.24
100,20181115,000755.SZ,大同证券有限责任公司文水则天大街证券营业部,222.59,2.1,0.0,0.0,222.59
101,20181115,000755.SZ,大同证券有限责任公司太原分公司,220.17,2.08,318.15,3.0,-97.97
102,20181115,000755.SZ,华泰证券股份有限公司上海浦东新区福山路证券营业部,125.46,1.18,13.15,0.12,112.3
103,20181115,000755.SZ,光大证券股份有限公司太原解放路证券营业部,120.59,1.14,1.01,0.01,119.58
104,20181115,000755.SZ,中泰证券股份有限公司上海浦东大道证券营业部,109.92,1.04,0.0,0.0,109.92
105,20181115,000755.SZ,华泰证券股份有限公司杭州求是路证券营业部,3.61,0.03,697.22,6.57,-693.61
106,20181115,000755.SZ,华鑫证券有限责任公司杭州飞云江路证券营业部,0.0,0.0,694.58,6.55,-694.58
107,20181115,000755.SZ,安信证券股份有限公司揭阳临江北路证券营业部,1.31,0.01,512.8,4.84,-511.49
108,20181115,000755.SZ,中国银河证券股份有限公司深圳深南大道证券营业部,0.11,0.0,500.11,4.72,-500.0
109,20181115,000755.SZ,长江证券股份有限公司绵阳花园南街证券营业部,0.0,0.0,469.24,4.42,-469.24
110,20181115,000917.SZ,东方证券股份有限公司上海浦东新区银城中路证券营业部,2576.42,3.96,41.42,0.06,2535.01
111,20181115,000917.SZ,宏信证券有限责任公司泸州江阳中路证券营业部,1361.08,2.09,0.86,0.0,1360.22
112,20181115,000917.SZ,海通证券股份有限公司徐州中山北路证券营业部,1159.88,1.78,1.23,0.0,1158.66
113,20181115,000917.SZ,平安证券股份有限公司浙江分公司,785.2,1.21,791.82,1.22,-6.62
114,20181115,000917.SZ,华泰证券股份有限公司广州体育东路证券营业部,707.04,1.09,329.81,0.51,377.23
115,20181115,000917.SZ,华泰证券股份有限公司深圳益田路荣超商务中心证券营业部,32.07,0.05,1209.18,1.86,-1177.11
