code,name,outstanding,p_change_range2,normalizing_std2,stop_mark
002030,达安基因,7.64,-29.15,0.097,
002699,美盛文化,7.91,-28.196,0.122,
600844,丹化科技,8.23,-27.988,0.133,
000042,中洲控股,4.85,-27.229,0.087,
002259,ST升达,7.24,-26.967,0.108,
000635,英 力 特,3.03,-26.935,0.127,
002669,康达新材,2.29,-25.805,0.074,
600826,兰生股份,4.21,-23.296,0.113,
600298,安琪酵母,8.24,-23.115,0.118,
002707,众信旅游,5.1,-22.597,0.076,
000989,九 芝 堂,4.2,-22.294,0.126,
002627,宜昌交运,2.77,-21.69,0.064,
600197,伊力特,4.41,-20.384,0.104,
002903,宇环数控,0.66,-20.373,0.087,
002931,锋龙股份,0.22,-19.989,0.066,
600796,钱江生化,3.01,-19.941,0.065,
600764,中国海防,3.3,-19.902,0.091,
002748,世龙实业,2.4,-19.85,0.043,
002647,仁东控股,5.6,-19.828,0.063,
002226,江南化工,9.11,-18.966,0.053,
600278,东方创业,5.22,-18.942,0.072,
000596,古井贡酒,3.84,-18.929,0.112,
002629,仁智股份,3.45,-18.868,0.061,
002650,加加食品,9.47,-18.505,0.11,
000752,西藏发展,2.64,-17.814,0.059,
000713,丰乐种业,2.99,-17.551,0.109,
002435,长江润发,3.12,-17.473,0.128,
600733,北汽蓝谷,3.97,-16.98,0.048,
002919,名臣健康,0.2,-16.563,0.05,
002895,川恒股份,0.89,-16.542,0.056,
002197,证通电子,4.35,-16.429,0.046,
600712,南宁百货,5.38,-16.211,0.073,
600738,兰州民百,4.21,-15.859,0.078,
002765,蓝黛传动,2.55,-15.738,0.065,
600619,海立股份,5.82,-15.479,0.06,
