code,name,outstanding,p_change_range0,p_change_range1,normalizing_std,stop_mark
000622,恒立实业,4.25,9.97,235.959,0.339,
600604,市北高新,13.34,9.96,166.282,0.362,
600128,弘业股份,2.47,8.89,153.157,0.328,
600235,民丰特纸,3.51,5.71,141.379,0.329,
600783,鲁信创投,7.44,9.99,130.149,0.275,
600053,九鼎投资,4.34,10.01,108.948,0.204,
600895,张江高科,15.49,9.99,108.782,0.236,
002708,光洋股份,2.4,10.06,100.645,0.257,
600624,复旦复华,6.85,9.87,95.476,0.225,
002575,群兴玩具,5.89,0.82,91.649,0.278,
600689,上海三毛,1.52,1.58,85.873,0.232,
600462,九有股份,5.34,9.93,81.715,0.218,
000068,华控赛格,10.07,10.12,80.663,0.219,
600290,华仪电气,5.27,9.98,74.411,0.189,
000532,华金资本,3.43,6.54,74.019,0.187,
002054,德美化工,3.12,2.06,73.591,0.244,
002141,贤丰控股,6.37,10.09,73.341,0.178,
600635,大众公用,24.19,10.04,70.959,0.166,
601162,天风证券,5.18,0.28,69.663,0.131,
600082,海泰发展,6.34,-0.97,68.993,0.207,
600283,钱江水利,3.53,9.82,67.926,0.163,
000058,深 赛 格,5.38,9.95,66.514,0.175,
600695,绿庭投资,3.66,10.02,64.23,0.156,
300018,中元股份,3.46,9.98,63.143,0.192,
600210,紫江企业,15.17,5.97,61.264,0.16,
600133,东湖高新,5.38,4.5,59.46,0.164,
000917,电广传媒,12.95,7.33,59.177,0.147,
002584,西陇科学,3.64,9.99,58.589,0.151,
000936,华西股份,8.85,6.81,57.591,0.138,
000638,万方发展,3.09,0.0,55.365,0.206,
002346,柘中股份,3.92,10.0,54.099,0.151,
000610,西安旅游,2.35,9.95,53.357,0.134,
002192,融捷股份,2.37,2.53,53.125,0.183,
000533,万 家 乐,6.85,-8.37,52.817,0.181,
000966,长源电力,11.08,3.98,52.551,0.159,
002367,康力电梯,5.24,9.97,51.745,0.121,
600064,南京高科,12.36,9.97,50.999,0.123,
002328,新朋股份,3.25,9.95,50.12,0.146,
600165,新日恒力,6.85,10.04,49.874,0.118,
000159,国际实业,4.81,7.5,49.465,0.14,
600701,*ST工新,7.76,1.01,49.242,0.132,
002098,浔兴股份,3.1,2.53,49.208,0.137,
002260,*ST德奥,2.65,-4.16,48.491,0.12,
600730,中国高科,5.87,2.99,48.477,0.137,
002194,*ST凡谷,5.3,5.03,48.104,0.109,
300274,阳光电源,10.66,1.95,47.953,0.134,
002295,精艺股份,2.5,0.6,47.413,0.149,
002571,德力股份,2.53,-0.17,46.916,0.16,
000633,合金投资,3.85,3.91,46.837,0.1,
300236,上海新阳,1.9,8.48,46.668,0.117,
300126,锐奇股份,2.11,10.05,46.288,0.111,
300069,金利华电,0.92,-10.01,45.771,0.167,
000931,中 关 村,7.02,9.95,45.604,0.114,
