ts_code,buy,sell,net_buy
000009.SZ,12159.28,11388.69,770.57
000159.SZ,2677.12,2918.66,-241.55
000403.SZ,4920.33,4480.24,440.1
000533.SZ,5184.72,27865.6,-22680.84
000622.SZ,21162.08,9776.12,11385.92
000851.SZ,4390.38,4274.02,116.37
000931.SZ,15118.46,14065.18,1053.28
000935.SZ,7719.0,2835.68,4883.34
000979.SZ,55.37,110.07,-54.7
002072.SZ,3354.4,6803.12,-3448.71
002075.SZ,1474.21,1729.05,-254.84
002141.SZ,4185.71,2439.77,1745.93
002308.SZ,390.29,3170.63,-2780.35
002328.SZ,8543.43,2354.6,6188.82
002367.SZ,3588.81,3208.37,380.44
002408.SZ,36858.98,102898.11,-66039.16
002485.SZ,14987.27,35349.86,-20362.58
002584.SZ,3745.26,2915.92,829.34
002619.SZ,4494.73,2389.9,2104.84
002621.SZ,1565.76,1888.5,-322.75
002655.SZ,3254.95,1874.5,1380.45
002687.SZ,6580.03,8662.57,-2082.57
002708.SZ,5299.64,6802.9,-1503.26
002856.SZ,6449.53,1293.42,5156.12
002888.SZ,5354.04,9409.45,-4055.43
002935.SZ,5532.08,3947.3,1584.78
002940.SZ,3378.11,3759.4,-381.29
300003.SZ,16253.89,24136.75,-7882.87
300018.SZ,14963.6,10811.66,4151.94
300069.SZ,2742.88,8317.07,-5574.21
300126.SZ,3265.3,1819.57,1445.74
300181.SZ,6262.72,4760.88,1501.84
300236.SZ,13662.57,13946.48,-283.92
300283.SZ,2227.84,3884.34,-1656.5
300543.SZ,2563.59,938.82,1624.77
300606.SZ,2804.17,6377.7,-3573.52
300644.SZ,2908.01,4355.66,-1447.65
300645.SZ,3890.19,2712.95,1177.24
300670.SZ,4488.09,5099.42,-611.32
300730.SZ,2884.8,3550.67,-665.85
300748.SZ,2167.77,2740.46,-572.7
300751.SZ,3457.21,5740.54,-2283.33
600053.SH,9117.85,9688.67,-570.82
600064.SH,8934.16,10865.57,-1931.41
600131.SH,7225.36,3767.9,3457.46
600226.SH,5364.25,6889.98,-1525.73
600316.SH,6768.04,5838.94,929.1
600366.SH,6986.95,3463.07,3523.88
600624.SH,17483.11,13295.01,4188.1
600635.SH,30453.45,16804.2,13649.25
600843.SH,1984.93,1178.75,806.18
600895.SH,26568.07,35398.35,-8830.28
600986.SH,8296.71,4955.48,3341.23
601319.SH,1800.42,316.78,1483.64
603389.SH,2592.3,3011.75,-419.45
603499.SH,1636.34,7637.9,-6001.56
603706.SH,2133.64,7354.25,-5220.61
900924.SH,181.25,59.76,121.49
900928.SH,57.81,52.83,4.98
900933.SH,183.36,197.86,-14.5


,trade_date,ts_code,exalter,buy,buy_rate,sell,sell_rate,net_buy
0,20181116,000009.SZ,广发证券股份有限公司西安南广济街证券营业部,3721.18,5.54,3.8,0.01,3717.37
1,20181116,000009.SZ,华泰证券股份有限公司呼和浩特赛罕区新华东街证券营业部,2759.1,4.11,0.0,0.0,2759.1
2,20181116,000009.SZ,深股通专用,1861.36,2.77,649.9,0.97,1211.47
3,20181116,000009.SZ,信达证券股份有限公司深圳湾科技生态园证券营业部,1615.89,2.41,2.25,0.0,1613.63
4,20181116,000009.SZ,中国中投证券有限责任公司无锡清扬路证券营业部,883.2,1.32,3017.6,4.5,-2134.4
5,20181116,000009.SZ,中国中投证券有限责任公司无锡清扬路证券营业部,883.2,1.32,3017.6,4.5,-2134.4
6,20181116,000009.SZ,申万宏源证券有限公司上海嘉定区塔城路证券营业部,36.93,0.06,1601.49,2.39,-1564.56
7,20181116,000009.SZ,华泰证券股份有限公司上海奉贤区望园南路证券营业部,0.0,0.0,1129.66,1.68,-1129.66
8,20181116,000009.SZ,国信证券股份有限公司深圳泰然九路证券营业部,397.56,0.59,1044.22,1.56,-646.66
9,20181116,000009.SZ,申万宏源证券有限公司泸州广凤路证券营业部,0.86,0.0,922.17,1.37,-921.32
10,20181116,000159.SZ,中信建投证券股份有限公司绍兴胜利东路证券营业部,678.16,1.99,0.0,0.0,678.16
11,20181116,000159.SZ,财通证券股份有限公司杭州体育馆证券营业部,580.9,1.7,256.11,0.75,324.8
12,20181116,000159.SZ,国信证券股份有限公司广州东风中路证券营业部,525.03,1.54,61.41,0.18,463.62
13,20181116,000159.SZ,华福证券有限责任公司泉州田安路证券营业部,351.61,1.03,4.55,0.01,347.06
14,20181116,000159.SZ,西藏东方财富证券股份有限公司拉萨团结路第二证券营业部,318.39,0.93,215.78,0.63,102.6
15,20181116,000159.SZ,国信证券股份有限公司北京三里河证券营业部,108.59,0.32,557.23,1.63,-448.64
16,20181116,000159.SZ,华泰证券股份有限公司上海长宁区仙霞路证券营业部,9.6,0.03,509.59,1.49,-499.99
17,20181116,000159.SZ,中航证券有限公司杭州莫干山路证券营业部,0.99,0.0,494.12,1.45,-493.14
18,20181116,000159.SZ,国信证券股份有限公司上海北京东路证券营业部,103.85,0.3,429.05,1.26,-325.2
19,20181116,000159.SZ,招商证券股份有限公司深圳后海证券营业部,0.0,0.0,390.82,1.15,-390.82
20,20181116,000403.SZ,机构专用,2653.53,22.82,0.0,0.0,2653.53
21,20181116,000403.SZ,机构专用,426.15,3.67,0.0,0.0,426.15
22,20181116,000403.SZ,华泰证券股份有限公司杭州求是路证券营业部,407.11,3.5,0.0,0.0,407.11
23,20181116,000403.SZ,机构专用,371.1,3.19,0.0,0.0,371.1
