code,name,outstanding,p_change_range,normalizing_std,p_change_till_now,normalizing_std_till_now,stop_mark
002333,罗普斯金,4.85,-50.509,0.273,3.771,0.046,
002259,ST升达,7.24,-48.345,0.193,26.151,0.132,
000056,皇庭国际,9.04,-45.371,0.197,-5.326,0.026,
600733,北汽蓝谷,3.97,-41.631,0.928,10.492,0.028,
600318,新力金融,4.84,-40.903,0.25,17.053,0.06,
002630,华西能源,9.7,-39.573,0.136,14.841,0.071,
000007,全新好,3.09,-35.441,0.205,5.855,0.066,
600182,S佳通,1.7,-35.129,0.176,6.59,0.046,
600826,兰生股份,4.21,-35.038,0.164,13.61,0.046,
000989,九 芝 堂,4.2,-34.814,0.125,19.398,0.076,
600960,渤海汽车,6.8,-34.554,0.189,9.761,0.05,
002012,凯恩股份,4.67,-33.921,0.163,31.607,0.121,
002650,加加食品,9.47,-33.893,0.153,-11.217,0.073,
002011,盾安环境,8.41,-33.585,0.223,30.815,0.09,
000544,中原环保,5.22,-33.295,0.184,22.18,0.053,
002213,特 尔 佳,1.97,-33.244,0.181,36.06,0.087,
000584,哈工智能,6.11,-32.911,0.186,23.527,0.053,
600844,丹化科技,8.23,-32.804,0.133,7.105,0.039,
002288,超华科技,8.0,-32.213,0.175,31.184,0.09,
002034,旺能环境,1.43,-31.82,0.157,54.477,0.097,
000796,凯撒旅游,8.03,-31.597,0.146,31.675,0.103,
600238,*ST椰岛,4.45,-30.961,0.129,16.666,0.088,
000503,国新健康,8.99,-29.356,0.164,15.82,0.061,
601068,中铝国际,2.96,-29.272,0.131,4.937,0.038,
000673,当代东方,7.87,-29.129,0.169,22.975,0.089,
600738,兰州民百,4.21,-28.859,0.125,18.578,0.066,
002936,郑州银行,6.0,-28.492,0.12,2.452,0.022,
002089,新 海 宜,9.8,-28.404,0.139,35.926,0.109,
000950,重药控股,7.11,-28.381,0.147,10.448,0.063,
600701,*ST工新,7.76,-28.282,0.139,62.267,0.176,
600608,ST沪科,3.18,-27.947,0.109,16.274,0.068,
600807,*ST天业,7.87,-27.371,0.114,50.802,0.088,
000586,汇源通信,1.93,-27.065,0.143,23.236,0.09,
002141,贤丰控股,6.37,-26.918,0.109,90.565,0.217,
000755,山西路桥,4.69,-26.428,0.104,33.592,0.121,
002316,亚联发展,2.93,-26.113,0.137,23.093,0.08,
002692,睿康股份,7.15,-26.052,0.098,10.071,0.071,
