ts_code,buy,sell,net_buy
000011.SZ,3142.21,1626.55,1515.64
000058.SZ,6769.04,9373.12,-2604.1
000401.SZ,10386.59,9335.55,1051.04
000622.SZ,16797.64,15382.56,1415.08
000628.SZ,5290.63,2013.57,3277.04
000638.SZ,2854.2,1574.78,1279.42
000935.SZ,19455.62,26573.08,-7117.44
000979.SZ,36.44,80.67,-44.23
002058.SZ,6171.5,5194.02,977.51
002075.SZ,18631.58,16096.14,2535.44
002122.SZ,4501.19,6797.4,-2296.21
002177.SZ,9099.2,6272.37,2826.84
002210.SZ,4906.66,7878.61,-2971.97
002301.SZ,7564.42,13072.34,-5507.92
002346.SZ,4919.54,4869.4,50.14
002359.SZ,4814.88,17089.35,-12274.43
002451.SZ,5208.15,2082.49,3125.66
002495.SZ,12734.52,11404.22,1330.26
002512.SZ,16522.89,24907.03,-8384.14
002623.SZ,1289.57,2977.26,-1687.69
002670.SZ,18850.04,18155.34,694.66
002708.SZ,14323.78,9381.91,4941.89
002856.SZ,3062.98,7024.25,-3961.27
002875.SZ,34907.86,24542.96,10364.88
002937.SZ,4117.97,2089.8,2028.17
002939.SZ,8586.98,14888.97,-6302.0
002940.SZ,3041.54,3080.74,-39.2
300018.SZ,5800.79,6847.47,-1046.68
300069.SZ,1607.28,2893.85,-1286.56
300126.SZ,6225.92,6223.74,2.18
300137.SZ,5727.79,5452.58,275.21
300143.SZ,2331.81,3840.53,-1508.72
300171.SZ,2787.22,567.68,2219.55
300234.SZ,5878.76,12394.22,-6515.52
300344.SZ,4450.69,6264.52,-1813.83
300505.SZ,2651.98,3378.86,-726.88
300543.SZ,3638.67,1155.35,2483.33
300571.SZ,7126.56,12335.83,-5209.27
300644.SZ,1461.92,2201.36,-739.4
300670.SZ,2106.42,2330.52,-224.1
300674.SZ,1421.09,30.79,1390.3
300682.SZ,534.8,191.68,343.12
300694.SZ,3003.68,4503.42,-1499.72
300730.SZ,2174.02,1561.85,612.18
600080.SH,19241.26,5845.06,13396.2
600128.SH,4586.04,10391.25,-5805.21
600131.SH,1162.62,7515.2,-6352.58
600229.SH,6916.01,15668.37,-8752.36
600290.SH,3920.36,8800.69,-4880.33
600310.SH,2292.43,975.44,1316.99
600463.SH,2331.68,1261.33,1070.35
600507.SH,6618.19,14324.89,-7706.7
600604.SH,16030.77,30039.17,-14008.4
600743.SH,3742.28,2113.26,1629.02
600824.SH,3243.78,2323.68,920.1
600825.SH,2274.63,1160.89,1113.74
601028.SH,1371.96,9124.72,-7752.76
603389.SH,2417.5,3864.69,-1447.19
603790.SH,1996.11,1635.65,360.46


,trade_date,ts_code,exalter,buy,buy_rate,sell,sell_rate,net_buy
0,20181119,000011.SZ,国融证券股份有限公司青岛秦岭路证券营业部,828.57,3.35,0.0,0.0,828.57
1,20181119,000011.SZ,中信证券（山东）有限责任公司淄博分公司,612.72,2.48,22.34,0.09,590.37
2,20181119,000011.SZ,东莞证券股份有限公司四川分公司,489.62,1.98,22.57,0.09,467.05
3,20181119,000011.SZ,国泰君安证券股份有限公司顺德大良证券营业部,440.91,1.78,6.64,0.03,434.27
4,20181119,000011.SZ,国融证券股份有限公司杭州江晖路证券营业部,424.37,1.72,0.0,0.0,424.37
5,20181119,000011.SZ,西藏东方财富证券股份有限公司拉萨东环路第二证券营业部,74.97,0.3,402.17,1.63,-327.21
6,20181119,000011.SZ,华鑫证券有限责任公司南京中山北路证券营业部,0.0,0.0,320.13,1.3,-320.13
7,20181119,000011.SZ,中泰证券股份有限公司湖南分公司,0.0,0.0,318.1,1.29,-318.1
8,20181119,000011.SZ,华泰证券股份有限公司深圳高新南一道证券营业部,270.03,1.09,271.48,1.1,-1.45
9,20181119,000011.SZ,长城证券股份有限公司仙桃钱沟路证券营业部,1.02,0.0,263.12,1.06,-262.1
10,20181119,000058.SZ,华泰证券股份有限公司深圳益田路荣超商务中心证券营业部,3655.68,6.53,15.02,0.03,3640.66
11,20181119,000058.SZ,国泰君安证券股份有限公司上海福山路证券营业部,1343.18,2.4,1159.01,2.07,184.18
12,20181119,000058.SZ,国联证券股份有限公司无锡梁溪路证券营业部,709.87,1.27,821.5,1.47,-111.63
13,20181119,000058.SZ,财达证券股份有限公司石家庄建设南大街证券营业部,571.3,1.02,425.5,0.76,145.8
14,20181119,000058.SZ,西藏东方财富证券股份有限公司拉萨团结路第二证券营业部,485.37,0.87,254.62,0.46,230.74
15,20181119,000058.SZ,中国中投证券有限责任公司靖江人民南路证券营业部,0.0,0.0,1437.11,2.57,-1437.11
16,20181119,000058.SZ,长江证券股份有限公司荆州北京西路证券营业部,1.45,0.0,1416.6,2.53,-1415.16
17,20181119,000058.SZ,华鑫证券有限责任公司上海红宝石路证券营业部,0.0,0.0,1377.72,2.46,-1377.72
18,20181119,000058.SZ,华泰证券股份有限公司成都人民南路证券营业部,2.05,0.0,1248.9,2.23,-1246.86
19,20181119,000058.SZ,国泰君安证券股份有限公司上海江苏路证券营业部,0.14,0.0,1217.14,2.18,-1217.0
20,20181119,000401.SZ,申万宏源证券有限公司上海闵行区东川路证券营业部,2357.94,4.06,4.11,0.01,2353.83
21,20181119,000401.SZ,中信建投证券股份有限公司北京宣武门外大街证券营业部,1909.56,3.29,0.0,0.0,1909.56
22,20181119,000401.SZ,深股通专用,1475.88,2.54,1335.17,2.3,140.71
23,20181119,000401.SZ,海通证券股份有限公司扬州汶河南路证券营业部,1412.14,2.43,0.0,0.0,1412.14
24,20181119,000401.SZ,国金证券股份有限公司深圳深南大道证券营业部,1009.29,1.74,3.57,0.01,1005.72
25,20181119,000401.SZ,海通证券股份有限公司上海乳山路证券营业部,717.09,1.23,2977.26,5.12,-2260.17
26,20181119,000401.SZ,光大证券股份有限公司深圳新园路证券营业部,14.73,0.03,1683.85,2.9,-1669.12
27,20181119,000401.SZ,深股通专用,1475.88,2.54,1335.17,2.3,140.71
28,20181119,000401.SZ,银泰证券有限责任公司青岛宁夏路证券营业部,12.92,0.02,1209.01,2.08,-1196.09
29,20181119,000401.SZ,中信证券股份有限公司杭州古墩路第二证券营业部,1.16,0.0,787.41,1.35,-786.25
30,20181119,000622.SZ,华泰证券股份有限公司深圳益田路荣超商务中心证券营业部,2875.68,2.8,29.04,0.03,2846.64
31,20181119,000622.SZ,中天证券股份有限公司台州市府大道证券营业部,1714.1,1.67,25.78,0.03,1688.33
32,20181119,000622.SZ,信达证券股份有限公司深圳湾科技生态园证券营业部,1333.43,1.3,0.0,0.0,1333.43
33,20181119,000622.SZ,东兴证券股份有限公司深圳金田路证券营业部,1193.44,1.16,30.68,0.03,1162.76
34,20181119,000622.SZ,西藏东方财富证券股份有限公司拉萨团结路第二证券营业部,954.06,0.93,989.3,0.96,-35.24
35,20181119,000622.SZ,中国银河证券股份有限公司上海黄浦区马当路证券营业部,2.93,0.0,1700.59,1.66,-1697.67
36,20181119,000622.SZ,国盛证券有限责任公司宁波桑田路证券营业部,13.2,0.01,1548.29,1.51,-1535.09
37,20181119,000622.SZ,东北证券股份有限公司长春西安大路证券营业部,3.74,0.0,1252.15,1.22,-1248.41
38,20181119,000622.SZ,国联证券股份有限公司无锡五爱北路证券营业部,300.19,0.29,1097.99,1.07,-797.8
39,20181119,000622.SZ,中国银河证券股份有限公司厦门美湖路证券营业部,8.05,0.01,1017.46,0.99,-1009.41
40,20181119,000622.SZ,华泰证券股份有限公司深圳益田路荣超商务中心证券营业部,2875.68,2.8,29.04,0.03,2846.64
41,20181119,000622.SZ,中天证券股份有限公司台州市府大道证券营业部,1714.1,1.67,25.78,0.03,1688.33
42,20181119,000622.SZ,信达证券股份有限公司深圳湾科技生态园证券营业部,1333.43,1.3,0.0,0.0,1333.43
43,20181119,000622.SZ,东兴证券股份有限公司深圳金田路证券营业部,1193.44,1.16,30.68,0.03,1162.76
44,20181119,000622.SZ,西藏东方财富证券股份有限公司拉萨团结路第二证券营业部,954.06,0.93,989.3,0.96,-35.24
45,20181119,000622.SZ,中国银河证券股份有限公司上海黄浦区马当路证券营业部,2.93,0.0,1700.59,1.66,-1697.67
46,20181119,000622.SZ,国盛证券有限责任公司宁波桑田路证券营业部,13.2,0.01,1548.29,1.51,-1535.09
47,20181119,000622.SZ,东北证券股份有限公司长春西安大路证券营业部,3.74,0.0,1252.15,1.22,-1248.41
48,20181119,000622.SZ,国联证券股份有限公司无锡五爱北路证券营业部,300.19,0.29,1097.99,1.07,-797.8
49,20181119,000622.SZ,中国银河证券股份有限公司厦门美湖路证券营业部,8.05,0.01,1017.46,0.99,-1009.41
50,20181119,000628.SZ,中国中投证券有限责任公司无锡清扬路证券营业部,2399.99,6.57,2.7,0.01,2397.29
51,20181119,000628.SZ,国泰君安证券股份有限公司东莞体育路证券营业部,1332.15,3.65,0.11,0.0,1332.04
52,20181119,000628.SZ,方正证券股份有限公司长沙黄兴中路证券营业部,468.59,1.28,0.58,0.0,468.01
53,20181119,000628.SZ,国信证券股份有限公司上海北京东路证券营业部,431.59,1.18,33.55,0.09,398.03
54,20181119,000628.SZ,中信证券（山东）有限责任公司青岛黄岛区长江中路证券营业部,396.42,1.09,4.39,0.01,392.03
55,20181119,000628.SZ,中国民族证券有限责任公司成都沙湾路证券营业部,2.14,0.01,624.58,1.71,-622.44
56,20181119,000628.SZ,广发证券股份有限公司广州环市东路证券营业部,3.37,0.01,355.79,0.97,-352.42
57,20181119,000628.SZ,南京证券股份有限公司南京长乐路证券营业部,240.17,0.66,352.84,0.97,-112.67
58,20181119,000628.SZ,国信证券股份有限公司深圳中心路证券营业部,4.78,0.01,328.19,0.9,-323.42
59,20181119,000628.SZ,光大证券股份有限公司上海世纪大道证券营业部,11.43,0.03,310.84,0.85,-299.41
60,20181119,000638.SZ,东北证券股份有限公司长春西安大路证券营业部,1249.89,4.96,0.77,0.0,1249.12
61,20181119,000638.SZ,上海证券有限责任公司嘉定证券营业部,330.2,1.31,0.45,0.0,329.74
62,20181119,000638.SZ,西藏东方财富证券股份有限公司拉萨团结路第二证券营业部,296.21,1.17,273.33,1.08,22.89
63,20181119,000638.SZ,国泰君安证券股份有限公司上海打浦路证券营业部,272.66,1.08,0.0,0.0,272.66
64,20181119,000638.SZ,中国银河证券股份有限公司武汉武珞路证券营业部,218.0,0.86,28.54,0.11,189.46
65,20181119,000638.SZ,民生证券股份有限公司郑州郑汴路证券营业部,50.09,0.2,306.26,1.21,-256.18
66,20181119,000638.SZ,海通证券股份有限公司绍兴劳动路证券营业部,133.25,0.53,293.85,1.17,-160.6
67,20181119,000638.SZ,西藏东方财富证券股份有限公司拉萨团结路第二证券营业部,296.21,1.17,273.33,1.08,22.89
68,20181119,000638.SZ,联讯证券股份有限公司沈阳大西路证券营业部,1.92,0.01,199.66,0.79,-197.74
69,20181119,000638.SZ,华西证券股份有限公司深圳民田路证券营业部,5.77,0.02,198.59,0.79,-192.82
70,20181119,000935.SZ,国泰君安证券股份有限公司南京中央路证券营业部,2509.59,2.89,1.0,0.0,2508.6
71,20181119,000935.SZ,国泰君安证券股份有限公司南京太平南路证券营业部,1752.71,2.02,64.32,0.07,1688.39
72,20181119,000935.SZ,华鑫证券有限责任公司杭州飞云江路证券营业部,1411.36,1.62,51.16,0.06,1360.2
73,20181119,000935.SZ,国泰君安证券股份有限公司上海福山路证券营业部,1230.4,1.42,1.99,0.0,1228.41
74,20181119,000935.SZ,中信证券股份有限公司中山中山四路证券营业部,1209.35,1.39,1221.18,1.41,-11.83
75,20181119,000935.SZ,中银国际证券股份有限公司上海富平路证券营业部,0.0,0.0,5581.81,6.43,-5581.81
76,20181119,000935.SZ,光大证券股份有限公司佛山绿景路证券营业部,11.83,0.01,1940.85,2.23,-1929.03
77,20181119,000935.SZ,中信证券股份有限公司深圳总部证券营业部,1.54,0.0,1743.7,2.01,-1742.15
78,20181119,000935.SZ,深股通专用,391.68,0.45,1459.35,1.68,-1067.67
79,20181119,000935.SZ,中信证券股份有限公司中山中山四路证券营业部,1209.35,1.39,1221.18,1.41,-11.83
80,20181119,000935.SZ,国泰君安证券股份有限公司南京中央路证券营业部,2509.59,2.89,1.0,0.0,2508.6
81,20181119,000935.SZ,国泰君安证券股份有限公司南京太平南路证券营业部,1752.71,2.02,64.32,0.07,1688.39
82,20181119,000935.SZ,华鑫证券有限责任公司杭州飞云江路证券营业部,1411.36,1.62,51.16,0.06,1360.2
