ts_code,buy,sell,net_buy
000068.SZ,4304.95,7644.5,-3339.55
000526.SZ,2593.74,1330.65,1263.09
000610.SZ,14889.7,10726.42,4163.28
000622.SZ,15626.94,30991.0,-15364.06
000628.SZ,1376.71,3357.72,-1981.01
000633.SZ,1098.71,1164.75,-66.03
000638.SZ,1038.91,3317.37,-2278.47
000652.SZ,4107.66,1179.88,2927.78
000688.SZ,1767.28,1226.06,541.23
000856.SZ,11278.8,9450.74,1828.1
000917.SZ,7380.55,10663.0,-3282.44
000935.SZ,4018.28,8433.86,-4415.62
000979.SZ,170.1,181.19,-11.09
002054.SZ,4056.37,4287.2,-230.81
002058.SZ,8984.3,13170.38,-4186.1
002075.SZ,24857.76,19413.05,5444.71
002194.SZ,3072.1,2632.41,439.69
002260.SZ,4612.55,5037.46,-424.91
002342.SZ,8882.72,10612.12,-1729.4
002451.SZ,16041.76,22556.64,-6514.88
002495.SZ,2577.74,3315.16,-737.42
002575.SZ,3600.94,5865.05,-2264.1
002589.SZ,4609.13,10324.7,-5715.58
002708.SZ,6013.98,6065.0,-51.0
002769.SZ,421.33,183.89,237.44
002796.SZ,3305.77,3994.27,-688.48
002875.SZ,2924.81,5412.52,-2487.71
002877.SZ,9131.92,3708.94,5423.02
002931.SZ,2146.94,2153.57,-6.58
002939.SZ,14656.57,10405.94,4250.59
002940.SZ,2498.94,2651.19,-152.28
300016.SZ,3935.83,1437.08,2498.75
300090.SZ,7294.98,10460.79,-3165.82
300171.SZ,5761.36,4932.43,828.93
300213.SZ,3849.17,1758.31,2090.87
300234.SZ,1790.3,3114.77,-1324.49
300543.SZ,3836.78,3750.42,86.38
300645.SZ,44765.94,71706.84,-26940.9
300688.SZ,2657.87,2792.73,-134.85
300694.SZ,2136.85,3138.88,-1002.03
300730.SZ,1496.92,1675.68,-178.75
300748.SZ,3061.47,4622.06,-1560.59
600080.SH,14068.94,7180.45,6888.49
600086.SH,4898.17,6145.81,-1247.64
600119.SH,8914.92,5879.58,3035.34
600228.SH,1174.52,587.99,586.53
600235.SH,5245.46,8042.45,-2796.99
600250.SH,743.66,922.29,-178.63
600290.SH,4216.28,14111.49,-9895.21
600695.SH,3083.25,2695.55,387.7
600783.SH,10077.71,17882.1,-7804.39
600825.SH,1671.35,656.5,1014.85
600962.SH,669.2,1541.42,-872.22
601162.SH,20828.93,15083.46,5745.47
601319.SH,1681.12,141.45,1539.67
601606.SH,3209.15,3865.24,-656.09
603220.SH,306.82,20.14,286.68
603389.SH,2128.39,1567.62,560.77


,trade_date,ts_code,exalter,buy,buy_rate,sell,sell_rate,net_buy
0,20181120,000068.SZ,华鑫证券有限责任公司上海宛平南路证券营业部,2070.56,4.17,0.0,0.0,2070.56
1,20181120,000068.SZ,东吴证券股份有限公司苏州西北街证券营业部,857.99,1.73,14.15,0.03,843.84
2,20181120,000068.SZ,中邮证券有限责任公司湖北分公司,468.78,0.94,0.0,0.0,468.78
3,20181120,000068.SZ,西藏东方财富证券股份有限公司拉萨团结路第二证券营业部,440.53,0.89,230.58,0.46,209.95
4,20181120,000068.SZ,财富证券有限责任公司杭州庆春路证券营业部,425.87,0.86,104.45,0.21,321.42
5,20181120,000068.SZ,华泰证券股份有限公司永嘉阳光大道证券营业部,3.07,0.01,2393.75,4.82,-2390.68
6,20181120,000068.SZ,国泰君安证券股份有限公司上海江苏路证券营业部,6.23,0.01,1395.73,2.81,-1389.5
7,20181120,000068.SZ,中信证券股份有限公司杭州新天地证券营业部,7.24,0.01,1289.76,2.6,-1282.52
8,20181120,000068.SZ,华鑫证券有限责任公司杭州飞云江路证券营业部,14.0,0.03,1221.9,2.46,-1207.9
9,20181120,000068.SZ,中信证券股份有限公司上海红宝石路证券营业部,10.68,0.02,994.18,2.0,-983.5
10,20181120,000526.SZ,国融证券股份有限公司青岛秦岭路证券营业部,759.7,3.93,0.0,0.0,759.7
11,20181120,000526.SZ,国盛证券有限责任公司赣州文清路证券营业部,518.53,2.68,0.0,0.0,518.53
12,20181120,000526.SZ,国泰君安证券股份有限公司广州人民中路证券营业部,440.28,2.28,13.83,0.07,426.45
13,20181120,000526.SZ,兴业证券股份有限公司安溪中山街证券营业部,369.28,1.91,0.0,0.0,369.28
14,20181120,000526.SZ,方正证券股份有限公司长沙建湘路证券营业部,281.42,1.45,0.46,0.0,280.96
15,20181120,000526.SZ,国元证券股份有限公司池州青阳路证券营业部,0.0,0.0,328.79,1.7,-328.79
16,20181120,000526.SZ,中国银河证券股份有限公司厦门嘉禾路证券营业部,218.03,1.13,280.84,1.45,-62.81
17,20181120,000526.SZ,广州证券股份有限公司合肥长江西路证券营业部,0.0,0.0,255.13,1.32,-255.13
18,20181120,000526.SZ,中国银河证券股份有限公司汕头澄海证券营业部,1.66,0.01,232.1,1.2,-230.44
19,20181120,000526.SZ,海通证券股份有限公司广州宝岗大道证券营业部,4.84,0.03,219.5,1.13,-214.66
20,20181120,000610.SZ,国泰君安证券股份有限公司顺德大良证券营业部,2128.6,5.89,1.75,0.0,2126.85
21,20181120,000610.SZ,海通证券股份有限公司泉州田安路证券营业部,2015.81,5.58,0.0,0.0,2015.81
22,20181120,000610.SZ,国信证券股份有限公司佛山南海大道证券营业部,1237.83,3.43,0.0,0.0,1237.83
23,20181120,000610.SZ,海通证券股份有限公司杭州瓜沥东灵北路证券营业部,1030.0,2.85,0.0,0.0,1030.0
24,20181120,000610.SZ,中山证券有限责任公司沈阳北站路证券营业部,1030.0,2.85,0.0,0.0,1030.0
25,20181120,000610.SZ,国泰君安证券股份有限公司南京中央路证券营业部,0.0,0.0,1248.46,3.46,-1248.46
26,20181120,000610.SZ,华鑫证券有限责任公司苏州总官堂路证券营业部,0.0,0.0,1034.64,2.87,-1034.64
27,20181120,000610.SZ,华融证券股份有限公司上海浦东新区银城中路证券营业部,0.0,0.0,1030.0,2.85,-1030.0
28,20181120,000610.SZ,中国银河证券股份有限公司绍兴证券营业部,2.61,0.01,1025.88,2.84,-1023.27
29,20181120,000610.SZ,华鑫证券有限责任公司马鞍山分公司,0.0,0.0,1022.48,2.83,-1022.48
30,20181120,000610.SZ,国泰君安证券股份有限公司顺德大良证券营业部,2128.6,5.89,1.75,0.0,2126.85
31,20181120,000610.SZ,海通证券股份有限公司泉州田安路证券营业部,2015.81,5.58,0.0,0.0,2015.81
32,20181120,000610.SZ,国信证券股份有限公司佛山南海大道证券营业部,1237.83,3.43,0.0,0.0,1237.83
33,20181120,000610.SZ,海通证券股份有限公司杭州瓜沥东灵北路证券营业部,1030.0,2.85,0.0,0.0,1030.0
34,20181120,000610.SZ,中山证券有限责任公司沈阳北站路证券营业部,1030.0,2.85,0.0,0.0,1030.0
35,20181120,000610.SZ,国泰君安证券股份有限公司南京中央路证券营业部,0.0,0.0,1248.46,3.46,-1248.46
36,20181120,000610.SZ,华鑫证券有限责任公司苏州总官堂路证券营业部,0.0,0.0,1034.64,2.87,-1034.64
37,20181120,000610.SZ,华融证券股份有限公司上海浦东新区银城中路证券营业部,0.0,0.0,1030.0,2.85,-1030.0
38,20181120,000610.SZ,中国银河证券股份有限公司绍兴证券营业部,2.61,0.01,1025.88,2.84,-1023.27
39,20181120,000610.SZ,华鑫证券有限责任公司马鞍山分公司,0.0,0.0,1022.48,2.83,-1022.48
40,20181120,000622.SZ,民生证券股份有限公司成都航空路证券营业部,1942.47,1.56,0.0,0.0,1942.47
41,20181120,000622.SZ,西藏东方财富证券股份有限公司拉萨团结路第二证券营业部,1463.66,1.18,931.41,0.75,532.25
42,20181120,000622.SZ,光大证券股份有限公司北京光华路证券营业部,1276.51,1.03,272.71,0.22,1003.8
43,20181120,000622.SZ,安信证券股份有限公司北京复兴门外大街证券营业部,1225.62,0.99,26.6,0.02,1199.02
44,20181120,000622.SZ,国金证券股份有限公司上海奉贤区金碧路证券营业部,943.42,0.76,764.06,0.61,179.36
45,20181120,000622.SZ,中天证券股份有限公司台州市府大道证券营业部,575.7,0.46,5464.58,4.39,-4888.87
