ts_code,buy,sell,net_buy
000007.SZ,5090.5,2198.32,2892.18
000070.SZ,6857.18,4083.42,2773.74
000576.SZ,4722.19,2871.93,1850.24
000610.SZ,6465.78,10865.4,-4399.61
000622.SZ,13329.21,18301.98,-4972.68
000856.SZ,12024.12,13242.66,-1218.52
000917.SZ,7960.47,7039.17,921.28
000973.SZ,3156.28,4551.61,-1395.33
000979.SZ,126.56,179.27,-52.71
000981.SZ,21423.5,33514.78,-12091.29
002058.SZ,4070.56,9859.82,-5789.28
002141.SZ,3327.41,4605.53,-1278.11
002210.SZ,10743.41,5120.98,5622.42
002312.SZ,6055.35,6706.49,-651.15
002337.SZ,4888.51,7872.33,-2983.79
002451.SZ,5662.12,10806.89,-5144.78
002504.SZ,2310.04,959.04,1350.99
002509.SZ,4577.21,2219.15,2358.07
002512.SZ,32040.94,42243.42,-10202.42
002677.SZ,2160.74,3044.76,-884.02
002708.SZ,17172.26,18662.94,-1490.7
002711.SZ,5303.71,3044.64,2259.1
002796.SZ,14543.02,8571.78,5971.26
002865.SZ,5961.93,3578.4,2383.53
002877.SZ,2043.75,4858.56,-2814.82
002931.SZ,2776.18,4447.76,-1671.56
002939.SZ,4844.9,9909.29,-5064.4
300018.SZ,6542.04,8567.79,-2025.78
300074.SZ,6229.87,4627.5,1602.38
300091.SZ,5859.36,6754.9,-895.54
300126.SZ,5530.61,4014.98,1515.62
300142.SZ,17703.71,7205.66,10498.05
300171.SZ,9760.98,11731.08,-1970.12
300181.SZ,3049.37,4352.45,-1303.07
300201.SZ,1795.18,1436.41,358.77
300451.SZ,5583.21,7906.21,-2323.0
300543.SZ,1505.94,1630.34,-124.4
300645.SZ,8544.91,14708.15,-6163.22
300674.SZ,32905.88,12727.52,20178.36
300726.SZ,1358.86,8070.41,-6711.57
300730.SZ,2011.27,3416.37,-1405.09
300731.SZ,1317.49,718.97,598.53
300749.SZ,2846.67,1788.6,1058.09
300751.SZ,3783.96,7387.47,-3603.52
600128.SH,3708.74,4670.82,-962.08
600139.SH,1980.53,628.31,1352.22
600235.SH,5461.54,6576.21,-1114.67
600386.SH,1780.26,675.95,1104.31
600463.SH,1508.69,5836.35,-4327.66
600634.SH,1963.64,983.56,980.08
600662.SH,3374.55,1942.75,1431.8
601162.SH,14834.22,20891.76,-6057.54
603356.SH,1450.54,3560.16,-2109.62
603389.SH,5031.76,3045.53,1986.23
603703.SH,553.47,1439.75,-886.28
603787.SH,3737.04,1345.62,2391.42


,trade_date,ts_code,exalter,buy,buy_rate,sell,sell_rate,net_buy
0,20181121,000007.SZ,华泰证券股份有限公司北京广渠门内大街证券营业部,1240.62,3.27,2.7,0.01,1237.92
1,20181121,000007.SZ,华泰证券股份有限公司南京中华路证券营业部,935.78,2.47,0.9,0.0,934.88
2,20181121,000007.SZ,东莞证券股份有限公司南京分公司,826.44,2.18,13.41,0.04,813.03
3,20181121,000007.SZ,中国中投证券有限责任公司无锡清扬路证券营业部,773.58,2.04,0.0,0.0,773.58
4,20181121,000007.SZ,中信证券股份有限公司武汉关山大道证券营业部,733.05,1.93,0.0,0.0,733.05
5,20181121,000007.SZ,中信证券股份有限公司杭州延安路证券营业部,291.41,0.77,618.27,1.63,-326.86
6,20181121,000007.SZ,上海证券有限责任公司堡镇证券营业部,0.44,0.0,512.47,1.35,-512.03
7,20181121,000007.SZ,平安证券股份有限公司浙江分公司,250.95,0.66,379.22,1.0,-128.27
8,20181121,000007.SZ,中原证券股份有限公司许昌分公司,5.71,0.02,357.07,0.94,-351.36
9,20181121,000007.SZ,中国银河证券股份有限公司福州证券营业部,32.52,0.09,314.28,0.83,-281.76
10,20181121,000070.SZ,华鑫证券有限责任公司杭州飞云江路证券营业部,809.01,5.26,0.0,0.0,809.01
11,20181121,000070.SZ,财通证券股份有限公司杭州体育馆证券营业部,797.26,5.18,27.15,0.18,770.11
12,20181121,000070.SZ,宏信证券有限责任公司泸州江阳中路证券营业部,795.45,5.17,0.0,0.0,795.45
13,20181121,000070.SZ,中信证券股份有限公司北京远大路证券营业部,600.65,3.9,0.0,0.0,600.65
14,20181121,000070.SZ,国信证券股份有限公司佛山南海大道证券营业部,372.79,2.42,3.17,0.02,369.62
15,20181121,000070.SZ,招商证券股份有限公司北京安立路证券营业部,1.4,0.01,594.29,3.86,-592.9
16,20181121,000070.SZ,长江证券股份有限公司上海东明路证券营业部,0.0,0.0,378.8,2.46,-378.8
17,20181121,000070.SZ,首创证券有限责任公司济南文化东路证券营业部,0.0,0.0,377.04,2.45,-377.04
18,20181121,000070.SZ,招商证券股份有限公司深圳建安路证券营业部,52.03,0.34,342.87,2.23,-290.84
19,20181121,000070.SZ,中信证券股份有限公司北京总部证券营业部,0.0,0.0,318.39,2.07,-318.39
20,20181121,000070.SZ,华鑫证券有限责任公司杭州飞云江路证券营业部,809.01,5.26,0.0,0.0,809.01
21,20181121,000070.SZ,财通证券股份有限公司杭州体育馆证券营业部,797.26,5.18,27.15,0.18,770.11
22,20181121,000070.SZ,宏信证券有限责任公司泸州江阳中路证券营业部,795.45,5.17,0.0,0.0,795.45
