ts_code,buy,sell,net_buy
000007.SZ,20151.66,26336.88,-6185.22
000038.SZ,4512.96,6691.16,-2178.21
000068.SZ,2240.11,3525.51,-1285.39
000607.SZ,2957.33,717.29,2240.04
000610.SZ,10060.44,11917.58,-1857.14
000793.SZ,9194.66,5415.56,3779.12
000979.SZ,177.0,220.09,-43.09
000981.SZ,33607.07,56304.84,-22697.77
002001.SZ,22945.57,6357.95,16587.63
002019.SZ,10742.15,5724.23,5017.9
002075.SZ,6964.34,29509.31,-22544.97
002193.SZ,2362.73,6609.0,-4246.27
002217.SZ,6092.13,8259.08,-2166.94
002451.SZ,11553.13,7208.77,4344.34
002502.SZ,57.4,329.05,-271.65
002708.SZ,26290.41,25351.05,939.3
002711.SZ,3379.72,8744.25,-5364.52
002725.SZ,2696.17,4888.53,-2192.36
002865.SZ,14805.24,13631.48,1173.72
002939.SZ,7456.51,4880.72,2575.79
300126.SZ,10798.34,12557.96,-1759.66
300148.SZ,3566.04,1798.64,1767.41
300181.SZ,4958.16,3548.29,1409.87
300236.SZ,6786.99,3955.38,2831.61
300411.SZ,9540.06,4384.76,5155.3
300505.SZ,5075.68,4621.58,454.06
300645.SZ,5372.77,10569.58,-5196.78
300682.SZ,6868.32,7100.48,-232.18
300748.SZ,2473.64,2068.65,404.99
300749.SZ,2110.41,2571.99,-461.56
600119.SH,3356.96,3052.72,304.24
600172.SH,3609.71,2339.66,1270.05
600386.SH,2663.0,3561.5,-898.5
600418.SH,4890.24,1250.84,3639.4
600538.SH,2364.37,1209.46,1154.91
600824.SH,3972.82,5748.29,-1775.47
600825.SH,8222.81,11441.77,-3218.96
601162.SH,16098.28,24676.24,-8577.96
603378.SH,2664.78,1410.19,1254.59
603389.SH,5276.1,9572.1,-4296.0
603787.SH,9784.16,11324.66,-1540.5
603906.SH,4993.8,3835.88,1157.92


,trade_date,ts_code,exalter,buy,buy_rate,sell,sell_rate,net_buy
0,20181122,000007.SZ,长江证券股份有限公司海南分公司,1535.47,2.21,1.99,0.0,1533.48
1,20181122,000007.SZ,中泰证券股份有限公司济南英雄山路证券营业部,1398.69,2.01,3.12,0.0,1395.56
2,20181122,000007.SZ,西藏东方财富证券股份有限公司东营东三路证券营业部,1080.01,1.55,0.96,0.0,1079.06
3,20181122,000007.SZ,华泰证券股份有限公司无锡金融一街证券营业部,1062.3,1.53,5.08,0.01,1057.22
4,20181122,000007.SZ,国泰君安证券股份有限公司南京中央路证券营业部,1042.06,1.5,317.08,0.46,724.98
5,20181122,000007.SZ,中泰证券股份有限公司聊城柳园南路证券营业部,39.82,0.06,2521.41,3.62,-2481.59
6,20181122,000007.SZ,中信建投证券股份有限公司广州增城凤凰城步行南街证券营业部,0.0,0.0,1992.0,2.86,-1992.0
7,20181122,000007.SZ,华泰证券股份有限公司北京广渠门内大街证券营业部,408.81,0.59,1584.91,2.28,-1176.1
8,20181122,000007.SZ,恒泰证券股份有限公司聊城东昌路证券营业部,1.56,0.0,1304.96,1.87,-1303.4
9,20181122,000007.SZ,华泰证券股份有限公司南京中华路证券营业部,148.5,0.21,1047.45,1.5,-898.95
10,20181122,000007.SZ,长江证券股份有限公司海南分公司,1535.47,2.21,1.99,0.0,1533.48
11,20181122,000007.SZ,中泰证券股份有限公司济南英雄山路证券营业部,1398.69,2.01,3.12,0.0,1395.56
12,20181122,000007.SZ,西藏东方财富证券股份有限公司东营东三路证券营业部,1080.01,1.55,0.96,0.0,1079.06
13,20181122,000007.SZ,华泰证券股份有限公司无锡金融一街证券营业部,1062.3,1.53,5.08,0.01,1057.22
14,20181122,000007.SZ,国泰君安证券股份有限公司南京中央路证券营业部,1042.06,1.5,317.08,0.46,724.98
15,20181122,000007.SZ,中泰证券股份有限公司聊城柳园南路证券营业部,39.82,0.06,2521.41,3.62,-2481.59
