ts_code,buy,sell,net_buy
000007.SZ,2791.53,7435.88,-4644.34
000538.SZ,66014.81,96130.85,-30116.03
000605.SZ,1442.72,822.1,620.63
000610.SZ,11959.47,15276.84,-3317.38
000802.SZ,10350.71,7395.15,2955.56
000897.SZ,4918.29,1858.92,3059.38
000922.SZ,3648.12,2466.68,1181.44
000979.SZ,210.58,203.18,7.4
002058.SZ,3508.1,5231.84,-1723.74
002075.SZ,13995.32,40745.42,-26750.09
002102.SZ,11921.74,10493.6,1428.14
002113.SZ,6774.25,9249.7,-2475.44
002194.SZ,6139.67,6553.09,-413.41
002210.SZ,29608.74,29336.71,272.0
002337.SZ,7510.56,10101.16,-2590.6
002472.SZ,13208.1,14166.1,-958.0
002480.SZ,2268.04,2306.62,-38.57
002575.SZ,7232.97,4505.63,2727.35
002591.SZ,1968.02,5825.48,-3857.44
002769.SZ,10148.06,11827.3,-1679.24
002865.SZ,6641.82,9070.76,-2428.93
002877.SZ,3113.9,1290.35,1823.55
002886.SZ,9910.76,6566.22,3344.54
002888.SZ,16799.42,7102.9,9696.5
002909.SZ,444.38,199.36,245.02
002915.SZ,2996.57,1084.97,1911.6
002937.SZ,6151.89,2812.79,3339.09
002940.SZ,1492.19,1816.12,-323.92
200018.SZ,144.65,178.95,-34.29
300074.SZ,18298.86,20670.06,-2371.17
300173.SZ,10906.7,8636.84,2269.86
300278.SZ,20467.74,25387.26,-4919.49
300410.SZ,6279.6,1461.68,4817.92
300443.SZ,2543.82,2263.79,280.03
300449.SZ,33928.68,43248.0,-9319.38
300645.SZ,5580.45,7976.44,-2395.99
300674.SZ,10718.46,24149.8,-13431.34
300749.SZ,928.25,2760.88,-1832.64
600020.SH,4159.96,3612.52,547.44
600082.SH,15872.76,6557.24,9315.52
600463.SH,1922.11,5928.72,-4006.61
600538.SH,5632.98,4519.32,1113.66
600604.SH,1370.7,5213.54,-3842.84
600678.SH,4607.61,2445.39,2162.22
600701.SH,1834.86,1962.33,-127.47
600825.SH,5897.61,5011.86,885.75
601319.SH,82988.02,21299.08,61688.94
603069.SH,1657.0,1074.27,582.73
603220.SH,3611.3,66.71,3544.59
603378.SH,2312.95,2929.46,-616.51
603713.SH,2249.75,1361.98,887.77
603810.SH,2140.84,1863.76,277.08
900902.SH,84.13,81.72,2.41
900907.SH,49.34,37.68,11.66


,trade_date,ts_code,exalter,buy,buy_rate,sell,sell_rate,net_buy
0,20181123,000007.SZ,西藏东方财富证券股份有限公司拉萨团结路第二证券营业部,688.94,1.0,509.89,0.74,179.05
1,20181123,000007.SZ,长江证券股份有限公司成都光华村街证券营业部,531.15,0.77,11.55,0.02,519.6
2,20181123,000007.SZ,华泰证券股份有限公司南京中华路证券营业部,528.26,0.76,151.21,0.22,377.05
3,20181123,000007.SZ,华泰证券股份有限公司宁波柳汀街证券营业部,514.9,0.75,241.72,0.35,273.18
4,20181123,000007.SZ,上海证券有限责任公司南京溧水致远路证券营业部,510.59,0.74,287.03,0.42,223.56
5,20181123,000007.SZ,长江证券股份有限公司海南分公司,0.0,0.0,1593.79,2.31,-1593.79
6,20181123,000007.SZ,中泰证券股份有限公司济南英雄山路证券营业部,0.0,0.0,1371.79,1.99,-1371.79
7,20181123,000007.SZ,西藏东方财富证券股份有限公司东营东三路证券营业部,16.15,0.02,1119.71,1.62,-1103.56
8,20181123,000007.SZ,国泰君安证券股份有限公司南京中央路证券营业部,0.41,0.0,1088.4,1.58,-1087.99
9,20181123,000007.SZ,华泰证券股份有限公司无锡金融一街证券营业部,1.13,0.0,1060.79,1.54,-1059.65
10,20181123,000538.SZ,深股通专用,21476.74,11.24,37521.49,19.64,-16044.75
11,20181123,000538.SZ,中国国际金融股份有限公司上海黄浦区湖滨路证券营业部,7880.96,4.13,83.94,0.04,7797.02
12,20181123,000538.SZ,机构专用,5421.88,2.84,0.0,0.0,5421.88
13,20181123,000538.SZ,机构专用,5261.7,2.75,0.0,0.0,5261.7
14,20181123,000538.SZ,申万宏源证券有限公司上海闵行区东川路证券营业部,4496.79,2.35,1.48,0.0,4495.32
15,20181123,000538.SZ,深股通专用,21476.74,11.24,37521.49,19.64,-16044.75
16,20181123,000538.SZ,北京高华证券有限责任公司北京金融大街证券营业部,0.0,0.0,6036.29,3.16,-6036.29
17,20181123,000538.SZ,机构专用,0.0,0.0,5953.91,3.12,-5953.91
18,20181123,000538.SZ,机构专用,0.0,0.0,4590.76,2.4,-4590.76
19,20181123,000538.SZ,机构专用,0.0,0.0,4421.49,2.31,-4421.49
20,20181123,000605.SZ,国都证券股份有限公司北京阜外大街证券营业部,574.8,5.52,8.92,0.09,565.88
21,20181123,000605.SZ,中山证券有限责任公司武汉新华路证券营业部,220.95,2.12,0.0,0.0,220.95
22,20181123,000605.SZ,西藏东方财富证券股份有限公司拉萨江苏东路证券营业部,187.35,1.8,13.12,0.13,174.23
23,20181123,000605.SZ,兴业证券股份有限公司邵武五一九路证券营业部,163.05,1.56,0.0,0.0,163.05
24,20181123,000605.SZ,兴业证券股份有限公司新乡新飞大道证券营业部,123.33,1.18,0.0,0.0,123.33
25,20181123,000605.SZ,国泰君安证券股份有限公司唐山建华西道证券营业部,119.14,1.14,220.18,2.11,-101.04
26,20181123,000605.SZ,兴业证券股份有限公司泉州丰泽街证券营业部,2.69,0.03,198.03,1.9,-195.34
27,20181123,000605.SZ,中国银河证券股份有限公司太原迎泽西大街证券营业部,0.0,0.0,159.24,1.53,-159.24
