ts_code,buy,sell,net_buy
000007.SZ,2116.18,2942.91,-826.73
000058.SZ,6444.53,13910.72,-7466.19
000521.SZ,1795.1,622.76,1172.34
000592.SZ,3266.62,803.4,2463.21
000666.SZ,2333.52,4791.27,-2457.74
000790.SZ,3116.58,3196.08,-79.49
000802.SZ,7180.72,8226.63,-1045.91
000905.SZ,4202.86,1644.92,2557.95
000979.SZ,7819.93,2962.97,4856.94
002075.SZ,4844.72,14980.27,-10135.57
002168.SZ,10272.45,3563.69,6708.74
002193.SZ,9356.19,17887.39,-8531.2
002234.SZ,4306.88,5811.99,-1505.11
002337.SZ,6520.84,7209.12,-688.26
002446.SZ,4762.78,2117.27,2645.51
002451.SZ,3799.45,3648.35,151.12
002458.SZ,3963.97,5271.84,-1307.89
002472.SZ,8651.06,11923.77,-3272.69
002502.SZ,9644.13,18279.42,-8635.28
002527.SZ,8982.38,5885.76,3096.62
002562.SZ,11034.87,14978.28,-3943.39
002575.SZ,7529.47,6199.64,1329.87
002711.SZ,8547.65,16930.09,-8382.43
002856.SZ,5544.42,2252.06,3292.38
002865.SZ,7087.16,7490.35,-403.17
002886.SZ,19626.56,16747.0,2879.54
002888.SZ,6451.16,8946.39,-2495.23
002915.SZ,1575.39,1980.79,-405.4
002937.SZ,2891.94,5753.2,-2861.27
200056.SZ,118.45,79.67,38.77
300032.SZ,2110.96,1365.96,744.99
300074.SZ,9736.64,14194.12,-4457.48
300109.SZ,0.0,0.0,0.0
300171.SZ,6614.87,7151.02,-536.14
300173.SZ,4037.53,6621.17,-2583.62
300183.SZ,3663.81,1463.33,2200.5
300332.SZ,1976.96,1223.89,753.07
300423.SZ,2307.49,3959.4,-1651.93
300449.SZ,2398.77,5082.06,-2683.29
300583.SZ,1363.29,1076.8,286.49
300606.SZ,3060.51,1970.93,1089.57
300645.SZ,6753.0,17229.38,-10476.36
300674.SZ,5146.78,4455.19,691.61
300694.SZ,1654.31,2080.22,-425.9
300751.SZ,13556.09,2184.06,11372.02
600538.SH,3377.89,3884.54,-506.65
600715.SH,8148.0,4125.16,4022.84
600776.SH,1715.99,818.94,897.05
601319.SH,39343.76,37598.13,1745.63
603040.SH,937.74,524.12,413.62
603336.SH,848.13,1071.2,-223.07
603378.SH,1226.21,1877.57,-651.36
603389.SH,8241.04,10080.98,-1839.94
603787.SH,5544.22,6034.24,-490.02
603810.SH,1730.45,1760.81,-30.36


,trade_date,ts_code,exalter,buy,buy_rate,sell,sell_rate,net_buy
0,20181126,000007.SZ,中泰证券股份有限公司慈溪天九街证券营业部,450.23,1.33,0.0,0.0,450.23
1,20181126,000007.SZ,西藏东方财富证券股份有限公司拉萨团结路第二证券营业部,441.61,1.31,310.44,0.92,131.17
2,20181126,000007.SZ,中泰证券股份有限公司东营北一路证券营业部,422.19,1.25,4.51,0.01,417.68
3,20181126,000007.SZ,平安证券股份有限公司深圳深南东路罗湖商务中心证券营业部,388.29,1.15,262.52,0.78,125.77
4,20181126,000007.SZ,中信建投证券股份有限公司重庆龙山路证券营业部,386.48,1.14,323.15,0.96,63.33
5,20181126,000007.SZ,长江证券股份有限公司成都光华村街证券营业部,0.55,0.0,474.81,1.41,-474.26
6,20181126,000007.SZ,上海证券有限责任公司南京溧水致远路证券营业部,0.0,0.0,446.95,1.32,-446.95
7,20181126,000007.SZ,东莞证券股份有限公司南京分公司,3.11,0.01,394.44,1.17,-391.33
8,20181126,000007.SZ,华泰证券股份有限公司宁波柳汀街证券营业部,23.72,0.07,363.88,1.08,-340.16
9,20181126,000007.SZ,中国银河证券股份有限公司淮安洪泽东十道证券营业部,0.0,0.0,362.21,1.07,-362.21
10,20181126,000058.SZ,华泰证券股份有限公司南京江宁金箔路证券营业部,1701.67,4.36,47.24,0.12,1654.42
11,20181126,000058.SZ,国泰君安证券股份有限公司上海江苏路证券营业部,1077.0,2.76,1.22,0.0,1075.79
12,20181126,000058.SZ,华泰证券股份有限公司无锡金融一街证券营业部,1063.81,2.72,0.65,0.0,1063.16
13,20181126,000058.SZ,宏信证券有限责任公司泸州江阳中路证券营业部,991.99,2.54,0.0,0.0,991.99
14,20181126,000058.SZ,国泰君安证券股份有限公司深圳滨海大道创投大厦证券营业部,933.4,2.39,0.0,0.0,933.4
15,20181126,000058.SZ,华泰证券股份有限公司深圳益田路荣超商务中心证券营业部,625.15,1.6,11427.88,29.26,-10802.73
16,20181126,000058.SZ,华泰证券股份有限公司台州中心大道证券营业部,0.0,0.0,1006.67,2.58,-1006.67
17,20181126,000058.SZ,申港证券股份有限公司浙江分公司,0.0,0.0,718.0,1.84,-718.0
18,20181126,000058.SZ,国信证券股份有限公司深圳泰然九路证券营业部,38.01,0.1,423.37,1.08,-385.36
19,20181126,000058.SZ,招商证券股份有限公司东莞鸿福路证券营业部,13.5,0.03,285.69,0.73,-272.19
20,20181126,000521.SZ,东莞证券股份有限公司四川分公司,401.49,6.69,0.0,0.0,401.49
