ts_code,buy,sell,net_buy
000038.SZ,2325.03,2016.24,308.79
000058.SZ,6085.18,13536.26,-7451.06
000521.SZ,1872.62,323.71,1548.91
000576.SZ,3093.94,4370.41,-1276.48
000622.SZ,4693.1,6886.09,-2192.97
000922.SZ,820.86,3013.48,-2192.6
000936.SZ,4868.65,2709.65,2159.02
000969.SZ,2814.06,786.73,2027.33
000979.SZ,1490.39,2909.63,-1419.23
002181.SZ,4978.15,2400.65,2577.5
002337.SZ,9897.22,5815.06,4082.12
002512.SZ,5606.49,3071.2,2535.3
002549.SZ,11537.88,10600.51,937.36
002575.SZ,19538.78,12328.48,7210.3
002686.SZ,1006.56,659.21,347.35
002708.SZ,5787.26,6726.36,-939.13
002856.SZ,2672.87,3416.05,-743.16
002865.SZ,7669.85,6562.55,1107.3
002886.SZ,6290.43,8350.87,-2060.45
002888.SZ,2073.61,6493.55,-4419.93
002925.SZ,8489.19,3910.99,4578.2
002937.SZ,3802.22,6056.74,-2254.54
200521.SZ,82.65,132.82,-50.17
300074.SZ,3208.4,4337.68,-1129.28
300170.SZ,6511.29,13715.64,-7204.37
300173.SZ,2689.01,2974.84,-285.83
300181.SZ,5635.99,4788.4,847.59
300292.SZ,4360.38,1792.8,2567.57
300588.SZ,1817.62,636.03,1181.61
300597.SZ,6432.33,1436.61,4995.72
300606.SZ,7192.96,2678.4,4514.56
300645.SZ,2572.17,4767.47,-2195.3
300670.SZ,5479.04,5475.42,3.64
300674.SZ,5402.12,4085.96,1316.16
300682.SZ,1339.78,2461.52,-1121.74
300748.SZ,2205.37,1880.97,324.4
300751.SZ,10757.47,4121.43,6636.07
600310.SH,1462.46,1852.71,-390.25
600538.SH,4393.45,12690.89,-8297.44
600604.SH,28468.68,27274.91,1193.77
600776.SH,6471.34,2817.62,3653.72
600825.SH,18410.87,39180.82,-20769.95
601319.SH,11037.47,14057.59,-3020.12
603017.SH,1347.43,487.07,860.36
603220.SH,4745.04,8267.62,-3522.58
603389.SH,1064.85,2112.83,-1047.98


,trade_date,ts_code,exalter,buy,buy_rate,sell,sell_rate,net_buy
0,20181127,000038.SZ,中国中投证券有限责任公司无锡清扬路证券营业部,417.39,1.32,45.59,0.14,371.8
1,20181127,000038.SZ,西藏东方财富证券股份有限公司上海陆家嘴浦东南路证券营业部,412.85,1.3,0.0,0.0,412.85
2,20181127,000038.SZ,西藏东方财富证券股份有限公司拉萨团结路第二证券营业部,367.29,1.16,357.26,1.13,10.03
3,20181127,000038.SZ,招商证券股份有限公司深圳前海路证券营业部,289.7,0.91,17.18,0.05,272.52
4,20181127,000038.SZ,海通证券股份有限公司江阴朝阳路证券营业部,284.97,0.9,2.01,0.01,282.96
5,20181127,000038.SZ,国信证券股份有限公司浙江分公司,24.1,0.08,506.84,1.6,-482.74
6,20181127,000038.SZ,西藏东方财富证券股份有限公司拉萨团结路第二证券营业部,367.29,1.16,357.26,1.13,10.03
7,20181127,000038.SZ,国金证券股份有限公司天津南马路证券营业部,39.77,0.13,273.1,0.86,-233.33
8,20181127,000038.SZ,东吴证券股份有限公司苏州石路证券营业部,32.89,0.1,248.22,0.78,-215.34
9,20181127,000038.SZ,西藏东方财富证券股份有限公司昌都聚盛路证券营业部,88.78,0.28,208.78,0.66,-119.99
10,20181127,000058.SZ,华泰证券股份有限公司深圳益田路荣超商务中心证券营业部,742.05,1.37,679.53,1.26,62.53
11,20181127,000058.SZ,恒泰证券股份有限公司宁波甬江大道证券营业部,632.0,1.17,279.66,0.52,352.34
12,20181127,000058.SZ,华鑫证券有限责任公司福建分公司,553.0,1.02,0.0,0.0,553.0
13,20181127,000058.SZ,光大证券股份有限公司佛山绿景路证券营业部,529.1,0.98,11.11,0.02,517.99
14,20181127,000058.SZ,西藏东方财富证券股份有限公司拉萨团结路第二证券营业部,512.91,0.95,163.54,0.3,349.37
15,20181127,000058.SZ,华泰证券股份有限公司南京江宁金箔路证券营业部,19.27,0.04,1711.18,3.16,-1691.91
16,20181127,000058.SZ,国泰君安证券股份有限公司深圳滨海大道创投大厦证券营业部,7.66,0.01,1027.0,1.9,-1019.34
17,20181127,000058.SZ,国泰君安证券股份有限公司上海江苏路证券营业部,2.03,0.0,996.98,1.84,-994.95
18,20181127,000058.SZ,华泰证券股份有限公司无锡金融一街证券营业部,20.81,0.04,978.2,1.81,-957.39
19,20181127,000058.SZ,宏信证券有限责任公司泸州江阳中路证券营业部,23.76,0.04,920.93,1.7,-897.17
20,20181127,000058.SZ,华泰证券股份有限公司深圳益田路荣超商务中心证券营业部,742.05,1.37,679.53,1.26,62.53
21,20181127,000058.SZ,恒泰证券股份有限公司宁波甬江大道证券营业部,632.0,1.17,279.66,0.52,352.34
22,20181127,000058.SZ,华鑫证券有限责任公司福建分公司,553.0,1.02,0.0,0.0,553.0
23,20181127,000058.SZ,光大证券股份有限公司佛山绿景路证券营业部,529.1,0.98,11.11,0.02,517.99
24,20181127,000058.SZ,西藏东方财富证券股份有限公司拉萨团结路第二证券营业部,512.91,0.95,163.54,0.3,349.37
25,20181127,000058.SZ,华泰证券股份有限公司南京江宁金箔路证券营业部,19.27,0.04,1711.18,3.16,-1691.91
26,20181127,000058.SZ,国泰君安证券股份有限公司深圳滨海大道创投大厦证券营业部,7.66,0.01,1027.0,1.9,-1019.34
27,20181127,000058.SZ,国泰君安证券股份有限公司上海江苏路证券营业部,2.03,0.0,996.98,1.84,-994.95
28,20181127,000058.SZ,华泰证券股份有限公司无锡金融一街证券营业部,20.81,0.04,978.2,1.81,-957.39
29,20181127,000058.SZ,宏信证券有限责任公司泸州江阳中路证券营业部,23.76,0.04,920.93,1.7,-897.17
30,20181127,000521.SZ,国泰君安证券股份有限公司南京中央路证券营业部,474.47,18.36,0.0,0.0,474.47
31,20181127,000521.SZ,国泰君安证券股份有限公司泸州星光路证券营业部,383.04,14.82,0.0,0.0,383.04
32,20181127,000521.SZ,华泰证券股份有限公司南京中华路证券营业部,381.43,14.76,0.0,0.0,381.43
33,20181127,000521.SZ,东莞证券股份有限公司浙江分公司,379.78,14.7,0.0,0.0,379.78
34,20181127,000521.SZ,财富证券有限责任公司南京新模范马路证券营业部,253.9,9.83,0.0,0.0,253.9
35,20181127,000521.SZ,中国银河证券股份有限公司北京陶然桥证券营业部,0.0,0.0,78.72,3.05,-78.72
36,20181127,000521.SZ,华泰证券股份有限公司江阴分公司,0.0,0.0,76.8,2.97,-76.8
37,20181127,000521.SZ,机构专用,0.0,0.0,61.13,2.37,-61.13
38,20181127,000521.SZ,方正证券股份有限公司绍兴胜利东路证券营业部,0.0,0.0,55.37,2.14,-55.37
39,20181127,000521.SZ,华安证券股份有限公司六安分公司,0.0,0.0,51.69,2.0,-51.69
40,20181127,000576.SZ,西藏东方财富证券股份有限公司拉萨团结路第二证券营业部,555.9,1.49,415.2,1.11,140.7
41,20181127,000576.SZ,深股通专用,534.83,1.44,364.83,0.98,169.99
42,20181127,000576.SZ,浙商证券股份有限公司台州环城东路证券营业部,331.11,0.89,359.58,0.97,-28.47
43,20181127,000576.SZ,国融证券股份有限公司杭州江晖路证券营业部,269.05,0.72,323.76,0.87,-54.71
44,20181127,000576.SZ,国泰君安证券股份有限公司贵阳中华中路证券营业部,246.93,0.66,5.42,0.01,241.51
45,20181127,000576.SZ,中信证券(山东)有限责任公司即墨蓝鳌路证券营业部,0.0,0.0,1063.04,2.85,-1063.04
46,20181127,000576.SZ,国泰君安证券股份有限公司杭州萧山市心中路证券营业部,12.77,0.03,636.03,1.71,-623.26
47,20181127,000576.SZ,财富证券有限责任公司温州车站大道证券营业部,52.62,0.14,422.52,1.13,-369.89
48,20181127,000576.SZ,西藏东方财富证券股份有限公司拉萨团结路第二证券营业部,555.9,1.49,415.2,1.11,140.7
49,20181127,000576.SZ,深股通专用,534.83,1.44,364.83,0.98,169.99
50,20181127,000622.SZ,西藏东方财富证券股份有限公司拉萨团结路第二证券营业部,840.45,1.06,932.69,1.18,-92.24
51,20181127,000622.SZ,平安证券股份有限公司深圳深南东路罗湖商务中心证券营业部,712.71,0.9,582.03,0.74,130.68
52,20181127,000622.SZ,国金证券股份有限公司上海奉贤区金碧路证券营业部,703.83,0.89,498.92,0.63,204.91
53,20181127,000622.SZ,安信证券股份有限公司上海黄浦区中山南路证券营业部,700.13,0.89,72.48,0.09,627.65
54,20181127,000622.SZ,财富证券有限责任公司杭州庆春路证券营业部,666.3,0.84,665.56,0.84,0.75
55,20181127,000622.SZ,西藏东方财富证券股份有限公司拉萨团结路第二证券营业部,840.45,1.06,932.69,1.18,-92.24
56,20181127,000622.SZ,华泰证券股份有限公司北京月坛南街证券营业部,17.6,0.02,882.47,1.12,-864.87
57,20181127,000622.SZ,东吴证券股份有限公司苏州工业园区敦煌路证券营业部,0.0,0.0,837.99,1.06,-837.99
58,20181127,000622.SZ,海通证券股份有限公司淮北相山路证券营业部,2.1,0.0,752.54,0.95,-750.44
59,20181127,000622.SZ,华泰证券股份有限公司上海武定路证券营业部,209.53,0.27,728.72,0.92,-519.18
60,20181127,000922.SZ,平安证券股份有限公司河北分公司,286.41,2.78,0.0,0.0,286.41
61,20181127,000922.SZ,国金证券股份有限公司上海奉贤区金碧路证券营业部,146.37,1.42,64.48,0.63,81.9
62,20181127,000922.SZ,中天证券股份有限公司沈阳黑龙江街证券营业部,142.4,1.38,0.0,0.0,142.4
63,20181127,000922.SZ,东海证券股份有限公司深圳深南大道证券营业部,120.67,1.17,0.0,0.0,120.67
64,20181127,000922.SZ,安信证券股份有限公司茂名高州证券营业部,116.87,1.14,1.17,0.01,115.7
65,20181127,000922.SZ,华泰证券股份有限公司杭州求是路证券营业部,2.21,0.02,1067.49,10.38,-1065.27
66,20181127,000922.SZ,海通证券股份有限公司南昌南京东路证券营业部,0.0,0.0,717.81,6.98,-717.81
67,20181127,000922.SZ,招商证券股份有限公司江阴环城北路证券营业部,0.0,0.0,490.05,4.76,-490.05
68,20181127,000922.SZ,华泰证券股份有限公司武汉新华路证券营业部,5.93,0.06,435.69,4.24,-429.76
69,20181127,000922.SZ,长城证券股份有限公司深圳深南大道证券营业部,0.0,0.0,236.79,2.3,-236.79
70,20181127,000936.SZ,大同证券有限责任公司朔州开发南路证券营业部,870.16,3.04,0.0,0.0,870.16
71,20181127,000936.SZ,西藏东方财富证券股份有限公司杭州城星路证券营业部,852.99,2.98,1.34,0.0,851.65
72,20181127,000936.SZ,广发证券股份有限公司西安南广济街证券营业部,647.27,2.26,16.23,0.06,631.04
73,20181127,000936.SZ,南京证券股份有限公司江阴人民中路证券营业部,611.5,2.14,582.76,2.04,28.75
74,20181127,000936.SZ,国信证券股份有限公司佛山南海大道证券营业部,583.92,2.04,2.63,0.01,581.29
75,20181127,000936.SZ,南京证券股份有限公司江阴人民中路证券营业部,611.5,2.14,582.76,2.04,28.75
76,20181127,000936.SZ,华泰证券股份有限公司江阴分公司,410.36,1.44,476.61,1.67,-66.25
77,20181127,000936.SZ,海通证券股份有限公司常熟海虞北路证券营业部,88.23,0.31,414.67,1.45,-326.44
78,20181127,000936.SZ,华安证券股份有限公司福州五四路证券营业部,0.63,0.0,365.29,1.28,-364.66
79,20181127,000936.SZ,申万宏源证券有限公司上海浦东新区三林路证券营业部,192.09,0.67,267.36,0.94,-75.27
80,20181127,000969.SZ,光大证券股份有限公司湛江海滨大道南证券营业部,1229.88,24.99,0.0,0.0,1229.88
81,20181127,000969.SZ,光大证券股份有限公司南通工农路证券营业部,531.76,10.81,0.0,0.0,531.76
82,20181127,000969.SZ,海通证券股份有限公司福州群众路证券营业部,531.26,10.8,0.0,0.0,531.26
83,20181127,000969.SZ,中泰证券股份有限公司深圳分公司,193.91,3.94,10.64,0.22,183.27
84,20181127,000969.SZ,华泰证券股份有限公司上海武定路证券营业部,136.14,2.77,0.31,0.01,135.84
85,20181127,000969.SZ,国信证券股份有限公司上海广富林路证券营业部,0.0,0.0,400.38,8.14,-400.38
86,20181127,000969.SZ,方正证券股份有限公司长沙留芳岭证券营业部,0.0,0.0,109.17,2.22,-109.17
87,20181127,000969.SZ,深股通专用,21.52,0.44,90.04,1.83,-68.53
88,20181127,000969.SZ,中信证券股份有限公司天津分公司,86.51,1.76,89.11,1.81,-2.6
89,20181127,000969.SZ,中信证券股份有限公司浙江分公司,83.08,1.69,87.08,1.77,-4.0
90,20181127,000979.SZ,平安证券股份有限公司泉州安吉南路证券营业部,600.24,6.61,1.39,0.02,598.86
91,20181127,000979.SZ,中泰证券股份有限公司淄博临淄大道证券营业部,286.4,3.15,1.0,0.01,285.41
92,20181127,000979.SZ,华泰证券股份有限公司北京广渠门内大街证券营业部,204.34,2.25,0.29,0.0,204.05
93,20181127,000979.SZ,民生证券股份有限公司郑州桐柏路证券营业部,194.27,2.14,7.6,0.08,186.67
94,20181127,000979.SZ,德邦证券股份有限公司抚顺东四路证券营业部,174.65,1.92,0.2,0.0,174.45
95,20181127,000979.SZ,中国中投证券有限责任公司深圳深南大道证券营业部,6.4,0.07,1600.05,17.62,-1593.65
96,20181127,000979.SZ,国信证券股份有限公司北京朝阳北路证券营业部,23.03,0.25,499.32,5.5,-476.29
97,20181127,000979.SZ,方正证券股份有限公司杭州延安路证券营业部,0.74,0.01,338.44,3.73,-337.71
98,20181127,000979.SZ,兴业证券股份有限公司陕西分公司,0.32,0.0,285.55,3.15,-285.23
99,20181127,000979.SZ,浙商证券股份有限公司厦门文康路证券营业部,0.0,0.0,175.79,1.94,-175.79
100,20181127,002181.SZ,中信证券股份有限公司上海沪闵路证券营业部,1277.23,4.9,5.11,0.02,1272.13
101,20181127,002181.SZ,方正证券股份有限公司上海杨高南路证券营业部,763.3,2.93,0.04,0.0,763.26
102,20181127,002181.SZ,国泰君安证券股份有限公司成都天府二街证券营业部,737.93,2.83,0.0,0.0,737.93
103,20181127,002181.SZ,国泰君安证券股份有限公司成都北一环路证券营业部,726.62,2.79,0.76,0.0,725.86
104,20181127,002181.SZ,首创证券有限责任公司上海斜土路证券营业部,670.62,2.57,0.0,0.0,670.62
105,20181127,002181.SZ,中山证券有限责任公司沈阳北站路证券营业部,8.97,0.03,730.66,2.81,-721.69
