code,name,outstanding,p_change_range,stop_mark
002941,N新交建,0.65,44.01,
600996,贵广网络,2.98,10.08,
002288,超华科技,8.0,10.08,
600130,波导股份,7.68,10.06,
000839,中信国安,39.19,10.06,
600831,广电网络,5.63,10.05,
002351,漫步者,2.99,10.04,
600037,歌华有线,11.68,10.03,
002184,海得控制,1.36,10.03,
002320,海峡股份,5.58,10.02,
000722,湖南发展,4.64,10.02,
000918,嘉凯城,18.04,10.01,
002751,易尚展示,0.87,10.0,
600776,东方通信,9.56,10.0,
600959,江苏有线,38.85,10.0,
600483,福能股份,12.58,9.99,
002865,钧达股份,0.38,9.99,
600640,号百控股,5.89,9.98,
000156,华数传媒,12.8,9.98,
000665,湖北广电,6.36,9.97,
000571,新大洲Ａ,8.06,9.97,
002549,凯美特气,6.2,9.97,
600774,汉商集团,2.27,9.97,
002238,天威视讯,6.17,9.97,
600555,海航创新,9.74,9.96,
600936,广西广电,11.96,9.95,
