ts_code,buy,sell,net_buy
000058.SZ,7364.7,4448.96,2915.72
000156.SZ,2652.69,2750.77,-98.09
000521.SZ,16505.68,22422.98,-5917.28
000622.SZ,12673.14,11363.02,1310.14
000659.SZ,7099.92,4965.8,2134.11
000665.SZ,2529.76,1950.33,579.45
000722.SZ,3019.34,2726.58,292.75
000839.SZ,15943.07,7922.56,8020.51
000917.SZ,9436.06,15855.02,-6418.97
000918.SZ,4273.65,2906.65,1367.03
000948.SZ,1998.32,3216.12,-1217.8
000979.SZ,765.56,1298.82,-533.25
002054.SZ,2983.19,1636.92,1346.29
002075.SZ,12408.11,118619.78,-106211.67
002288.SZ,18839.49,18817.2,22.2
002320.SZ,5277.71,4650.03,627.67
002351.SZ,2743.31,874.64,1868.67
002411.SZ,845.7,1251.16,-405.46
002472.SZ,1616.24,2383.43,-767.21
002549.SZ,6607.23,2467.28,4139.96
002575.SZ,2785.82,3415.56,-629.73
002591.SZ,2037.94,2663.56,-625.59
002708.SZ,13137.78,10686.1,2451.64
002848.SZ,1595.03,3901.96,-2306.92
002856.SZ,2366.29,2496.86,-130.56
002865.SZ,19176.54,15936.28,3240.26
002886.SZ,3184.81,4804.1,-1619.3
002897.SZ,1424.05,2920.78,-1496.73
002941.SZ,58.84,6.6,52.24
300037.SZ,11230.1,8793.92,2436.18
300074.SZ,3258.67,3449.53,-190.86
300171.SZ,2926.21,6143.6,-3217.4
300181.SZ,5254.45,8216.32,-2961.86
300236.SZ,4763.08,4795.13,-32.07
300278.SZ,3018.34,7422.74,-4404.39
300299.SZ,3494.48,2139.34,1355.14
300370.SZ,3377.51,3326.87,50.64
300588.SZ,2133.38,3671.74,-1538.34
300597.SZ,3931.33,2433.42,1497.92
300606.SZ,13532.76,8734.74,4798.0
300670.SZ,1391.52,1734.75,-343.23
300674.SZ,4082.19,7525.43,-3443.28
300751.SZ,16676.48,7037.66,9638.8
600128.SH,5402.93,3686.59,1716.34
600130.SH,5427.72,1244.54,4183.18
600538.SH,3033.46,3076.79,-43.33
600635.SH,14011.95,20200.08,-6188.13
600825.SH,10004.16,37858.18,-27854.02
600996.SH,3526.94,3043.7,483.24
601162.SH,6081.13,14930.41,-8849.28
601929.SH,5756.01,2050.41,3705.6
603017.SH,4786.02,2841.44,1944.58
603069.SH,2392.13,861.96,1530.17
603220.SH,7065.7,6443.64,622.06


,trade_date,ts_code,exalter,buy,buy_rate,sell,sell_rate,net_buy
0,20181128,000058.SZ,海通证券股份有限公司深圳海德三道证券营业部,1106.25,3.24,26.39,0.08,1079.86
1,20181128,000058.SZ,华泰证券股份有限公司深圳益田路荣超商务中心证券营业部,613.11,1.8,9.54,0.03,603.57
2,20181128,000058.SZ,广发证券股份有限公司梅州蕉岭证券营业部,516.89,1.51,1.16,0.0,515.72
3,20181128,000058.SZ,联讯证券股份有限公司南通工农路证券营业部,454.66,1.33,1.66,0.0,453.0
4,20181128,000058.SZ,国联证券股份有限公司无锡梁溪路证券营业部,365.2,1.07,364.42,1.07,0.78
5,20181128,000058.SZ,华鑫证券有限责任公司福建分公司,0.0,0.0,427.35,1.25,-427.35
6,20181128,000058.SZ,光大证券股份有限公司佛山绿景路证券营业部,7.35,0.02,396.56,1.16,-389.21
7,20181128,000058.SZ,国联证券股份有限公司无锡梁溪路证券营业部,365.2,1.07,364.42,1.07,0.78
8,20181128,000058.SZ,西藏东方财富证券股份有限公司拉萨团结路第二证券营业部,253.1,0.74,344.5,1.01,-91.4
9,20181128,000058.SZ,中国中投证券有限责任公司南京中央路证券营业部,0.59,0.0,288.48,0.85,-287.89
10,20181128,000058.SZ,海通证券股份有限公司深圳海德三道证券营业部,1106.25,3.24,26.39,0.08,1079.86
11,20181128,000058.SZ,华泰证券股份有限公司深圳益田路荣超商务中心证券营业部,613.11,1.8,9.54,0.03,603.57
12,20181128,000058.SZ,广发证券股份有限公司梅州蕉岭证券营业部,516.89,1.51,1.16,0.0,515.72
13,20181128,000058.SZ,联讯证券股份有限公司南通工农路证券营业部,454.66,1.33,1.66,0.0,453.0
14,20181128,000058.SZ,国联证券股份有限公司无锡梁溪路证券营业部,365.2,1.07,364.42,1.07,0.78
15,20181128,000058.SZ,华鑫证券有限责任公司福建分公司,0.0,0.0,427.35,1.25,-427.35
16,20181128,000058.SZ,光大证券股份有限公司佛山绿景路证券营业部,7.35,0.02,396.56,1.16,-389.21
17,20181128,000058.SZ,国联证券股份有限公司无锡梁溪路证券营业部,365.2,1.07,364.42,1.07,0.78
18,20181128,000058.SZ,西藏东方财富证券股份有限公司拉萨团结路第二证券营业部,253.1,0.74,344.5,1.01,-91.4
19,20181128,000058.SZ,中国中投证券有限责任公司南京中央路证券营业部,0.59,0.0,288.48,0.85,-287.89
20,20181128,000156.SZ,国泰君安证券股份有限公司成都北一环路证券营业部,725.16,4.67,25.05,0.16,700.11
