ts_code,buy,sell,net_buy
000068.SZ,4935.71,2850.03,2085.69
000521.SZ,5341.3,7036.67,-1695.37
000603.SZ,4737.0,3471.8,1265.19
000722.SZ,7430.08,4131.46,3298.64
000766.SZ,5256.64,1648.38,3608.27
000829.SZ,759.41,1645.62,-886.2
000936.SZ,7922.95,9155.43,-1232.5
000979.SZ,1389.57,2004.22,-614.67
002015.SZ,2199.62,2072.77,126.87
002184.SZ,4657.83,4077.84,579.98
002238.SZ,5481.02,918.18,4562.84
002288.SZ,15751.26,14740.42,1010.82
002411.SZ,137133.0,194971.44,-57838.44
002450.SZ,53421.27,49301.94,4119.37
002549.SZ,20053.36,8406.66,11646.72
002575.SZ,4435.67,6972.77,-2537.09
002837.SZ,1092.76,1717.96,-625.21
002856.SZ,15568.94,4733.16,10835.78
002865.SZ,7917.44,19819.14,-11901.66
002888.SZ,4304.82,3082.91,1221.93
002935.SZ,3172.42,4529.18,-1356.76
002943.SZ,53.1,6.35,46.75
300109.SZ,6032.27,4358.6,1673.67
300163.SZ,8507.02,1691.36,6815.66
300211.SZ,1317.05,3183.28,-1866.25
300324.SZ,121.35,526.23,-404.88
300340.SZ,4144.95,2158.33,1986.62
300343.SZ,27457.6,76120.92,-48663.36
300565.SZ,923.81,2862.13,-1938.32
300597.SZ,35261.28,18248.8,17012.4
300606.SZ,14791.02,18195.78,-3404.79
300674.SZ,5489.14,6391.88,-902.73
300708.SZ,2462.17,871.18,1591.0
300737.SZ,3070.31,1317.04,1753.26
300748.SZ,2005.46,2270.24,-264.79
600080.SH,30273.06,73166.4,-42893.34
600094.SH,4282.57,0.0,4282.57
600538.SH,6955.43,12996.68,-6041.25
600766.SH,2702.09,1980.14,721.95
600774.SH,931.72,510.0,421.72
600825.SH,5071.22,3313.02,1758.2
600831.SH,5388.02,8118.13,-2730.11
601162.SH,9343.04,19168.6,-9825.56
603187.SH,249.45,35.37,214.08
603220.SH,4100.93,6336.51,-2235.58
603389.SH,1999.87,2071.38,-71.51
603828.SH,4520.28,2049.52,2470.76
603987.SH,2503.96,932.79,1571.17


,trade_date,ts_code,exalter,buy,buy_rate,sell,sell_rate,net_buy
0,20181129,000068.SZ,长江证券股份有限公司上海东明路证券营业部,2040.58,6.22,5.88,0.02,2034.7
1,20181129,000068.SZ,东方证券股份有限公司台州椒江区中山东路证券营业部,1288.55,3.93,0.0,0.0,1288.55
2,20181129,000068.SZ,财通证券股份有限公司杭州体育馆证券营业部,673.6,2.05,58.34,0.18,615.26
3,20181129,000068.SZ,西部证券股份有限公司深圳前海证券营业部,439.27,1.34,0.0,0.0,439.27
4,20181129,000068.SZ,华泰证券股份有限公司成都蜀金路证券营业部,417.08,1.27,3.74,0.01,413.35
5,20181129,000068.SZ,东吴证券股份有限公司吴江盛泽镇西环路证券营业部,9.9,0.03,778.47,2.37,-768.57
6,20181129,000068.SZ,国泰君安证券股份有限公司上海福山路证券营业部,49.92,0.15,537.03,1.64,-487.11
7,20181129,000068.SZ,联讯证券股份有限公司南通工农路证券营业部,0.0,0.0,518.55,1.58,-518.55
8,20181129,000068.SZ,国海证券股份有限公司南宁新民路证券营业部,16.81,0.05,478.26,1.46,-461.45
9,20181129,000068.SZ,海通证券股份有限公司上海牡丹江路证券营业部,0.0,0.0,469.76,1.43,-469.76
10,20181129,000521.SZ,安信证券股份有限公司南昌胜利路证券营业部,1793.49,4.21,1814.28,4.26,-20.79
11,20181129,000521.SZ,华融证券股份有限公司深圳金田路证券营业部,393.4,0.92,0.37,0.0,393.03
12,20181129,000521.SZ,西藏东方财富证券股份有限公司拉萨团结路第二证券营业部,385.27,0.9,303.49,0.71,81.77
13,20181129,000521.SZ,中泰证券股份有限公司湖南分公司,384.99,0.9,0.0,0.0,384.99
14,20181129,000521.SZ,中信建投证券股份有限公司成都南一环路证券营业部,360.3,0.85,17.5,0.04,342.81
15,20181129,000521.SZ,安信证券股份有限公司南昌胜利路证券营业部,1793.49,4.21,1814.28,4.26,-20.79
16,20181129,000521.SZ,申万宏源证券有限公司南宁英华路证券营业部,76.97,0.18,1099.63,2.58,-1022.66
17,20181129,000521.SZ,西藏东方财富证券股份有限公司开封黄河大街证券营业部,0.0,0.0,730.0,1.71,-730.0
