code,name,outstanding,p_change_range0,p_change_range1,normalizing_std1,stop_mark
002943,宇晶股份,0.25,10.02,58.44,0.048,
002288,超华科技,8.0,10.02,21.121,0.048,
000722,湖南发展,4.64,10.02,21.088,0.048,
002238,天威视讯,6.17,10.03,21.0,0.048,
002941,新疆交建,0.65,10.03,20.989,0.048,
000603,盛达矿业,3.93,8.6,19.406,0.041,
600774,汉商集团,2.27,7.21,17.899,0.035,
002184,海得控制,1.36,10.03,11.923,0.048,
600359,新农开发,3.82,1.27,11.397,0.006,
000766,通化金马,5.73,0.37,10.437,0.002,
002366,台海核电,4.89,7.01,10.22,0.034,
600702,舍得酒业,3.37,8.96,9.766,0.043,
002714,牧原股份,10.74,5.18,9.219,0.025,
600809,山西汾酒,8.66,6.38,9.167,0.031,
600735,新华锦,3.76,9.94,9.126,0.047,
600225,天津松江,9.32,-0.83,9.087,0.004,
600311,荣华实业,6.66,-1.07,8.793,0.005,
600831,广电网络,5.63,-1.25,8.674,0.006,
002124,天邦股份,10.58,3.42,8.55,0.017,
002107,沃华医药,3.49,3.64,8.314,0.018,
002497,雅化集团,8.15,9.97,8.254,0.047,
002856,美芝股份,0.3,-1.66,8.174,0.008,
002548,金新农,3.12,4.29,7.992,0.021,
601611,中国核建,9.62,4.41,7.981,0.022,
002748,世龙实业,2.4,0.96,7.654,0.005,
600870,*ST厦华,5.23,2.26,7.455,0.011,
002621,三垒股份,2.71,-0.06,7.336,0.0,
002789,建艺集团,0.66,3.57,7.009,0.018,
000548,湖南投资,4.99,5.84,6.994,0.028,
002108,沧州明珠,14.18,10.12,6.772,0.048,
600612,老凤祥,3.17,3.97,6.569,0.019,
002851,麦格米特,1.27,1.56,6.536,0.008,
002636,金安国纪,2.46,1.4,6.419,0.007,
000799,酒鬼酒,3.25,5.14,6.412,0.025,
002466,天齐锂业,11.36,8.98,6.354,0.043,
600288,大恒科技,4.37,7.75,6.134,0.037,
600807,*ST天业,7.87,0.92,6.127,0.005,
002709,天赐材料,1.96,4.97,6.114,0.024,
000538,云南白药,10.41,2.15,6.021,0.011,
600817,ST宏盛,1.56,2.42,6.015,0.012,
002256,兆新股份,12.47,9.89,6.011,0.047,
002625,光启技术,4.27,3.36,5.975,0.017,
002015,霞客环保,4.01,-3.73,5.955,0.019,
002103,广博股份,3.74,9.93,5.951,0.047,
002278,神开股份,3.44,8.9,5.818,0.043,
002742,三圣股份,2.69,3.73,5.773,0.018,
600312,平高电气,13.57,3.17,5.718,0.016,
002291,星期六,3.97,0.56,5.487,0.003,
600634,*ST富控,5.76,5.06,5.375,0.025,
600766,园城黄金,2.24,-4.27,5.37,0.022,
000803,金宇车城,1.28,1.48,5.367,0.007,
600332,白云山,10.71,6.05,5.286,0.029,
002910,庄园牧场,0.74,1.73,5.28,0.009,
000777,中核科技,3.83,4.26,5.219,0.021,
600547,山东黄金,14.52,-0.33,5.212,0.002,
002840,华统股份,1.47,3.39,5.21,0.017,
002725,跃岭股份,1.1,1.97,5.141,0.01,
002101,广东鸿图,4.26,-2.38,5.137,0.012,
600116,三峡水利,9.93,5.37,5.096,0.026,
002187,广百股份,3.42,2.04,5.071,0.01,
600152,维科技术,2.95,10.0,5.028,0.048,
600779,水井坊,4.89,3.23,4.851,0.016,
600027,华电国际,69.96,4.59,4.831,0.022,
002850,科达利,0.93,3.54,4.782,0.017,
600105,永鼎股份,12.38,10.0,4.764,0.048,
002567,唐人神,7.57,4.54,4.749,0.022,
002292,奥飞娱乐,7.63,7.97,4.731,0.038,
000918,嘉凯城,18.04,5.99,4.612,0.029,
002781,奇信股份,0.91,0.73,4.598,0.004,
600559,老白干酒,4.9,3.94,4.553,0.019,
002871,伟隆股份,0.29,4.8,4.507,0.023,
002355,兴民智通,3.9,4.31,4.446,0.021,
000860,顺鑫农业,5.71,2.84,4.413,0.014,
600273,嘉化能源,14.14,2.06,4.326,0.01,
002592,八菱科技,2.09,2.43,4.325,0.012,
600313,农发种业,10.19,3.4,4.289,0.017,
000858,五 粮 液,37.96,3.89,4.285,0.019,
000596,古井贡酒,3.84,3.81,4.204,0.019,
002542,中化岩土,8.07,3.03,4.153,0.015,
002155,湖南黄金,12.02,-0.43,3.901,0.002,
600421,ST仰帆,1.96,5.0,3.897,0.024,
002765,蓝黛传动,2.55,4.22,3.886,0.021,
600197,伊力特,4.41,3.43,3.885,0.017,
600975,新五丰,6.53,2.74,3.88,0.014,
002188,*ST巴士,2.15,5.06,3.82,0.025,
002130,沃尔核材,9.46,2.97,3.814,0.015,
002309,中利集团,4.69,5.02,3.812,0.024,
600352,浙江龙盛,32.53,5.71,3.776,0.028,
002441,众业达,3.93,7.42,3.714,0.036,
002730,电光科技,2.9,3.64,3.64,0.018,
002090,金智科技,2.31,0.12,3.574,0.001,
000659,珠海中富,12.86,-0.49,3.55,0.002,
002074,国轩高科,10.08,3.37,3.546,0.017,
600489,中金黄金,34.51,-0.51,3.44,0.003,
600071,凤凰光学,2.37,8.38,3.427,0.04,
002304,洋河股份,12.44,2.7,3.378,0.013,
002802,洪汇新材,0.39,4.89,3.348,0.024,
601066,中信建投,4.0,6.64,3.26,0.032,
002376,新北洋,5.75,3.33,3.206,0.016,
600810,神马股份,4.42,7.36,3.119,0.036,
600556,ST慧球,3.95,4.87,3.098,0.024,
002192,融捷股份,2.37,1.52,3.094,0.008,
002298,中电兴发,5.19,4.17,3.055,0.02,
002536,西泵股份,3.14,2.36,3.046,0.012,
600614,鹏起科技,14.91,-5.09,3.034,0.026,
600885,宏发股份,7.45,3.03,3.03,0.015,
002157,正邦科技,21.6,3.02,3.02,0.015,
002801,微光股份,0.29,2.88,3.014,0.014,
002595,豪迈科技,5.28,0.37,2.99,0.002,
600785,新华百货,2.26,0.21,2.876,0.001,
600540,新赛股份,4.71,-2.72,2.864,0.014,
000558,莱茵体育,12.88,5.14,2.827,0.025,
600026,中远海能,27.36,4.93,2.821,0.024,
002338,奥普光电,2.4,5.51,2.777,0.027,
002726,龙大肉食,7.51,0.11,2.773,0.001,
600249,两面针,5.5,0.98,2.747,0.005,
600711,盛屯矿业,14.97,2.95,2.744,0.015,
002089,新 海 宜,9.36,10.13,2.729,0.048,
000426,兴业矿业,13.3,1.22,2.678,0.006,
002460,赣锋锂业,7.95,6.48,2.636,0.031,
000975,银泰资源,12.29,-1.56,2.634,0.008,
002570,*ST因美,10.22,0.0,2.62,0.0,
002235,安妮股份,5.0,3.78,2.597,0.019,
002268,卫 士 通,8.1,0.16,2.594,0.001,
600456,宝钛股份,4.3,3.86,2.583,0.019,
600277,亿利洁能,26.74,1.69,2.554,0.008,
600812,华北制药,16.31,4.99,2.554,0.024,
000852,石化机械,5.98,1.84,2.471,0.009,
600138,中青旅,7.24,4.04,2.459,0.02,
600029,南方航空,70.23,0.71,2.452,0.004,
000543,皖能电力,17.9,1.97,2.419,0.01,
002276,万马股份,10.34,5.53,2.406,0.027,
002044,美年健康,23.45,0.19,2.404,0.001,
002263,*ST东南,18.78,-2.29,2.39,0.012,
601111,中国国航,94.49,2.38,2.38,0.012,
002294,信立泰,10.46,1.89,2.379,0.009,
600161,天坛生物,8.71,4.68,2.356,0.023,
000998,隆平高科,9.65,4.08,2.342,0.02,
600309,万华化学,27.34,1.73,2.31,0.009,
002490,山东墨龙,2.89,4.44,2.289,0.022,
600814,杭州解百,7.15,5.08,2.285,0.025,
002451,摩恩电气,4.16,-1.37,2.26,0.007,
002176,江特电机,14.68,5.64,2.249,0.027,
002422,科伦药业,10.29,3.16,2.242,0.016,
601186,中国铁建,115.03,1.76,2.238,0.009,
600011,华能国际,105.0,2.22,2.22,0.011,
002649,博彦科技,4.17,7.82,2.192,0.038,
002473,*ST圣莱,1.6,2.64,2.168,0.013,
000899,赣能股份,6.47,4.02,2.085,0.02,
600988,赤峰黄金,14.26,-1.78,2.08,0.009,
600468,百利电气,7.98,2.27,2.076,0.011,
601177,杭齿前进,4.0,-0.35,2.012,0.002,
000990,诚志股份,3.88,0.07,1.991,0.0,
002236,大华股份,18.34,4.54,1.979,0.022,
600599,熊猫金控,1.66,-3.14,1.965,0.016,
002434,万里扬,10.19,4.15,1.952,0.02,
000568,泸州老窖,14.6,2.63,1.942,0.013,
600499,科达洁能,14.11,2.14,1.926,0.011,
600381,青海春天,5.83,4.27,1.924,0.021,
600687,刚泰控股,10.79,-4.82,1.919,0.025,
002482,广田集团,15.29,5.13,1.913,0.025,
002773,康弘药业,4.75,-0.74,1.9,0.004,
000506,中润资源,9.29,1.35,1.897,0.007,
002240,威华股份,4.91,2.59,1.872,0.013,
000795,英洛华,8.86,-0.76,1.82,0.004,
002761,多喜爱,2.03,2.21,1.811,0.011,
002882,金龙羽,0.83,4.21,1.803,0.021,
002286,保龄宝,3.29,5.08,1.802,0.025,
000068,华控赛格,10.07,-4.8,1.788,0.025,
002179,中航光电,7.82,0.77,1.788,0.004,
002563,森马服饰,18.39,4.12,1.788,0.02,
002440,闰土股份,9.24,3.38,1.778,0.017,
600482,中国动力,9.09,1.74,1.74,0.009,
600521,华海药业,12.36,1.86,1.707,0.009,
600180,瑞茂通,10.16,5.22,1.685,0.025,
002415,海康威视,79.07,3.23,1.682,0.016,
600150,*ST船舶,13.78,1.13,1.666,0.006,
600790,轻纺城,14.66,3.04,1.639,0.015,
002076,雪 莱 特,4.45,1.35,1.624,0.007,
600433,冠豪高新,12.71,1.6,1.6,0.008,
000895,双汇发展,32.99,2.97,1.549,0.015,
600276,恒瑞医药,36.62,2.2,1.536,0.011,
600419,天润乳业,2.07,-0.21,1.536,0.001,
002008,大族激光,9.93,2.81,1.535,0.014,
600149,ST坊展,3.8,3.29,1.524,0.016,
600598,北大荒,17.78,0.92,1.495,0.005,
002785,万里石,0.97,1.28,1.493,0.006,
600887,伊利股份,60.33,1.62,1.488,0.008,
600519,贵州茅台,12.56,2.43,1.436,0.012,
002901,大博医疗,0.4,3.51,1.429,0.017,
002645,华宏科技,2.53,3.5,1.42,0.017,
002824,和胜股份,0.74,2.74,1.404,0.014,
000936,华西股份,8.85,-3.26,1.403,0.017,
600660,福耀玻璃,20.03,1.96,1.389,0.01,
002050,三花智控,18.61,2.46,1.364,0.012,
000034,神州数码,3.58,1.36,1.36,0.007,
600596,新安股份,6.87,3.55,1.355,0.017,
000005,世纪星源,9.51,0.0,1.35,0.0,
002455,百川股份,3.49,1.94,1.349,0.01,
002475,立讯精密,41.1,3.0,1.342,0.015,
002016,世荣兆业,6.87,-0.22,1.337,0.001,
600593,大连圣亚,1.29,0.39,1.334,0.002,
600406,国电南瑞,22.06,0.46,1.324,0.002,
000996,中国中期,3.45,2.79,1.32,0.014,
600009,上海机场,10.93,3.45,1.319,0.017,
000876,新 希 望,41.75,0.86,1.294,0.004,
600132,重庆啤酒,4.84,2.85,1.246,0.014,
002456,欧菲科技,26.71,2.96,1.23,0.015,
600000,浦发银行,281.04,0.75,1.224,0.004,
600795,国电电力,196.5,2.05,1.223,0.01,
002204,大连重工,19.31,2.47,1.22,0.012,
600781,辅仁药业,1.78,-0.25,1.216,0.001,
002262,恩华药业,8.84,3.08,1.214,0.015,
600688,上海石化,73.29,2.03,1.204,0.01,
002167,东方锆业,5.86,0.51,1.193,0.003,
600054,黄山旅游,5.13,1.59,1.184,0.008,
002697,红旗连锁,9.86,0.78,1.173,0.004,
600196,复星医药,19.11,1.13,1.17,0.006,
002358,森源电气,9.1,-0.12,1.168,0.001,
002311,海大集团,15.44,1.44,1.166,0.007,
000089,深圳机场,20.51,2.19,1.148,0.011,
002786,银宝山新,1.37,-1.81,1.146,0.009,
600385,山东金泰,1.43,-4.29,1.137,0.022,
000006,深振业Ａ,13.48,0.94,1.132,0.005,
000423,东阿阿胶,6.54,1.57,1.113,0.008,
600886,国投电力,67.86,2.1,1.11,0.01,
000767,漳泽电力,29.12,0.73,1.103,0.004,
600265,ST景谷,1.3,-1.88,1.103,0.009,
600141,兴发集团,6.01,3.09,1.1,0.015,
600004,白云机场,20.69,1.2,1.099,0.006,
601369,陕鼓动力,16.39,5.06,1.099,0.025,
601166,兴业银行,190.52,1.79,1.077,0.009,
002716,金贵银业,5.42,-2.92,1.06,0.015,
000710,贝瑞基因,0.62,3.54,1.055,0.017,
600731,湖南海利,3.27,4.33,1.044,0.021,
600155,华创阳安,11.28,9.99,1.037,0.048,
002740,爱迪尔,1.64,4.45,1.034,0.022,
002324,普利特,2.35,1.03,1.03,0.005,
002908,德生科技,0.87,4.67,1.027,0.023,
000999,华润三九,9.78,2.42,1.027,0.012,
002237,恒邦股份,8.52,-1.24,1.012,0.006,
601211,国泰君安,75.16,2.1,1.008,0.01,
600114,东睦股份,6.34,2.6,0.989,0.013,
600862,中航高科,7.91,4.57,0.983,0.022,
600070,浙江富润,4.02,2.27,0.981,0.011,
600585,海螺水泥,40.0,1.08,0.979,0.005,
002004,华邦健康,16.87,3.38,0.971,0.017,
000962,东方钽业,4.41,2.39,0.967,0.012,
600392,盛和资源,13.96,1.94,0.961,0.01,
002248,华东数控,2.97,2.27,0.951,0.011,
600036,招商银行,206.29,0.88,0.951,0.004,
000822,山东海化,8.95,4.67,0.944,0.023,
002656,摩登大道,4.72,0.31,0.942,0.002,
600863,内蒙华电,58.08,0.92,0.92,0.005,
000055,方大集团,6.78,3.77,0.916,0.018,
002327,富安娜,5.2,0.9,0.9,0.004,
002641,永高股份,8.96,1.49,0.891,0.007,
002634,棒杰股份,2.7,1.56,0.89,0.008,
600523,贵航股份,4.04,3.38,0.878,0.017,
002201,九鼎新材,2.29,4.85,0.876,0.024,
600160,巨化股份,26.58,1.01,0.869,0.005,
000786,北新建材,14.14,1.79,0.854,0.009,
600978,宜华生活,14.83,0.0,0.85,0.0,
600377,宁沪高速,37.98,1.06,0.848,0.005,
600548,深高速,14.33,1.34,0.843,0.007,
002032,苏 泊 尔,5.44,1.38,0.833,0.007,
002514,宝馨科技,3.88,0.63,0.791,0.003,
002399,海普瑞,12.47,1.86,0.79,0.009,
601225,陕西煤业,100.0,1.71,0.784,0.008,
000758,中色股份,19.69,0.0,0.78,0.0,
000001,平安银行,171.7,1.57,0.778,0.008,
600691,阳煤化工,17.56,1.97,0.777,0.01,
600115,东方航空,98.08,0.96,0.768,0.005,
002468,申通快递,3.32,2.06,0.754,0.01,
600761,安徽合力,7.4,2.08,0.753,0.01,
002024,苏宁易购,58.47,0.56,0.751,0.003,
600346,恒力股份,9.19,1.57,0.747,0.008,
600031,三一重工,77.56,1.13,0.746,0.006,
002444,巨星科技,10.12,2.1,0.722,0.01,
600737,中粮糖业,20.52,-0.14,0.709,0.001,
002367,康力电梯,5.24,-1.03,0.702,0.005,
600234,ST山水,2.02,0.41,0.691,0.002,
002632,道明光学,5.54,1.82,0.69,0.009,
600511,国药股份,2.78,-1.26,0.685,0.006,
002332,仙琚制药,9.04,1.22,0.673,0.006,
000639,西王食品,5.27,0.13,0.671,0.001,
600258,首旅酒店,6.25,1.58,0.666,0.008,
600016,民生银行,354.62,0.99,0.657,0.005,
002114,罗平锌电,3.23,3.11,0.635,0.015,
600223,鲁商置业,10.01,0.93,0.617,0.005,
002318,久立特材,8.21,0.15,0.611,0.001,
600533,栖霞建设,10.5,0.3,0.611,0.002,
002911,佛燃股份,2.71,2.81,0.61,0.014,
600967,内蒙一机,9.6,0.51,0.6,0.003,
000688,国城矿业,11.37,0.0,0.6,0.0,
000703,恒逸石化,22.74,3.72,0.598,0.018,
000963,华东医药,13.02,0.59,0.59,0.003,
002640,跨境通,10.13,4.01,0.588,0.02,
600600,青岛啤酒,6.96,1.58,0.585,0.008,
601179,中国西电,51.26,0.0,0.58,0.0,
000629,攀钢钒钛,47.67,0.58,0.58,0.003,
600139,西部资源,6.62,2.64,0.577,0.013,
000997,新 大 陆,10.04,1.62,0.573,0.008,
000158,常山北明,16.24,3.54,0.568,0.017,
002091,江苏国泰,9.72,2.78,0.55,0.014,
002867,周大生,1.63,0.34,0.541,0.002,
000796,凯撒旅游,8.03,6.83,0.538,0.033,
000729,燕京啤酒,25.09,0.89,0.537,0.004,
600216,浙江医药,9.56,0.96,0.536,0.005,
002041,登海种业,8.74,-2.66,0.523,0.013,
600028,中国石化,955.58,1.2,0.512,0.006,
600339,中油工程,15.52,0.0,0.51,0.0,
600507,方大特钢,13.26,0.71,0.509,0.004,
002555,三七互娱,11.82,0.76,0.508,0.004,
600872,中炬高新,7.97,0.86,0.507,0.004,
002576,通达动力,1.45,-0.9,0.507,0.005,
600550,保变电气,15.35,3.07,0.504,0.015,
002907,华森制药,0.59,4.08,0.5,0.02,
002880,卫光生物,0.27,1.39,0.498,0.007,
002037,久联发展,3.27,1.73,0.489,0.009,
601021,春秋航空,8.0,1.8,0.466,0.009,
600857,宁波中百,2.24,2.61,0.465,0.013,
000510,金路集团,5.49,3.06,0.463,0.015,
000830,鲁西化工,14.64,3.1,0.461,0.015,
600539,*ST狮头,2.3,0.61,0.459,0.003,
600763,通策医疗,3.21,1.74,0.458,0.009,
600066,宇通客车,22.14,1.08,0.453,0.005,
000040,东旭蓝天,10.6,0.34,0.45,0.002,
600110,诺德股份,11.5,4.45,0.45,0.022,
600495,晋西车轴,12.08,1.55,0.443,0.008,
002100,天康生物,9.63,-0.89,0.438,0.004,
600335,国机汽车,10.3,3.7,0.423,0.018,
000049,德赛电池,2.05,2.88,0.401,0.014,
000667,美好置业,25.4,0.4,0.4,0.002,
600490,鹏欣资源,14.91,2.0,0.399,0.01,
000531,穗恒运Ａ,6.85,3.63,0.397,0.018,
000719,中原传媒,6.67,0.52,0.389,0.003,
600801,华新水泥,9.73,-0.11,0.389,0.001,
600673,东阳光科,24.59,0.78,0.387,0.004,
000762,西藏矿业,4.76,2.35,0.385,0.012,
600398,海澜之家,44.93,1.16,0.381,0.006,
000903,云内动力,17.58,-1.82,0.379,0.009,
600933,爱柯迪,2.38,-1.93,0.375,0.01,
000972,ST中基,7.71,1.5,0.373,0.007,
601155,新城控股,7.19,1.22,0.37,0.006,
601106,中国一重,65.38,0.73,0.367,0.004,
002484,江海股份,7.64,2.78,0.365,0.014,
002602,世纪华通,12.77,0.27,0.36,0.001,
600158,中体产业,6.57,1.96,0.359,0.01,
600299,安迪苏,26.82,3.08,0.348,0.015,
600893,航发动力,19.48,1.16,0.341,0.006,
000656,金科股份,52.22,0.0,0.34,0.0,
601328,交通银行,392.51,0.86,0.336,0.004,
600372,中航电子,17.59,2.17,0.331,0.011,
601618,中国中冶,178.53,0.65,0.328,0.003,
600240,华业资本,14.24,4.45,0.324,0.022,
600270,外运发展,9.05,3.68,0.321,0.018,
600320,振华重工,33.22,0.31,0.31,0.002,
002129,中环股份,26.44,2.33,0.304,0.012,
002306,*ST云网,7.94,1.5,0.302,0.007,
002182,云海金属,4.51,1.35,0.296,0.007,
002138,顺络电子,6.99,0.0,0.28,0.0,
600062,华润双鹤,8.23,-0.07,0.27,0.0,
600517,置信电气,12.45,1.92,0.269,0.009,
000545,金浦钛业,9.59,1.91,0.269,0.009,
000661,长春高新,1.7,1.88,0.26,0.009,
000848,承德露露,9.78,1.64,0.248,0.008,
000697,炼石航空,4.54,3.43,0.244,0.017,
600696,ST岩石,3.41,1.2,0.239,0.006,
000060,中金岭南,35.68,0.72,0.237,0.004,
600979,广安爱众,7.18,1.43,0.233,0.007,
600201,生物股份,11.37,0.23,0.23,0.001,
002648,卫星石化,10.37,2.75,0.212,0.014,
000726,鲁 泰Ａ,5.61,1.07,0.211,0.005,
002210,飞马国际,13.89,-3.59,0.209,0.018,
002476,宝莫股份,5.86,4.37,0.206,0.021,
000028,国药一致,3.08,0.56,0.198,0.003,
601069,西部黄金,6.36,-1.96,0.197,0.01,
600418,江淮汽车,18.93,3.13,0.191,0.015,
601158,重庆水务,48.0,1.29,0.186,0.006,
600754,锦江股份,6.49,1.63,0.177,0.008,
600718,东软集团,12.42,3.02,0.177,0.015,
002063,远光软件,7.56,1.02,0.171,0.005,
002470,金正大,27.26,-0.33,0.168,0.002,
002912,中新赛克,0.52,1.65,0.166,0.008,
600572,康恩贝,25.04,0.82,0.165,0.004,
601169,北京银行,182.48,0.85,0.164,0.004,
600865,百大集团,3.76,0.84,0.164,0.004,
002828,贝肯能源,1.0,2.05,0.162,0.01,
600107,美尔雅,3.6,-1.87,0.161,0.009,
600259,广晟有色,2.62,0.08,0.16,0.0,
000715,中兴商业,2.79,-0.47,0.157,0.002,
600315,上海家化,6.71,0.04,0.15,0.0,
002859,洁美科技,1.08,2.94,0.15,0.014,
600500,中化国际,20.83,2.4,0.147,0.012,
002295,精艺股份,2.5,0.41,0.139,0.002,
600015,华夏银行,128.23,0.65,0.137,0.003,
601006,大秦铁路,148.67,0.92,0.133,0.005,
000878,云南铜业,14.16,0.98,0.122,0.005,
600765,中航重机,7.78,3.55,0.122,0.017,
600890,中房股份,5.79,3.0,0.106,0.015,
002599,盛通股份,1.91,0.0,0.1,0.0,
002913,奥士康,0.36,5.01,0.096,0.024,
000951,中国重汽,6.71,1.27,0.095,0.006,
600420,现代制药,5.75,0.86,0.093,0.004,
600362,江西铜业,20.75,0.23,0.08,0.001,
000776,广发证券,59.19,2.12,0.078,0.01,
600281,太化股份,5.14,2.75,0.007,0.014,
600067,冠城大通,14.92,0.53,0.007,0.003,
002216,三全食品,5.72,2.92,0.007,0.014,
600199,金种子酒,5.56,1.2,0.006,0.006,
002022,科华生物,4.94,2.38,0.005,0.012,
000993,闽东电力,3.73,3.88,0.005,0.019,
002614,奥佳华,3.22,0.85,0.003,0.004,
600305,恒顺醋业,7.84,1.69,0.002,0.008,
600297,广汇汽车,71.51,1.68,0.002,0.008,
600668,尖峰集团,3.44,1.7,0.002,0.008,
002428,云南锗业,6.44,1.7,0.002,0.008,
600808,马钢股份,59.68,3.34,0.002,0.016,
600750,江中药业,4.2,0.9,0.002,0.004,
601233,桐昆股份,17.84,1.71,0.001,0.008,
001979,招商蛇口,19.0,1.73,0.001,0.009,
600126,杭钢股份,12.05,1.99,0.001,0.01,
600892,大晟文化,2.52,0.0,0.0,0.0,
600255,梦舟股份,17.7,2.03,-0.0,0.01,
600178,东安动力,4.62,6.18,0.0,0.03,
