ts_code,buy,sell,net_buy
000010.SZ,706.76,1187.09,-480.31
000521.SZ,1854.09,2320.65,-466.55
000603.SZ,8314.18,11223.94,-2909.8
000695.SZ,514.38,532.91,-18.53
000722.SZ,4902.78,1298.99,3603.77
000917.SZ,6813.72,8097.72,-1283.99
000979.SZ,919.05,968.92,-49.87
002108.SZ,5967.25,2920.96,3046.3
002184.SZ,13010.08,18354.28,-5344.2
002238.SZ,3881.04,3510.09,370.96
002288.SZ,15293.16,24719.04,-9425.88
002337.SZ,3257.53,4911.94,-1654.45
002411.SZ,38268.58,27484.9,10783.68
002427.SZ,4995.39,10951.02,-5955.63
002549.SZ,11884.32,18192.91,-6308.58
002575.SZ,7956.3,22599.54,-14643.28
002668.SZ,4404.95,4166.74,238.19
002708.SZ,12218.86,17899.72,-5680.84
002755.SZ,1369.03,2066.0,-696.99
002856.SZ,3922.87,8557.7,-4634.84
002865.SZ,9778.49,3311.6,6466.9
002941.SZ,88.97,5.01,83.96
300100.SZ,4423.29,2134.85,2288.43
300109.SZ,4753.08,13886.08,-9132.98
300171.SZ,2378.33,5523.36,-3145.03
300324.SZ,156.8,547.68,-390.88
300343.SZ,8973.46,13948.82,-4975.35
300356.SZ,3968.9,3111.64,857.25
300370.SZ,5592.67,4351.87,1240.81
300597.SZ,10112.14,12070.98,-1958.81
300603.SZ,1147.68,907.14,240.55
300606.SZ,10873.44,8817.78,2055.7
300670.SZ,1243.66,1464.72,-221.06
300674.SZ,15538.9,6721.1,8817.8
300708.SZ,1192.54,2958.33,-1765.77
300752.SZ,51.17,0.0,51.17
600080.SH,2942.16,3206.94,-264.78
600152.SH,2434.08,4108.25,-1674.17
600635.SH,25560.32,30451.37,-4891.05
600825.SH,10173.65,19597.23,-9423.58
600936.SH,929.22,4043.67,-3114.45
601162.SH,5166.25,5031.51,134.74
603220.SH,3577.84,3687.59,-109.75
603366.SH,2224.99,690.83,1534.16
603398.SH,2009.75,726.03,1283.72
603399.SH,6394.43,13297.3,-6902.87
603617.SH,5363.75,3142.22,2221.53
603988.SH,963.71,884.81,78.9


,trade_date,ts_code,exalter,buy,buy_rate,sell,sell_rate,net_buy
0,20181130,000010.SZ,长城证券股份有限公司杭州世纪大道证券营业部,230.57,4.71,0.0,0.0,230.57
1,20181130,000010.SZ,申万宏源证券有限公司芜湖文化路证券营业部,146.63,2.99,0.0,0.0,146.63
2,20181130,000010.SZ,新时代证券股份有限公司深圳科苑路证券营业部,139.29,2.84,0.0,0.0,139.29
3,20181130,000010.SZ,西藏东方财富证券股份有限公司拉萨东环路第二证券营业部,105.85,2.16,18.42,0.38,87.43
4,20181130,000010.SZ,财通证券股份有限公司青田龙东路证券营业部,75.19,1.54,0.0,0.0,75.19
5,20181130,000010.SZ,申万宏源证券有限公司沈阳十一纬路证券营业部,0.0,0.0,312.79,6.39,-312.79
6,20181130,000010.SZ,财富证券有限责任公司北京市朝阳东三环中路证券营业部,0.0,0.0,263.72,5.39,-263.72
7,20181130,000010.SZ,财富证券有限责任公司益阳康富南路证券营业部,0.08,0.0,229.13,4.68,-229.04
8,20181130,000010.SZ,天风证券股份有限公司大连天河路证券营业部,0.83,0.02,206.61,4.22,-205.77
9,20181130,000010.SZ,中信证券股份有限公司福州长乐北路证券营业部,8.32,0.17,156.42,3.19,-148.1
10,20181130,000521.SZ,安信证券股份有限公司南昌胜利路证券营业部,512.7,1.95,0.0,0.0,512.7
11,20181130,000521.SZ,海通证券股份有限公司深圳金田路证券营业部,483.88,1.84,0.7,0.0,483.19
12,20181130,000521.SZ,申万宏源证券有限公司大连金马路证券营业部,386.01,1.47,12.12,0.05,373.89
13,20181130,000521.SZ,国金证券股份有限公司上海奉贤区金碧路证券营业部,244.56,0.93,127.5,0.48,117.06
14,20181130,000521.SZ,浙商证券股份有限公司瑞安塘河北路证券营业部,220.38,0.84,0.37,0.0,220.01
15,20181130,000521.SZ,华泰证券股份有限公司深圳益田路荣超商务中心证券营业部,4.08,0.02,621.86,2.36,-617.78
16,20181130,000521.SZ,海通证券股份有限公司天津水上公园东路证券营业部,0.84,0.0,517.44,1.96,-516.61
17,20181130,000521.SZ,中泰证券股份有限公司湖南分公司,0.0,0.0,366.43,1.39,-366.43
