ts_code,buy,sell,net_buy
000007.SZ,4584.01,1813.23,2770.79
000530.SZ,2962.45,1433.58,1528.87
000622.SZ,6624.91,5521.14,1103.77
000669.SZ,4827.41,1981.1,2846.31
000856.SZ,21703.34,25062.64,-3359.34
000917.SZ,11084.88,9109.68,1975.2
000979.SZ,1232.35,1103.89,128.44
000981.SZ,4317.11,10647.15,-6330.04
002075.SZ,9309.95,6909.66,2400.26
002089.SZ,11316.56,6458.32,4858.22
002103.SZ,23540.49,14675.46,8865.03
002288.SZ,15553.14,25151.16,-9597.98
002411.SZ,48622.24,46468.67,2153.58
002451.SZ,3292.43,3632.02,-339.59
002549.SZ,3338.9,8343.5,-5004.6
002708.SZ,2892.18,8479.06,-5586.87
002761.SZ,2984.32,7290.24,-4305.92
002856.SZ,6593.54,9474.17,-2880.64
002865.SZ,1441.91,4053.78,-2611.86
002943.SZ,226.02,16.1,209.92
300050.SZ,3492.41,2662.85,829.56
300084.SZ,5157.99,2648.83,2509.15
300210.SZ,2503.28,1714.92,788.37
300256.SZ,4381.61,1990.6,2391.01
300272.SZ,3021.14,1313.33,1707.8
300356.SZ,5595.34,4756.97,838.36
300510.SZ,2270.45,8196.58,-5926.14
300597.SZ,3146.27,6734.46,-3588.2
300670.SZ,1799.69,2024.69,-224.99
300674.SZ,11553.24,16210.54,-4657.26
300694.SZ,1612.85,4395.82,-2782.95
300698.SZ,989.6,3796.04,-2806.43
600462.SH,6223.13,7095.22,-872.09
600735.SH,7823.62,9800.24,-1976.62
600774.SH,795.0,897.59,-102.59
603101.SH,4283.84,4102.83,181.01
603110.SH,721.93,791.48,-69.55
603187.SH,1044.14,75.4,968.74
603196.SH,6078.48,5173.94,904.54
603220.SH,3710.07,3505.93,204.14
603366.SH,3557.49,3177.16,380.33
603389.SH,1577.35,2413.5,-836.15
603726.SH,4525.15,3131.48,1393.67
900915.SH,53.26,24.78,28.48


,trade_date,ts_code,exalter,buy,buy_rate,sell,sell_rate,net_buy
0,20181204,000007.SZ,国盛证券有限责任公司合肥翠微路证券营业部,1659.5,8.89,0.0,0.0,1659.5
1,20181204,000007.SZ,国盛证券有限责任公司黄山洽阳路证券营业部,1270.48,6.8,0.0,0.0,1270.48
2,20181204,000007.SZ,东海证券股份有限公司合肥濉溪路证券营业部,503.17,2.69,0.0,0.0,503.17
3,20181204,000007.SZ,华泰证券股份有限公司厦门厦禾路证券营业部,417.48,2.24,22.91,0.12,394.57
4,20181204,000007.SZ,国融证券股份有限公司杭州江晖路证券营业部,334.48,1.79,6.5,0.03,327.98
5,20181204,000007.SZ,招商证券股份有限公司深圳后海证券营业部,0.0,0.0,828.44,4.44,-828.44
6,20181204,000007.SZ,平安证券股份有限公司深圳深南东路罗湖商务中心证券营业部,42.72,0.23,324.86,1.74,-282.13
7,20181204,000007.SZ,海通证券股份有限公司杭州文化路证券营业部,193.06,1.03,275.97,1.48,-82.91
8,20181204,000007.SZ,国盛证券有限责任公司慈溪环城南路证券营业部,0.0,0.0,184.5,0.99,-184.5
9,20181204,000007.SZ,西藏东方财富证券股份有限公司拉萨团结路第二证券营业部,163.12,0.87,170.05,0.91,-6.93
10,20181204,000530.SZ,长城证券股份有限公司杭州文一西路证券营业部,764.24,4.87,0.0,0.0,764.24
11,20181204,000530.SZ,中国中投证券有限责任公司无锡清扬路证券营业部,679.36,4.33,0.0,0.0,679.36
12,20181204,000530.SZ,华泰证券股份有限公司沈阳青年大街证券营业部,637.12,4.06,0.71,0.0,636.41
13,20181204,000530.SZ,东莞证券股份有限公司四川分公司,430.39,2.74,0.0,0.0,430.39
14,20181204,000530.SZ,湘财证券股份有限公司台州祥和路证券营业部,428.81,2.73,0.0,0.0,428.81
15,20181204,000530.SZ,江海证券有限公司哈尔滨霞曼街证券营业部,17.55,0.11,604.4,3.85,-586.85
16,20181204,000530.SZ,江海证券有限公司上海瑞金南路证券营业部,0.0,0.0,284.64,1.81,-284.64
17,20181204,000530.SZ,中国银河证券股份有限公司哈尔滨西十道街证券营业部,0.0,0.0,195.16,1.24,-195.16
18,20181204,000530.SZ,华泰证券股份有限公司南京解放路证券营业部,4.62,0.03,181.45,1.16,-176.83
19,20181204,000530.SZ,东兴证券股份有限公司泉州田安路证券营业部,0.36,0.0,167.22,1.07,-166.86
20,20181204,000622.SZ,中天证券股份有限公司台州市府大道证券营业部,1766.05,1.85,0.0,0.0,1766.05
21,20181204,000622.SZ,中国银河证券股份有限公司厦门美湖路证券营业部,1690.21,1.77,36.45,0.04,1653.76
22,20181204,000622.SZ,华泰证券股份有限公司上海静安区威海路证券营业部,1117.04,1.17,38.03,0.04,1079.01
23,20181204,000622.SZ,西藏东方财富证券股份有限公司拉萨团结路第二证券营业部,920.33,0.96,732.13,0.77,188.2
24,20181204,000622.SZ,国信证券股份有限公司珠海文园路五洲花城证券营业部,849.28,0.89,12.79,0.01,836.49
25,20181204,000622.SZ,华泰证券股份有限公司北京月坛南街证券营业部,11.39,0.01,1019.53,1.07,-1008.14
26,20181204,000622.SZ,东吴证券股份有限公司苏州工业园区敦煌路证券营业部,2.24,0.0,1008.23,1.06,-1005.99
27,20181204,000622.SZ,上海证券有限责任公司深圳民田路证券营业部,0.0,0.0,1006.34,1.05,-1006.34
28,20181204,000622.SZ,中信建投证券股份有限公司苏州工业园区星海街证券营业部,219.12,0.23,837.83,0.88,-618.7
29,20181204,000622.SZ,华泰证券股份有限公司厦门厦禾路证券营业部,49.25,0.05,829.81,0.87,-780.57
30,20181204,000669.SZ,海通证券股份有限公司杭州解放路证券营业部,933.38,4.15,13.27,0.06,920.11
31,20181204,000669.SZ,宏信证券有限责任公司成都锦城大道证券营业部,917.13,4.08,0.0,0.0,917.13
32,20181204,000669.SZ,财通证券股份有限公司杭州体育馆证券营业部,728.67,3.24,0.54,0.0,728.13
33,20181204,000669.SZ,深股通专用,597.76,2.66,576.37,2.56,21.39
34,20181204,000669.SZ,国金证券股份有限公司成都蒲江县桫椤路证券营业部,512.26,2.28,0.0,0.0,512.26
35,20181204,000669.SZ,深股通专用,597.76,2.66,576.37,2.56,21.39
36,20181204,000669.SZ,光大证券股份有限公司宁波甬江大道证券营业部,243.16,1.08,247.95,1.1,-4.79
37,20181204,000669.SZ,西藏东方财富证券股份有限公司拉萨团结路第二证券营业部,217.08,0.96,208.88,0.93,8.2
38,20181204,000669.SZ,信达证券股份有限公司铁岭光荣街证券营业部,0.0,0.0,182.11,0.81,-182.11
39,20181204,000669.SZ,渤海证券股份有限公司上海普陀区梅川路证券营业部,80.21,0.36,175.61,0.78,-95.4
40,20181204,000856.SZ,华泰证券股份有限公司南通环城西路证券营业部,3264.99,4.66,2.88,0.0,3262.1
41,20181204,000856.SZ,东兴证券股份有限公司上海肇嘉浜路证券营业部,3002.08,4.29,0.59,0.0,3001.49
42,20181204,000856.SZ,西藏东方财富证券股份有限公司浙江分公司,1294.34,1.85,0.0,0.0,1294.34
43,20181204,000856.SZ,华泰证券股份有限公司上海杨浦区国宾路证券营业部,1250.0,1.79,2.1,0.0,1247.9
44,20181204,000856.SZ,天风证券股份有限公司深圳平安金融中心证券营业部,1225.41,1.75,1.52,0.0,1223.89
45,20181204,000856.SZ,华融证券股份有限公司北京金融大街证券营业部,0.0,0.0,6513.58,9.3,-6513.58
46,20181204,000856.SZ,申万宏源证券有限公司成都槐树街证券营业部,342.38,0.49,1924.57,2.75,-1582.19
47,20181204,000856.SZ,华泰证券股份有限公司河南分公司,139.78,0.2,1543.36,2.2,-1403.59
48,20181204,000856.SZ,华安证券股份有限公司阜阳文峰路证券营业部,138.08,0.2,1344.0,1.92,-1205.92
49,20181204,000856.SZ,国联证券股份有限公司上海邯郸路证券营业部,194.61,0.28,1198.72,1.71,-1004.11
50,20181204,000856.SZ,华泰证券股份有限公司南通环城西路证券营业部,3264.99,4.66,2.88,0.0,3262.1
51,20181204,000856.SZ,东兴证券股份有限公司上海肇嘉浜路证券营业部,3002.08,4.29,0.59,0.0,3001.49
52,20181204,000856.SZ,西藏东方财富证券股份有限公司浙江分公司,1294.34,1.85,0.0,0.0,1294.34
53,20181204,000856.SZ,华泰证券股份有限公司上海杨浦区国宾路证券营业部,1250.0,1.79,2.1,0.0,1247.9
