ts_code,buy,sell,net_buy
000068.SZ,864.74,2564.08,-1699.36
000532.SZ,2649.87,3645.12,-995.25
000607.SZ,3655.06,2266.74,1388.34
000610.SZ,1673.14,2551.25,-878.11
000622.SZ,10958.86,12361.34,-1402.5
000652.SZ,4411.43,4465.46,-54.03
000722.SZ,865.57,1610.41,-744.85
000806.SZ,2795.19,4785.9,-1990.7
000856.SZ,7124.93,11727.69,-4602.77
000979.SZ,780.05,1095.47,-315.42
002017.SZ,1627.9,1386.07,241.83
002054.SZ,1312.5,2812.12,-1499.61
002089.SZ,13317.64,22844.5,-9526.8
002103.SZ,1562.15,5319.52,-3757.39
002184.SZ,1968.82,1380.13,588.68
002218.SZ,3688.17,1145.51,2542.66
002231.SZ,6124.92,6475.55,-350.64
002235.SZ,6424.14,9244.09,-2819.97
002282.SZ,764.03,837.06,-73.03
002288.SZ,6130.54,4250.53,1880.0
002411.SZ,33187.04,25732.68,7454.36
002451.SZ,9676.7,14250.2,-4573.42
002666.SZ,3928.82,898.25,3030.58
002699.SZ,4518.96,5465.37,-946.39
002761.SZ,3964.12,8757.76,-4793.64
002856.SZ,7470.6,7890.4,-419.78
002865.SZ,2170.44,1793.85,376.58
002895.SZ,1373.76,4135.84,-2762.08
002941.SZ,1073.28,25.57,1047.71
002942.SZ,93.12,13.41,79.71
300050.SZ,16411.36,10169.06,6242.28
300100.SZ,3366.65,6317.73,-2951.08
300171.SZ,2055.31,1608.53,446.77
300181.SZ,1727.45,4074.29,-2346.84
300242.SZ,3263.85,5122.94,-1859.12
300274.SZ,9941.04,5781.66,4159.37
300325.SZ,9581.3,14555.37,-4974.06
300356.SZ,4627.09,3208.33,1418.75
300392.SZ,4826.43,4493.1,333.33
300510.SZ,2146.88,4693.78,-2546.88
300634.SZ,1626.21,2994.2,-1367.98
300643.SZ,16603.16,16597.42,5.72
300670.SZ,1844.68,2107.91,-263.21
300674.SZ,22714.76,17287.84,5426.92
300698.SZ,1287.93,656.57,631.38
300752.SZ,87.6,10.0,77.6
600082.SH,1426.39,1716.66,-290.27
600281.SH,853.5,891.78,-38.28
600783.SH,2331.54,3215.5,-883.96
600818.SH,3238.22,937.01,2301.21
601811.SH,4487.22,2758.86,1728.36
603187.SH,4262.35,2683.57,1578.78
603196.SH,4747.89,5539.82,-791.93
603220.SH,5041.06,4062.26,978.8
603366.SH,1274.16,1953.6,-679.44
603520.SH,4828.8,1830.41,2998.39
603527.SH,1647.84,1959.94,-312.1
900902.SH,69.87,107.07,-37.2


,trade_date,ts_code,exalter,buy,buy_rate,sell,sell_rate,net_buy
0,20181205,000068.SZ,长江证券股份有限公司广州江湾路证券营业部,183.0,1.2,0.0,0.0,183.0
1,20181205,000068.SZ,国泰君安证券股份有限公司昆明人民中路证券营业部,181.59,1.19,0.73,0.0,180.86
2,20181205,000068.SZ,招商证券股份有限公司深圳益田路免税商务大厦证券营业部,170.55,1.12,36.5,0.24,134.05
3,20181205,000068.SZ,财富证券有限责任公司杭州庆春路证券营业部,161.55,1.06,118.1,0.78,43.45
4,20181205,000068.SZ,西藏东方财富证券股份有限公司拉萨团结路第二证券营业部,157.3,1.03,112.29,0.74,45.01
5,20181205,000068.SZ,安信证券股份有限公司梅州新中路证券营业部,6.67,0.04,771.34,5.07,-764.68
6,20181205,000068.SZ,安信证券股份有限公司梅州兴宁迎宾大道证券营业部,2.57,0.02,572.11,3.76,-569.54
7,20181205,000068.SZ,华泰证券股份有限公司成都蜀金路证券营业部,0.56,0.0,392.38,2.58,-391.83
8,20181205,000068.SZ,中信建投证券股份有限公司深圳福中路证券营业部,0.0,0.0,338.22,2.22,-338.22
9,20181205,000068.SZ,中泰证券股份有限公司泰安东岳大街第一证券营业部,0.95,0.01,222.41,1.46,-221.46
10,20181205,000532.SZ,南京证券股份有限公司银川凤凰北街证券营业部,689.2,2.58,0.0,0.0,689.2
11,20181205,000532.SZ,兴业证券股份有限公司深圳侨香路证券营业部,380.19,1.43,379.8,1.42,0.39
12,20181205,000532.SZ,西藏东方财富证券股份有限公司石家庄槐安东路证券营业部,377.61,1.42,0.0,0.0,377.61
13,20181205,000532.SZ,光大证券股份有限公司宁波悦盛路证券营业部,359.66,1.35,1.12,0.0,358.55
14,20181205,000532.SZ,兴业证券股份有限公司晋江崇德路证券营业部,351.93,1.32,0.0,0.0,351.93
15,20181205,000532.SZ,东方证券股份有限公司沈阳大北关街证券营业部,20.5,0.08,1574.64,5.9,-1554.14
16,20181205,000532.SZ,财通证券股份有限公司杭州体育场路证券营业部,32.31,0.12,480.02,1.8,-447.71
17,20181205,000532.SZ,华泰证券股份有限公司深圳益田路荣超商务中心证券营业部,6.62,0.02,461.91,1.73,-455.29
18,20181205,000532.SZ,兴业证券股份有限公司深圳侨香路证券营业部,380.19,1.43,379.8,1.42,0.39
19,20181205,000532.SZ,西藏东方财富证券股份有限公司拉萨东环路第二证券营业部,51.66,0.19,367.83,1.38,-316.18
20,20181205,000607.SZ,申万宏源证券有限公司南宁英华路证券营业部,513.0,4.32,0.0,0.0,513.0
21,20181205,000607.SZ,华鑫证券有限责任公司上海宛平南路证券营业部,419.69,3.53,0.0,0.0,419.69
