ts_code,buy,sell,net_buy
000007.SZ,3082.94,1809.37,1273.56
000020.SZ,3040.1,884.84,2155.28
000571.SZ,8344.75,2797.09,5547.66
000722.SZ,2841.42,3924.53,-1083.13
000735.SZ,28100.5,32268.42,-4167.9
000739.SZ,2206.87,3583.79,-1376.92
000796.SZ,1195.0,1487.81,-292.79
000963.SZ,15485.21,30562.79,-15077.59
000979.SZ,467.0,479.31,-12.32
002089.SZ,5730.32,4621.17,1109.15
002098.SZ,3500.25,2684.62,815.61
002147.SZ,191.43,542.93,-351.5
002181.SZ,4461.37,1972.6,2488.78
002188.SZ,719.84,958.62,-238.79
002235.SZ,2980.86,6332.77,-3351.93
002288.SZ,7307.74,9065.92,-1758.16
002411.SZ,18885.34,13660.78,5224.56
002427.SZ,9830.07,5761.35,4068.72
002463.SZ,6821.77,15879.38,-9057.61
002502.SZ,4692.78,3266.76,1426.0
002518.SZ,4440.08,7222.65,-2782.58
002708.SZ,8850.72,4422.82,4427.9
002715.SZ,5015.03,4217.41,797.62
002719.SZ,6269.46,4218.67,2050.8
002836.SZ,2219.77,7151.03,-4931.26
002856.SZ,6086.73,4970.68,1116.04
002943.SZ,3726.92,164.85,3562.08
300003.SZ,7574.22,11490.43,-3916.2
300050.SZ,4954.4,10165.31,-5210.92
300100.SZ,2347.63,2389.99,-42.37
300175.SZ,7839.2,3421.3,4417.86
300210.SZ,4831.9,10311.82,-5479.9
300213.SZ,6905.98,9099.54,-2193.56
300242.SZ,15759.52,17934.44,-2174.96
300302.SZ,3326.49,1401.8,1924.69
300356.SZ,5082.64,4456.28,626.37
300428.SZ,7450.8,4841.72,2609.08
300597.SZ,3383.2,7490.64,-4107.44
300644.SZ,3964.36,3176.04,788.32
300674.SZ,3300.82,6847.54,-3546.73
600243.SH,1657.97,746.54,911.43
600520.SH,2511.82,582.25,1929.57
600521.SH,5010.76,10280.17,-5269.41
600556.SH,171.25,110.5,60.75
600735.SH,3776.07,2404.18,1371.89
600745.SH,11585.93,16458.64,-4872.71
600860.SH,2332.66,1363.0,969.66
601811.SH,1740.26,6815.13,-5074.87
603187.SH,3053.21,3190.89,-137.68
603196.SH,4600.51,4765.5,-164.99
603220.SH,5793.04,8702.36,-2909.32


,trade_date,ts_code,exalter,buy,buy_rate,sell,sell_rate,net_buy
0,20181206,000007.SZ,平安证券股份有限公司珠海园林路证券营业部,535.42,1.67,96.22,0.3,439.2
1,20181206,000007.SZ,中信建投证券股份有限公司重庆龙山路证券营业部,514.01,1.6,33.5,0.1,480.5
2,20181206,000007.SZ,海通证券股份有限公司杭州文化路证券营业部,445.79,1.39,48.01,0.15,397.79
3,20181206,000007.SZ,国信证券股份有限公司上海北京东路证券营业部,410.51,1.28,160.55,0.5,249.96
4,20181206,000007.SZ,国信证券股份有限公司深圳振华路证券营业部,338.6,1.06,4.5,0.01,334.1
5,20181206,000007.SZ,西藏东方财富证券股份有限公司拉萨团结路第二证券营业部,256.98,0.8,455.14,1.42,-198.16
6,20181206,000007.SZ,平安证券股份有限公司深圳深南东路罗湖商务中心证券营业部,272.08,0.85,373.34,1.16,-101.26
7,20181206,000007.SZ,国融证券股份有限公司杭州江晖路证券营业部,210.79,0.66,254.25,0.79,-43.47
8,20181206,000007.SZ,国泰君安证券股份有限公司南京太平南路证券营业部,1.65,0.01,203.27,0.63,-201.62
9,20181206,000007.SZ,西藏东方财富证券股份有限公司拉萨江苏东路证券营业部,97.11,0.3,180.59,0.56,-83.48
10,20181206,000020.SZ,财通证券股份有限公司杭州体育馆证券营业部,1218.57,14.22,0.0,0.0,1218.57
11,20181206,000020.SZ,华福证券有限责任公司义乌宾王路证券营业部,509.06,5.94,0.0,0.0,509.06
12,20181206,000020.SZ,申万宏源证券有限公司成都崇州市蜀州北路证券营业部,360.25,4.21,0.0,0.0,360.25
13,20181206,000020.SZ,国融证券股份有限公司杭州江晖路证券营业部,322.41,3.76,0.0,0.0,322.41
14,20181206,000020.SZ,中泰证券股份有限公司深圳分公司,253.91,2.96,0.0,0.0,253.91
15,20181206,000020.SZ,首创证券有限责任公司成都吉庆三路证券营业部,111.32,1.3,223.72,2.61,-112.39
16,20181206,000020.SZ,国信证券股份有限公司成都二环路证券营业部,67.3,0.79,199.13,2.32,-131.83
17,20181206,000020.SZ,英大证券有限责任公司深圳华侨城证券营业部,59.4,0.69,172.48,2.01,-113.08
18,20181206,000020.SZ,华泰证券股份有限公司深圳益田路荣超商务中心证券营业部,137.76,1.61,166.07,1.94,-28.3
19,20181206,000020.SZ,中国银河证券股份有限公司汕头金砂路证券营业部,0.12,0.0,123.44,1.44,-123.32
