,ts_code,name,industry,turnover_rate,continuously_up,average_p_change,float_share,free_share,circ_mv
2574,600556.SH,ST慧球,软件服务,0.0517,9.0,3.457,39479.3708,34875.3656,183973.8679
1053,002592.SZ,八菱科技,汽车配件,4.2448,8.0,3.334,20944.6443,11121.1728,338256.0054
2626,600612.SH,老凤祥,服饰,0.2956,8.0,1.542,31710.963,9693.7837,1263681.8756
2705,600702.SH,舍得酒业,白酒,2.9213,7.0,3.203,33730.0,23660.4232,852357.1
1003,002542.SZ,中化岩土,建筑施工,2.614,7.0,1.48,80663.9083,64872.611,408159.376
1009,002548.SZ,金新农,饲料,3.4721,7.0,3.598,31231.4783,15956.6056,269839.9725
2802,600807.SH,*ST天业,区域地产,1.83,7.0,3.942,78701.8464,60285.1521,319529.4964
2356,600277.SH,亿利洁能,综合类,0.5641,6.0,0.796,267400.5085,139258.8682,1326306.5222
3434,603716.SH,塞力斯,医药商业,2.1632,6.0,2.954,9610.6508,9610.6508,169820.1996
441,000976.SZ,华铁股份,运输设备,7.6105,6.0,3.159,58652.8804,51134.8624,293850.9308
2608,600593.SH,大连圣亚,旅游服务,1.0397,6.0,0.819,12880.0,8018.266,379316.0
3227,603197.SH,保隆科技,汽车配件,3.6976,5.0,2.882,9840.1678,8625.0734,210382.7876
2498,600462.SH,九有股份,元器件,14.5256,5.0,2.201,53378.0,43204.3096,200701.28
1206,002749.SZ,国光股份,农药化肥,0.1485,5.0,0.538,13979.1396,11413.8526,254420.3407
876,002414.SZ,高德红外,电器仪表,4.9114,5.0,3.62,47609.8944,19236.4572,939819.3155
621,002158.SZ,汉钟精机,工程机械,2.176,5.0,1.59,52913.7549,20116.0059,432834.5151
3186,603106.SH,恒银金融,电脑设备,11.3287,5.0,2.483,13035.0,13035.0,163067.85
3111,601992.SH,金隅集团,水泥,1.261,5.0,2.341,833415.8264,349368.4792,3225319.2482
1244,002790.SZ,瑞尔特,家居用品,3.3444,5.0,2.152,6400.0,6400.0,68736.0
2493,600456.SH,宝钛股份,小金属,1.0453,5.0,1.44,43026.57,20203.8402,695309.3712
2331,600247.SH,*ST成城,商贸代理,0.5275,5.0,2.455,33644.16,31064.16,205565.8176
1174,002715.SZ,登云股份,汽车配件,9.9041,5.0,3.088,8296.4295,5076.9791,144108.9804
1165,002705.SZ,新宝股份,家用电器,0.2249,5.0,1.404,45886.79,25473.328,418946.3927
141,000550.SZ,江铃汽车,汽车整车,0.6533,5.0,2.255,51842.716,16425.116,591525.3896
804,002342.SZ,巨力索具,机械基件,4.3366,5.0,2.614,88113.5625,62383.5625,354216.5213
1157,002696.SZ,百洋股份,渔业,1.31,5.0,0.931,21026.2698,18305.1662,210893.4861
1147,002686.SZ,亿利达,专用机械,1.4287,5.0,2.052,32820.6131,22886.5131,249436.6596
919,002457.SZ,青龙管业,塑料,9.3057,5.0,2.743,33445.2486,22475.9667,294318.1877
114,000518.SZ,四环生物,生物制药,0.5018,5.0,1.148,102953.5693,72380.9568,394312.1704
1067,002606.SZ,大连电瓷,电气设备,9.0483,5.0,2.82,40386.7434,27741.368,232223.7746
97,000429.SZ,粤高速A,路桥,0.5426,5.0,0.318,46885.5023,36547.5281,359142.9476
2354,600275.SH,ST昌鱼,农业综合,2.4228,5.0,2.27,50883.7238,30435.3839,163845.5906
81,000409.SZ,*ST地矿,综合类,0.5649,5.0,1.258,40563.1244,33986.2554,210928.2469
75,000401.SZ,冀东水泥,水泥,5.0381,5.0,3.123,134721.6826,84863.3451,1818742.7151
675,002212.SZ,南洋股份,电气设备,0.9041,5.0,1.631,64245.5356,28895.5328,730471.7398
632,002169.SZ,智光电气,电气设备,2.109,5.0,1.63,75086.9044,57584.1927,314614.1294
1263,002811.SZ,亚泰国际,装修装饰,0.998,5.0,1.207,4500.0,4500.0,66375.0
729,002267.SZ,陕天然气,供气供热,0.7269,5.0,1.116,111207.5445,39554.4989,870755.0734
402,000923.SZ,河北宣工,铜,3.0056,5.0,2.871,19800.0,12740.7433,287694.0
688,002225.SZ,濮耐股份,其他建材,0.3096,5.0,0.679,70716.8357,50891.3737,343683.8215
396,000917.SZ,电广传媒,影视音像,3.5451,5.0,1.706,129463.9951,105849.7971,862230.2074
2751,600749.SH,*ST藏旅,旅游景点,0.1062,5.0,0.529,18913.7931,9625.2234,185166.0344
700,002237.SZ,恒邦股份,黄金,2.3953,5.0,0.919,85167.5,47767.1134,709445.275
2253,600159.SH,大龙地产,区域地产,0.3249,5.0,0.542,83000.3232,43408.6677,219950.8565
2177,600073.SH,上海梅林,食品,0.7411,5.0,1.524,93772.9472,58336.4598,621714.6399
2779,600780.SH,通宝能源,火力发电,0.2438,5.0,0.777,114650.2523,44819.6136,396689.873
2781,600782.SH,新钢股份,普钢,0.7093,5.0,0.746,318872.2696,141662.4464,1613493.6842
2172,600068.SH,葛洲坝,建筑施工,1.1889,5.0,1.329,460477.7412,265532.9173,3149667.7498
2833,600841.SH,上柴股份,机械基件,0.2107,5.0,1.001,52189.253,10544.0,391419.3975
2260,600167.SH,联美控股,供气供热,0.518,5.0,1.938,82179.3388,50832.7065,785634.4789
333,000819.SZ,岳阳兴长,石油加工,0.8138,5.0,0.989,27132.0413,16686.4815,273219.6559
2297,600209.SH,*ST罗顿,综合类,1.8309,5.0,2.486,43901.1169,32826.4731,169019.3001
2922,600985.SH,淮北矿业,煤炭开采,0.9905,5.0,1.391,26285.4744,18069.9052,252340.5542
2130,600011.SH,华能国际,火力发电,0.1345,5.0,1.315,1050000.0,387821.3333,7728000.0
2938,601005.SH,重庆钢铁,普钢,0.2924,5.0,1.499,838047.5067,628349.3467,1650953.5882
2127,600008.SH,首创股份,环境保护,0.9742,5.0,1.714,482061.4124,220203.0706,1807730.2965
2972,601126.SH,四方股份,电气设备,0.5234,5.0,1.175,81317.2,39484.2454,440739.224
1340,002893.SZ,华通热力,供气供热,4.6553,5.0,1.081,6389.9132,4927.4379,113612.6567
767,002305.SZ,南国置业,区域地产,3.2857,5.0,4.804,162330.2332,72880.0793,482120.7926
3010,601326.SH,秦港股份,港口,0.4506,5.0,1.015,165324.4796,103178.9311,540611.0483
264,000717.SZ,韶钢松山,普钢,0.6269,5.0,0.742,241951.6835,113600.3945,1238792.6195
2284,600193.SH,*ST创兴,装修装饰,0.7474,5.0,1.625,42537.3,27485.3755,133141.749
1041,002580.SZ,圣阳股份,电气设备,4.7844,5.0,1.863,29830.7814,26913.3606,175703.3024
226,000669.SZ,金鸿控股,供气供热,3.2305,5.0,2.466,66993.6512,39088.013,487713.7807
3066,601798.SH,*ST蓝科,化工机械,0.5866,5.0,1.201,35452.8198,11870.5461,171946.176
