,ts_code,name,industry,turnover_rate,turnover_rate_f
3222,603187.SH,海容冷链,机械基件,31.2453,31.2453
3235,603220.SH,贝通信,通信设备,29.5639,29.5639
2048,300674.SZ,宇信科技,软件服务,23.2378,23.2378
3226,603196.SH,日播时尚,服饰,20.7593,22.3944
1596,300213.SZ,佳讯飞鸿,通信设备,20.7033,25.8829
1178,002719.SZ,麦趣尔,乳制品,19.2653,41.3705
1625,300242.SZ,佳云科技,互联网,17.5636,23.8043
561,002098.SZ,浔兴股份,服饰,16.2367,33.9778
196,000622.SZ,恒立实业,汽车配件,15.5338,28.552
1168,002708.SZ,光洋股份,汽车配件,14.0924,21.3969
1708,300325.SZ,德威新材,塑料,13.9639,23.1533
11,000014.SZ,沙河股份,全国地产,13.3409,20.2186
600,002137.SZ,麦达数字,互联网,13.1165,16.6269
3312,603389.SH,亚振家居,家居用品,12.565,12.565
1611,300228.SZ,富瑞特装,化工机械,12.3822,12.7423
552,002089.SZ,新海宜,通信设备,11.6991,12.9758
3186,603106.SH,恒银金融,电脑设备,11.3287,11.3287
3286,603336.SH,宏辉果蔬,农业综合,11.2855,14.339
2766,600766.SH,园城黄金,黄金,11.1099,15.6183
2117,300748.SZ,金力永磁,元器件,10.9637,10.9637
1129,002668.SZ,奥马电器,家用电器,9.9555,12.3814
1174,002715.SZ,登云股份,汽车配件,9.9041,16.1845
1599,300216.SZ,千山药机,医疗保健,9.891,10.9351
2044,300670.SZ,大烨智能,电气设备,9.6133,16.8532
13,000017.SZ,深中华A,文教休闲,9.5653,12.102
2072,300698.SZ,万马科技,通信设备,9.4451,10.4876
3145,603032.SH,德新交运,公路,9.4386,14.9179
2737,600735.SH,新华锦,商贸代理,9.0774,18.2708
9,000011.SZ,深物业A,区域地产,9.0706,10.9211
1067,002606.SZ,大连电瓷,电气设备,9.0483,13.1728
2068,300694.SZ,蠡湖股份,汽车配件,8.967,8.967
5,000007.SZ,全新好,酒店餐饮,8.8557,12.634
3259,603297.SH,永新光学,电器仪表,8.842,8.842
1559,300175.SZ,朗源股份,食品,8.7958,15.458
1021,002560.SZ,通达股份,电气设备,8.6719,10.7338
159,000571.SZ,新大洲A,综合类,8.6484,9.7277
2120,300751.SZ,迈为股份,专用机械,8.6207,8.6207
2619,600604.SH,市北高新,园区开发,8.43,19.9777
566,002103.SZ,广博股份,文教休闲,8.4178,12.514
2118,300749.SZ,顶固集创,家居用品,8.4101,8.4101
3285,603335.SH,迪生力,汽车配件,8.147,8.2951
3180,603098.SH,森特股份,装修装饰,8.1441,8.1441
2184,600080.SH,金花股份,中成药,7.5203,10.1009
3298,603363.SH,傲农生物,饲料,7.5018,7.7673
190,000613.SZ,大东海A,旅游服务,7.4608,10.2396
2228,600128.SH,弘业股份,商贸代理,7.3347,9.8895
1653,300270.SZ,中威电子,通信设备,7.3018,9.5275
1086,002625.SZ,光启技术,汽车配件,7.2369,11.1213
2775,600776.SH,东方通信,通信设备,7.2211,17.9175
1565,300181.SZ,佐力药业,中成药,7.1711,7.9035
2084,300711.SZ,广哈通信,通信设备,7.1095,7.1095
