,ts_code,name,industry,turnover_rate,continuously_up,average_p_change,circ_mv,accumulate_p_change
2574,600556.SH,ST慧球,软件服务,0.0118,10.0,3.605,193054.1232,42.151
1053,002592.SZ,八菱科技,汽车配件,3.4062,9.0,4.078,372186.3292,42.388
2802,600807.SH,*ST天业,区域地产,5.8037,8.0,2.834,303789.1271,24.516
1003,002542.SZ,中化岩土,建筑施工,1.3746,8.0,0.776,391219.9553,6.127
1009,002548.SZ,金新农,饲料,2.7006,8.0,2.425,254224.2334,20.414
441,000976.SZ,华铁股份,运输设备,4.1895,7.0,2.166,282706.8835,15.311
1340,002893.SZ,华通热力,供气供热,5.8552,6.0,1.238,115913.0254,7.592
767,002305.SZ,南国置业,区域地产,6.042,6.0,4.003,482120.7926,25.847
3534,603933.SH,睿能科技,纺织机械,24.9137,6.0,3.169,82980.842,19.886
2177,600073.SH,上海梅林,食品,1.6301,6.0,1.698,637656.041,10.569
804,002342.SZ,巨力索具,机械基件,2.9543,6.0,1.598,341880.6225,9.605
2260,600167.SH,联美控股,供气供热,0.4323,6.0,1.737,791387.0326,10.817
2284,600193.SH,*ST创兴,装修装饰,1.036,6.0,1.727,136119.36,10.727
2297,600209.SH,*ST罗顿,综合类,1.4824,6.0,2.894,177360.5123,18.475
2354,600275.SH,ST昌鱼,农业综合,1.6245,6.0,2.357,168425.1258,14.931
37,000045.SZ,深纺织A,纺织,2.6477,6.0,1.683,290662.557,10.417
675,002212.SZ,南洋股份,电气设备,0.9647,6.0,1.535,738181.204,9.533
2833,600841.SH,上柴股份,机械基件,0.2559,6.0,0.856,391941.29,5.182
2779,600780.SH,通宝能源,火力发电,0.1499,6.0,0.406,390957.3603,2.402
2406,600333.SH,长春燃气,供气供热,2.7787,6.0,1.173,338427.0573,7.035
729,002267.SZ,陕天然气,供气供热,1.2852,6.0,0.802,864082.6208,4.858
621,002158.SZ,汉钟精机,工程机械,1.2985,6.0,1.08,426484.8645,6.473
700,002237.SZ,恒邦股份,黄金,2.6885,6.0,0.906,715407.0,5.528
2493,600456.SH,宝钛股份,小金属,0.9928,6.0,1.251,697460.6997,7.636
688,002225.SZ,濮耐股份,其他建材,0.6798,6.0,0.943,351462.6734,5.745
402,000923.SZ,河北宣工,铜,1.9609,6.0,2.117,282942.0,13.143
396,000917.SZ,电广传媒,影视音像,5.8584,6.0,2.022,893301.5662,12.195
226,000669.SZ,金鸿控股,供气供热,5.1407,6.0,2.513,501112.511,15.611
876,002414.SZ,高德红外,电器仪表,2.8473,6.0,3.084,943628.107,19.831
1041,002580.SZ,圣阳股份,电气设备,3.2326,6.0,0.902,168842.2227,5.204
81,000409.SZ,*ST地矿,综合类,1.1758,6.0,1.882,221474.6592,11.656
333,000819.SZ,岳阳兴长,石油加工,1.6479,6.0,0.907,274576.258,5.527
3367,603595.SH,东尼电子,元器件,6.458,6.0,2.846,166626.25,18.144
3368,603596.SH,伯特利,汽车配件,17.7809,6.0,1.968,90218.88,12.081
