,industry,count
0,生物制药,8.0
1,房产服务,3.0
2,区域地产,28.0
3,运输设备,4.0
4,玻璃,6.0
5,家用电器,15.0
6,装修装饰,6.0
7,软饮料,1.0
8,元器件,43.0
9,汽车服务,7.0
10,其他商业,4.0
11,汽车配件,47.0
12,全国地产,20.0
13,综合类,17.0
14,火力发电,5.0
15,广告包装,13.0
16,纺织,16.0
17,农业综合,5.0
18,建筑施工,33.0
19,通信设备,22.0
20,石油贸易,1.0
21,空运,1.0
22,化学制药,28.0
23,农药化肥,16.0
24,电气设备,54.0
25,机床制造,3.0
26,多元金融,7.0
27,化纤,11.0
28,铅锌,4.0
29,酒店餐饮,3.0
30,旅游景点,2.0
31,环境保护,14.0
32,食品,20.0
33,港口,6.0
34,其他建材,9.0
35,百货,19.0
36,水运,3.0
37,文教休闲,10.0
38,机械基件,30.0
39,化工原料,57.0
40,路桥,9.0
41,汽车整车,7.0
42,专用机械,30.0
43,软件服务,23.0
44,铁路,1.0
45,造纸,9.0
46,批发业,4.0
47,中成药,25.0
48,林业,4.0
49,互联网,11.0
50,铝,10.0
51,商贸代理,8.0
52,园区开发,5.0
53,小金属,12.0
54,影视音像,15.0
55,水务,2.0
56,供气供热,2.0
57,航空,2.0
58,饲料,3.0
59,医药商业,7.0
60,证券,9.0
61,种植业,4.0
62,啤酒,4.0
63,公路,3.0
64,超市连锁,3.0
65,水力发电,11.0
66,出版业,7.0
67,矿物制品,3.0
68,旅游服务,4.0
69,渔业,4.0
70,白酒,5.0
71,新型电力,3.0
72,煤炭开采,4.0
73,塑料,18.0
74,,1.0
75,服饰,15.0
76,工程机械,8.0
77,纺织机械,7.0
78,电器仪表,7.0
79,家居用品,16.0
80,电信运营,3.0
81,日用化工,3.0
82,普钢,6.0
83,仓储物流,16.0
84,钢加工,11.0
85,电脑设备,4.0
86,轻工机械,1.0
87,半导体,6.0
88,化工机械,2.0
89,石油加工,2.0
90,橡胶,1.0
91,特种钢,3.0
92,医疗保健,6.0
93,染料涂料,3.0
94,农用机械,4.0
95,公共交通,9.0
96,乳制品,5.0
97,银行,5.0
98,红黄药酒,5.0
99,摩托车,3.0
100,铜,2.0
101,黄金,1.0
102,水泥,5.0
103,焦炭加工,3.0
104,石油开采,1.0
105,商品城,1.0
106,陶瓷,2.0
