,ts_code,name,industry,average_turnover_rate,continuously_up,average_p_change,accumulate_p_change,pre_accumulate_p_change,circ_mv
2574,600556.SH,ST慧球,软件服务,0.189,13.0,3.926,64.535,4.559,223453.2387
1053,002592.SZ,八菱科技,汽车配件,2.994,12.0,4.64,70.833,13.661,446539.8165
141,000550.SZ,江铃汽车,汽车整车,0.544,9.0,1.638,15.573,-5.2,611744.0488
876,002414.SZ,高德红外,电器仪表,2.288,9.0,2.324,22.733,-7.131,966480.8563
2177,600073.SH,上海梅林,食品,1.124,9.0,1.571,14.959,-7.934,662974.7367
37,000045.SZ,深纺织A,纺织,2.735,9.0,2.246,21.528,-11.111,319911.6193
15,000019.SZ,深深宝A,软饮料,3.238,6.0,0.995,5.952,0.8,333179.6634
1241,002787.SZ,华源控股,广告包装,3.086,6.0,1.057,6.443,0.0,81142.6092
3435,603717.SH,天域生态,环境保护,4.69,6.0,1.43,8.38,2.169,118417.0568
3251,603268.SH,松发股份,陶瓷,1.281,6.0,1.751,10.816,0.381,217543.7376
3488,603848.SH,好太太,家居用品,2.658,6.0,1.145,6.89,1.313,111421.535
3141,603028.SH,赛福天,钢加工,1.54,5.0,1.327,6.766,0.408,91183.6751
554,002091.SZ,江苏国泰,商贸代理,1.252,5.0,1.205,6.015,-1.481,548338.1069
1037,002576.SZ,通达动力,电气设备,3.755,5.0,2.969,15.657,-0.901,165563.0062
2774,600775.SH,南京熊猫,通信设备,4.514,5.0,4.88,25.872,-2.852,460881.2309
2783,600784.SH,鲁银投资,普钢,0.78,5.0,1.371,6.968,1.919,322725.0165
2914,600977.SH,中国电影,影视音像,1.94,5.0,1.764,9.064,-5.787,822640.0
2936,601002.SH,晋亿实业,机械基件,3.257,5.0,2.15,11.073,3.71,516833.88
1104,002643.SZ,万润股份,化工原料,0.724,5.0,1.341,6.785,3.68,912648.0284
758,002296.SZ,辉煌科技,通信设备,2.384,5.0,1.169,5.797,2.985,188525.6215
2380,600305.SH,恒顺醋业,食品,1.654,5.0,1.312,6.66,3.171,815685.3354
1151,002690.SZ,美亚光电,专用机械,1.102,5.0,1.321,6.723,-3.23,743187.6306
556,002093.SZ,国脉科技,电信运营,1.933,5.0,1.843,9.187,-0.3,706033.9855
1077,002616.SZ,长青集团,环境保护,1.133,5.0,2.91,15.097,2.45,353743.4239
2520,600491.SH,龙元建设,建筑施工,0.77,5.0,1.578,8.104,2.391,745761.2
3414,603680.SH,今创集团,运输设备,3.36,5.0,1.513,7.617,1.346,90552.0
3294,603357.SH,设计总院,建筑施工,3.215,5.0,1.668,8.549,-3.269,346542.6095
80,000408.SZ,藏格控股,农药化肥,0.923,4.0,1.236,5.018,-0.351,532832.9316
1123,002662.SZ,京威股份,汽车配件,2.223,4.0,2.481,9.896,-3.275,615685.8042
2320,600234.SH,ST山水,文教休闲,0.276,4.0,1.701,6.892,4.201,166410.5134
1095,002634.SZ,棒杰股份,服饰,2.339,4.0,2.933,12.168,-3.419,136984.1387
44,000058.SZ,深赛格,元器件,4.419,4.0,1.954,7.88,-3.964,309355.8685
2618,600603.SH,广汇物流,仓储物流,1.278,4.0,1.516,6.178,-5.411,233883.9277
3493,603860.SH,中公高科,公路,2.941,4.0,1.49,5.724,-2.389,61634.82
3102,601965.SH,中国汽研,汽车服务,0.362,4.0,1.318,5.331,1.462,702622.4828
3544,603966.SH,法兰泰克,机械基件,3.957,4.0,1.954,7.85,2.762,93268.0713
706,002243.SZ,通产丽星,塑料,0.183,4.0,9.987,46.341,-11.59,350350.9978
2608,600593.SH,大连圣亚,旅游服务,1.315,3.0,4.091,12.778,2.798,437662.4
2521,600493.SH,凤竹纺织,纺织,2.833,3.0,2.89,8.772,-1.893,168640.0
2475,600421.SH,ST仰帆,机械基件,0.759,3.0,2.297,6.986,1.813,152763.6
2414,600345.SH,长江通信,通信设备,3.516,3.0,1.692,5.082,-0.903,434016.0
2392,600318.SH,新力金融,多元金融,2.229,3.0,3.385,10.167,-6.995,382844.0
2494,600458.SH,时代新材,塑料,0.72,3.0,2.079,6.347,-3.406,498712.2574
2636,600622.SH,光大嘉宝,区域地产,0.98,3.0,2.535,7.679,-2.658,548448.4318
2665,600657.SH,信达地产,全国地产,0.619,3.0,2.403,7.335,-2.153,669150.334
2538,600512.SH,腾达建设,建筑施工,3.218,3.0,2.139,6.465,-1.695,379737.6555
2328,600242.SH,中昌数据,软件服务,2.331,3.0,3.116,9.564,0.461,434965.3832
2968,601113.SH,华鼎股份,化纤,0.797,3.0,1.902,5.764,-5.808,657276.45
2671,600664.SH,哈药股份,化学制药,0.443,3.0,1.752,5.322,-6.053,942615.1086
2687,600683.SH,京投发展,区域地产,0.58,3.0,1.677,5.085,-4.619,321497.4771
3537,603938.SH,三孚股份,化工原料,3.219,3.0,1.687,5.112,-0.224,95021.7286
3485,603838.SH,四通股份,陶瓷,1.828,3.0,2.529,7.325,-9.317,281347.4
3484,603833.SH,欧派家居,家居用品,0.95,3.0,3.757,11.675,-4.964,821144.0948
3466,603801.SH,志邦家居,家居用品,1.376,3.0,1.796,5.482,-4.724,217800.5133
3412,603678.SH,火炬电子,元器件,0.886,3.0,2.111,6.389,-3.779,819247.3493
3336,603516.SH,淳中科技,通信设备,3.49,3.0,1.646,5.012,-6.746,72718.605
3315,603398.SH,邦宝益智,文教休闲,3.708,3.0,4.897,15.203,-7.511,258276.44
3311,603388.SH,元成股份,建筑施工,4.238,3.0,2.787,8.403,-0.551,99852.809
3300,603366.SH,日出东方,家用电器,3.539,3.0,4.716,14.558,-11.789,384000.0
3279,603326.SH,我乐家居,家居用品,3.022,3.0,1.824,5.545,-0.276,73506.4288
3253,603277.SH,银都股份,专用机械,2.008,3.0,3.195,9.795,-4.128,159523.92
3252,603269.SH,海鸥股份,机械基件,2.127,3.0,1.855,5.663,-5.174,56830.3965
3155,603043.SH,广州酒家,食品,1.193,3.0,1.762,5.272,-2.454,330837.0425
3154,603042.SH,华脉科技,通信设备,3.985,3.0,1.992,5.944,-1.379,153058.2866
3105,601969.SH,海南矿业,普钢,0.35,3.0,3.261,10.088,-5.979,981269.5976
3065,601789.SH,宁波建工,建筑施工,1.145,3.0,1.809,5.455,-4.348,339675.84
2996,601218.SH,吉鑫科技,机械基件,1.107,3.0,1.878,5.714,-3.922,256865.84
2974,601128.SH,常熟银行,银行,1.528,3.0,1.715,5.231,-3.704,682119.1683
2256,600162.SH,香江控股,全国地产,0.42,3.0,1.655,5.046,-1.802,681000.557
2837,600846.SH,同济科技,综合类,2.783,3.0,1.698,5.092,-2.348,464197.8064
2711,600708.SH,光明地产,全国地产,0.421,3.0,1.668,5.08,-3.856,874534.164
2276,600185.SH,格力地产,区域地产,0.398,3.0,1.655,5.04,-2.584,815807.6285
1305,002857.SZ,三晖电气,电器仪表,3.366,3.0,2.073,6.337,-3.679,60610.8673
2220,600119.SH,长江投资,仓储物流,2.669,3.0,2.384,7.317,-5.231,256986.4
639,002176.SZ,江特电机,电气设备,4.65,3.0,3.392,10.194,-4.923,999917.4136
845,002383.SZ,合众思壮,通信设备,1.352,3.0,1.791,5.452,-7.94,630008.1867
784,002322.SZ,理工环科,环境保护,0.727,3.0,1.79,5.456,-2.854,362636.755
776,002314.SZ,南山控股,区域地产,1.278,3.0,4.268,13.115,-6.154,392633.3658
113,000517.SZ,荣安地产,区域地产,0.466,3.0,1.94,5.932,-2.881,758936.204
2181,600077.SH,宋都股份,全国地产,1.082,3.0,1.949,5.882,-6.849,385955.2299
757,002295.SZ,精艺股份,铜,0.723,3.0,1.772,5.394,-7.069,190684.785
711,002248.SZ,华东数控,机床制造,0.54,3.0,1.838,5.608,-2.838,268145.0025
679,002216.SZ,三全食品,食品,0.787,3.0,2.745,8.442,-1.598,382204.4832
676,002213.SZ,特尔佳,汽车配件,4.829,3.0,6.006,18.966,-3.548,203802.056
127,000533.SZ,万家乐,电气设备,1.94,3.0,1.705,5.195,-7.229,221908.3776
288,000755.SZ,山西路桥,公路,0.555,3.0,3.82,11.605,-4.93,212107.6087
479,002016.SZ,世荣兆业,区域地产,1.366,3.0,2.23,6.828,-5.12,666240.263
472,002009.SZ,天奇股份,工程机械,1.646,3.0,3.728,11.301,-4.035,250784.3694
147,000557.SZ,西部创业,铁路,1.673,3.0,1.899,5.785,-4.974,224734.1622
403,000925.SZ,众合科技,专用机械,4.733,3.0,3.861,11.969,-3.358,265344.6889
400,000921.SZ,海信家电,家用电器,0.733,3.0,1.909,5.809,-3.6,690056.8247
399,000920.SZ,南方汇通,环境保护,1.152,3.0,3.838,11.871,-3.472,262417.3372
352,000851.SZ,高鸿股份,软件服务,3.765,3.0,1.974,5.74,-2.581,401339.7448
170,000590.SZ,启迪古汉,中成药,0.687,3.0,2.035,6.209,-3.197,179481.9265
289,000756.SZ,新华制药,化学制药,0.494,3.0,1.725,5.254,-10.198,248086.4422
862,002400.SZ,省广集团,广告包装,3.392,3.0,2.193,6.485,-4.56,517015.7204
885,002423.SZ,中原特钢,特种钢,0.726,3.0,1.774,5.234,-4.162,475322.3153
923,002461.SZ,珠江啤酒,啤酒,1.169,3.0,3.335,9.956,-3.004,676080.7974
1164,002703.SZ,浙江世宝,汽车配件,3.99,3.0,3.563,10.731,2.817,268236.9867
