,ts_code,name,industry,average_turnover_rate,continuous_fall,average_p_change,accumulate_p_change,last_p_change,circ_mv
164,000582.SZ,北部湾港,港口,3.245,7.0,-2.563,-16.827,0.258,204750.3009
2329,600243.SH,青海华鼎,机床制造,2.771,4.0,-1.931,-7.822,-0.917,102319.2
1126,002665.SZ,首航节能,电气设备,1.773,8.0,-0.939,-7.375,-1.592,697244.1204
334,000820.SZ,神雾节能,环境保护,2.605,7.0,-1.035,-7.193,-2.736,184100.4288
2663,600654.SH,ST中安,软件服务,1.287,3.0,-1.606,-4.783,-0.913,163844.3644
449,000985.SZ,大庆华科,化工原料,1.401,3.0,-1.576,-4.661,0.216,180717.463
2526,600499.SH,科达洁能,专用机械,0.632,7.0,-0.669,-4.646,-4.025,639393.3379
3539,603955.SH,大千生态,环境保护,0.927,4.0,-1.148,-4.543,-0.456,108905.9653
2826,600833.SH,第一医药,医药商业,0.303,8.0,-0.571,-4.526,-0.694,191631.1721
3520,603903.SH,中持股份,环境保护,4.348,1.0,-4.306,-4.306,6.916,166565.8687
677,002214.SZ,大立科技,电器仪表,1.36,4.0,-1.076,-4.259,0.178,201171.9488
2413,600343.SH,航天动力,航空,0.887,6.0,-0.663,-3.967,-3.767,505459.4276
1117,002656.SZ,摩登大道,服饰,1.866,3.0,-1.33,-3.952,2.775,506617.2564
3374,603603.SH,博天环境,环境保护,2.157,2.0,-1.9,-3.816,10.02,384181.9045
2458,600396.SH,金山股份,火力发电,0.206,7.0,-0.549,-3.81,-1.485,231764.3884
2855,600866.SH,星湖科技,食品,0.542,5.0,-0.563,-2.857,2.647,225242.3193
529,002066.SZ,瑞泰科技,其他建材,1.824,3.0,-0.863,-2.589,-2.025,178794.0
331,000816.SZ,*ST慧业,农用机械,1.334,3.0,-0.817,-2.5,-1.282,205786.7307
52,000068.SZ,华控赛格,元器件,1.894,1.0,-2.493,-2.493,9.943,389581.8566
919,002457.SZ,青龙管业,塑料,4.457,3.0,-0.811,-2.453,-3.429,282612.3507
3436,603718.SH,海利生物,生物制药,0.568,3.0,-0.798,-2.404,4.478,901600.0
767,002305.SZ,南国置业,区域地产,3.671,3.0,-0.773,-2.357,1.379,477250.8856
2253,600159.SH,大龙地产,区域地产,0.274,6.0,-0.376,-2.256,-1.923,211650.8242
923,002461.SZ,珠江啤酒,啤酒,1.68,1.0,-2.165,-2.165,-1.811,663837.8856
675,002212.SZ,南洋股份,电气设备,0.473,3.0,-0.698,-2.089,0.0,722762.2755
376,000890.SZ,法尔胜,钢加工,0.895,2.0,-1.015,-2.041,2.5,186774.9352
692,002229.SZ,鸿博股份,广告包装,3.622,2.0,-0.896,-1.816,0.853,291896.6634
2297,600209.SH,*ST罗顿,综合类,0.937,2.0,-0.908,-1.809,1.053,168580.2889
628,002165.SZ,红宝丽,化工原料,0.519,3.0,-0.586,-1.763,-3.333,198817.6783
2386,600311.SH,荣华实业,黄金,5.965,3.0,-0.585,-1.746,-2.031,256921.6
179,000600.SZ,建投能源,火力发电,0.724,2.0,-0.854,-1.708,-0.579,561372.7249
3435,603717.SH,天域生态,环境保护,3.888,1.0,-1.623,-1.623,-0.928,117318.3418
2633,600619.SH,海立股份,机械基件,0.604,2.0,-0.789,-1.586,1.208,585051.7522
1083,002622.SZ,融钰集团,电气设备,11.863,1.0,-1.579,-1.579,-2.941,304904.3729
3455,603777.SH,来伊份,食品,1.992,3.0,-0.516,-1.543,-1.014,118813.2992
975,002513.SZ,蓝丰生化,农药化肥,0.852,1.0,-1.517,-1.517,2.661,186484.9269
580,002117.SZ,东港股份,广告包装,0.579,3.0,-0.498,-1.491,0.619,532035.6992
3534,603933.SH,睿能科技,纺织机械,7.227,3.0,-0.478,-1.429,10.018,89988.752
825,002363.SZ,隆基机械,汽车配件,1.888,2.0,-0.634,-1.27,-4.596,215778.5276
3320,603444.SH,吉比特,互联网,2.837,2.0,-0.604,-1.22,0.131,631881.329
618,002155.SZ,湖南黄金,黄金,2.086,3.0,-0.401,-1.216,-1.505,865387.9116
190,000613.SZ,大东海A,旅游服务,3.294,2.0,-0.566,-1.128,-0.127,209328.7328
3156,603045.SH,福达合金,电气设备,7.123,1.0,-1.114,-1.114,0.956,72707.64
2686,600682.SH,南京新百,百货,1.076,2.0,-0.554,-1.105,-1.423,943887.6912
