,ts_code,name,industry,biggest_jump,last_daily_change,circ_mv
610,002147.SZ,ST新光,区域地产,-0.664,0.05,194389.2969
2462,600399.SH,*ST抚钢,特种钢,-0.545,0.16,268850.2264
1141,002680.SZ,*ST长生,生物制药,-0.495,0.19,159020.5438
2232,600131.SH,岷江水电,水力发电,-0.442,0.04,272723.8248
3473,603811.SH,诚意药业,化学制药,-0.438,0.14,133154.658
2185,600080.SH,金花股份,中成药,-0.436,0.06,242099.6265
921,002459.SZ,天业通联,工程机械,-0.414,0.12,362991.8878
2322,600235.SH,民丰特纸,造纸,-0.414,0.13,215698.2
2620,600604.SH,市北高新,园区开发,-0.401,0.16,907245.6014
1168,002708.SZ,光洋股份,汽车配件,-0.387,0.07,190507.3399
2229,600128.SH,弘业股份,商贸代理,-0.366,0.17,207037.9325
1126,002665.SZ,首航节能,电气设备,-0.345,0.02,694987.6669
187,000610.SZ,西安旅游,旅游服务,-0.338,0.19,160429.277
196,000622.SZ,恒立实业,汽车配件,-0.334,0.27,296807.748
2820,600825.SH,新华传媒,出版业,-0.334,0.1,491097.2895
3313,603389.SH,亚振家居,家居用品,-0.331,0.14,62708.16
750,002288.SZ,超华科技,元器件,-0.33,0.09,335321.4606
2369,600290.SH,华仪电气,电气设备,-0.318,0.14,225506.2056
2187,600082.SH,海泰发展,园区开发,-0.317,0.07,282064.2299
656,002193.SZ,如意集团,纺织,-0.317,0.24,225577.311
3329,603499.SH,翔港科技,广告包装,-0.312,0.83,51200.0
724,002262.SZ,恩华药业,化学制药,-0.311,0.2,849032.1821
3146,603032.SH,德新交运,公路,-0.31,0.27,200802.888
1036,002575.SZ,群兴玩具,文教休闲,-0.31,0.05,366183.84
517,002054.SZ,德美化工,化工原料,-0.3,0.18,187628.2448
1010,002549.SZ,凯美特气,环境保护,-0.293,0.11,340508.9738
2363,600283.SH,钱江水利,水务,-0.289,0.27,390766.3041
2639,600624.SH,复旦复华,综合类,-0.289,0.28,396448.2538
2692,600687.SH,刚泰控股,黄金,-0.288,0.07,503677.9133
521,002058.SZ,威尔泰,电器仪表,-0.285,0.53,166113.1685
2499,600462.SH,九有股份,元器件,-0.283,0.12,186289.22
2694,600689.SH,上海三毛,纺织,-0.281,0.3,151899.7347
210,000638.SZ,万方发展,批发业,-0.28,0.22,172026.4
2327,600240.SH,华业资本,全国地产,-0.275,0.07,390245.4864
1068,002607.SZ,亚夏汽车,汽车服务,-0.274,0.1,505773.5502
1129,002668.SZ,奥马电器,家用电器,-0.272,0.04,332385.0843
127,000533.SZ,万家乐,电气设备,-0.271,0.06,220538.5728
1170,002711.SZ,欧浦智网,仓储物流,-0.269,0.17,438969.7968
2981,601162.SH,天风证券,证券,-0.266,0.1,309764.0
244,000691.SZ,亚太实业,区域地产,-0.265,0.17,121132.7871
1211,002755.SZ,东方新星,建筑施工,-0.261,0.37,234125.802
2700,600695.SH,绿庭投资,多元金融,-0.26,0.41,185798.8461
3348,603555.SH,贵人鸟,服饰,-0.259,0.13,399790.9629
640,002177.SZ,御银股份,电脑设备,-0.257,0.11,216558.5097
2557,600532.SH,宏达矿业,普钢,-0.256,0.01,236874.1655
1286,002836.SZ,新宏泽,广告包装,-0.254,0.2,69050.8
8,000010.SZ,美丽生态,建筑施工,-0.254,0.14,184326.4858
2159,600053.SH,九鼎投资,多元金融,-0.253,1.37,859277.8656
126,000532.SZ,华金资本,元器件,-0.252,0.48,363405.4859
2500,600463.SH,空港股份,园区开发,-0.252,0.27,178416.0
799,002337.SZ,赛象科技,化工机械,-0.251,0.21,227986.0603
129,000536.SZ,华映科技,元器件,-0.251,0.05,376628.5898
1382,002940.SZ,昂利康,化学制药,-0.25,1.46,88807.5
220,000662.SZ,天夏智慧,软件服务,-0.25,0.09,228676.4496
818,002356.SZ,赫美集团,其他商业,-0.249,0.33,394756.7884
2562,600538.SH,国发股份,医药商业,-0.248,0.03,194119.6953
2919,600981.SH,汇鸿集团,商贸代理,-0.247,0.1,285032.3506
2794,600796.SH,钱江生化,农药化肥,-0.247,0.08,164565.5706
1030,002569.SZ,步森股份,服饰,-0.242,0.05,141024.449
1322,002875.SZ,安奈儿,服饰,-0.242,0.14,57459.467
230,000673.SZ,当代东方,影视音像,-0.241,0.01,397597.2338
2224,600122.SH,宏图高科,其他商业,-0.239,0.07,474800.6435
1381,002939.SZ,长城证券,证券,-0.238,0.22,315616.3251
763,002301.SZ,齐心集团,文教休闲,-0.238,0.19,527734.4322
1032,002571.SZ,德力股份,玻璃,-0.238,0.08,120268.86
2924,600986.SH,科达股份,互联网,-0.237,0.05,565972.3111
2299,600210.SH,紫江企业,广告包装,-0.236,0.12,561192.3785
1045,002584.SZ,西陇科学,化工原料,-0.234,0.21,227098.8864
2243,600146.SH,商赢环球,服饰,-0.228,0.16,151400.0
2335,600250.SH,南纺股份,商贸代理,-0.228,0.16,180826.0295
566,002103.SZ,广博股份,文教休闲,-0.227,0.1,174432.2835
269,000722.SZ,湖南发展,水力发电,-0.227,0.15,283600.7103
3072,601811.SH,新华文轩,出版业,-0.227,0.09,192524.2606
673,002210.SZ,飞马国际,仓储物流,-0.225,0.06,663425.8128
1116,002655.SZ,共达电声,元器件,-0.224,0.1,245880.0
672,002209.SZ,达意隆,轻工机械,-0.224,0.14,106546.6107
69,000159.SZ,国际实业,石油贸易,-0.224,0.02,208814.4536
2170,600064.SH,南京高科,园区开发,-0.223,0.16,931911.4936
313,000793.SZ,华闻传媒,出版业,-0.222,0.04,612603.491
2781,600781.SH,辅仁药业,中成药,-0.222,0.1,234600.1733
1080,002619.SZ,艾格拉斯,互联网,-0.219,0.05,513994.1067
808,002346.SZ,柘中股份,电气设备,-0.218,1.19,478978.1743
2854,600864.SH,哈投股份,证券,-0.217,0.04,713399.4436
2738,600735.SH,新华锦,商贸代理,-0.217,0.14,209051.7166
353,000852.SZ,石化机械,化工机械,-0.216,0.16,489891.1481
206,000633.SZ,合金投资,综合类,-0.216,0.34,175223.3997
2316,600229.SH,城市传媒,出版业,-0.216,0.03,490063.015
879,002417.SZ,深南股份,通信设备,-0.215,0.17,164811.3211
535,002072.SZ,凯瑞德,互联网,-0.214,0.01,121106.1374
3450,603758.SH,秦安股份,汽车配件,-0.213,0.03,80900.3213
1354,002909.SZ,集泰股份,化工原料,-0.213,0.13,90317.3893
214,000652.SZ,泰达股份,批发业,-0.213,0.1,474668.4702
2423,600355.SH,精伦电子,元器件,-0.212,0.08,169770.774
647,002184.SZ,海得控制,软件服务,-0.212,0.21,134100.956
2221,600119.SH,长江投资,仓储物流,-0.211,0.35,258216.0
2283,600191.SH,华资实业,食品,-0.211,0.02,210460.488
117,000521.SZ,长虹美菱,家用电器,-0.209,0.01,252800.2553
1179,002721.SZ,金一文化,服饰,-0.208,0.08,301063.397
2234,600133.SH,东湖高新,园区开发,-0.207,0.2,346776.7964
167,000586.SZ,汇源通信,通信设备,-0.207,0.19,148368.48
475,002012.SZ,凯恩股份,造纸,-0.207,0.09,200799.3554
1335,002888.SZ,惠威科技,元器件,-0.206,0.02,67808.6184
2739,600736.SH,苏州高新,园区开发,-0.206,0.09,630908.513
1313,002865.SZ,钧达股份,汽车配件,-0.205,0.15,76390.5
121,000526.SZ,紫光学大,文教休闲,-0.205,0.63,187003.288
606,002143.SZ,印纪传媒,影视音像,-0.204,0.05,315616.1407
701,002238.SZ,天威视讯,影视音像,-0.204,0.05,412391.9376
2457,600393.SH,粤泰股份,全国地产,-0.204,0.05,227287.277
3385,603617.SH,君禾股份,专用机械,-0.203,0.09,52260.329
1216,002760.SZ,凤形股份,机械基件,-0.203,0.14,109835.2184
3253,603269.SH,海鸥股份,机械基件,-0.202,0.37,54601.7535
2819,600824.SH,益民集团,百货,-0.201,0.04,373125.5838
