,ts_code,name,industry,average_turnover_rate,average_p_change,accumulate_p_change,circ_mv
1385,002943.SZ,宇晶股份,机床制造,42.61,1.486,2.974,103000.0
3462,603790.SH,雅运股份,染料涂料,33.626,4.618,9.317,87216.0
1374,002931.SZ,锋龙股份,汽车配件,29.716,0.311,0.564,79214.3
3535,603933.SH,睿能科技,纺织机械,24.551,6.726,13.796,93079.42
1329,002882.SZ,金龙羽,电气设备,23.028,5.771,11.692,90387.0
100,000498.SZ,山东路桥,建筑施工,19.886,4.531,9.259,260013.0
3216,603177.SH,德创环保,环境保护,19.694,7.713,15.967,69962.75
1141,002680.SZ,*ST长生,生物制药,19.513,5.054,10.364,159020.5438
3226,603192.SH,汇得科技,化工原料,18.482,3.36,6.82,86880.0011
3397,603650.SH,彤程新材,化工原料,17.362,4.553,9.175,131535.6
1308,002860.SZ,星帅尔,电气设备,16.99,5.102,10.224,90755.503
3531,603922.SH,金鸿顺,汽车配件,16.689,2.63,5.181,66912.0
1310,002862.SZ,实丰文化,文教休闲,16.276,2.737,5.019,68458.52
1379,002937.SZ,兴瑞科技,元器件,16.212,1.892,3.777,103638.0
3157,603045.SH,福达合金,电气设备,16.136,5.481,11.058,79983.32
1008,002547.SZ,春兴精工,通信设备,15.933,4.788,9.785,366932.0723
676,002213.SZ,特尔佳,汽车配件,15.813,3.839,7.44,218964.1413
3415,603680.SH,今创集团,运输设备,15.728,5.037,10.325,99901.2
3400,603657.SH,春光科技,塑料,15.605,2.409,4.843,75336.0
3369,603596.SH,伯特利,汽车配件,14.439,1.526,2.802,92956.5
3306,603378.SH,亚士创能,染料涂料,14.272,1.661,3.336,104711.64
913,002451.SZ,摩恩电气,电气设备,13.92,6.822,14.01,467616.8631
1372,002929.SZ,润建通信,通信设备,13.787,1.799,3.482,175493.388
2957,601068.SH,中铝国际,建筑施工,13.512,0.337,0.509,175176.7469
3181,603098.SH,森特股份,装修装饰,13.38,3.499,6.998,103216.512
1296,002847.SZ,盐津铺子,食品,13.127,2.799,5.669,86059.5317
3434,603713.SH,密尔克卫,仓储物流,12.903,1.773,3.576,119239.36
1330,002883.SZ,中设股份,建筑施工,12.865,3.298,6.651,70627.2574
1336,002889.SZ,东方嘉盛,仓储物流,11.859,2.792,5.645,97469.054
1067,002606.SZ,大连电瓷,电气设备,11.739,3.547,7.106,249590.0742
3013,601330.SH,绿色动力,环境保护,11.472,2.362,4.712,162680.0
3549,603976.SH,正川股份,医疗保健,11.412,0.138,0.224,68518.5891
159,000571.SZ,新大洲A,综合类,11.302,2.2,3.836,327425.429
1373,002930.SZ,宏川智慧,仓储物流,11.19,1.925,3.859,171905.58
1334,002887.SZ,绿茵生态,环境保护,11.184,5.1,10.435,98819.7568
3431,603709.SH,中源家居,家居用品,11.135,0.617,1.237,49100.0
561,002098.SZ,浔兴股份,服饰,10.372,1.566,2.445,272797.184
5,000007.SZ,全新好,酒店餐饮,10.318,0.449,0.586,265386.3698
3221,603183.SH,建研院,建筑施工,10.193,1.549,3.015,148614.2078
1382,002940.SZ,昂利康,化学制药,9.985,1.076,2.122,88807.5
3282,603329.SH,上海雅仕,仓储物流,9.353,2.988,6.059,68739.0
486,002023.SZ,海特高新,航空,9.3,0.149,0.284,699496.6285
3521,603903.SH,中持股份,环境保护,9.279,4.521,9.19,170108.2532
1089,002628.SZ,成都路桥,建筑施工,9.135,0.103,0.19,382260.0724
790,002328.SZ,新朋股份,汽车配件,8.983,2.054,3.84,210991.9833
1233,002778.SZ,高科石化,石油加工,8.895,1.088,2.007,127014.2625
3472,603810.SH,丰山集团,农药化肥,8.837,0.281,0.552,80120.0
3500,603876.SH,鼎胜新材,铝,8.721,2.231,4.355,118365.0
3292,603348.SH,文灿股份,汽车配件,8.459,0.759,1.302,124135.0
1229,002774.SZ,快意电梯,运输设备,8.392,3.611,6.944,77323.4616
