,ts_code,name,industry,biggest_jump,last_daily_p_change,circ_mv
444,000979.SZ,中弘退,,-0.755,-0.04,201334.1088
610,002147.SZ,ST新光,区域地产,-0.607,0.064,204055.063
2462,600399.SH,*ST抚钢,特种钢,-0.545,0.072,268850.2264
1256,002803.SZ,吉宏股份,广告包装,-0.538,-0.029,132659.7414
785,002323.SZ,*ST百特,建筑施工,-0.517,0.0,41608.0399
446,000981.SZ,银亿股份,汽车配件,-0.516,0.082,955071.0876
1141,002680.SZ,*ST长生,生物制药,-0.495,0.051,159020.5438
1217,002761.SZ,多喜爱,纺织,-0.456,-0.019,373227.654
3473,603811.SH,诚意药业,化学制药,-0.445,-0.005,131629.68
2232,600131.SH,岷江水电,水力发电,-0.437,0.007,274762.1195
2185,600080.SH,金花股份,中成药,-0.428,0.026,245457.8811
3441,603726.SH,朗迪集团,机械基件,-0.422,0.001,63287.168
921,002459.SZ,天业通联,工程机械,-0.411,0.014,364926.8126
2620,600604.SH,市北高新,园区开发,-0.4,0.018,909913.9709
2322,600235.SH,民丰特纸,造纸,-0.397,0.024,221670.3
1168,002708.SZ,光洋股份,汽车配件,-0.377,0.033,193630.4111
2229,600128.SH,弘业股份,商贸代理,-0.353,0.029,211232.98
196,000622.SZ,恒立实业,汽车配件,-0.336,0.0,295957.296
750,002288.SZ,超华科技,元器件,-0.326,0.007,336922.0403
656,002193.SZ,如意集团,纺织,-0.324,-0.004,223273.1505
2820,600825.SH,新华传媒,出版业,-0.324,0.021,498411.5045
724,002262.SZ,恩华药业,化学制药,-0.321,-0.015,836650.4628
3329,603499.SH,翔港科技,广告包装,-0.313,0.0,51150.0
1036,002575.SZ,群兴玩具,文教休闲,-0.312,0.011,365595.12
2187,600082.SH,海泰发展,园区开发,-0.294,0.036,291572.0129
3313,603389.SH,亚振家居,家居用品,-0.294,0.039,66108.0
1010,002549.SZ,凯美特气,环境保护,-0.292,0.013,341129.2088
2363,600283.SH,钱江水利,水务,-0.291,0.008,389707.3168
947,002485.SZ,希努尔,服饰,-0.288,0.003,495580.5154
2499,600462.SH,九有股份,元器件,-0.283,-0.006,186289.22
2639,600624.SH,复旦复华,综合类,-0.281,0.023,400556.5259
223,000666.SZ,经纬纺机,纺织机械,-0.28,0.012,344003.9938
974,002512.SZ,达华智能,元器件,-0.278,0.108,455882.5245
155,000566.SZ,海南海药,化学制药,-0.278,-0.007,595725.5662
2981,601162.SH,天风证券,证券,-0.277,-0.013,305102.0
