,ts_code,name,industry,continuously_up,average_p_change,accumulate_p_change,pre_accumulate_p_change,last_ma20_gap,circ_mv
3058,601700.SH,风范股份,电气设备,7.0,10.047,95.455,-4.027,2.15,633476.688
2628,600614.SH,鹏起科技,综合类,5.0,10.083,61.657,-4.118,1.56,796553.9958
53,000070.SZ,特发信息,通信设备,4.0,10.013,46.479,-0.699,2.87,624318.8942
959,002498.SZ,汉缆股份,电气设备,4.0,5.957,25.628,-2.451,0.39,831471.4405
3132,603016.SH,新宏泰,电气设备,4.0,9.999,46.407,-0.298,6.61,172274.7
2972,601126.SH,四方股份,电气设备,4.0,5.554,23.969,-0.973,1.03,513111.532
2911,600973.SH,宝胜股份,电气设备,4.0,5.513,23.481,-2.162,0.68,400083.4463
2851,600862.SH,中航高科,航空,4.0,6.219,26.964,-4.762,1.18,990457.9151
2844,600855.SH,航天长峰,专用机械,4.0,8.022,35.88,-5.047,2.4,405111.7495
2736,600734.SH,实达集团,电脑设备,4.0,5.951,25.637,-0.159,1.29,279845.7068
2681,600677.SH,航天通信,通信设备,4.0,10.01,46.463,3.272,4.13,577585.7553
2624,600610.SH,*ST毅达,建筑施工,4.0,5.117,22.093,-12.245,0.21,78870.6639
2588,600571.SH,信雅达,软件服务,4.0,5.383,22.857,-7.08,0.94,333679.9976
2454,600391.SH,航发科技,航空,4.0,5.201,22.141,-4.458,1.75,440722.7049
1989,300615.SZ,欣天科技,元器件,4.0,8.059,36.076,3.268,6.32,91525.5
1663,300281.SZ,金明精机,专用机械,4.0,5.664,24.222,-4.863,0.76,146528.0421
171,000592.SZ,平潭发展,林业,4.0,6.978,30.337,-3.61,0.6,666050.0468
375,000890.SZ,法尔胜,钢加工,4.0,8.712,39.545,-3.72,1.36,233089.0451
126,000533.SZ,万家乐,电气设备,4.0,8.114,36.364,-5.597,0.41,236291.328
383,000901.SZ,航天科技,航空,4.0,6.621,28.959,-3.913,1.86,646387.2276
351,000851.SZ,高鸿股份,软件服务,4.0,5.038,21.639,-1.449,0.93,496105.9168
761,002300.SZ,太阳电缆,电气设备,3.0,9.979,33.024,-5.106,1.42,389086.0068
2610,600595.SH,中孚实业,铝,3.0,5.047,15.707,-2.551,0.18,384880.4291
1152,002692.SZ,睿康股份,电气设备,3.0,7.222,23.155,-6.205,0.79,346245.8076
