,ts_code,name,industry,continuously_up,average_p_change,circ_mv
3058,601700.SH,风范股份,电气设备,7.0,10.047,633476.688
1989,300615.SZ,欣天科技,元器件,6.0,6.167,91525.5
375,000890.SZ,法尔胜,钢加工,5.0,7.482,233089.0451
2681,600677.SH,航天通信,通信设备,5.0,9.052,577585.7553
2736,600734.SH,实达集团,电脑设备,5.0,5.452,279845.7068
1382,002941.SZ,新疆交建,建筑施工,5.0,5.765,180115.0
2628,600614.SH,鹏起科技,综合类,5.0,10.083,796553.9958
383,000901.SZ,航天科技,航空,5.0,5.32,646387.2276
2911,600973.SH,宝胜股份,电气设备,4.0,5.513,400083.4463
2851,600862.SH,中航高科,航空,4.0,6.219,990457.9151
53,000070.SZ,特发信息,通信设备,4.0,10.013,624318.8942
1424,300040.SZ,九洲电气,电气设备,4.0,5.282,141332.0312
2624,600610.SH,*ST毅达,建筑施工,4.0,5.117,78870.6639
1647,300265.SZ,通光线缆,电气设备,4.0,7.218,357302.0152
1663,300281.SZ,金明精机,专用机械,4.0,5.664,146528.0421
1688,300306.SZ,远方信息,电器仪表,4.0,6.367,134387.0098
2972,601126.SH,四方股份,电气设备,4.0,5.554,513111.532
2844,600855.SH,航天长峰,专用机械,4.0,8.022,405111.7495
3132,603016.SH,新宏泰,电气设备,4.0,9.999,172274.7
126,000533.SZ,万家乐,电气设备,4.0,8.114,236291.328
351,000851.SZ,高鸿股份,软件服务,4.0,5.038,496105.9168
874,002413.SZ,雷科防务,通信设备,3.0,5.251,614094.7623
592,002130.SZ,沃尔核材,电气设备,3.0,6.038,360478.3323
2385,600310.SH,桂东电力,水力发电,3.0,7.829,370015.425
1597,300215.SZ,电科院,电气设备,3.0,7.77,398350.2116
2588,600571.SH,信雅达,软件服务,3.0,7.231,333679.9976
2610,600595.SH,中孚实业,铝,3.0,5.047,384880.4291
2980,601162.SH,天风证券,证券,3.0,6.229,378140.0
3044,601616.SH,广电电气,电气设备,3.0,5.667,348033.9
1449,300066.SZ,三川智慧,电器仪表,3.0,5.161,381487.1937
167,000587.SZ,金洲慈航,批发业,3.0,8.483,359051.5076
2349,600268.SH,国电南自,电气设备,3.0,10.02,351926.5244
1719,300337.SZ,银邦股份,铝,3.0,10.064,322321.8054
1152,002692.SZ,睿康股份,电气设备,3.0,7.222,346245.8076
3174,603081.SH,大丰实业,专用机械,3.0,5.377,103842.27
1833,300453.SZ,三鑫医疗,医疗保健,3.0,5.222,112368.5703
3040,601606.SH,长城军工,专用机械,3.0,6.599,213860.0
761,002300.SZ,太阳电缆,电气设备,3.0,9.979,389086.0068
2294,600203.SH,福日电子,元器件,2.0,8.304,193625.1217
2259,600165.SH,新日恒力,钢加工,2.0,6.281,343811.6551
2207,600105.SH,永鼎股份,通信设备,2.0,8.885,546079.1956
2114,300746.SZ,汉嘉设计,建筑施工,2.0,5.429,104516.2
2078,300706.SZ,阿石创,元器件,2.0,6.64,144201.7127
3424,603690.SH,至纯科技,专用机械,2.0,6.908,151998.224
3300,603360.SH,百傲化学,化工原料,2.0,6.28,102559.4063
3332,603500.SH,祥和实业,运输设备,2.0,6.35,59270.4
3268,603305.SH,旭升股份,汽车配件,2.0,6.336,205226.781
3216,603169.SH,兰石重装,专用机械,2.0,5.794,474575.7849
3195,603118.SH,共进股份,通信设备,2.0,6.203,581799.999
2819,600825.SH,新华传媒,出版业,2.0,6.769,556925.2241
2825,600831.SH,广电网络,影视音像,2.0,6.782,428776.7267
1964,300588.SZ,熙菱信息,软件服务,2.0,7.742,96201.18
2897,600936.SH,广西广电,影视音像,2.0,5.739,490353.1624
3133,603017.SH,中衡设计,建筑施工,2.0,10.043,322292.6828
2930,600996.SH,贵广网络,影视音像,2.0,6.09,210677.026
1978,300603.SZ,立昂技术,通信设备,2.0,5.296,122873.4653
1681,300299.SZ,富春股份,通信设备,2.0,9.96,345461.5973
1936,300558.SZ,贝达药业,化学制药,2.0,6.486,525907.5888
796,002335.SZ,科华恒盛,电气设备,2.0,5.636,362893.7778
1029,002569.SZ,步森股份,服饰,2.0,6.574,143959.5465
965,002504.SZ,弘高创意,装修装饰,2.0,8.741,177426.9596
912,002451.SZ,摩恩电气,电气设备,2.0,5.946,527994.8196
886,002425.SZ,凯撒文化,互联网,2.0,5.433,497912.2321
844,002383.SZ,合众思壮,通信设备,2.0,8.115,616883.0161
817,002356.SZ,赫美集团,其他商业,2.0,6.114,373146.0154
807,002346.SZ,柘中股份,电气设备,2.0,5.045,518598.8095
749,002288.SZ,超华科技,元器件,2.0,6.14,374535.6648
1888,300508.SZ,维宏股份,软件服务,2.0,7.19,63136.5983
722,002261.SZ,拓维信息,互联网,2.0,5.761,426502.8055
643,002181.SZ,粤传媒,出版业,2.0,6.945,453773.0308
574,002112.SZ,三变科技,电气设备,2.0,6.069,132337.8439
440,000976.SZ,华铁股份,运输设备,2.0,5.583,290918.2868
336,000823.SZ,超声电子,元器件,2.0,5.038,462825.4813
327,000812.SZ,陕西金叶,广告包装,2.0,5.572,262347.1027
140,000550.SZ,江铃汽车,汽车整车,2.0,8.195,748090.3919
1081,002621.SZ,三垒股份,专用机械,2.0,5.486,518063.5629
1112,002652.SZ,扬子新材,其他建材,2.0,6.346,222153.5976
1129,002669.SZ,康达新材,化工原料,2.0,5.082,250704.23
1262,002811.SZ,亚泰国际,装修装饰,2.0,5.121,89910.0
1859,300479.SZ,神思电子,软件服务,2.0,5.626,225600.0
1753,300373.SZ,扬杰科技,半导体,2.0,5.415,354881.8726
1751,300370.SZ,安控科技,电器仪表,2.0,6.699,212760.0308
1747,300366.SZ,创意信息,软件服务,2.0,6.138,266678.8063
76,000403.SZ,振兴生化,生物制药,2.0,5.029,709647.203
1660,300278.SZ,华昌达,专用机械,2.0,6.45,174775.15
1641,300259.SZ,新天科技,电器仪表,2.0,6.718,227454.8572
1630,300248.SZ,新开普,软件服务,2.0,5.011,234943.3956
1514,300131.SZ,英唐智控,元器件,2.0,9.989,394717.6199
1508,300125.SZ,易世达,电气设备,2.0,6.145,246173.6992
1470,300087.SZ,荃银高科,种植业,2.0,6.257,425905.8902
1457,300074.SZ,华平股份,通信设备,2.0,5.662,190668.2892
1395,300011.SZ,鼎汉技术,运输设备,2.0,7.003,313234.0661
1297,002849.SZ,威星智能,电器仪表,2.0,5.962,90426.8937
1286,002837.SZ,英维克,专用机械,2.0,6.443,114530.9909
3451,603738.SH,泰晶科技,元器件,2.0,5.775,79098.6066
