,ts_code,name,industry,continuously_up,average_p_change,last_p_change,circ_mv
3059,601700.SH,风范股份,电气设备,9.0,10.048,10.0813,767198.064
2330,600242.SH,中昌数据,软件服务,8.0,3.505,10.0,634830.7618
1190,002733.SZ,雄韬股份,电气设备,8.0,3.107,7.539,406102.7278
1707,300325.SZ,德威新材,塑料,7.0,4.552,9.9476,333803.0917
1382,002941.SZ,新疆交建,建筑施工,7.0,6.975,10.0066,217945.0
2629,600614.SH,鹏起科技,综合类,7.0,9.993,9.4828,959794.6628
959,002498.SZ,汉缆股份,电气设备,7.0,6.131,9.0909,997765.7286
2844,600854.SH,春兰股份,家用电器,7.0,2.437,10.0,211419.625
822,002361.SZ,神剑股份,化工原料,7.0,4.937,10.0437,310951.8322
1277,002827.SZ,高争民爆,化工原料,7.0,2.251,9.9864,102234.1835
3064,601777.SH,力帆股份,摩托车,7.0,2.307,10.101,551145.4108
173,000595.SZ,宝塔实业,机械基件,7.0,5.749,10.0304,273052.3103
3435,603709.SH,中源家居,家居用品,7.0,2.671,6.4832,58800.0
1140,002680.SZ,*ST长生,生物制药,7.0,5.0,5.0667,159020.5438
2749,600746.SH,江苏索普,化工原料,6.0,2.437,9.9834,201380.8648
2283,600190.SH,锦州港,港口,6.0,4.044,10.1307,599686.2866
2625,600610.SH,*ST毅达,建筑施工,6.0,4.963,5.0228,86382.1557
2492,600452.SH,涪陵电力,水力发电,5.0,2.994,10.0182,405888.0
1870,300490.SZ,华自科技,电气设备,5.0,3.362,8.4064,302628.2215
1733,300351.SZ,永贵电器,元器件,5.0,5.017,8.3158,246383.6581
1459,300076.SZ,GQY视讯,电脑设备,5.0,5.347,10.0213,197046.3452
116,000521.SZ,长虹美菱,家用电器,5.0,3.321,9.9042,276073.9296
2735,600732.SH,ST新梅,区域地产,5.0,4.249,5.0781,240154.097
2921,600983.SH,惠而浦,家用电器,5.0,3.188,10.0548,320745.6
3045,601616.SH,广电电气,电气设备,5.0,7.394,10.0244,421008.75
2691,600686.SH,金龙汽车,汽车整车,5.0,3.24,7.3611,469008.869
1692,300310.SZ,宜通世纪,通信设备,4.0,3.977,10.0402,344344.996
2902,600960.SH,渤海汽车,汽车配件,4.0,2.974,6.25,265930.2677
2047,300674.SZ,宇信科技,软件服务,4.0,3.42,6.9074,108987.24
3134,603017.SH,中衡设计,建筑施工,4.0,8.923,9.9921,374388.5687
3217,603169.SH,兰石重装,专用机械,4.0,6.009,10.0427,534806.4097
3333,603500.SH,祥和实业,运输设备,4.0,8.176,9.9691,71719.2
1710,300328.SZ,宜安科技,铝,4.0,7.239,10.0575,314276.3184
1454,300071.SZ,华谊嘉信,广告包装,4.0,4.414,10.1064,172639.8369
1672,300290.SZ,荣科科技,软件服务,4.0,5.117,9.9359,220025.7899
887,002426.SZ,胜利精密,元器件,4.0,6.038,9.8485,625756.9624
146,000557.SZ,西部创业,铁路,4.0,3.83,10.084,230001.3691
159,000572.SZ,海马汽车,汽车整车,4.0,3.659,9.9548,399042.5044
395,000917.SZ,电广传媒,影视音像,4.0,4.701,10.0,982631.7228
443,000980.SZ,众泰汽车,汽车配件,4.0,3.906,10.0446,614250.7435
643,002181.SZ,粤传媒,出版业,4.0,8.473,10.0,549065.3673
647,002185.SZ,华天科技,半导体,4.0,3.386,7.4879,948045.3176
831,002370.SZ,亚太药业,化学制药,4.0,2.594,8.8431,731802.1054
1591,300209.SZ,天泽信息,软件服务,4.0,3.722,9.9641,323106.6958
879,002418.SZ,康盛股份,机械基件,4.0,4.067,6.6265,355277.3297
912,002451.SZ,摩恩电气,电气设备,4.0,5.907,10.0,590871.1743
1035,002575.SZ,群兴玩具,文教休闲,4.0,4.464,7.8692,524549.52
1141,002681.SZ,奋达科技,家用电器,4.0,6.201,10.0962,506029.6274
1163,002703.SZ,浙江世宝,汽车配件,4.0,3.749,10.0228,267130.8548
1180,002723.SZ,金莱特,家用电器,4.0,3.233,9.9889,172087.15
1233,002779.SZ,中坚科技,农用机械,4.0,2.389,5.4535,234828.0
1383,002942.SZ,新农股份,农药化肥,4.0,2.279,5.4819,88320.0
140,000550.SZ,江铃汽车,汽车整车,4.0,6.411,6.6892,818596.4856
3441,603718.SH,海利生物,生物制药,4.0,3.247,9.9653,817236.0
1007,002547.SZ,春兴精工,通信设备,3.0,10.013,10.0,570340.0689
705,002243.SZ,通产丽星,塑料,3.0,7.909,10.0123,653623.5802
166,000586.SZ,汇源通信,通信设备,3.0,4.49,9.9904,221488.8
187,000611.SZ,天首发展,纺织,2.0,5.869,9.1483,220988.7641
