,ts_code,name,industry,continuously_up,average_p_change
705,002243.SZ,通产丽星,塑料,5.0,24.895
1382,002941.SZ,新疆交建,建筑施工,3.0,24.876
53,000070.SZ,特发信息,通信设备,3.0,20.972
2682,600677.SH,航天通信,通信设备,3.0,17.073
1647,300265.SZ,通光线缆,电气设备,3.0,16.289
166,000586.SZ,汇源通信,通信设备,4.0,15.505
1190,002733.SZ,雄韬股份,电气设备,4.0,13.665
2737,600734.SH,实达集团,电脑设备,3.0,13.268
2776,600776.SH,东方通信,通信设备,12.0,12.513
1007,002547.SZ,春兴精工,通信设备,6.0,11.218
479,002017.SZ,东信和平,通信设备,6.0,11.204
2083,300711.SZ,广哈通信,通信设备,3.0,9.089
912,002451.SZ,摩恩电气,电气设备,4.0,8.874
1035,002575.SZ,群兴玩具,文教休闲,4.0,8.844
2701,600696.SH,ST岩石,区域地产,3.0,8.468
965,002504.SZ,弘高创意,装修装饰,3.0,7.976
2827,600833.SH,第一医药,医药商业,3.0,7.964
2006,300632.SZ,光莆股份,半导体,3.0,7.786
586,002124.SZ,天邦股份,饲料,3.0,7.755
693,002231.SZ,奥维通信,通信设备,3.0,7.723
692,002230.SZ,科大讯飞,软件服务,3.0,7.622
3410,603663.SH,三祥新材,矿物制品,3.0,7.603
2119,300751.SZ,迈为股份,专用机械,3.0,7.599
2775,600775.SH,南京熊猫,通信设备,6.0,7.465
351,000851.SZ,高鸿股份,软件服务,3.0,7.364
1954,300578.SZ,会畅通讯,通信设备,3.0,7.239
1402,300018.SZ,中元股份,电气设备,3.0,7.232
1012,002552.SZ,*ST宝鼎,机械基件,3.0,7.215
1429,300045.SZ,华力创通,电脑设备,3.0,7.204
1882,300502.SZ,新易盛,通信设备,3.0,7.099
1066,002606.SZ,大连电瓷,电气设备,6.0,7.07
907,002446.SZ,盛路通信,通信设备,7.0,6.922
2073,300700.SZ,岱勒新材,矿物制品,3.0,6.905
3500,603861.SH,白云电器,电气设备,4.0,6.632
2625,600610.SH,*ST毅达,建筑施工,3.0,6.495
1747,300366.SZ,创意信息,软件服务,3.0,6.43
777,002316.SZ,亚联发展,软件服务,3.0,6.423
1039,002579.SZ,中京电子,元器件,3.0,6.351
140,000550.SZ,江铃汽车,汽车整车,6.0,6.327
1938,300560.SZ,中富通,通信设备,3.0,6.322
3196,603118.SH,共进股份,通信设备,3.0,6.273
1688,300306.SZ,远方信息,电器仪表,4.0,6.14
1020,002560.SZ,通达股份,电气设备,3.0,6.005
1481,300098.SZ,高新兴,通信设备,3.0,6.004
1735,300353.SZ,东土科技,通信设备,3.0,5.92
1963,300587.SZ,天铁股份,橡胶,3.0,5.905
1993,300619.SZ,金银河,专用机械,3.0,5.827
2330,600242.SH,中昌数据,软件服务,6.0,5.811
1989,300615.SZ,欣天科技,元器件,6.0,5.801
1503,300120.SZ,经纬辉开,电气设备,3.0,5.747
1836,300456.SZ,耐威科技,元器件,3.0,5.26
3424,603688.SH,石英股份,矿物制品,3.0,5.257
1004,002544.SZ,杰赛科技,软件服务,3.0,5.149
1937,300559.SZ,佳发教育,软件服务,3.0,5.114
1734,300352.SZ,北信源,软件服务,3.0,5.085
1969,300593.SZ,新雷能,电气设备,3.0,5.037
661,002199.SZ,东晶电子,元器件,3.0,5.03
924,002463.SZ,沪电股份,元器件,3.0,4.876
555,002093.SZ,国脉科技,电信运营,3.0,4.875
1827,300447.SZ,全信股份,电气设备,3.0,4.838
2090,300719.SZ,安达维尔,航空,3.0,4.79
3436,603709.SH,中源家居,家居用品,4.0,4.784
619,002157.SZ,正邦科技,饲料,3.0,4.768
3411,603665.SH,康隆达,纺织,3.0,4.725
3231,603196.SH,日播时尚,服饰,3.0,4.694
1933,300555.SZ,路通视信,通信设备,3.0,4.658
345,000836.SZ,富通鑫茂,通信设备,3.0,4.631
1027,002567.SZ,唐人神,饲料,3.0,4.609
1245,002792.SZ,通宇通讯,通信设备,3.0,4.591
3149,603033.SH,三维股份,橡胶,3.0,4.582
184,000608.SZ,阳光股份,区域地产,3.0,4.463
3284,603326.SH,我乐家居,家居用品,3.0,4.436
2024,300651.SZ,金陵体育,文教休闲,3.0,4.329
3250,603238.SH,诺邦股份,纺织,4.0,4.28
931,002470.SZ,金正大,农药化肥,3.0,4.278
2533,600506.SH,香梨股份,种植业,3.0,4.269
197,000625.SZ,长安汽车,汽车整车,4.0,4.255
1422,300038.SZ,数知科技,通信设备,3.0,4.254
3080,601869.SH,长飞光纤,通信设备,3.0,4.252
1696,300314.SZ,戴维医疗,医疗保健,3.0,4.206
1337,002891.SZ,中宠股份,饲料,3.0,4.159
2884,600895.SH,张江高科,园区开发,4.0,4.142
641,002179.SZ,中航光电,元器件,3.0,4.119
2095,300724.SZ,捷佳伟创,专用机械,4.0,4.107
1298,002850.SZ,科达利,机械基件,3.0,4.07
3381,603606.SH,东方电缆,电气设备,3.0,4.048
1773,300393.SZ,中来股份,塑料,3.0,4.01
577,002115.SZ,三维通信,通信设备,4.0,3.985
991,002531.SZ,天顺风能,电气设备,3.0,3.965
874,002413.SZ,雷科防务,通信设备,3.0,3.94
1691,300309.SZ,吉艾科技,多元金融,3.0,3.928
2931,600996.SH,贵广网络,影视音像,3.0,3.92
1771,300391.SZ,康跃科技,机械基件,3.0,3.864
2247,600150.SH,*ST船舶,船舶,3.0,3.863
3341,603516.SH,淳中科技,通信设备,4.0,3.862
3275,603313.SH,梦百合,家居用品,3.0,3.85
966,002505.SZ,大康农业,农业综合,4.0,3.831
2621,600605.SH,汇通能源,商贸代理,3.0,3.809
439,000975.SZ,银泰资源,铅锌,6.0,3.807
1970,300595.SZ,欧普康视,医疗保健,3.0,3.777
2549,600523.SH,贵航股份,汽车配件,4.0,3.754
2302,600212.SH,江泉实业,综合类,4.0,3.729
1800,300420.SZ,五洋停车,机械基件,6.0,3.727
773,002312.SZ,三泰控股,电脑设备,3.0,3.693
2060,300687.SZ,赛意信息,软件服务,3.0,3.657
589,002127.SZ,南极电商,互联网,3.0,3.651
897,002436.SZ,兴森科技,元器件,3.0,3.649
3397,603636.SH,南威软件,软件服务,4.0,3.635
1172,002714.SZ,牧原股份,农业综合,3.0,3.626
2837,600845.SH,宝信软件,软件服务,3.0,3.603
1630,300248.SZ,新开普,软件服务,3.0,3.583
1704,300322.SZ,硕贝德,通信设备,5.0,3.556
431,000966.SZ,长源电力,火力发电,6.0,3.54
1763,300383.SZ,光环新网,电信运营,3.0,3.537
1593,300211.SZ,亿通科技,通信设备,3.0,3.492
1465,300082.SZ,奥克股份,化工原料,3.0,3.481
1750,300369.SZ,绿盟科技,软件服务,3.0,3.463
448,000987.SZ,越秀金控,多元金融,3.0,3.399
2252,600156.SH,华升股份,纺织,3.0,3.334
3154,603039.SH,泛微网络,软件服务,3.0,3.329
2242,600143.SH,金发科技,塑料,3.0,3.313
1031,002571.SZ,德力股份,玻璃,4.0,3.312
124,000531.SZ,穗恒运A,火力发电,3.0,3.292
1508,300125.SZ,易世达,电气设备,3.0,3.285
2512,600481.SH,双良节能,环境保护,3.0,3.27
3241,603222.SH,济民制药,化学制药,3.0,3.229
3111,601989.SH,中国重工,船舶,3.0,3.206
617,002155.SZ,湖南黄金,黄金,3.0,3.193
1834,300454.SZ,深信服,软件服务,3.0,3.191
1345,002900.SZ,哈三联,化学制药,3.0,3.189
3438,603712.SH,七一二,通信设备,3.0,3.17
232,000678.SZ,襄阳轴承,机械基件,3.0,3.136
2853,600863.SH,内蒙华电,火力发电,3.0,3.135
3529,603909.SH,合诚股份,建筑施工,6.0,3.122
395,000917.SZ,电广传媒,影视音像,3.0,3.12
1983,300608.SZ,思特奇,软件服务,3.0,3.092
1746,300365.SZ,恒华科技,软件服务,3.0,3.077
1428,300044.SZ,赛为智能,软件服务,3.0,3.062
2140,600021.SH,上海电力,火力发电,3.0,3.043
3014,601333.SH,广深铁路,铁路,3.0,3.037
1434,300050.SZ,世纪鼎利,软件服务,3.0,3.015
3158,603043.SH,广州酒家,食品,3.0,3.015
779,002318.SZ,久立特材,特种钢,3.0,3.007
1219,002765.SZ,蓝黛传动,汽车配件,3.0,2.998
760,002299.SZ,圣农发展,农业综合,3.0,2.998
2657,600647.SH,同达创业,综合类,4.0,2.99
1941,300563.SZ,神宇股份,通信设备,3.0,2.967
2290,600198.SH,*ST大唐,通信设备,3.0,2.957
3182,603096.SH,新经典,出版业,6.0,2.949
636,002174.SZ,游族网络,互联网,3.0,2.934
3311,603380.SH,易德龙,元器件,3.0,2.89
1965,300589.SZ,江龙船艇,船舶,3.0,2.888
2064,300691.SZ,联合光电,元器件,3.0,2.858
2049,300676.SZ,华大基因,医疗保健,3.0,2.834
2357,600277.SH,亿利洁能,综合类,6.0,2.813
3328,603466.SH,风语筑,文教休闲,3.0,2.782
3304,603365.SH,水星家纺,纺织,3.0,2.721
2966,601107.SH,四川成渝,路桥,3.0,2.69
2070,300697.SZ,电工合金,铜,3.0,2.689
1935,300557.SZ,理工光科,电器仪表,3.0,2.672
2035,300662.SZ,科锐国际,综合类,3.0,2.669
685,002223.SZ,鱼跃医疗,医疗保健,3.0,2.636
2514,600483.SH,福能股份,火力发电,3.0,2.631
1878,300498.SZ,温氏股份,农业综合,3.0,2.575
2630,600615.SH,丰华股份,小金属,4.0,2.572
1502,300119.SZ,瑞普生物,生物制药,3.0,2.57
2572,600551.SH,时代出版,出版业,3.0,2.55
792,002331.SZ,皖通科技,软件服务,3.0,2.538
954,002493.SZ,荣盛石化,化纤,3.0,2.532
1999,300625.SZ,三雄极光,半导体,3.0,2.529
1309,002862.SZ,实丰文化,文教休闲,4.0,2.527
568,002106.SZ,莱宝高科,元器件,3.0,2.502
2415,600345.SH,长江通信,通信设备,11.0,2.491
1631,300249.SZ,依米康,软件服务,4.0,2.445
536,002074.SZ,国轩高科,电气设备,3.0,2.433
1646,300264.SZ,佳创视讯,通信设备,3.0,2.41
774,002313.SZ,日海智能,通信设备,10.0,2.397
2524,600496.SH,精工钢构,钢加工,3.0,2.391
39,000049.SZ,德赛电池,电气设备,3.0,2.379
676,002214.SZ,大立科技,电器仪表,3.0,2.369
2354,600273.SH,嘉化能源,化工原料,3.0,2.352
2002,300628.SZ,亿联网络,通信设备,6.0,2.339
616,002154.SZ,报喜鸟,服饰,3.0,2.326
3248,603232.SH,格尔软件,软件服务,3.0,2.322
3356,603559.SH,中通国脉,通信设备,5.0,2.313
1835,300455.SZ,康拓红外,运输设备,3.0,2.275
3043,601608.SH,中信重工,专用机械,3.0,2.269
2069,300696.SZ,爱乐达,航空,3.0,2.257
1302,002855.SZ,捷荣技术,塑料,3.0,2.245
476,002014.SZ,永新股份,塑料,7.0,2.228
2740,600737.SH,中粮糖业,食品,3.0,2.223
1934,300556.SZ,丝路视觉,软件服务,3.0,2.19
1670,300288.SZ,朗玛信息,软件服务,3.0,2.175
2276,600183.SH,生益科技,元器件,3.0,2.17
2369,600290.SH,华仪电气,电气设备,3.0,2.157
1324,002878.SZ,元隆雅图,文教休闲,3.0,2.138
2143,600025.SH,华能水电,水力发电,6.0,2.13
134,000543.SZ,皖能电力,火力发电,3.0,2.128
1233,002779.SZ,中坚科技,农用机械,3.0,2.099
3200,603127.SH,昭衍新药,医疗保健,3.0,2.069
1267,002817.SZ,黄山胶囊,化学制药,3.0,2.061
2613,600597.SH,光明乳业,乳制品,3.0,2.035
3123,603005.SH,晶方科技,半导体,3.0,2.016
2032,300659.SZ,中孚信息,软件服务,3.0,2.013
1614,300232.SZ,洲明科技,半导体,3.0,2.007
363,000876.SZ,新希望,饲料,3.0,2.001
3347,603528.SH,多伦科技,软件服务,3.0,1.993
3130,603012.SH,创力集团,专用机械,3.0,1.987
1017,002557.SZ,洽洽食品,食品,3.0,1.953
1908,300529.SZ,健帆生物,医疗保健,3.0,1.952
780,002319.SZ,乐通股份,染料涂料,3.0,1.947
1985,300610.SZ,晨化股份,化工原料,3.0,1.902
400,000922.SZ,佳电股份,电气设备,3.0,1.902
2765,600764.SH,中国海防,通信设备,3.0,1.862
1783,300403.SZ,汉宇集团,家用电器,3.0,1.825
649,002187.SZ,广百股份,百货,3.0,1.817
553,002091.SZ,江苏国泰,商贸代理,3.0,1.816
3380,603605.SH,珀莱雅,日用化工,3.0,1.812
6,000008.SZ,神州高铁,运输设备,3.0,1.796
604,002142.SZ,宁波银行,银行,3.0,1.786
724,002263.SZ,*ST东南,塑料,4.0,1.759
714,002252.SZ,上海莱士,生物制药,3.0,1.756
3099,601933.SH,永辉超市,超市连锁,4.0,1.752
252,000703.SZ,恒逸石化,化纤,3.0,1.734
1931,300553.SZ,集智股份,电器仪表,3.0,1.722
2822,600827.SH,百联股份,超市连锁,4.0,1.72
1895,300515.SZ,三德科技,电器仪表,3.0,1.706
947,002486.SZ,嘉麟杰,服饰,3.0,1.672
2054,300681.SZ,英搏尔,元器件,3.0,1.665
1178,002721.SZ,金一文化,服饰,3.0,1.663
1881,300501.SZ,海顺新材,广告包装,3.0,1.621
129,000537.SZ,广宇发展,区域地产,3.0,1.618
388,000908.SZ,景峰医药,化学制药,3.0,1.567
2301,600211.SH,西藏药业,中成药,3.0,1.565
2980,601158.SH,重庆水务,水务,3.0,1.561
1425,300041.SZ,回天新材,化工原料,3.0,1.545
465,002003.SZ,伟星股份,服饰,3.0,1.529
1918,300539.SZ,横河模具,塑料,3.0,1.513
255,000708.SZ,大冶特钢,特种钢,3.0,1.509
1842,300462.SZ,华铭智能,专用机械,3.0,1.481
2793,600795.SH,国电电力,火力发电,3.0,1.465
2324,600236.SH,桂冠电力,水力发电,6.0,1.449
1769,300389.SZ,艾比森,半导体,3.0,1.449
2888,600900.SH,长江电力,水力发电,5.0,1.448
1650,300268.SZ,佳沃股份,农业综合,3.0,1.43
3187,603103.SH,横店影视,影视音像,3.0,1.424
569,002107.SZ,沃华医药,中成药,3.0,1.395
1132,002672.SZ,东江环保,环境保护,3.0,1.385
28,000035.SZ,中国天楹,环境保护,4.0,1.375
2394,600319.SH,亚星化学,化工原料,3.0,1.365
2254,600158.SH,中体产业,文教休闲,3.0,1.353
831,002370.SZ,亚太药业,化学制药,3.0,1.302
2569,600548.SH,深高速,路桥,10.0,1.302
3528,603908.SH,牧高笛,纺织,3.0,1.277
1866,300486.SZ,东杰智能,专用机械,4.0,1.263
1848,300468.SZ,四方精创,软件服务,3.0,1.259
914,002453.SZ,华软科技,化工原料,3.0,1.253
1877,300497.SZ,富祥股份,化学制药,4.0,1.253
384,000902.SZ,新洋丰,农药化肥,3.0,1.242
1662,300280.SZ,紫天科技,专用机械,3.0,1.234
1564,300181.SZ,佐力药业,中成药,3.0,1.175
3312,603383.SH,顶点软件,软件服务,3.0,1.16
3191,603110.SH,东方材料,染料涂料,3.0,1.153
1306,002859.SZ,洁美科技,元器件,3.0,1.152
1967,300591.SZ,万里马,服饰,3.0,1.146
2482,600429.SH,三元股份,乳制品,4.0,1.124
2348,600266.SH,北京城建,区域地产,3.0,1.105
1609,300227.SZ,光韵达,元器件,3.0,1.089
651,002189.SZ,利达光电,元器件,3.0,1.045
2013,300639.SZ,凯普生物,医疗保健,3.0,1.031
3321,603399.SH,吉翔股份,小金属,3.0,0.973
3252,603258.SH,电魂网络,互联网,3.0,0.973
634,002172.SZ,澳洋健康,化纤,3.0,0.947
3511,603882.SH,金域医学,医疗保健,3.0,0.943
819,002358.SZ,森源电气,电气设备,3.0,0.934
3384,603609.SH,禾丰牧业,饲料,3.0,0.923
3152,603037.SH,凯众股份,汽车配件,4.0,0.889
1270,002820.SZ,桂发祥,食品,3.0,0.871
1904,300525.SZ,博思软件,软件服务,3.0,0.855
614,002152.SZ,广电运通,电脑设备,3.0,0.836
1682,300300.SZ,汉鼎宇佑,软件服务,3.0,0.802
1038,002578.SZ,闽发铝业,铝,4.0,0.757
1436,300052.SZ,中青宝,互联网,3.0,0.752
582,002120.SZ,韵达股份,仓储物流,3.0,0.697
2686,600681.SH,百川能源,供气供热,3.0,0.689
1213,002758.SZ,华通医药,医药商业,3.0,0.661
2336,600250.SH,南纺股份,商贸代理,3.0,0.639
1959,300583.SZ,赛托生物,生物制药,3.0,0.622
2452,600388.SH,龙净环保,环境保护,3.0,0.494
1552,300169.SZ,天晟新材,塑料,3.0,0.485
2753,600750.SH,江中药业,中成药,3.0,0.455
3186,603101.SH,汇嘉时代,百货,3.0,0.408
2702,600697.SH,欧亚集团,百货,3.0,0.402
2345,600261.SH,阳光照明,家用电器,3.0,0.394
3561,603987.SH,康德莱,医疗保健,3.0,0.354
3025,601398.SH,工商银行,银行,3.0,0.326
2906,600965.SH,福成股份,农业综合,3.0,0.3
1664,300282.SZ,三盛教育,文教休闲,3.0,0.291
1018,002558.SZ,巨人网络,互联网,3.0,0.277
829,002368.SZ,太极股份,软件服务,3.0,0.272
2749,600746.SH,江苏索普,化工原料,3.0,0.26
3007,601288.SH,农业银行,银行,3.0,0.205
2196,600091.SH,ST明科,化工原料,3.0,0.184
1626,300244.SZ,迪安诊断,医疗保健,3.0,0.093
1107,002647.SZ,仁东控股,多元金融,3.0,-0.032
101,000502.SZ,绿景控股,医疗保健,3.0,-0.086
2688,600683.SH,京投发展,区域地产,3.0,-0.108
1059,002599.SZ,盛通股份,广告包装,4.0,-0.122
850,002389.SZ,航天彩虹,元器件,3.0,-0.186
520,002058.SZ,威尔泰,电器仪表,3.0,-0.624
