,ts_code,name,industry,WEIGHT_CONTINUOUSLY_FALL_P_CHANGE,INDAY_P_CHANGE,WEEKLY_CONTINUOUSLY_UP_COUNT
96,000429.SZ,粤高速A,路桥,-1.41,0.014,10.0
2359,600277.SH,亿利洁能,综合类,-1.24,0.002,6.0
3440,603709.SH,中源家居,家居用品,-16.15,0.049,6.0
1007,002547.SZ,春兴精工,通信设备,-0.93,0.035,6.0
1706,300322.SZ,硕贝德,通信设备,-4.86,0.002,4.0
2256,600158.SH,中体产业,文教休闲,-0.11,0.007,3.0
2968,601107.SH,四川成渝,路桥,-0.14,0.011,3.0
2922,600982.SH,宁波热电,供气供热,-0.45,0.003,3.0
699,002237.SZ,恒邦股份,黄金,-1.8,0.001,3.0
965,002504.SZ,弘高创意,装修装饰,-2.65,0.026,3.0
636,002174.SZ,游族网络,互联网,-3.89,0.018,3.0
3114,601989.SH,中国重工,船舶,-1.11,0.002,3.0
991,002531.SZ,天顺风能,电气设备,-4.74,0.002,3.0
1012,002552.SZ,*ST宝鼎,机械基件,-0.6,0.012,3.0
2069,300694.SZ,蠡湖股份,汽车配件,-7.33,0.052,3.0
2703,600696.SH,ST岩石,区域地产,-5.01,0.024,3.0
3360,603559.SH,中通国脉,通信设备,-0.33,0.003,3.0
1219,002765.SZ,蓝黛传动,汽车配件,-0.94,0.062,3.0
2684,600677.SH,航天通信,通信设备,-2.25,0.01,3.0
3428,603688.SH,石英股份,矿物制品,-1.47,0.013,3.0
1995,300619.SZ,金银河,专用机械,-7.54,0.002,3.0
1939,300559.SZ,佳发教育,软件服务,-0.77,0.001,3.0
1514,300129.SZ,泰胜风能,电气设备,-15.34,0.012,2.0
2847,600855.SH,航天长峰,专用机械,-1.98,0.012,2.0
970,002509.SZ,天广中茂,专用机械,-2.73,0.097,2.0
1130,002670.SZ,国盛金控,证券,-5.56,0.023,2.0
1476,300091.SZ,金通灵,机械基件,-2.51,0.021,2.0
770,002309.SZ,中利集团,电气设备,-0.78,0.009,2.0
967,002506.SZ,协鑫集成,电气设备,-2.26,0.002,2.0
1174,002716.SZ,金贵银业,小金属,-1.91,0.006,2.0
2370,600289.SH,*ST信通,软件服务,-4.68,0.004,2.0
1070,002610.SZ,爱康科技,电气设备,-2.26,0.006,2.0
1230,002776.SZ,柏堡龙,服饰,-0.28,0.018,2.0
1601,300217.SZ,东方电热,电器仪表,-1.48,0.015,2.0
822,002361.SZ,神剑股份,化工原料,-1.75,0.007,2.0
2558,600531.SH,豫光金铅,铅锌,-2.11,0.005,2.0
2769,600766.SH,园城黄金,黄金,-1.8,0.002,2.0
3007,601238.SH,广汽集团,汽车整车,-3.15,0.001,2.0
2997,601212.SH,白银有色,铜,-0.3,0.018,2.0
464,002002.SZ,鸿达兴业,化工原料,-0.48,0.104,2.0
79,000408.SZ,藏格控股,农药化肥,-2.29,0.002,2.0
2174,600066.SH,宇通客车,汽车整车,-0.7,0.016,2.0
91,000422.SZ,*ST宜化,农药化肥,-1.35,0.009,2.0
3226,603181.SH,皇马科技,化工原料,-0.59,0.024,2.0
348,000839.SZ,中信国安,综合类,-6.4,0.019,2.0
2332,600242.SH,中昌数据,软件服务,-32.43,0.011,2.0
434,000969.SZ,安泰科技,钢加工,-3.1,0.039,2.0
2596,600577.SH,精达股份,电气设备,-0.16,0.003,2.0
3092,601890.SH,亚星锚链,船舶,-9.45,0.008,2.0
3088,601881.SH,中国银河,证券,-0.33,0.019,2.0
2356,600273.SH,嘉化能源,化工原料,-5.0,0.007,2.0
683,002221.SZ,东华能源,石油贸易,-1.77,0.001,2.0
2341,600255.SH,梦舟股份,铜,-3.07,0.02,2.0
2338,600250.SH,南纺股份,商贸代理,-3.05,0.013,1.0
2222,600117.SH,西宁特钢,特种钢,-2.17,0.039,1.0
2349,600265.SH,ST景谷,林业,-1.67,0.03,1.0
2194,600086.SH,东方金钰,服饰,-10.48,0.048,1.0
2536,600507.SH,方大特钢,特种钢,-1.04,0.023,1.0
2507,600470.SH,六国化工,农药化肥,-0.25,0.013,1.0
2208,600103.SH,青山纸业,造纸,-1.78,0.004,1.0
2467,600403.SH,大有能源,煤炭开采,-0.9,0.018,1.0
2255,600157.SH,永泰能源,煤炭开采,-3.66,0.08,1.0
2334,600246.SH,万通地产,区域地产,-0.14,0.006,1.0
2263,600166.SH,福田汽车,汽车整车,-1.06,0.011,1.0
2363,600281.SH,太化股份,化工原料,-0.39,0.016,1.0
2434,600366.SH,宁波韵升,电器仪表,-1.92,0.002,1.0
2389,600311.SH,荣华实业,黄金,-0.91,0.011,1.0
2588,600568.SH,中珠医疗,区域地产,-0.2,0.012,1.0
2381,600302.SH,标准股份,纺织机械,-13.51,0.006,1.0
2287,600192.SH,长城电工,电气设备,-6.26,0.012,1.0
3,000005.SZ,世纪星源,房产服务,-3.51,0.007,1.0
2634,600617.SH,国新能源,供气供热,-0.4,0.008,1.0
3106,601958.SH,金钼股份,小金属,-0.72,0.016,1.0
3548,603938.SH,三孚股份,化工原料,-0.28,0.011,1.0
3524,603895.SH,天永智能,专用机械,-0.21,0.002,1.0
3505,603861.SH,白云电器,电气设备,-13.74,0.006,1.0
3455,603733.SH,仙鹤股份,造纸,-2.59,0.001,1.0
3441,603711.SH,香飘飘,软饮料,-0.3,0.03,1.0
3359,603558.SH,健盛集团,纺织,-9.4,0.011,1.0
3324,603398.SH,邦宝益智,文教休闲,-0.21,0.023,1.0
3264,603286.SH,日盈电子,汽车配件,-1.01,0.014,1.0
3243,603220.SH,贝通信,通信设备,-2.27,0.115,1.0
3214,603159.SH,上海亚虹,专用机械,-0.03,0.01,1.0
3208,603136.SH,天目湖,旅游景点,-0.33,0.001,1.0
3177,603080.SH,新疆火炬,供气供热,-4.05,0.001,1.0
3132,603011.SH,合锻智能,机床制造,-1.83,0.002,1.0
3050,601619.SH,嘉泽新能,新型电力,-3.98,0.015,1.0
2647,600634.SH,*ST富控,互联网,-3.83,0.039,1.0
3037,601579.SH,会稽山,红黄药酒,-1.23,0.005,1.0
3035,601567.SH,三星医疗,电器仪表,-0.58,0.015,1.0
2978,601137.SH,博威合金,铜,-0.48,0.001,1.0
2928,600988.SH,赤峰黄金,黄金,-1.09,0.01,1.0
2908,600965.SH,福成股份,农业综合,-0.65,0.032,1.0
2852,600860.SH,京城股份,专用机械,-2.54,0.02,1.0
2848,600856.SH,中天能源,供气供热,-1.76,0.005,1.0
2133,600010.SH,包钢股份,普钢,-0.98,0.013,1.0
2757,600753.SH,东方银星,批发业,-1.34,0.019,1.0
2740,600735.SH,新华锦,商贸代理,-4.23,0.005,1.0
2709,600703.SH,三安光电,半导体,-5.4,0.047,1.0
2707,600701.SH,*ST工新,综合类,-5.62,0.004,1.0
2676,600666.SH,奥瑞德,元器件,-2.15,0.049,1.0
2812,600815.SH,厦工股份,工程机械,-7.7,0.009,1.0
1877,300495.SZ,美尚生态,环境保护,-3.38,0.012,1.0
1051,002591.SZ,恒大高新,化工原料,-1.42,0.014,1.0
1098,002638.SZ,勤上股份,半导体,-1.07,0.007,1.0
721,002260.SZ,*ST德奥,航空,-4.02,0.017,1.0
728,002267.SZ,陕天然气,供气供热,-0.45,0.009,1.0
735,002274.SZ,华昌化工,农药化肥,-7.85,0.018,1.0
755,002294.SZ,信立泰,化学制药,-0.12,0.041,1.0
819,002358.SZ,森源电气,电气设备,-3.27,0.014,1.0
879,002418.SZ,康盛股份,机械基件,-4.89,0.014,1.0
889,002428.SZ,云南锗业,小金属,-2.39,0.008,1.0
890,002429.SZ,兆驰股份,家用电器,-0.24,0.01,1.0
917,002456.SZ,欧菲科技,元器件,-4.89,0.005,1.0
934,002473.SZ,*ST圣莱,家用电器,-2.0,0.03,1.0
986,002526.SZ,山东矿机,工程机械,-0.95,0.024,1.0
1000,002540.SZ,亚太科技,铝,-0.31,0.002,1.0
1019,002559.SZ,亚威股份,机床制造,-0.21,0.02,1.0
2106,300735.SZ,光弘科技,通信设备,-2.06,0.005,1.0
1066,002606.SZ,大连电瓷,电气设备,-1.45,0.099,1.0
718,002256.SZ,兆新股份,染料涂料,-3.33,0.003,1.0
654,002192.SZ,融捷股份,专用机械,-3.44,0.003,1.0
639,002177.SZ,御银股份,电脑设备,-0.14,0.003,1.0
191,000616.SZ,海航投资,全国地产,-1.67,0.004,1.0
89,000420.SZ,吉林化纤,化纤,-0.5,0.01,1.0
105,000506.SZ,中润资源,区域地产,-1.54,0.007,1.0
124,000531.SZ,穗恒运A,火力发电,-2.47,0.002,1.0
146,000557.SZ,西部创业,铁路,-1.08,0.027,1.0
159,000572.SZ,海马汽车,汽车整车,-1.08,0.004,1.0
165,000585.SZ,*ST东电,电气设备,-0.47,0.005,1.0
194,000620.SZ,新华联,全国地产,-1.66,0.002,1.0
629,002167.SZ,东方锆业,小金属,-1.41,0.01,1.0
271,000726.SZ,鲁泰A,纺织,-0.37,0.004,1.0
272,000727.SZ,华东科技,元器件,-3.59,0.013,1.0
290,000758.SZ,中色股份,铅锌,-1.28,0.052,1.0
337,000825.SZ,太钢不锈,特种钢,-0.12,0.005,1.0
358,000862.SZ,银星能源,新型电力,-6.3,0.012,1.0
548,002086.SZ,东方海洋,渔业,-11.96,0.008,1.0
1082,002622.SZ,融钰集团,电气设备,-0.87,0.098,1.0
3559,603976.SH,正川股份,医疗保健,-0.97,0.006,1.0
1099,002639.SZ,雪人股份,专用机械,-1.98,0.056,1.0
1340,002895.SZ,川恒股份,化工原料,-0.51,0.031,1.0
1724,300340.SZ,科恒股份,元器件,-0.09,0.041,1.0
1674,300290.SZ,荣科科技,软件服务,-0.3,0.021,1.0
1853,300471.SZ,厚普股份,专用机械,-2.54,0.01,1.0
1612,300228.SZ,富瑞特装,化工机械,-5.9,0.022,1.0
1139,002679.SZ,福建金森,林业,-4.44,0.001,1.0
1556,300171.SZ,东富龙,医疗保健,-0.98,0.016,1.0
1537,300152.SZ,科融环境,环境保护,-25.67,0.058,1.0
1519,300134.SZ,大富科技,通信设备,-1.29,0.016,1.0
1485,300100.SZ,双林股份,汽车服务,-3.62,0.013,1.0
1481,300096.SZ,易联众,软件服务,-0.54,0.007,1.0
31,000038.SZ,深大通,广告包装,-0.12,0.011,1.0
1886,300504.SZ,天邑股份,通信设备,-5.99,0.006,1.0
1926,300546.SZ,雄帝科技,元器件,-0.23,0.002,1.0
1308,002861.SZ,瀛通通讯,通信设备,-0.15,0.004,1.0
1307,002860.SZ,星帅尔,电气设备,-1.16,0.036,1.0
1303,002856.SZ,美芝股份,装修装饰,-1.07,0.033,1.0
2023,300648.SZ,星云股份,电器仪表,-1.01,0.017,1.0
1296,002848.SZ,高斯贝尔,通信设备,-4.99,0.028,1.0
2055,300680.SZ,隆盛科技,汽车配件,-2.44,0.015,1.0
1263,002812.SZ,恩捷股份,广告包装,-7.79,0.028,1.0
1157,002697.SZ,红旗连锁,超市连锁,-0.47,0.002,1.0
1144,002684.SZ,猛狮科技,电气设备,-3.99,0.012,1.0
1771,300389.SZ,艾比森,半导体,-2.69,0.003,0.0
1955,300577.SZ,开润股份,纺织,-8.05,0.042,0.0
2011,300635.SZ,达安股份,建筑施工,-12.82,0.006,0.0
3387,603608.SH,天创时尚,服饰,-3.12,0.001,0.0
195,000622.SZ,恒立实业,汽车配件,-9.48,0.025,0.0
2318,600228.SH,ST昌九,化工原料,-2.47,0.004,0.0
650,002188.SZ,*ST巴士,广告包装,-9.21,0.009,0.0
1746,300363.SZ,博腾股份,化学制药,-5.56,0.002,0.0
321,000803.SZ,金宇车城,纺织,-0.66,0.078,0.0
1689,300305.SZ,裕兴股份,塑料,-8.26,0.024,0.0
617,002155.SZ,湖南黄金,黄金,-3.0,0.004,0.0
1664,300280.SZ,紫天科技,专用机械,-0.22,0.001,0.0
1453,300068.SZ,南都电源,电气设备,-0.39,0.006,0.0
